"business_name","business_address","city","county","state","zipcode","primary_phone_number","additional_phone_numbers","website","permanent_housing","transitional_housing","emergency_shelter","persons_with_hiv_aids","serious_mental_illness","substance_use_disorder","developmental_disabilities","veterans_oth_discharge_or_higher","veteran_general_discharge_or_higher","gender_specific_program","family_unit","rental_assistance_subsidy","meets_hud_s_definition_of_homeless","sex_offender","prior_meth_sales_at_housing_program","felony_conviction","latitude_longitude"
"Restart","14440 E. 8th","Kansas City","Jackson","MO","64106","816-665-1147",,,"No","Yes","No","No","Yes","Yes","No","Yes","Yes","not gender specific","Yes","Yes","Yes","No","No","No",
"Lori&#039;s House Maternity Home","PO Box 343","Blue Eye","Stone","MO","65611","417-779-9314",,"https://lorishouse.org/","No","Yes","Yes","No","No","No","No","No","No","Female only","Yes","No","No","Yes","Yes","No","(36.5170372, -93.3829869)"
"Kansas City Rescue Mission-Men&#039;s Center","1520 Cherry Street","Kansas City","Jackson","MO","64108","816-421-7643",,,"No","No","Yes","No","No","Yes","No","No","No","Male only","No","No","No","No","No","No","(39.0947643, -94.5767912)"
"Young Women&#039;s Christian Association (YWCA)","304 N. 8th St.","St. Joseph","Buchanan","MO","64501","816-232-4481",,"http://ywcasj.org/","Yes","No","No","No","Yes","Yes","Yes","No","No","Female only","Yes","Yes","Yes","No","No","No","(39.7685032, -94.8510411)"
"Sunshine Mission","1315 Howard Street","St. Louis","St. Louis (county),St. Louis City (county)","MO","63106","314-231-8209",,"http://www.sunshineministries.org/programs-services/men/emergency-homeless-shelter/","No","Yes","Yes","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.643878, -90.193916)"
"Caring Spaces","P.O. BOX 10953","St. Louis","St. Louis (county),St. Louis City (county)","MO","63135","913-297-9367",,,"No","Yes","Yes","No","No","No","No","No","No","Female only","Yes","No","Yes","No","Yes","Yes","(38.6270025, -90.1994042)"
"Martha Vance Samaritan Outreach Shelter","715 Missouri Avenue","West Plains","Douglas,Howell,Oregon,Ozark,Texas,Wright","MO","65775","417-257-7792",,"http://samaritanoutreachcenter.com/contact/","No","Yes","Yes","No","No","Yes","Yes","No","No","not gender specific","Yes","No","Yes","Yes","Yes","No","(36.7360105, -91.8596103)"
"The Salvation Army Harbor House","3010 Washington","St. Louis","St. Louis (county),St. Louis City (county)","MO","63101","314-652-3310",,"http://www1.salvationarmy.org/uscsvcs.nsf/e975050072531ffa86256bb8006ae007/46ca209afb81b7a88625671400690479!OpenDocument","No","Yes","Yes","No","No","Yes","Yes","No","No","not gender specific","Yes","Yes","No","Yes","No","No","(38.6365287, -90.2217088)"
"Ozark Action Inc. ","710 East Main","West Plains","Dent,Douglas,Howell,Laclede,Oregon,Ozark,Shannon,Texas,Wright","MO","65775","417-255-2364","844-554-6635",,"Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","not gender specific","Yes","Yes","Yes","No","No","No","(36.7275706, -91.8439497)"
"Room At The Inn","3415 Bridgeland Drive","Bridgeton","St. Charles,St. Louis (county),St. Louis City (county)","MO","63044","314-209-9198",,"http://www.roomstl.org/","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","not gender specific","Yes","No","Yes","No","No","No","(38.7464173, -90.4295538)"
