"county","satellite","provider_name","address","city","state","zip","phone_number","smhw_provider","wisewoman_provider"
"ADAIR",,"Northeast Missouri Health Council","1416 Crown Drive","Kirksville,","MO","63501","(660) 627-5757","Yes",
"ADAIR","Yes","Northeast Missouri Health Council @ 
Northeast Family Health","1506 Crown Drive","Kirksville,","MO","63501","(660) 627-5757","Yes",
"ADAIR","Yes","Northeast Missouri Health Council @ 
OB/GYN Specialty Clinic","402 West Jefferson Street","Kirksville,","MO","63501","(660) 665-3555","Yes",
"ANDREW",,"No services currently available in this county.  Please check surrounding counties.",,,,,,,
"ATCHISON",,"Atchison County Health Department","421 Main Street","Tarkio,","MO","64491","(660) 736-4121","Yes",
"AUDRAIN",,"No services currently available in this county.  Please check surrounding counties.",,,,,,,
"BARRY",,"Barry County Health Department","65 Main Street","Cassville,","MO","65625","(417) 847-2114","Yes",
"BARRY","Yes","Barry County Health Department @ Monett","1000 S. Lincoln Avenue","Monett,","MO","65708","(417) 352-8402","Yes",
"BARRY","Yes","Access Family Care @ Cassville","4016 North Main Street","Cassville,","MO","65625","(417) 847-0057","Yes",
"BARTON",,"Barton County Health Department","1301 East 12th Street","Lamar,","MO","64759","(417) 682-3363","Yes","Yes"
"BARTON","Yes","Access Family Care @ Lamar","210 W. 10th Street","Lamar,","MO","64759","(417) 681-0027","Yes",
"BATES","Yes","Compass Health, Inc. @ Butler","805 N. Orange Street","Butler,","MO","64730","(888) 403-1071","Yes",
"BENTON","Yes","Bothwell Health Center - Truman Lake","1765 Commercial Street","Warsaw,","MO","65355","660-438-6800","Yes",
"BENTON","Yes","Katy Trail Community Health @ Warsaw","17571 North Dam Access Road","Warsaw,","MO","65355","(877) 733-5824","Yes","Yes"
"BENTON","Yes","Golden Valley Medical @ Warsaw","1771 Commercial Street","Warsaw,","MO","65355","(660) 438-5193","Yes",
"BOLLINGER",,"Bollinger County Health Center","107 Highway 51 North","Marble Hill,","MO","63764","(573) 238-2817","Yes","Yes"
"BOLLINGER","Yes","Cross Trails Medical Center @ Marble Hill","109 Highway 51 North","Marble Hill,","MO","63764","(573) 238-2725","Yes",
"BOONE",,"Columbia-Boone County Public Health & Human Services","1005 West Worley","Columbia,","MO","65205","(573) 874-7356","Yes",
"BOONE","Yes","Compass Health Network-Columbia","2475 Broadway Bluffs Drive, Suite 200","Columbia,","MO","65201","(888) 403-1071","Yes",
"BOONE","Yes","Compass Health Network-Columbia","101 West Worley Street","Columbia,","MO","65203","(888) 403-1071","Yes",
"BOONE","Yes","Compass Health Network - Columbia","1705 E. Broadway, Suite 340","Columbia,","MO","65201","(888) 403-1071","Yes",
"BOONE",,"University of Missouri Health Care","One Hospital Drive","Columbia,","MO","65212","(573) 882-8511","Yes",
"BUCHANAN",,"Social Welfare Board","904 South 10th Street, Suite A","St. Joseph,","MO","64503","(816) 233-5188","Yes","Yes"
"BUTLER",,"Butler County Health Department","1619 North Main Street","Poplar Bluff,","MO","63901","(573) 785-8478","Yes","Yes"
"BUTLER","Yes","Missouri Highlands Health Care @ 
Poplar Bluff","2210 Barron Road, Suite 120","Poplar Bluff,","MO","63901","(573) 785-6536","Yes","Yes"
"CALDWELL",,"No services currently available in this county.  Please check surrounding counties.",,,,,,,
"CALLAWAY","Yes","Community Health Center of Central Missouri @ Fulton","561 Commons Drive","Fulton,","MO","65251","573-632-2777","Yes",
"CAMDEN",,"Lake Regional Health System","54 Hospital Drive","Osage Beach,","MO","65065","(573) 302-2764","Yes",
"CAPE GIRARDEAU",,"Cross Trails Medical Center","408 South Broadview","Cape Girardeau,","MO","63703","(573) 332-0808","Yes",
"CAPE GIRARDEAU",,"Cape Girardeau County Public Health Center","1121 Linden Street","Cape Girardeau,","MO","63701","(573) 335-7846","Yes",
"CAPE GIRARDEAU","Yes","East Missouri Action Agency, Inc. @ 
Cape Girardeau","1111 Linden Street","Cape Girardeau,","MO","63702","(573) 334-2516","Yes",
"CARROLL","Yes","Green Hills Community Action Agency @ Carroll County Health Department","5 North Ely","Carrollton,","MO","64633","(660) 542-3247","Yes",
"CARTER",,"Carter County Health Center","1611 Health Center Road","Van Buren,","MO","63965","(573) 323-4413","Yes",
"CARTER","Yes","Missouri Highlands Health Care @
Big Springs Medical Clinic","405 Main Street","Van Buren,","MO","63965","(573) 323-4253","Yes","Yes"
"CASS",,"No services currently available in this county.  Please check surrounding counties.",,,,,,,
"CEDAR",,"Cedar County Health Department","1317 South 32 Hwy, Suite B","Eldorado Springs,","MO","64744","(417) 876-5477","Yes",
"CHARITON","Yes","Compass Health @ Salisbury","307 South Broadway","Salisbury,","MO","65281","(888) 403-1071","Yes",
"CHRISTIAN",,"No services currently available in this county.  Please check surrounding counties.",,,,,,,
"CLARK","Yes","Scotland County Memorial Hospital 
@ Wyaconda Medical Services","124 W. Jefferson Street","Wyaconda,","MO","63474","(660) 479-5553","Yes",
"CLAY","Yes","Samuel U. Rodgers Health Center - Clay County Family Medicine","800 Haines Drive","Liberty,","MO","64068","(816) 413-0662","Yes",
"CLAY","Yes","Samuel U. Rodgers Health Center - North Oak Prenatal Clinic","5330 North Oak Trafficway","Kansas City,","MO","64118","(816) 499-8100","Yes",
"COLE",,"Cole County Health Department","3400 W. Truman Boulevard","Jefferson City,","MO","65109","(573) 636-2181","Yes","Yes"
"COLE",,"Community Health Center of Central Missouri","1511 Christy Drive","Jefferson City,","MO","65109","(573) 632-2777","Yes",
"COOPER",,"No services currently available in this county.  Please check surrounding counties.",,,,,,,
"CRAWFORD","Yes","Compass Health, Inc. @
Sullivan","101 Progress Drive","Sullivan,","MO","63080","(888) 403-1071","Yes",
"DADE",,"Dade County Health Department","413 West Water Street","Greenfield,","MO","65661","(417) 637-2345","Yes","Yes"
"DALLAS",,"Dallas County Health Department","1011 West Main","Buffalo,","MO","65622","(417) 345-2332 ext. 100","Yes","Yes"
"DALLAS","Yes","Ozarks Community Health Center","406 S. Dallas St.","Urbana,","MO","65767","(417) 993-1002","Yes","Yes"
"DAVIESS",,"No services currently available in this county.  Please check surrounding counties.",,,,,,,
"DEKALB",,"No services currently available in this county.  Please check surrounding counties.",,,,,,,
"DENT",,"Dent County Health Center","1010 E. Scenic Rivers Blvd","Salem,","MO","65560","(573) 729-3106","Yes","Yes"
"DOUGLAS",,"Missouri Ozarks Community Health Center","504 W. Broadway","Ava,","MO","65608","(417) 683-5739","Yes","Yes"
"DUNKLIN","Yes","Dunklin County Health Center","402 Recovery Road","Kennett,","MO","63857","(573) 888-9008","Yes","Yes"
"DUNKLIN","Yes","Southeast Missouri Health Network @ Kennett SBHC","920 Kennett Street","Kennett,","MO","63857","573-717-1332","Yes",
"DUNKLIN","Yes","Southeast Missouri Health Network @ Otto Bean Medical Center","500 Russell Street","Kennett,","MO","63857","573-717-1332","Yes",
"FRANKLIN","Yes","Compass Health, Inc. @
Union","1780 Old Highway 50 East, Suite 113","Union,","MO","63084","(888) 403-1071","Yes",
"FRANKLIN","Yes","Mercy Washington Imaging","615 E. Fifth Street","Washington,","MO","63090","314-251-7428","Yes",
"GASCONADE",,"No services currently available in this county.  Please check surrounding counties.",,,,,,,
"GENTRY","Yes","Northwest Health Services @ King City Medical","305 N. Rhodde Island","King City,","MO","64463","(660) 535-4347","Yes",
"GREENE","Yes","Fordland Clinic","1300 E. Bradford Parkway","Springfield,","MO","65804","(417) 767-2273","Yes",
"GREENE",,"Jordan Valley Community Health Center","440 East Tampa Street","Springfield,","MO","65806","(417) 831-0150","Yes","Yes"
"GREENE","Yes","Jordan Valley Community Health Center @ Republic","550 East Harrison Street","Republic,","MO","65738","(417) 831-0150","Yes","Yes"
"GREENE","Yes","Jordan Valley Community Health Center @ Robberson","1443 North Robberson Avenue, Suite 505","Springfield,","MO","65802","(417) 831-0150","Yes","Yes"
"GREENE","Yes","Jordan Valley Community Health Center @ 
Scenic","660 South Scenic Avenue","Springfield,","MO","65802","(417) 831-0150","Yes","Yes"
"GREENE","Yes","Jordan Valley Community Health Center @ 
Benton","618 North Benton Avenue","Springfield,","MO","65806","(417) 831-0150","Yes","Yes"
"GREENE","Yes","Jordan Valley Community Health Center @ 
Kingsley","2238 W. Kingsley Street","Springfield,","MO","65807","(417) 831-0150","Yes","Yes"
"GRUNDY",,"Green Hills Community Action Agency","1506 Oklahoma Avenue","Trenton,","MO","64683","(877) 611-7600 ext. 1055 or 
(660) 359-2855 ext. 1055","Yes",
"HARRISON",,"Cainsville Medical Clinic","707 Victory Lane","Cainsville,","MO","64632","(660) 893-5750","Yes",
"HARRISON","Yes","Green Hills Community Action Agency @ 
Harrison County Health Department","1700 Bethany Avenue","Bethany,","MO","64424","(877) 611-7600 ext. 1055 or (660) 359-2855 ext. 1055","Yes",
"HENRY",,"Compass Health, Inc.","1800 Community Drive","Clinton,","MO","64735","(844) 853-8937","Yes",
"HENRY",,"Golden Valley Medical-Clinton","1602 N. 2nd Street","Clinton,","MO","64735","(660) 890-7300","Yes",
"HENRY","Yes","Golden Valley Medical @ Windsor","100 S. Tebo Street","Windsor,","MO","65360","(660)-647-2147","Yes",
"HICKORY",,"Hickory County Health Department","24885 State Hwy 254","Hermitage,","MO","65668","(417) 745-2138","Yes","Yes"
"HOLT",,"No services currently available in this county.  Please check surrounding counties.",,,,,,,
"HOWARD",,"No services currently available in this county.  Please check surrounding counties.",,,,,,,
"HOWELL",,"Howell County Health Department","180 Kentucky Street","West Plains,","MO","65775","(417) 256-7078","Yes",
"HOWELL",,"Southern Missouri Community Health Center","1137 Independence Drive","West Plains,","MO","65775","(417) 255-8464","Yes",
"IRON","Yes","Missouri Highlands Health Care @ 
Annapolis Family Clinic","202 Allen Street","Annapolis,","MO","63620","(573) 598-4213","Yes","Yes"
"IRON","Yes","Missouri Highlands Health Care @
Iron County Medical Clinic","315 West Mulberry, Suite A","Pilot Knob,","MO","63663","(573) 546-0602","Yes","Yes"
"IRON","Yes","Missouri Highlands Health Care @ 
Viburnum Medical Clinic","18 Viburnum Center Road","Viburnum,","MO","65566","(573) 244-5406","Yes","Yes"
"JACKSON",,"Jackson County Health Department","313 S. Liberty","Independence,","MO","64050","(816) 404-6416","Yes","Yes"
"JACKSON",,"KC CARE Health Center","3515 Broadway Blvd.","Kansas City,","MO","64111","(816) 753-5144","Yes","Yes"
"JACKSON","Yes","KC CARE Health Center @ 
Research Medical Center","2340 E. Meyer Blvd., Suite 200","Kansas City,","MO","64132","(816) 753-5144","Yes","Yes"
"JACKSON","Yes","KC CARE Health Center @ 
Northeast Clinic","4601 Independence Avenue","Kansas City,","MO","64124","(816) 753-5144","Yes","Yes"
"JACKSON","Yes","KC CARE Health Center @ 
Homeroom Health","1106 E. 30th St., Suite B","Kansas City,","MO","64109","(816) 753-5144","Yes","Yes"
"JACKSON",,"Samuel U. Rodgers Health Center","825 Euclid Avenue","Kansas City,","MO","64124","(816) 474-4920","Yes",
"JACKSON",,"Samuel U. Rodgers Health Center - Cabot West Side","2121 Summit Street","Kansas City,","MO","64108","(816) 471-0900","Yes",
"JACKSON",,"University Health Truman Medical Center","2301 Holmes Street, 6th Floor","Kansas City,","MO","64108","(816) 404-4023","Yes","Yes"
"JACKSON","Yes","University Health Truman Medical Center","2101 Charlotte Street","Kansas City,","MO","64108","(816) 404-4023","Yes","Yes"
