"number","dorregionnumber","type","name","address1","address2","city","state","zipcode","located_in","county","phone","fax","size","email","agent","officemanager","contractmanager","daysopen","daysclosed","holidaysclosed","additionaldaysclosed","remarks","latlng","twitter_url","facebook_url","textingphonenumber","managercontactnumber","managercontactnumber2","othercontactinfo","additional_license_office_info"
"101","14","1MV","NEW MADRID","341 US HWY 61",,"NEW MADRID","MO","63869-0000",,"New Madrid","(573) 748-5354","(573) 748-5473","1","NEWMADRIDAGENTOFFICE@DOR.MO.GOV","Dogwood Strategies, LLC","CATHERINE COOPER",,"Monday - Friday - 9:00 to 5:00","Monday - Friday from 1:00 to 2:00","Truman's Birthday (05/09/22), Memorial Day (05/30/22), Juneteenth Observed (06/20/2022), Independence Day (07/04/22), Labor Day (09/05/22), Columbus Day (10/10/22), Veterans Day (11/11/22), Thanksgiving (11/24/22), Christmas Day Observed (12/26/22)","5/28/2022,  6/4/2022",,"
,  
(36.58254, -89.552544)",,,,,,"Public E-Mail: contact@newmadridlicense.com",
"114","5","1MV","CHESTERFIELD","100 CHESTERFIELD COMMONS EAST ROAD",,"CHESTERFIELD","MO","63005-0000",,"St. Louis County","(636) 536-3095","(636) 730-3295","3","CHESTERFIELDAGENTOFFICE@DOR.MO.GOV","LICENSE OFFICE SERVICES, LLC","BRENDAN RYAN",,"Monday - Friday - 9:00 to 5:00, 1st and Last Saturday - 9:00 to 1:00, Last 5 Weekdays of the Month - 9:00 to 6:00",,"Veterans Day (11/11/21), Thanksgiving (11/25/21), Christmas Day Observed (12/24/21), Christmas Day (12/25/21), New Year's Day (12/31/21), New Year's Day Observed (12/31/21), New Year’s Day (01/01/22), President’s Day (02/21/22), Truman’s Birthday (05/09/22), Memorial Day (05/30/22), Juneteenth Observed (06/20/2022), Independence Day (07/04/22), Labor Day (09/05/22), Veterans Day (11/11/22), Thanksgiving (11/24/22), Christmas Day Observed (12/26/22)","3/25/2022 (at 4:15 PM ), 6/15/2022 (at 3:00 PM ), 6/16/2022,  6/17/2022, 7/2/22, 9/3/22, 11/23/22, 11/25/22, 11/26/22, 12/24/22",,"
,  
(38.666588, -90.581582)","www.twitter.com/chesterfieldlos","www.fb.me/chesterfield.license","(636) 206-4905",,,"WEBSITE - www.losllc.comEMAIL - chesterfieldoffice.los@gmail.com","Ways to contact office: Email or ""Contact Us"" link on the Internet, Facebook, Twitter and Texting (Information listed below). Services for the Elderly or Disabled: Curbside Service, Special appointments, Assist with changing or replacing plates/tabs, Process Transactions in the customer waiting area, Direct customers to front of the line, Wheelchair availability. Customer Satisfaction Initiatives: Completed Comment Cards will be used in drawing. Other Services: Motor Vehicle transaction drop-off service, Free WiFi."
"048","9","1MV","PALMYRA","100 SOUTH MAIN, SUITE 003",,"PALMYRA","MO","63461-0000",,"Marion","(573) 769-3264","(573) 769-1043","1","PALMYRAAGENTOFFICE@DOR.MO.GOV","Smith Custom Homes, LLC","JEANNIEA KEMPF",,"Monday - Friday  - 8:30 to 5:00","Monday - Friday from 12:30 to 1:30","Veterans Day (11/11/21), Thanksgiving (11/25/21), Christmas Day Observed (12/24/21), Christmas Day (12/25/21), New Year's Day (12/31/21), New Year's Day Observed (12/31/21 p.m. only), Martin Luther King Day (01/17/22), Lincoln’s Birthday Observed (02/11/22), President’s Day (02/21/22), Truman’s Birthday (05/09/22), Memorial Day (05/30/22), Independence Day (07/04/22), Labor Day (09/05/22), Columbus Day (10/10/22), Veterans Day (11/11/22), Thanksgiving (11/24/22), Christmas Day Observed (12/26/22)","3/9/2022 (at 12:30 PM ),   4/19/2022,  8/11/2022,  11/25/22,  12/23/22",,"
,  
(39.7996281, -91.5230763)",,,,,,"Public E-Mail: jrsmith573@earthlink.net","Office will have a greeter to ensure customers have proper documents, Motor Vehicle transaction drop-off service for busy times., Motor Vehicle Renewal Only Line. Ways to contact office: Public E-mail. Special services for the elderly or disabled: Curbside service, special appointments, assist with changing or replacing license plates and/or tabs, assist in and out of the office and assist with transactions in customer waiting area, ADAAA compliant restroom. Customer satisfaction initiatives: completed comment cards will be used in drawing."
"142","5","1MV","CREVE COEUR","12933 OLIVE BLVD",,"ST LOUIS","MO","63141-0000",,"St. Louis County","(314) 878-2110","(314) 878-5534","3","CREVECOEURAGENTOFFICE@DOR.MO.GOV","ACM, LLC","MATTHEW BOWMAN",,"Monday  - Friday - 8:30 to 5:30, Saturday - 8:30 to 1:30",,"Veterans Day (11/11/21), Thanksgiving (11/25/21), Christmas Day Observed (12/24/21), Christmas Day (12/25/21), New Year's Day (12/31/21), New Year's Day Observed (12/31/21), New Year’s Day (01/01/22), Martin Luther King Day (01/17/22), President’s Day (02/21/22), Truman’s Birthday (05/09/22), Memorial Day (05/30/22), Juneteenth Observed (06/20/2022), Independence Day (07/04/22), Labor Day (09/05/22), Columbus Day (10/10/22), Veterans Day (11/11/22), Thanksgiving (11/24/22), Christmas Day Observed (12/26/22)","5/28/22,   7/2/22,   7/26/2022 (at 8:30 AM until 10:00 AM ),   7/26/2022 (open at 10:00 AM ),  7/26/2022 (at 10:00 AM until 12:00 PM ),  7/26/2022 (open at 12:00 PM ),   9/3/22,   11/25/22,   11/26/22,   12/24/22",,"
,  
(38.682382, -90.477593)",,"https://www.facebook.com/CreveCoeurDMV",,,,"WEBSITE - www.crevecoeurdmv.comTEXT- Crevecoeurdmv@gmail.com","Ability to join virtual lines, schedule appointments from your computer or mobile device and receive wait time updates. Ways to contact office: Email or ""Contact Us"" link on the Internet, Facebook and Texting (information listed below). Services for the Elderly or Disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process Transactions in the customer waiting area, Direct customers to front of the line, Wheelchair availability. Customer Satisfaction Initiatives: Completed Comment Cards will be used in drawing. Other Services: Motor Vehicle transaction drop-off service, Free WiFi."
"062","13","1MV","AVA","301 SOUTH SPURLOCK ST, SUITE B",,"AVA","MO","65608-0000",,"Douglas","(417) 683-1503","(417) 683-1492","1","AVAAGENTOFFICE@DOR.MO.GOV","LICENSE OFFICE SERVICES, LLC","JOYCE HINRICHS",,"Monday - Friday  - 08:00 to 05:00",,"Veterans Day (11/11/21), Thanksgiving (11/25/21), Christmas Day Observed (12/24/21), Christmas Day (12/25/21), New Year's Day (12/31/21), New Year's Day Observed (12/31/21), New Year’s Day (01/01/22), Martin Luther King Day (01/17/22), Lincoln’s Birthday Observed (02/11/22), President’s Day (02/21/22), Truman’s Birthday (05/09/22), Memorial Day (05/30/22), Juneteenth Observed (06/20/2022), Independence Day (07/04/22), Labor Day (09/05/22), Columbus Day (10/10/22), Veterans Day (11/11/22), Thanksgiving (11/24/22), Christmas Day Observed (12/26/22)","3/9/2022 (at 8:00 AM until 10:00 AM ),  11/23/22,  11/25/22,   12/23/22",,"
,  
(36.9509048, -92.65959420000002)",,"https://m.facebook.com/avalicenseoffice/?_rdr","(417) 413-4636",,,"Public E-Mail: avaoffice.los@gmail.comWebsite: www.losllc.com","Ways to contact office: Public E-mail, Facebook, and texting. Special Services for the elderly or disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process transactions in the customer waiting area, direct customers to front of the line and wheelchair available. Customer Satisfaction Initiatives: completed comment cards will be used in drawing. Other Services and Initiatives: Office will have a greeter to ensure customers has proper documents, Free Wifi, Motor vehicle transaction drop-off service offered daily."
"052","8","1MV","CENTRAL WEST END","4041 Lindell BLVD",,"ST LOUIS","MO","63108-3287",,"St. Louis City","(314) 925-8330","(314) 925-8320","3","CentralWestEndAgentOffice@dor.mo.gov",,"TANYA DERRICK",,"Monday - Friday - 9:00 to 5:30, Saturdays - 9:00 to 1:00",,"Veterans Day (11/11/21), Thanksgiving (11/25/21), Christmas Day Observed (12/24/21), Christmas Day (12/25/21), New Year's Day (12/31/21), New Year's Day Observed (12/31/21), New Year’s Day (01/01/22), Martin Luther King Day (01/17/22), Lincoln’s Birthday Observed (02/11/22), Lincolns Birthday (02/12/22), President’s Day (02/21/22), Truman’s Birthday (05/09/22), Memorial Day (05/30/22), Juneteenth Observed (06/20/2022), Independence Day (07/04/22), Labor Day (09/05/22), Columbus Day (10/10/22), Veterans Day (11/11/22), Thanksgiving (11/24/22), Christmas Day Observed (12/26/22)","5/28/22,  7/2/22,  7/28/2022 (at 3:30 PM ),  9/3/22,  11/25/22,  11/26/22,  12/23/22,  12/24/22",,"
,  
(38.640017, -90.246093)",,,,,,"Contractor's Website: losllc.comPublic E-Mail: centralwestendoffice.los@gmail.com","Other Services and Initiatives: Take a number system, Charging station, Office will have a greeter to ensure customers has proper documents. Special Services for the elderly/disabled: Automatic door with a push button or sensor for opening located at or near the door, ADAAA compliant restroom will be accessible to the public with an entrance in the customer waiting area."
"043","9","1MV","MEXICO","201 NORTH ABAT",,"MEXICO","MO","65265","STATE FARM INSURANCE","Audrain","(573) 581-2665","(573) 581-2623","1","MEXICOAGENTOFFICE@DOR.MO.GOV","PROJECT MS","HEATHER OWEN",,"Monday - Friday - 9:00 to 5:00, Last Saturday of the month - 9:00 to 12:00",,"Veterans Day (11/11/21), Thanksgiving (11/25/21), Christmas Day Observed (12/24/21), Christmas Day (12/25/21), New Year's Day (12/31/21), New Year's Day Observed (12/31/21), New Year’s Day (01/01/22), Martin Luther King Day (01/17/22), Lincolns Birthday (02/11/22), President’s Day (02/21/22), Truman’s Birthday (05/09/22), Memorial Day (05/30/22), Juneteenth Observed (06/20/2022), Independence Day (07/04/22), Labor Day (09/05/22), Columbus Day (10/10/22), Veterans Day (11/11/22), Thanksgiving (11/24/22), Christmas Day Observed (12/26/22)","5/11/2022 (at 1:30 PM ),  5/28/2022,  7/28/2022 (until 1:00 PM ),  11/25/22,  11/26/22,  12/23/22",,"
,  
(39.1730737, -91.8928193)",,"https://www.facebook.com/projectms.sherry","(573) 470-5149",,,"Contractor's Website: www.projectms.net","Ability to join virtual lines, schedule appointments from your computer or mobile device and receive wait time updates. Ways to contact office: Email or ""Contact Us"" link on the Internet, Facebook and Texting (links listed below). Services for the Elderly or Disabled: Curbside Service, Special Appointments, Assist with changing or replacing plates/tabs, Process Transactions in the customer waiting area, direct customers to front of the line, Wheelchair availability. Customer Satisfaction Initiatives: Completed Comment Cards will be used in drawing. Other Services: Motor Vehicle transaction drop-off service, Free WiFi."
"128","10","1MV","VIBURNUM","#8 MISSOURI AVE",,"VIBURNUM","MO","65566-0592","DISABLED CITIZENS ALLIANCE FOR INDEPENDENCE","Iron","(573) 244-3800","(573) 244-3802","1","VIBURNUMAGENTOFFICE@DOR.MO.GOV","DISABLED CITIZENS ALLIANCE FOR INDEPENDENCE, INC","SONIA MINER",,"Monday - Friday - 8:30 to 4:00","Monday - Friday from 12:30 to 1:00","Veterans Day (11/11/21), Thanksgiving (11/25/21), Christmas Day Observed (12/24/21), Christmas Day (12/25/21), New Year's Day (12/31/21), New Year's Day Observed (12/31/21), Martin Luther King Day (01/17/22), President’s Day (02/21/22), Memorial Day (05/30/22), Independence Day (07/04/22), Labor Day (09/05/22), Veterans Day (11/11/22), Thanksgiving (11/24/22), Christmas Day Observed (12/26/22)","4/15/22, 7/1/22, 9/2/22, 11/25/22",,"
,  
(37.71487, -91.135535)",,,,,,"Public E-mail Address: dcitizen@misn.comContractor's Website: www.dcai.us","Special Services for the elderly or disabled: Special Appointments. Process transactions in the customer waiting area, direct customers to front of the line, wheel chair accessibility. Other services and initiatives: Motor Vehicle transaction drop-off service."
"030","2","1MV","BROOKFIELD","223 N MAIN ST",,"BROOKFIELD","MO","64628-1643",,"Linn","(660) 258-8248","(660) 258-7248","1","BROOKFIELDAGENTOFFICE@DOR.MO.GOV","JA MORGAN, LLC","TONI LEE NICKERSON",,"Monday - Thursday - 9:00 to 4:45, Last Four Business Days of Month - 8:30 to 5:15",,"Truman’s Birthday (05/09/22), Memorial Day (05/30/22), Juneteenth Observed (06/20/2022), Independence Day (07/04/22), Labor Day (09/05/22), Columbus Day (10/10/22), Veterans Day (11/11/22), Thanksgiving (11/24/22), Christmas Day Observed (12/26/22)","11/23/22, 12/23/22, 12/27/2022, 12/30/2022",,"
,  
(39.786918, -93.074735)",,,,,,,"Services for the Elderly or Disabled: Curbside Service,  Assist with changing or replacing plates/tabs. Other Services: Motor Vehicle transaction drop-off service."
"087","14","1MV","CAPE GIRARDEAU","51 S PLAZA WAY",,"CAPE GIRARDEAU","MO","63703-0000","TOWN PLAZA","Cape Girardeau","(573) 335-3659","(573) 335-4547","3","CAPEGIRARDEAUAGENTOFFICE@DOR.MO.GOV","MCLB MANAGEMENT CO, LLC","PENNY EAKER",,"*Monday - Friday - 8:30 to 5:30, *Last Saturday - 8:30 to 12:00",,"Veterans Day (11/11/21), Thanksgiving (11/25/21), Christmas Day Observed (12/24/21), Christmas Day (12/25/21), New Year's Day (12/31/21), New Year's Day Observed (12/31/21), Martin Luther King Day (01/17/22), President’s Day (02/21/22), Memorial Day (05/30/22), Juneteenth Observed (06/20/2022), Independence Day (07/04/22), Labor Day (09/05/22), Columbus Day (10/10/22), Veterans Day (11/11/22), Thanksgiving (11/24/22), Christmas Day Observed (12/26/22)","5/28/22, 11/25/22, 11/26/22",,"
,  
(37.3058503, -89.54816570000003)","https://twitter.com/LicenseCape","https://www.facebook.com/Cape-Girardeau-License-Office-1522207628039716/","(573) 979-2143",,,"Public E-mail Address: capelicenseoffice@gmail.com","Other Services and Initiatives: Office will have a greeter to ensure customer has proper documents, telephone operator, Motor Vehicle transaction drop –off service for busy times. Ways to contact office: Public E-mail, Facebook, Twitter and Texting Number. Special Services for the elderly or disabled: Curbside Service, Assist with changing or replacing plates/tabs, Process transactions in the customer waiting area. Customer Satisfaction Initiatives: Completed comment cards will be used in drawing."
