"business","county","category","location_1","address_2","website","retail"
"ZSI-Foster","Greene","Hardware, Industrial and Commercial","2324 W. Battlefield Rd.
Springfield, MO 65807
(37.159723, -93.325077)",,"https://www.zsi-inc.com/",
"Zone Enterprises","St. Louis City","Hardware, Industrial and Commercial, PPE","2025 S. Vandeventer Ave.
St. Louis, MO 63110
(38.615689, -90.264731)",,"https://www.zoneenterprisesusa.com/",
"Z Mfg. Inc.","Wayne","Artistries, Home, Apparel and Accessories","4 Industrial Park Dr.
Piedmont, MO 63957
(37.127421, -90.710426)",,"http://www.ztotes.com/home.html",
"Zimmerman Meats","Texas","Consumables","4534 Hwy 17
Summersville, MO 65571
(37.1995, -91.717738)",,"https://www.zimmermanmeats.com/",
"Zephyr Manufacturing","Pettis","Cleaning","200 Mitchell Rd.
Sedalia, MO 65301
(38.713507, -93.273151)",,"http://www.zephyrmfg.com/",
"Yorkie Splash and Shine","Laclede","Pet Care","
Lebanon, MO 65536
(37.686845, -92.646476)",,"http://www.yorkieshampoo.com/",
"YiBo Inc.","Warren","Consumables","8001 Washington Ave.
Warrenton, MO 63380
(38.803407, -91.117143)",,"http://yibo.us/",
"Yellow Creek Candle Co.","Livingston","Home, Artistries","9874 LIV 511
Chillicothe, MO 64601
(39.833134, -93.705481)",,"https://www.facebook.com/pages/Yellow-Creek-Candle-Co/570318089699722",
"Wool Shop","Worth","Cleaning, Home","
Grant City, MO 64456
(40.486409, -94.416664)",,"http://woolshop.com/",
"Woods Smoked Meats Inc","Pike","Consumables","1501 Business Hwy 54 West 3
Bowling Green, MO 63334
(39.347404, -91.209816)",,"https://www.woodssmokedmeats.com/",
"Wood Hat Spirits","Montgomery","Beverage","489 Booneslick Rd.
New Florence, MO 63363
(38.897971, -91.449425)",,"http://www.woodhatspirits.com",
"Wind & Willow Inc.","Lawrence","Consumables","
Mt. Vernon, MO 65712
(37.102718, -93.817051)",,"https://www.windandwillow.com/",
"Willow Moon Designs LLC","Moniteau","Home, Artistries, Apparel and Accessories","500 E. Main St.
California, MO 65018
(38.63618, -92.56487)",,"https://www.facebook.com/willowmoonstore/",
"Willert Home Products","St. Louis City","Cleaning, Home","4004 Park Ave.
St. Louis, MO 63110
(38.621533, -90.246566)",,"https://www.willert.com/",
"Wildlife Ridge Winery","Pettis","Beverage","34751 Miller Rd.
Smithton, MO 65350
(38.566962, -93.121962)",,"https://wildliferidgewinery.com/",
"Whirlwind Ranch, Inc.","Laclede","Artistries, Outdoor and Farm, Apparel and Accessories","24649 Snowberry Dr.
Lebanon, MO 65536
(37.686432, -92.521739)",,"https://whirlwindranch.com/",
"West Wineries","Macon","Beverage","107 Vine St.
Macon, MO 63552
(39.737834, -92.472636)",,"http://www.westwinery.com/",
"Westphalia Vineyards","Osage","Beverage","182 Brewery Lane
Westphalia, MO 65085
(38.43992, -91.996265)",,"http://www.westphaliavineyards.com/",
"Western Wire Products Company","St. Louis","Hardware, Industrial and Commercial","770 Sunpark Dr.
Fenton, MO 63070
(38.49417, -90.454035)",,"https://westernwireprod.com/",
"Western's Smokehouse","Schuyler","Consumables","1978 Western Dr.
Greentop, MO 63546
(40.353737, -92.564595)",,"https://www.westerns-smokehouse.com/",
"Welpman Springs Brewing Company","Morgan","Beverage","517 Hatchery Rd.
Stover, MO 65078
(38.50711, -93.056919)",,"http://welpmanspringsbrewing.weebly.com/home.html",
"Wegmann Companies, LLC","Jefferson","PPE, Printing, Publishing, Packaging","111 TRW Industrial Ct.
High Ridge, MO 63049
(38.481883, -90.51463)",,"https://www.facebook.com/labelsortapes/",
"Web-Co Custom Industries, Inc.","Webster","Printing, Publishing, Packaging","948 S Prairie Ln. Marshfield
Marshfield, MO 65706
(37.327398, -92.93306)",,"http://www.webcocustom.com/",
"Waterwheel Leather Company","Christian","Artistries, Apparel and Accessories","2108 N. 9th Ave.
Ozark, MO 65721
(37.037591, -93.197657)",,"https://waterwheelleather.com",
"Washington Forge","Franklin","Artistries  Hardware AND Industrial & Commercial","333 HAYLEY RIDGE LN.
Washington, MO 63090
(38.556555, -92.1210697)",,"https://www.facebook.com/washingtonforge/",
"Wanda Tyner Glass Art","Jackson","Artistries","4825 SW Gull Point Dr.
Lees Summit, MO 64082
(38.831921, -94.391801)",,"https://wandatynerglass.com/",
"Walrus Oil","Greene","Home, Health and Medical","2131 W. Republic Road
Springfield, MO 65807
(37.139764, -93.322597)",,"https://walrusoil.com/",
"Wages Brewing Company","Howell","Beverage","1382 Bill Virdon Blvd.
West Plains, MO 65775
(36.724636, -91.835278)",,"https://www.wagesbrewco.com/",
"VJ's Candles","Greene","Artistries, Home","1805 N. Farm Rd. 1
Bois D'Arc, MO 65612
(37.234081, -93.494992)",,"https://www.vjscandles.com/",
"Village Designs LLC","Cape Girardeau","Artistries","310 State Highway AA
Daisy, MO 63743
(37.520877, -89.795088)",,"http://www.villagedesigns.com/",
"Viandel Vineyard","Howell","Beverage","8381 US Hwy 60
Mountain View, MO 65548
(36.995629, -91.728826)",,"https://www.viandelvineyard.com/",
"VB Chocolate Bar","St. Charles","Beverage, Consumables","5326 Hwy N
Cottleville, MO 63304
(38.746014, -90.653634)",,"http://www.vbchocolatebar.com",
"US Wellness Meats","Lewis","Consumables","18685 316th Ave.
Canton, MO 63435
(40.123131, -91.545509)",,"https://grasslandbeef.com/",
"USA Shields, LLC","Jackson","Health and Medical, PPE","420 E. Bannister Rd.
Kansas City, MO 64131
(38.957475, -94.585336)",,"https://usashields.com/",
"Urban Chestnut Brewing Company","St. Louis City","Beverage","4465 Manchester Ave.
St. Louis, MO 63110
(38.626645, -90.261153)",,"http://urbanchestnut.com/",
"Uncle Bobs Spice Blends","St. Charles","Consumables","1382 Charlestown Industrial Dr.
St. Charles, MO 63303
(38.763617, -90.53131)",,"https://www.unclebobsspiceandblends.com/",
"Two Men and a Garden","St. Louis","Produce and Nurseries, Consumables","856 Arlington Glen Dr.
Fenton, MO 63026
(38.503115, -90.464944)",,"http://twomenandagarden.com/",
"Twin Oaks Enterprises","Chariton","Artistries AND Home","206 W. Broadway Street
Brunswick, MO 65236
(39.42370852, -93.13250652)",,"http://www.twinoaksenterprises.com/home.html",
"Twin Meadows Winery, LLC","Monroe","Beverage","12466 Hwy 24
Madison, MO 65263
(39.469853, -92.256667)",,"https://www.twinmeadowswinery.com/",
"Turnings by JusKim","Barry","Artistries","707 Blackjack St.
Cassville, MO 65625
(36.685175, -93.856464)",,"https://www.turningsbyjuskim.com/",
"TropiClean Pet Products","St. Charles","Pet Care","103 Enterprise Dr.
Wentzville, MO 63385
(38.819219, -90.833523)",,"http://tropiclean.com/",
"TrippNT","Jackson","Hardware, Health and Medical, Industrial and Commercial, PPE","8830 NE 108th St.
Kansas City, MO 64157
(39.288891, -94.475222)",,"https://www.trippnt.com/",
"Trailerman Trailers Inc.","Pike","Automotive, Industrial and Commercial, Outdoor and Farm","19790 Hwy 54
Louisiana, MO 63353
(39.410282, -91.103181)",,"http://www.trailermantrailers.net/",
"Traditions in Woodworking Inc.","Boone","Artistries","1200 Bowling St.
Columbia, MO 65201
(38.962713, -92.315608)",,"https://traditionsinwood.net/customcabinets/",
"Tie & Timber Beer Co.","Greene","Beverage","1459 E Cherry St.
Springfield, MO 65802
(37.203897, -93.268853)",,"http://www.tieandtimberbeerco.com/",
"Three Trees Workshop","Johnson","Artistries, Toys","128 SE 125 Rd.
Warrensburg, MO 64093
(38.739364, -93.727782)",,"https://www.threetreesworkshop.com/",
"Three Story Coffee","Cole","Consumables","621 W. McCarty St.
Jefferson City, MO 65101
(38.58114, -92.180744)",,"http://threestorycoffee.com/",
"Thompson Farm Soups and More, LLC","St. Charles","Consumables","161 Henderson Dr.
Wentzville, MO 63385
(38.783372, -90.843585)",,"http://www.thompsonfarmsoups.com/",
"Third Street Sportswear","Christian","Apparel and Accessories, Artistries","1106 S. 3rd St.
Ozark, MO 65721
(37.011121, -93.20668)",,"https://thirdstreetsportswear.com/",
"The Saint Louis Charcoal Company LLC","St. Louis","Outdoor and Farm","
Eureka, MO 63025
(38.491812, -90.623346)",,"https://rockwoodcharcoal.com/",
"The RF Thompson Co","Buchanan","Cleaning","1719 Penn St.
St. Joseph, MO 64507
(39.756246, -94.839402)",,"http://www.awesome-cleaner.com/",
"The Missouri Times","Cole","Printing, Publishing, Packaging","129 E High St.
Jefferson City, MO 65101
(38.57672, -92.172077)","Suite D.","https://themissouritimes.com/",
"The Holistic Hog","Montgomery","Consumables","515 W Hudson St.
Wellsville, MO 63384
(39.072334, -91.570211)",,"https://theholistichog.com/",
"The Grove Salsa Company","Greene","Consumables","3808 W. Kay Pointe Blvd.
Springfield, MO 65802
(37.20038, -93.357067)",,"https://www.grovesalsa.com/",
"The Great American Barbecue Company","St. Louis","Consumables","8402 Pilot Ct.
Affton, MO 63123
(38.551918, -90.336112)",,"https://greatamericanbarbecueco.com/",
"The Farrier’s Wife Blacksmith Shop","Ste. Genevieve","Artistries, Home","
Ste. Genevieve, MO 63670
(37.98014, -90.043799)",,"https://www.facebook.com/TheFarriersWifeBlacksmithShop/",
"The Farm Table","Moniteau","Consumables AND Outdoor & Farm","62701 W Bus 50
California, MO 65018
(38.6309768, -92.594923)",,"https://www.mofarmtable.com/",
"The Durham Company","Laclede","Industrial and Commercial","722 Durham Rd.
Lebanon, MO 65536
(37.65467, -92.66735)",,"http://www.durhamusa.com/index.html",
"The Crafted Bone, LLC","St. Charles","Pet Care","
St. Peters, MO 63376
(38.79273, -90.596004)",,"https://thecraftedbone.com/",
"The Covered Bridge Market, LLC","Cole","Outdoor and Farm, Consumables","11912 Hwy C
Russellville, MO 65074
(38.509139, -92.439918)",,"https://www.facebook.com/TheCoveredBridgeMarket/",
"The Concrete Works, LLC","Ozark","Industrial and Commercial, Outdoor and Farm","191 Concrete Way
Wasola, MO 65773
(36.781199, -92.44473)",,"http://www.theconcreteworks.com/",
"The Candle Fusion Studio","St. Charles","Artistries, Home","201 South Main Street
St. Charles, MO 63301
(38.780342, -90.481962)",,"https://thecandlefusionstudio.com/",
"The Bent Tree Gallery","Harrison","Artistries, Home","27619 East 340th Street
Bethany, MO 64424
(40.220563, -93.904947)",,"https://www.thebenttree.com/",
"The ARK Enterprises, Inc.","Benton","Biological Treatment, Outdoor and Farm, Industrial and Commercial","107 S. Main St.
Ionia, MO 65335
(38.500695, -93.323776)",,"https://pol-sorb.com/",
"Tehillah Coffee Company","Callaway","Beverage","215 Grace Ln.
Holts Summit, MO 65043
(38.6222141, -92.1468532)",,"https://tehillah.coffee/",
"Tastachios Wood Fire Roasted Pistachios","St. Louis","Consumables","
St. Louis, MO 63122
(38.578787, -90.403632)",,"https://www.tastachios.com/",
"TAPT / Biosorb Inc.","St. Charles","Biological Treatment","5988 Mid Rivers Mall Dr.
St. Charles, MO 63304
(38.75103, -90.635828)","Suite 124","http://www.biosorb-inc.com/",
"Tapaneli Foods, Pizza Haus, Inc","Cole","Consumables","2713 Industrial Dr.
Jefferson City, MO 65109
(38.594746, -92.223132)","Ste. B","https://missourigrownusa.com/members/3060",
"Swiss Meat and Sausage","Gasconade","Consumables","2056 S. Hwy 19
Hermann, MO 65041
(38.684939, -91.438661)",,"https://www.swissmeats.com/",
"Swisher Acquisition Inc","Johnson","Outdoor and Farm","1602 Corporate Dr.
Warrensburg, MO 64093
(38.768677, -93.704626)",,"https://www.swisherinc.com/",
"Sweet Kickin Salsa, LLC","Jackson","Consumables","32806 E. Pink Hill Rd.
Grain Valley, MO 64029
(39.050274, -94.196258)",,"https://www.sweetkickinsalsa.com/",
"Sue's Greenhouse LLC","Wright","Produce and Nurseries","3495 S. Hwy E.
Norwood, MO 65717
(37.171318, -92.395374)",,"https://www.facebook.com/Sues-Greenhouse-LLC-739380746225944/",
"SturdiGuns","Wright","Toys","
Norwood, MO 65717
(37.08251, -92.434049)",,"https://www.sturdiguns.com/",
"Stringbean Coffee Co.","St. Louis","Beverage","858 Hanley Industrial Ct.
Brentwood, MO 63144
(38.625505, -90.342565)",,"https://stringbeancoffee.com/",
"Storm Dancer Farm, LLC","Clay","Consumables, Outdoor and Farm, Produce and Nurseries","18750 County Rd. W
Smithville, MO 64089
(39.387118, -94.581595)",,"https://stormdancerfarm.com/",
"Stone Hollow Studio","Jefferson","Artistries","31 High Trails Dr.
Eureka, MO 63025
(38.458155, -90.633405)",,"http://stonehollowstudio.com/index.html",
"Stone Hill Winery","Gasconade","Beverage","1110 Stone Hill Hwy
Herman, MO 65041
(38.697443, -91.448908)",,"https://stonehillwinery.com/",
"St. Louis Embroidery","St. Charles","Artistries, Printing, Publishing, Packaging, Sporting Goods, Apparel and Accessories","121 Avalon Industrial Pkwy
Wentzville, MO 63385
(38.826465, -90.847664)",,"https://stlouisembroidery.com/",
"StitchinThread","Howell","Artistries, Home","
Willow Springs, MO 65793
(36.992679, -91.968815)",,"https://www.etsy.com/shop/stitchinthread/",
"StilL 630 Distillery","St. Louis City","Beverage","1000 S. 4th St.
St. Louis, MO 63104
(38.616739, -90.193212)",,"https://www.still630.com/home",
"StepNpull","Greene","Cleaning, Hardware, Health and Medical, Industrial and Commercial","8177 N Farm Rd 197
Fair Grove, MO 65648
(37.342474, -93.188326)",,"https://www.stepnpull.com/",
"Start Right Foods","St. Louis","Consumables","444 Sovereign Ct.
Ballwin, MO 63011
(38.600041, -90.490354)","Ste. A","https://www.startrightfoods.com/",
"Starrco, Inc.","St. Louis","Hardware, Industrial and Commercial","11700 Fairgrove Industrial
Maryland Heights, MO 63043
(38.710641, -90.430599)",,"https://www.starrco.com/",
"Spoor Farms LLC","Audrain","Consumables, Outdoor and Farm","34258 Audrain Rd. 708
Martinsburg, MO 65264
(39.145155, -91.662491)",,"https://www.facebook.com/SpoorFarms/",
