"county","coverage","rating","color"
"Adair","Ambetter, Anthem BCBS","2","2"
"Andrew","Ambetter, BCBS Kansas City","1","2"
"Atchison","Ambetter, BCBS Kansas City","1","2"
"Audrain","Ambetter, Anthem BCBS","5","2"
"Barry","Aetna, Ambetter, Anthem BCBS, Cox, Medica","8","5"
"Barton","Ambetter, Medica","7","2"
"Bates","Ambetter, BCBS Kansas City","4","2"
"Benton","Ambetter, BCBS Kansas City","4","2"
"Bollinger","Ambetter, Anthem BCBS","10","2"
"Boone","Ambetter, Anthem BCBS, Cigna, Medica","5","4"
"Buchanan","Ambetter, BCBS Kansas City","1","2"
"Butler","Ambetter, Anthem BCBS","10","2"
"Caldwell","Ambetter, BCBS Kansas City, Medica","1","3"
"Callaway","Ambetter, Anthem BCBS, Medica","5","3"
"Camden","Ambetter, Anthem BCBS, Medica","5","3"
"Cape Girardeau","Ambetter, Anthem BCBS","10","2"
"Carroll","Ambetter, BCBS Kansas City, Medica","1","3"
"Carter","Ambetter, Anthem BCBS","9","2"
"Cass","Ambetter, BCBS Kansas City, Cigna, Medica","3","4"
"Cedar","Ambetter, Anthem BCBS, Medica","8","3"
"Chariton","Ambetter, Anthem BCBS","5","2"
"Christian","Aetna, Ambetter, Anthem BCBS, Cox, Medica","8","5"
"Clark","Anthem BCBS","2","1"
"Clay","Aetna, Ambetter, BCBS Kansas City, Cigna, Medica, Oscar","3","6"
"Clinton","Ambetter, BCBS Kansas City, Medica","1","3"
"Cole","Ambetter, Anthem BCBS, Medica","5","3"
"Cooper","Ambetter, Anthem BCBS, Medica","5","3"
"Crawford","Ambetter, Anthem BCBS","9","2"
"Dade","Aetna, Ambetter, Anthem BCBS, Medica","8","4"
"Dallas","Aetna, Ambetter, Anthem BCBS, Medica","8","4"
"Daviess","Ambetter, BCBS Kansas City, Medica","1","3"
"DeKalb","Ambetter, BCBS Kansas City, Medica","1","3"
"Dent","Ambetter, Anthem BCBS","9","2"
"Douglas","Aetna, Ambetter, Anthem BCBS, Medica","8","4"
"Dunklin","Ambetter, Anthem BCBS","10","2"
"Franklin","Aetna, Ambetter, Anthem BCBS, Cigna, Medica, Oscar","6","6"
"Gasconade","Ambetter, Anthem BCBS","5","2"
"Gentry","Ambetter, BCBS Kansas City","1","2"
"Greene","Aetna, Ambetter, Anthem BCBS, Cox, Medica","8","5"
"Grundy","Ambetter, BCBS Kansas City, Medica","1","3"
"Harrison","Ambetter, BCBS Kansas City","1","2"
"Henry","Ambetter, BCBS Kansas City, Medica","4","3"
"Hickory","Aetna, Ambetter, Anthem BCBS, Medica","8","4"
"Holt","Ambetter, BCBS Kansas City","1","2"
"Howard","Ambetter, Anthem BCBS, Medica","5","3"
"Howell","Ambetter, Anthem BCBS, Medica","9","3"
"Iron","Ambetter, Anthem BCBS","9","2"
"Jackson","Aetna, Ambetter, BCBS Kansas City, Cigna, Medica, Oscar","3","6"
"Jasper","Aetna, Ambetter, Medica","7","3"
"Jefferson","Aetna, Ambetter, Anthem BCBS, Cigna, Medica, Oscar","6","6"
"Johnson","Ambetter, BCBS Kansas City, Medica","4","3"
"Knox","Ambetter, Anthem BCBS","2","2"
"Laclede","Aetna, Ambetter, Anthem BCBS, Medica","8","4"
"Lafayette","Ambetter, BCBS Kansas City, Medica","4","3"
"Lawrence","Aetna, Ambetter, Anthem BCBS, Cox, Medica","8","5"
"Lewis","Anthem BCBS","2","1"
"Lincoln","Aetna, Ambetter, Anthem BCBS, Cigna, Medica, Oscar","6","6"
"Linn","Ambetter, Anthem BCBS, Medica","2","3"
"Livingston","Ambetter, BCBS Kansas City, Medica","1","3"
"Macon","Ambetter, Anthem BCBS","2","2"
"Madison","Ambetter, Anthem BCBS","10","2"
"Maries","Anthem BCBS","5","1"
"Marion","Anthem BCBS","2","1"
"McDonald","Aetna, Ambetter, Medica","7","3"
"Mercer","Ambetter, BCBS Kansas City, Medica","1","3"
"Miller","Ambetter, Anthem BCBS, Medica","5","3"
"Mississippi","Ambetter, Anthem BCBS","10","2"
"Moniteau","Ambetter, Anthem BCBS, Medica","5","3"
"Monroe","Ambetter, Anthem BCBS","5","2"
"Montgomery","Ambetter, Anthem BCBS","5","2"
"Morgan","Ambetter, Anthem BCBS, Medica","5","3"
"New Madrid","Ambetter, Anthem BCBS","10","2"
"Newton","Aetna, Ambetter, Medica","7","3"
"Nodaway","Ambetter, BCBS Kansas City","1","2"
"Oregon","Ambetter, Anthem BCBS","9","2"
"Osage","Ambetter, Anthem BCBS, Medica","5","3"
"Ozark","Aetna, Ambetter, Anthem BCBS, Medica","8","4"
"Pemiscot","Ambetter, Anthem BCBS","10","2"
"Perry","Ambetter, Anthem BCBS","10","2"
"Pettis","Ambetter, BCBS Kansas City","4","2"
"Phelps","Ambetter, Anthem BCBS","9","2"
"Pike","Ambetter, Anthem BCBS","2","2"
"Platte","Aetna, Ambetter, BCBS Kansas City, Cigna, Medica, Oscar","3","6"
"Polk","Aetna, Ambetter, Anthem BCBS, Medica","8","4"
"Pulaski","Ambetter, Anthem BCBS","9","2"
"Putnam","Ambetter, Anthem BCBS","2","2"
"Ralls","Ambetter, Anthem BCBS","2","2"
"Randolph","Ambetter, Anthem BCBS","5","2"
"Ray","Ambetter, BCBS Kansas City, Cigna","1","3"
"Reynolds","Ambetter, Anthem BCBS","9","2"
"Ripley","Ambetter, Anthem BCBS","9","2"
"St. Charles","Aetna, Ambetter, Anthem BCBS, Cigna, Medica, Oscar, Well First Health","6","7"
"St. Clair","Ambetter, BCBS Kansas City, Medica","4","3"
"St. Francois","Anthem BCBS, Cigna","6","2"
"St. Louis","Aetna, Ambetter, Anthem BCBS, Cigna, Medica, Oscar, Well First Health","6","7"
"St. Louis City","Aetna, Ambetter, Anthem BCBS, Cigna, Medica, Oscar, Well First Health","6","7"
"Ste. Genevieve","Aetna, Ambetter, Anthem BCBS, Cigna","6","4"
"Saline","Ambetter, BCBS Kansas City","4","2"
"Schuyler","Anthem BCBS","2","1"
"Scotland","Anthem BCBS","2","1"
"Scott","Ambetter, Anthem BCBS","10","2"
"Shannon","Ambetter, Anthem BCBS","9","2"
"Shelby","Ambetter, Anthem BCBS","2","2"
"Stoddard","Ambetter, Anthem BCBS","10","2"
"Stone","Aetna, Ambetter, Anthem BCBS, Cox, Medica","8","5"
"Sullivan","Ambetter, Anthem BCBS","2","2"
"Taney","Aetna, Ambetter, Anthem BCBS, Cox, Medica","8","5"
"Texas","Ambetter, Anthem BCBS, Medica","9","3"
"Vernon","Ambetter, BCBS Kansas City, Medica","4","3"
"Warren","Aetna, Ambetter, Anthem BCBS, Cigna, Medica, Oscar","6","6"
"Washington","Aetna, Ambetter, Anthem BCBS, Cigna","6","4"
"Wayne","Ambetter, Anthem BCBS","10","2"
"Webster","Aetna, Ambetter, Anthem BCBS, Cox, Medica","8","5"
"Worth","Ambetter, BCBS Kansas City","1","2"
"Wright","Aetna, Ambetter, Anthem BCBS, Medica","8","4"
