"license_number","licensee_name","dba_name","license_type","district","sub_district","county","street_number","street_name","city","state","zip_code","last_name","first_name","business_phone","renewal_date","latlng"
"166391","THAI JASMINE LLC","THAI JASMINE","5BDW","3","00","092","2019","HWY K","O'FALLON","MO","633663965","PUSOPA","PRAPAT",,"04/26/2022",
"201908","DOLGENCORP LLC","DOLLAR GENERAL STORE #7903","OPL","1","00","038","801","E. MAIN STREET","STANBERRY","MO","64489","GRIFFITH","ROBBIN",,"04/28/2022",
"275695","SIKESTON KWIK STOP INC","SIKESTON KWIK STOP","SOP","4","00","072","905","S MAIN ST","SIKESTON","MO","63801","WILLIAMS","LORENE",,"04/26/2022",
"255837","SEDALIA HOTEL LLC","SEDALIA HOTEL","RBD","2","00","080","3120","S. LIMIT AVENUE","SEDALIA","MO","653016862","ADERMANN","THOMAS",,"04/27/2022",
"223401","PLANK ROAD PIZZA LLC","PLANK ROAD PIZZA","5BDW","3","00","092","5212","HIGHWAY N","COTTLEVILLE","MO","63304","BREWER","ANDREW",,"04/26/2022","
,  
(38.745354, -90.653273)"
"279881","OLD ROUTE 24 BAR LLC","OLD ROUTE 24 BAR","RBDR","1","00","017","108","BUSINESS HWY 24 E","CARROLLTON","MO","64633","THOMAS","DANIEL",,"04/26/2022",
"259077","MINIT MART LLC","MINIT MART #760","OPL","1","00","048","6897","E FRONT ST.","KANSAS CITY","MO","641201304","WILLIAMS","LORENE",,"04/22/2022",
"3220","SHRINE UNIFORMED UNITS","ABOU BEN ADHEM TEMPLE","RBD","5","00","039","601","ST LOUIS","SPRINGFIELD","MO","658062413","NATHAN","CHARLES",,"04/27/2022","
,  
(37.209553, -93.286255)"
"180903","BILL'S IMPERIAL INC.","FAS-TRIP #107","SOP","2","00","036","4700","S. POINT RD.","WASHINGTON","MO","63090","HOERSTKAMP","MICHELLE",,"04/26/2022",
"250974","ONE WAY CAFE & BAR LLC","DOS REYES MEXICAN RESTAURANT","RBD","3","00","116","5912","HAMPTON AVE","ST. LOUIS","MO","63109","LORA","CAROLYN",,"04/27/2022","
,  
(38.5776046, -90.29380909999999)"
"275694","SIKESTON KWIK STOP INC","SIKESTON KWIK STOP","OPL","4","00","072","905","S MAIN ST","SIKESTON","MO","63801","WILLIAMS","LORENE",,"04/26/2022",
"211384","SMOKIN GUNS BBQ & CATERING INC.","SMOKIN GUNS BBQ & CATERING","RBD","1","00","024","1218","SWIFT","NORTH KANSAS CITY","MO","641164012","HOPKINS","JAMES",,"04/27/2022","
,  
(39.1309889, -94.57780989999999)"
"279861","RT ST LOUIS FRANCHISE LLC","RUBY TUESDAY","RBD","3","00","092","190","MID RIVERS MALL CIRCLE","ST. PETERS","MO","63376","WILLIAMS","LORENE",,"04/27/2022","
,  
(38.7975079, -90.6197969)"
"259094","MINIT MART LLC","MINIT MART #575","SOP","1","00","051","250","E COOPER","WARRENSBURG","MO","640931267","WILLIAMS","LORENE",,"04/22/2022",
"280101","RT WESTERN MISSOURI FRANCHISE LLC","RUBY TUESDAY","RBD","5","00","039","2725","N GLENSTONE AVE","SPRINGFIELD","MO","65803","WILLIAMS","LORENE",,"04/27/2022","
,  
(37.2463816, -93.2617022)"
"258901","MYSTIC LLC","87TH STREET MARKET","OPT","1","00","048","9709","EAST 87TH STREET","RAYTOWN","MO","64138","MCATEE","ROBERT",,"04/26/2022","
,  
(38.964962, -94.467968)"
"259097","MINIT MART LLC","MINIT MART #572","OPL","1","00","011","4101","N BELT HIGHWAY","ST. JOSEPH","MO","645061278","WILLIAMS","LORENE",,"04/22/2022",
"238637","CITY OF CHESTERFIELD","CITY OF CHESTERFIELD","SBD","3","00","095","17925","N. OUTER 40","CHESTERFIELD","MO","63005","BAUCOM","JASON",,"04/27/2022","
,  
(38.6744012, -90.6398224)"
"259091","MINIT MART LLC","MINIT MART #765","OPL","1","00","024","9901","NE BARRY RD.","KANSAS CITY","MO","641587603","WILLIAMS","LORENE",,"04/22/2022",
"280083","RT WESTERN MISSOURI FRANCHISE LLC","RUBY TUESDAY","RBD","5","00","046","1008","WORLEY DR CDD054","WEST PLAINS","MO","65775","WILLIAMS","LORENE",,"04/27/2022",
"138821","TEMP STOP LLC","TEMP STOP #111","SOP","1","00","048","26550","COLBERN RD","LEE'S SUMMIT","MO","640638474","GREEN","TERRY",,"04/26/2022",
"202156","DOLGENCORP LLC","DOLLAR GENERAL STORE #2530","OPL","5","00","039","910","S. GLENSTONE AVE.","SPRINGFIELD","MO","65804","GRIFFITH","ROBBIN",,"04/28/2022",
"201909","DOLGENCORP LLC","DOLLAR GENERAL STORE #11786","OPL","1","00","032","1406","MAIN STREET","STEWARTSVILLE","MO","64080","GRIFFITH","ROBBIN",,"04/28/2022",
"238414","DOLGENCORP LLC","DOLLAR GENERAL STORE #17328","OPL","2","00","036","1036","PAUL ALAN DRIVE","UNION","MO","63084","GRIFFITH","ROBBIN",,"04/28/2022",
"201839","DOLGENCORP LLC","DOLLAR GENERAL STORE #7231","OPL","5","00","039","1726","S. KANSAS HIGHWAY","SPRINGFIELD","MO","65807","GRIFFITH","ROBBIN",,"04/28/2022",
"212164","DOLGENCORP LLC","DOLLAR GENERAL STORE #4512","OPL","5","00","039","2948","E. SUNSHINE","SPRINGFIELD","MO","65804","GRIFFITH","ROBBIN",,"04/28/2022","
,  
(37.180532, -93.23587549999999)"
"243616","ICE HOLE LLC, THE","ICE HOLE, THE","RBD","2","00","066","1371","BAGNELL DAM #14A","LAKE OZARK","MO","65049","SMITH","TRAVIS",,"04/27/2022","
,  
(38.1990404, -92.6371514)"
"201704","DOLGENCORP LLC","DOLLAR GENERAL STORE #2651","OPL","2","00","071","201","HWY 5 SOUTH","VERSAILLES","MO","65084","GRIFFITH","ROBBIN",,"04/28/2022",
"84973","ALBRECHT KEMPER MUSEUM OF ART","ALBRECHT KEMPER MUSEUM OF ART","RBDE","1","00","011","2818","FREDERICK BLVD","ST JOSEPH","MO","645062903","FUSON","ERIC",,"04/27/2022","
,  
(39.7761976, -94.8231497)"
"252769","LOOSE CABOOSE SALOON LLC","LOOSE CABOOSE SALOON","RBD","2","00","037","113","W. 5TH STREET","HERMANN","MO","65041","OSLER","BETH",,"04/27/2022",
"249082","WP BAR LLC","BAR WEST PLAZA, THE","SBD","1","00","048","1121","W 47TH STREET","KANSAS CITY","MO","64112","MITCHELL","STEPHEN",,"04/26/2022","
,  
(39.0424548, -94.6006579)"
"274026","DOLGENCORP LLC","DOLLAR GENERAL STORE #21834","SOP","5","00","039","6869","W STATE HIGHWAY 266","SPRINGFIELD","MO","65802","GRIFFITH","ROBBIN",,"04/28/2022",
"212733","DOLGENCORP LLC","DOLLAR GENERAL STORE #10049","OPL","1","00","003","302","S. 2ND STREET","TARKIO","MO","64491","GRIFFITH","ROBBIN",,"04/28/2022",
"267378","E AND M'S WHISTLE STOP LLC","E AND M'S WHISTLE STOP","SOP","2","00","015","7208","S. STATE HIGHWAY 7","MONTREAL","MO","65591","ALBRITTON","MARGARET",,"04/27/2022",
"181494","KRAJEN LLC","RT J MARKET","OPL","2","00","087","19883","OPRY LANE","MONROE CITY","MO","63456","MEYER","KRAIG",,"04/27/2022",
