"fiscal_year","program_code","program","object_code","object","fund_type_code","fund_type","fund_code","organization_group_code","fund","organization_group","fund_category_code","department_code","fund_category","department","related_govt_unit","character_code","character","sub_object_code","sub_object","job_family_code","job_family","job_code","job","actual"
"2003","AKB","Community Services","501","Permanent Salaries-Misc","1G","General Fund","1GAGF","01","General Fund","Public Protection","1","ADP","Operating","Adult Probation","No","501","Salaries","501010","Perm Salaries-Misc-Regular","0900","Management","8435","Div Director, Adult Probation","0.67"
"2003","AKB","Community Services","501","Permanent Salaries-Misc","1G","General Fund","1GAGF","01","General Fund","Public Protection","1","ADP","Operating","Adult Probation","No","501","Salaries","501010","Perm Salaries-Misc-Regular","1400","Clerical, Secretarial & Steno","1426","Senior Clerk Typist","0.28"
"2003","AKB","Community Services","501","Permanent Salaries-Misc","1G","General Fund","1GAGF","01","General Fund","Public Protection","1","ADP","Operating","Adult Probation","No","501","Salaries","501010","Perm Salaries-Misc-Regular","1400","Clerical, Secretarial & Steno","1446","Secretary 2","0.82"
"2003","AKB","Community Services","501","Permanent Salaries-Misc","1G","General Fund","1GAGF","01","General Fund","Public Protection","1","ADP","Operating","Adult Probation","No","501","Salaries","501010","Perm Salaries-Misc-Regular","8400","Probation & Parole","8434","Sprv Adult Probation Ofc","5.92"
"2003","AKB","Community Services","501","Permanent Salaries-Misc","1G","General Fund","1GAGF","01","General Fund","Public Protection","1","ADP","Operating","Adult Probation","No","501","Salaries","501010","Perm Salaries-Misc-Regular","8400","Probation & Parole","8444","Deputy Probation Officer","46.74"
"2003","AKB","Community Services","501","Permanent Salaries-Misc","1G","General Fund","1GAGF","01","General Fund","Public Protection","5","ADP","Work Orders/Overhead","Adult Probation","No","501","Salaries","501010","Perm Salaries-Misc-Regular","8400","Probation & Parole","8434","Sprv Adult Probation Ofc","0.31"
"2003","AKB","Community Services","501","Permanent Salaries-Misc","1G","General Fund","1GAGF","01","General Fund","Public Protection","5","ADP","Work Orders/Overhead","Adult Probation","No","501","Salaries","501010","Perm Salaries-Misc-Regular","8400","Probation & Parole","8444","Deputy Probation Officer","5.19"
"2003","AKB","Community Services","501","Permanent Salaries-Misc","2S","Special Revenue Funds","2SPPF","01","Public Protection Fund","Public Protection","4","ADP","Grants","Adult Probation","No","501","Salaries","501010","Perm Salaries-Misc-Regular","8400","Probation & Parole","8444","Deputy Probation Officer","1.70"
"2003","AKB","Community Services","501","Permanent Salaries-Misc","1G","General Fund","1GAGF","01","General Fund","Public Protection","1","ADP","Operating","Adult Probation","No","501","Salaries","501020","Misc-Sick Pay","0900","Management","8435","Div Director, Adult Probation","0.08"
"2003","AKB","Community Services","501","Permanent Salaries-Misc","1G","General Fund","1GAGF","01","General Fund","Public Protection","1","ADP","Operating","Adult Probation","No","501","Salaries","501020","Misc-Sick Pay","1400","Clerical, Secretarial & Steno","1426","Senior Clerk Typist","0.02"
