"department","employee_title","minimum_salary","maximum_salary"
"Archives                      ","City Archivist                ","60242","60242"
"Archives                      ","LTD Dep.Archivist             ","47146.19","47146.19"
"Arts, Culture & Tourism       ","Cultural Affairs Coordinator  ","57098.13","57098.13"
"Arts, Culture & Tourism       ","Deputy Dir.Cultural Affairs   ","66830.58","66830.58"
"Arts, Culture & Tourism       ","Director Arts,Culture&Tourism ","106778.85","106778.85"
"Arts, Culture & Tourism       ","Production Coordinator        ","47390.43","47390.43"
"Board of Canvassers           ","Administrator for Elections   ","63347.46","63347.46"
"Board of Canvassers           ","Clerk IV                      ","33463.24","35579.72"
"Board of Canvassers           ","Clerk IV / Bilingual          ","36333.38","36333.38"
"Board of Canvassers           ","Exec Secretary Bd Of Canvass  ","33442.13","33442.13"
"Board of Canvassers           ","Member-Bd Of Canvassers       ","21644.71","21644.71"
"Board of Canvassers           ","Supv.-Registrations B.O.C     ","42628.22","42628.22"
"Board of Canvassers           ","Teller                        ","41513.10","41513.10"
"Building Administration       ","Admin Asst                    ","44231.27","44231.27"
"Building Administration       ","Administrative Coordinator    ","51410.99","51410.99"
"Building Administration       ","Chief Info Processor          ","47901.85","47901.85"
"Building Administration       ","Director  Inspection & Stnds  ","112103.08","112103.08"
"Building Administration       ","Inspections Coordinator       ","39985.21","39985.21"
"Building Administration       ","Permit Technician             ","41512.56","41512.56"
"Building Administration       ","Sec Zon Bd Review             ","73399.32","73399.32"
"Building Administration       ","Senior Dept Clerk             ","36333.57","36334.11"
"Building Administration       ","Sr.Dept.Clerk/Bilingual       ","39981.76","39981.76"
"Building Administration       ","Zoning Assistant              ","43083.58","43083.58"
"Building Insp Struct Zoning   ","Apprentice Bldg Inspector I   ","37715.13","40659.52"
"Building Insp Struct Zoning   ","Asst Supv Structures/Zoning   ","50194.32","50194.32"
"Building Insp Struct Zoning   ","Building Inspector III        ","49140.72","49140.72"
"Building Insp Struct Zoning   ","Building Offical              ","87869.6","87869.6"
"Building Insp Struct Zoning   ","Chief Of Structures & Zoning  ","70803.64","70803.64"
"Building Insp Struct Zoning   ","Permit Technician             ","46510.64","47901.85"
"Building Insp Struct Zoning   ","Plan Estimator                ","67857.06","67858.33"
"Building Insp Struct Zoning   ","Supv Structures And Zoning    ","55256.11","55256.11"
"Bureau of Licenses            ","Chairman & Sec. Bd Of License ","26850.27","26850.27"
"Bureau of Licenses            ","Chief Clerk                   ","50011.96","50011.96"
"Bureau of Licenses            ","Commissioner  Bd Of Licenses  ","19713.87","19713.87"
"Bureau of Licenses            ","License Administrator         ","71040.42","71040.42"
"Bureau of Licenses            ","License Inspector             ","46154.83","46154.83"
"Bureau of Licenses            ","Senior License Bd Clerk       ","42118.07","42127.90"
"City Assesor                  ","Administrative Aide           ","43229.73","43229.73"
"City Assesor                  ","Appraiser I                   ","52042.9","60562.68"
"City Assesor                  ","Cartographer                  ","57188.58","57188.58"
"City Assesor                  ","Certified Appraiser           ","75713.45","75713.45"
"City Assesor                  ","City Assessor                 ","101674.3","101674.3"
"City Assesor                  ","Clerk II / Bilingual          ","30720.50","30720.50"
"City Assesor                  ","Commercial Appraiser          ","70693.71","70693.71"
"City Assesor                  ","Deputy Assessor               ","80438.72","80438.72"
"City Assesor                  ","Motor Vehicle Appraiser       ","44232.00","44232.00"
"City Assesor                  ","Reader of Deeds/Transferer    ","47216.26","47216.26"
"City Assesor                  ","Secretary Bd Tax Assess Review","33060.48","33060.48"
"City Assesor                  ","Sr.Reader of Deeds/Tranfer    ","52287.14","52287.14"
"City Assesor                  ","Supervisor Tangible Tax       ","53344.74","53344.74"
"City Assesor                  ","Supervsr Real Estate          ","55263.20","55263.20"
"City Clerk                    ","Clerk I                       ","27970.67","27970.67"
"City Clerk                    ","Deputy City Clerk Second      ","60665.87","60665.87"
"City Clerk                    ","Limited Clerk I               ","27973.4","27973.4"
"City Clerk                    ","Sec To Dir/City Clerk         ","44686.09","44686.09"
"City Clerk                    ","Steno Reporter-City Council   ","53338.92","53343.29"
"City Collector                ","Assistant City Collector      ","75904.73","75904.73"
"City Collector                ","Chief Teller-Collector's      ","57185.85","57185.85"
"City Collector                ","City Collector                ","96850.57","96850.57"
"City Collector                ","Clerk II                      ","29596.65","30720.32"
"City Collector                ","Clerk II / Bilingual          ","30344.49","30344.49"
"City Collector                ","Clerk IV                      ","34955.28","34955.28"
"City Collector                ","Limited Clerk II              ","29352.05","29352.23"
"City Collector                ","Tax Sale Specialist/Fiscal Off","49308.35","49308.35"
"City Collector                ","Teller                        ","41508.19","41513.10"
"City Controller               ","Accounts Payable Clerk I      ","37396.63","37396.63"
"City Controller               ","Accounts Payable Supervisor   ","67857.78","67857.78"
"City Controller               ","Accts Payable Clerk           ","41508.01","41508.01"
"City Controller               ","Asst.to Accts Payable Supv/Sec","51064.10","51064.10"
"City ControllerScool Dept     ","Asst. to Payroll Supervisor   ","55354.02","55354.02"
"City ControllerScool Dept     ","Cultural Affairs Coordinator  ","66135.88","66135.88"
"City ControllerScool Dept     ","Deputy City Controller        ","80435.81","80435.81"
"City ControllerScool Dept     ","Fiscal Officer I              ","44837.88","44837.88"
"City ControllerScool Dept     ","Fiscal Officer III            ","60329.72","60337.55"
"City ControllerScool Dept     ","Payroll Clerk II              ","38518.48","38518.48"
"City Council Administration   ","Administrative Aide/Translator","54384.69","54384.69"
"City Council Administration   ","Dir Legisl Affairs /Communicat","88608.52","88608.52"
"City Council Administration   ","Receptionist/City Council     ","39919.87","39919.87"
"City Council Administration   ","Research Analyst-City Council ","53945.34","53945.34"
"City Council Administration   ","Research Assistant            ","48802.02","48802.02"
"City Council Administration   ","Secretary To City Council     ","43079.58","43079.58"
"City Council Administration   ","Special Asst. To City Council ","51800.65","51800.65"
"City Council Administration   ","Supervisor/City Council Office","59107.23","59107.23"
"City Council Administration   ","Technology Info Specialist    ","49308.16","49308.16"
"City Sergeant                 ","City Sergeant                 ","43440.59","43440.59"
"Code Enforcement              ","Building Inspector II         ","47559.51","47559.51"
"Code Enforcement              ","Renewal Inspector I           ","34666.63","34666.63"
"Code Enforcement              ","Renewal Inspector III         ","47902.03","47905.49"
"Code Enforcement              ","Senior Dept Clerk             ","38518.11","38518.11"
"Commissioner Administration   ","Admin Assist Fiscal P Safety  ","79669.95","79669.95"
"Commissioner Administration   ","Admin Assist. Commissioner    ","56612.01","56612.01"
"Commissioner Administration   ","Chief Clerk                   ","47216.44","49307.44"
"Commissioner Administration   ","Commissioner,Public Safety    ","154500.71","154500.71"
"Commissioner Administration   ","Mgmt Info Systems/System Admin","79670.31","79670.31"
"Commissioner Administration   ","Senior Fiscal Officer         ","53871.81","53872.36"
"Communications                ","Admin. Assistant Crew Chief   ","73893.66","73893.66"
"Communications                ","Chief Radio Engineer          ","87815.10","87815.10"
"Communications                ","City Switchboard Oper.        ","40663.53","40663.53"
"Communications                ","Clerk II                      ","30717.05","30717.05"
"Communications                ","Computer Technician           ","54395.53","54395.53"
"Communications                ","Control Center Operator       ","44236.81","44239.31"
"Communications                ","Deputy Director Communications","85304.67","85304.67"
"Communications                ","Director Of Communications    ","112102.9","112102.9"
"Communications                ","Fire Department Dispatcher    ","60937.60","60937.60"
"Communications                ","Foreman  Cable Crew           ","69819.36","69819.36"
"Communications                ","Laborer                       ","37228.67","37228.67"
"Communications                ","Limited Control Center Operatr","44239.10","44239.10"
"Communications                ","Police Department Dispatcher  ","67781.79","67782.20"
"Communications                ","Radio Engineer                ","67789.27","67789.27"
"Communications                ","Radio Repair Technician       ","60935.26","60935.26"
"Communications                ","Senior Switchbd. Oper.        ","42155.93","42155.93"
"Communications                ","Telephone Technician          ","60935.68","60935.68"
"Communications                ","Terminal Agency Coordinator   ","72454.30","72454.30"
"DPW Administration            ","Acct Payable Officer          ","47569.70","47569.70"
"DPW Administration            ","Act. Dir. Of Public Works     ","106708.05","106708.05"
"DPW Administration            ","Admin Assistant               ","58065.82","58065.82"
"DPW Administration            ","Dept Switchboard Operator     ","37081.04","37081.04"
"DPW Administration            ","Env Court Liaison             ","50848.79","50848.79"
"DPW Administration            ","Fiscal Adviser                ","57097.76","57097.76"
"DPW Administration            ","Public Works Clerk            ","43945.35","43945.35"
"DPW Engineering               ","Assoc Engineer III            ","54383.96","54384.14"
"DPW Engineering               ","CAD/Draftsman/GIS Tech.       ","52465.14","52465.14"
"DPW Engineering               ","Deputy Chief Engineer-P.W     ","79671.04","79671.04"
"DPW Engineering               ","Jr. Civil Eng. in Training    ","51240.82","51240.82"
"DPW Engineering               ","Sr. Civil Engineer            ","60223.8","60223.8"
"DPW Environmental Services    ","City Recycling Co-Ordinator   ","52830.59","52830.59"
"DPW Environmental Services    ","Environmental Specialist      ","50702.47","50713.39"
"DPW Environmental Services    ","Laborer                       ","37229.91","37229.91"
"DPW Environmental Services    ","Laborer-Rodent Control        ","41455.44","41455.44"
"DPW Garage Maintenance        ","City Welder                   ","63201.00","63201.00"
"DPW Garage Maintenance        ","Equip Body Repair Sr Mech     ","63200.59","63200.59"
"DPW Garage Maintenance        ","Senior Mechanic               ","44176.28","44205.61"
"DPW Garage Maintenance        ","Shop Supervisor               ","66200.16","66200.16"
"DPW Highway                   ","Carpenter                     ","58863.58","58863.58"
"DPW Highway                   ","Cement Finisher               ","42082.14","42088.17"
"DPW Highway                   ","Deputy Superintendent (Dpw)   ","63348.06","63348.06"
"DPW Highway                   ","Dispatcher                    ","44491.19","44491.19"
"DPW Highway                   ","Equip Operator                ","40709.96","40748.44"
"DPW Highway                   ","Foreman                       ","51674.68","51674.68"
"DPW Highway                   ","Heavy Equip Operator          ","48782.44","48797.42"
"DPW Highway                   ","Highway Superintendent        ","96850.41","96850.41"
"DPW Highway                   ","Laborer                       ","37228.67","37230.54"
"DPW Highway                   ","Ltd Laborer                   ","37229.91","37229.91"
"DPW Parking Administration    ","Parking Administrator         ","83631.91","83631.91"
"DPW Parking Administration    ","Parking Meter Maint Man I     ","37373.02","37373.02"
"DPW Parking Administration    ","Parking Meter Maint Man II    ","42518.32","42518.32"
"DPW Sewer Construction        ","Cement Finisher               ","42088.80","42088.80"
"DPW Sewer Construction        ","City Welder                   ","63181.04","63181.04"
"DPW Sewer Construction        ","Heavy Equip Operator          ","48782.44","48782.44"
"DPW Sewer Construction        ","Laborer                       ","37229.91","37230.33"
"DPW Sewer Construction        ","Sewer Construction Worker     ","37697.29","37697.29"
"DPW Sewer Construction        ","Sewer Equip Operator          ","41088.32","41088.32"
"DPW Sewer Construction        ","Supt of Sewer & Construction  ","60595.80","60595.80"
"Electrical Installation       ","Chief Eletrical Insp.         ","69336.17","69336.17"
"Electrical Installation       ","Electrical Inspector I        ","41512.74","41512.74"
"Electrical Installation       ","Electrical Inspector II       ","44999.5","44999.5"
"Electrical Installation       ","Electrical Inspector III      ","55255.19","55255.19"
"Emergency Management          ","Admin. Asst.EMA               ","43019.52","43019.52"
"Emergency Management          ","Deputy Dir-Prov Emergency Mgmt","72281.11","72281.11"
"Emergency Management          ","Director Emergency Management ","117750.17","117750.17"
"Emergency Management          ","Preparedness Coord.EMA        ","38762.90","38762.90"
"Emergency Management          ","Recovery Coordinator EMA      ","37257.22","37257.22"
"Finance Administration        ","Acting Dir.Admin./Finance Dir.","154499.98","154499.98"
"Finance Administration        ","Admin Assist. Finance Dir.    ","59107.77","59107.77"
"Finance Administration        ","Budget Analyst                ","83659.75","83659.75"
"Finance Administration        ","Dep.Finance Dir/Budget Officer","94760.12","94760.12"
"Finance Administration        ","Jr. Budge Analyst             ","40379.06","40379.06"
"Fire                          ","Air Supply Technician         ","73926.94","73926.94"
"Fire                          ","Asst Chief Of Operations      ","105377.37","105377.37"
"Fire                          ","Asst To Shop Supervisor       ","57651.15","57651.15"
"Fire                          ","Chief of Operations/Fire Dept ","127307.44","127307.44"
"Fire                          ","Clerk III                     ","31305.82","31717.32"
"Fire                          ","Clerk IV                      ","35583.73","35583.73"
"Fire                          ","Coord. of Public Safety       ","49308.16","49308.16"
"Fire                          ","Deputy Ass'T Fire Chief       ","96320.01","96320.01"
"Fire                          ","Dispatcher Lieutenant         ","63040.63","66940.63"
"Fire                          ","Fire Battalion Chief          ","86300.24","88900.24"
"Fire                          ","Fire Captain                  ","68726.94","80811.74"
"Fire                          ","Fire Chief                    ","148410.49","148410.49"
"Fire                          ","Fire Equipment Man            ","47000.51","47000.51"
"Fire                          ","Fire Lieutenant               ","65640.63","65640.63"
"Fire                          ","Fire Marshall                 ","101811.00","101811.00"
"Fire                          ","Fire Prevention Captain       ","82111.74","82111.74"
"Fire                          ","Fire Rescue Captain           ","72626.94","72626.94"
"Fire                          ","Fire Rescue Lieutenant        ","68240.63","68240.63"
"Fire                          ","Fire Rescue Technician        ","64028.01","64028.01"
"Fire                          ","Firefighter                   ","41600","62489.23"
"Fire                          ","Firefighter Car 56            ","64998.12","67598.12"
