"hydrant_id","address_key","municipality","location_description","street_name","suffix","city","plan_sheet","location"
"PS0091","72168","PR","W SIDE; 55' S OF S CURB LINE OF ORMS ST","CHARLES","ST","PROVIDENCE","T-46","(41.83466121808, -71.411529044)"
"P1427","72751","PR","N SIDE; 143.5' W OF KNOWLES ST AT HOUSE #68","DUNCAN","AV","PROVIDENCE","T47","(41.84151498713, -71.4054365953)"
"P0544","72168","PR","NW CORNER OF CONANICUT ST",,,,,
"P0602","95973","PR","N SIDE; 372' E OF E LINE OF BROAD ST AT HOUSE #85","ALDRICH","ST","PROVIDENCE","T38","(41.79432075002, -71.4077616084)"
"P0149","73414","PR","N SIDE; 339' W OF W LINE OF CHARLES ST","HAGAN","ST","PROVIDENCE","S50","(41.85698086624, -71.4224632986)"
"P0238","72458","PR","W SIDE; 52' S OF S LINE OF VICTOR EMANUEL AVE","LANGDON","ST","PROVIDENCE","R51","(41.86054885855, -71.4258861467)"
"P0962","13295","PR","W SIDE; 11.5' S OF S LINE OF HAWTHORNE ST","ELMWOOD","AV","PROVIDENCE","R39","(41.80068069949, -71.4266462991)"
"P1148","72828","PR","NE CORNER OF BISMARK ST","JOB","ST","PROVIDENCE","S50","(41.85579223963, -71.4157709224)"
"P3225","67148","PR","E SIDE OF HOPE ST; 14' N OF N LINE OF CUSHING ST","HOPE","ST","PROVIDENCE","U45","(41.83031832498, -71.39871962)"
"P1332","73054","PR","NE CORNER OF FEDERAL ST","DEPASQUALE","AV","PROVIDENCE","R43","(41.82259217137, -71.4262250334)"
"P2925","73397","PR","E SIDE; 27' N OF N LINE OF SALTER ST","MERIDIAN","ST","PROVIDENCE","P48","(41.84509733681, -71.4461083853)"
"P2314","73093","PR","N SIDE; 690' E OF CRANSTON ST","HANOVER","ST","PROVIDENCE","R41","(41.80884774904, -71.4310759762)"
"P3058","75604","PR","E SIDE; BETWEEN HOUSE #4 & #6 AND 89' FROM PROP LINE OF LINDA CT","LINDA","CT","PROVIDENCE","S50","(41.85597890676, -71.4172880952)"
"P0794","72143","PR","NE CORNER OF PEARL ST","HAYWARD","ST","PROVIDENCE","S42","(41.81429307768, -71.4199047074)"
"P0546","72168","PR","SW SIDE; 95' S OF ASHBURTON ST","CHARLES","ST","PROVIDENCE","S47","(41.8388628425, -71.4155884668)"
"P0431","8441","PR","NE CORNER OF DOANE ST","ELMGROVE","AV","PROVIDENCE","V46","(41.83650941275, -71.3915303557)"
"P2059","74793","PR","E SIDE; ON N LINE OF FARM ST","HOME","AV","PROVIDENCE","P46","(41.83733047145, -71.4455724574)"
"P2819","53291","PR","S SIDE; 165' E OF COMMODORE ST","BRANCH","AV","PROVIDENCE","S49","(41.84920837333, -71.4177419122)"
"PS0128","72890","PR","NE CORNER OF ACORN ST","HARRIS","AV","PROVIDENCE","X1","(41.82641956019, -71.4275992221)"
"P2814","72733","PR","NW CORNER OF PARKSIDE RD","ANGELL","ST","PROVIDENCE","W45","(41.831718766, -71.3802527602)"
"P0354","51551","PR","(BACK OF OLD BOARD TRADE BLDG) 29' N OF N COLLEGE ST","MARKET","SQ","PROVIDENCE","T44","(41.8257688208, -71.408039832)"
"P1473","73465","PR","E SIDE; 110' N OF N LINE OF PREVIOUS POND ST","FRICKER","ST","PROVIDENCE","S42","(41.81684544076, -71.4218910287)"
"PS0147","97809","PR","E SIDE; 42' S OF S LINE OF WEST EXCHANGE ST","FOX","PL","PROVIDENCE","X1","(41.82504272893, -71.4201981415)"
"P0472","72712","PR","SW CORNER OF ELMWOOD AVE","CROMWELL","ST","PROVIDENCE","R41","(41.80875363399, -71.4247925776)"
"P1485","74306","PR","N SIDE; 38' E OF RANGE OF E LINE OF IMERA AVE","ALMIRA","AV","PROVIDENCE","O45","(41.83025174191, -71.4560885437)"
"P1270","72177","PR","NE CORNER OF PROMENADE ST","HOLDEN","ST","PROVIDENCE","S45","(41.82861307078, -71.4199117809)"
"P2053","73315","PR","E SIDE; 244' N OF N LINE OF CHALKSTONE AVE","KIMBALL","ST","PROVIDENCE","P45","(41.83363077172, -71.4480539357)"
"P2773","74315","PR","E SIDE; 101' S OF S LINE OF ALMIRA AVE","LUCY","ST","PROVIDENCE","O45","(41.830010244632, -71.4539061308)"
"P2975","72882","PR","E SIDE; 81' S OF S CURB LINE OF BELLVUE AVE","BUCKLIN","ST","PROVIDENCE","R40","(41.80699627395, -71.4277895232)"
"P0019","73472","PR","N SIDE; 30' E OF ENFIELD AVE","ISABELLA","AV","PROVIDENCE","P49","(41.84968577191, -71.4480628975)"
"P2629","72579","PR","N SIDE; 210' W OF BROAD ST","FARRAGUT","AV","PROVIDENCE","U37","(41.78717321582, -71.4037317325)"
"P1783","8419","PR","N SIDE; ON E LINE OF THAYER ST (AT NE CORNER)","BOWEN","ST","PROVIDENCE","U45","(41.83087982097, -71.400903452)"
"P0348","72180","PR","S SIDE; 217' W OF THAYER ST AT HOUSE #135","LLOYD","AV","PROVIDENCE","U45","(41.83142012846, -71.4019524321)"
