"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","actual_amount","fund","fund_type","expense_type"
"2017","Mayoral Offices","Mayor's Office (101-101)","G&A SERVICES (52100)","DUES & SUBSCRIPTIONS (52185)","6744","6744","0","General (101)","Tax Supported","Services"
"2017","Public Safety","Fire (101-303)","OTHER SUPPLY (54700)","HOUSEKEEPING SUPPLIES (54740)","25000","25000","0","General (101)","Tax Supported","Supplies"
"2017","Parks","Superintendent of Parks (101-709)","PERSONNEL SALARIES (50000)","SALARIES (50010)","572421","572421","0","General (101)","Tax Supported","Salaries"
"2017","Mayoral Offices","Mayor's Office (101-101)","G&A SERVICES (52100)","ADVERTISING/MARKETING (52175)","9000","9000","0","General (101)","Tax Supported","Services"
"2017","City Council","City Council Members (101-102)","OFFICE SUPPLIES (54000)","STATIONERY (54020)","7000","7000","0","General (101)","Tax Supported","Supplies"
"2017","Prov. Public Schools","Pass-through Exp‚ to PPSD (101-000)","TRANSFERS TO (59000)","TRANSFER TO SCHOOL CO. 10 (59010)","238956331","238956331","0","General (101)","Tax Supported","Employee Benefits"
"2017","Department of Public Works","Traffic Engineering (101-305)","PERSONNEL SALARIES (50000)","OVERTIME (50060)","50000","50000","0","General (101)","Tax Supported","Salaries"
"2017","Parks","Superintendent of Parks (101-709)","PERSONNEL SALARIES (50000)","LONGEVITY (50350)","14849","14849","0","General (101)","Tax Supported","Salaries"
"2017","City Courts","Probate Court (101-107)","G&A SERVICES (52100)","POSTAGE (52170)","600","600","0","General (101)","Tax Supported","Services"
"2017","Law Department / City Solicitor","Law Department (101-105)","RENT (53000)","RENTAL OF LAND AND BUILDINGS (53000)","195012","195012","0","General (101)","Tax Supported","Services"
"2017","Public Property & Purchasing","Public Property (101-1801)","RENT EQUIPMENT/OTHER (53010)","RENTAL OF EQUIPMENT (53010)","9180","9180","0","General (101)","Tax Supported","Services"
"2017","City Council","City Council Administration (101-910)","OTHER SUPPLY (54700)","MISCELLANEOUS MATERIALS AND SUPPLIES (54830)","20000","20000","0","General (101)","Tax Supported","Supplies"
"2017","Parks","Neighborhood Park Services (101-702)","OTHER SUPPLY (54700)","HOUSEKEEPING SUPPLIES (54740)","5000","5000","0","General (101)","Tax Supported","Supplies"
"2017","Recreation","Recreation (101-601)","OTHER SUPPLY (54700)","HOUSEKEEPING SUPPLIES (54740)","15000","15000","0","General (101)","Tax Supported","Supplies"
"2017","Department of Inspections & Standards","Plumbing Drainage & Gas Piping (101-403)","PERSONNEL SALARIES (50000)","LONGEVITY (50350)","9067","9067","0","General (101)","Tax Supported","Salaries"
"2017","Department of Public Works","Traffic Engineering (101-305)","PERSONNEL SALARIES (50000)","LONGEVITY (50350)","14522","14522","0","General (101)","Tax Supported","Salaries"
"2017","Mayoral Offices","City Sergeant (101-104)","PERSONNEL SALARIES (50000)","SALARIES (50010)","44309","44309","0","General (101)","Tax Supported","Salaries"
"2017","Parks","Roger Williams Park Services (101-708)","PERSONNEL SALARIES (50000)","SALARIES (50010)","769856","769856","0","General (101)","Tax Supported","Salaries"
"2017","Public Safety","Police (101-302)","PERSONNEL SALARIES (50000)","WITNESS FEE (50370)","450000","450000","0","General (101)","Tax Supported","Salaries"
"2017","City Courts","Probate Court (101-107)","G&A SERVICES (52100)","DUES & SUBSCRIPTIONS (52185)","340","340","0","General (101)","Tax Supported","Services"
"2017","Finance Departments","Finance (101-201)","G&A SERVICES (52100)","PRINTING (52210)","3000","3000","0","General (101)","Tax Supported","Services"
"2017","Law Department / City Solicitor","Law Department (101-105)","R&M EQUIPMENT (52900)","REPAIRS TO OFFICE EQUIPMENT (52900)","1200","1200","0","General (101)","Tax Supported","Services"
"2017","Parks","Zoological Services (101-706)","G&A SERVICES (52100)","DUES & SUBSCRIPTIONS (52185)","171120","171120","0","General (101)","Tax Supported","Services"
"2017","Public Safety","Fire (101-303)","R&M OTHER (52910)","REPAIRS TO AUTOS & TRUCKS (52912)","26400","26400","0","General (101)","Tax Supported","Services"
"2017","Public Safety","Fire (101-303)","RECRUITMENT COSTS (52600)","PERSONNEL RECRUITMENT (52600)","90000","90000","0","General (101)","Tax Supported","Services"
"2017","City Council","City Council Administration (101-910)","OFFICE SUPPLIES (54000)","STATIONERY (54020)","300","300","0","General (101)","Tax Supported","Supplies"
"2017","Finance Departments","City Collector (101-205)","OFFICE SUPPLIES (54000)","STATIONERY (54020)","6000","6000","0","General (101)","Tax Supported","Supplies"
