"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","actual_amount","fund","fund_type","expense_type"
"2012","City Council","City Clerk (101-103)","DEPARTMENTAL REVENUE (43000)","AUCTIONEERS RETURN (43040)","0","0","9561.59","General (101)","Tax Supported","REVENUE"
"2012","City Council","City Clerk (101-103)","DEPARTMENTAL REVENUE (43000)","CERTIFIED COPIES (43002)","0","0","380","General (101)","Tax Supported","REVENUE"
"2012","City Council","City Clerk (101-103)","DEPARTMENTAL REVENUE (43000)","DRAFT COPIES (43046)","0","0","480.6","General (101)","Tax Supported","REVENUE"
"2012","City Council","City Clerk (101-103)","DEPARTMENTAL REVENUE (43000)","FISHING LICENSES (43049)","0","0","2","General (101)","Tax Supported","REVENUE"
"2012","City Council","City Clerk (101-103)","DEPARTMENTAL REVENUE (43000)","NOTARY FEES (43044)","0","0","444","General (101)","Tax Supported","REVENUE"
"2012","City Council","City Clerk (101-103)","DEPARTMENTAL REVENUE (43000)","REGISTRATIONS - DBAS (43042)","0","0","3480","General (101)","Tax Supported","REVENUE"
"2012","City Council","City Clerk (101-103)","DEPARTMENTAL REVENUE (43000)","TROUT LICENSES (43050)","0","0","3","General (101)","Tax Supported","REVENUE"
"2012","City Council","City Clerk (101-103)","DEPARTMENTAL REVENUE (43000)","ZONING BOOKS AND MAPS (43043)","0","0","75","General (101)","Tax Supported","REVENUE"
"2012","City Council","City Clerk (101-103)","DEPARTMENTAL REVENUE (43000)","ZONING CHANGES (43054)","0","0","750","General (101)","Tax Supported","REVENUE"
"2012","City Council","City Clerk (101-103)","MISCELLANEOUS RECEIPTS (48000)","MISCELLANEOUS REVENUE (48001)","14500","14500","5","General (101)","Tax Supported","REVENUE"
"2012","City Council","Treasury (101-209)","DEPARTMENTAL REVENUE (43000)","MISCELLANEOUS FEES (43001)","0","0","43.9","General (101)","Tax Supported","REVENUE"
"2012","City Council","Treasury (101-209)","MISCELLANEOUS RECEIPTS (48000)","MISCELLANEOUS REVENUE (48001)","0","0","161.31","General (101)","Tax Supported","REVENUE"
"2012","City Courts","Housing Court (101-110)","DEPARTMENTAL REVENUE (43000)","COURT COSTS (43070)","22000","22000","20283.5","General (101)","Tax Supported","REVENUE"
"2012","City Courts","Housing Court (101-110)","FINES & FORFEITURES (44000)","FINES & FORFEITS (44000)","0","0","20055","General (101)","Tax Supported","REVENUE"
"2012","City Courts","Probate Court (101-107)","DEPARTMENTAL REVENUE (43000)","ADDITIONAL PERCENTAGE (43068)","0","0","90910.53","General (101)","Tax Supported","REVENUE"
"2012","City Courts","Probate Court (101-107)","DEPARTMENTAL REVENUE (43000)","ADVERTISING REVENUE (43061)","0","0","24750","General (101)","Tax Supported","REVENUE"
"2012","City Courts","Probate Court (101-107)","DEPARTMENTAL REVENUE (43000)","AFFIDAVIT OF COMPLETED ADMIN. (43069)","0","0","4530","General (101)","Tax Supported","REVENUE"
