"project_id","project_name","project_description","current_phase","current_phase_type","project_details_url","regions","address","latitude","longitude","location"
"3931","(gr1701) License Plate Reader System","License Plate Reader System","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3714","(utilty) Utility","Utility","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3028","(f08015) Brandon Meadows KC Street/Storm Imp","Brandon Meadows KC Street/Storm Imp","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2811","(f06036) Centioli Plaza","Centioli Plaza","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3935","(pd1720) Criminal Justice Training Cntr Agreement","Criminal Justice Training Cntr Agreement","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3207","(kkppc) King County Plat Closures","King County Plat Closures","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3107","(ms0902) Siding at 612 - 9th Street Project","Siding at 612 - 9th Street Project","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3143","(ms0905) Greenhouse Gas Inventory","Greenhouse Gas Inventory","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3677","(f15009) Dick Scobee Elementary School Water Main","Dick Scobee Elementary School Water Main","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2574","(f05021) Super Wal-Mart","Super Wal-Mart","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2625","(mo0430) M&O - Water Division","M&O - Water Division","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2414","(spcpmt) Special Permits","Special Permits","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2946","(f07020) Alecia Glen","Alecia Glen","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3321","(f12001) HCSA Laundry Facility","HCSA Laundry Facility","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2553","(f04011) North Tapps Estates","North Tapps Estates","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2490","(pmgsap) M&O - GSA Park","M&O - GSA Park","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2724","(f06013) Kersey III-Evrgrn, 53 & Kersey Front Imp","Kersey III-Evrgrn, 53 & Kersey Front Imp","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3540","(gpbd01) Auburndale Park","Auburndale Park","Pending","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3403","(f13002) Kondratyev Short Plat","Kondratyev Short Plat","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3555","(f14005) Wesley Homes Building & Parking Addition","Wesley Homes Building & Parking Addition","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2512","(pmmoxx) M&O - Gen'l Parks & Rec","M&O - Gen'l Parks & Rec","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2427","(pmallx) M&O - All Parks","M&O - All Parks","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2840","(f07001) Auburn Veterinary Hospital","Auburn Veterinary Hospital","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3592","(f14018) Yasin Residence","Yasin Residence","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2602","(franch) Franchise Agreements","Franchise Agreements","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3178","(f10002) VRFA Fire Station #34","VRFA Fire Station #34","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3151","(f09014) Omega","Omega","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2513","(prisec) Private Security Billing","Private Security Billing","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2895","(f07010) Brandon Place","Brandon Place","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2415","(rwupmt) ROW Use Permits","ROW Use Permits","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3751","(f16002) JK Monarch 102nd & 104th Ave SE","JK Monarch 102nd & 104th Ave SE","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3370","(ms1202) Community Services Event","Community Services Event","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3734","(f15020) Advance Auto Parts","Advance Auto Parts","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3188","(fuel10) Equipment Rental Fuel","Equipment Rental Fuel","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2908","(scwell) Senior Center -Wellness Committee","Senior Center -Wellness Committee","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3638","(sdbd08) Howard Road Improvement","Howard Road Improvement","Pending","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2431","(pmbcnt) M&O - Centennial Park","M&O - Centennial Park","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2429","(pmaubb) M&O - Auburndale Park 2","M&O - Auburndale Park 2","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3002","(f08009) Omega-Baja Office & Warehouse","Omega-Baja Office & Warehouse","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3749","(ms1601) West Main Waterline Repair","West Main Waterline Repair","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2472","(pmdyks) M&O - Dykstra Park","M&O - Dykstra Park","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"4263","(cp1933) AWS & SR18 Bridge Lighting","AWS & SR18 Bridge Lighting","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3111","(f09007) Emerald Square","Emerald Square","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3704","(f15013) Wyncrest III","Wyncrest III","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2857","(f07006) Dhaliwal Subdivision","Dhaliwal Subdivision","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2437","(pasupr) Parks - Building Supervisors","Parks - Building Supervisors","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3937","(x17025) EXC17-0025 Zayo Group","EXC17-0025 Zayo Group","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3576","(ms1406) White River Amphitheater Events","White River Amphitheater Events","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3265","(ms1101) Wheelbarrow Grant","Wheelbarrow Grant","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3449","(f13009) MIT Allotment M-7 East","MIT Allotment M-7 East","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2809","(f06034) Lawson Place","Lawson Place","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"3672","(f15006) DDA Auto Storage Yards","DDA Auto Storage Yards","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2471","(pmclrk) M&O - Clark Property","M&O - Clark Property","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2907","(scdona) Senior Center-Donations","Senior Center-Donations","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
"2805","(f06032) Auburn 40 PUD - 'I' St. NE Street Improv","Auburn 40 PUD - 'I' St. NE Street Improv","Active","default","http://www.auburnwa.gov/doing_business/public_works/capital_prjects.htm",,,,,
