"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type"
"2015","CEMETERY OPERATIONS","PARKS","CEMETERY","SALARIES & WAGES","46740","46740","CEMETERY","NON-TAX SUPPORTED FUNDS","OTHER WAGES","PERSONNEL COSTS"
"2014","PARKS ADMINISTRATION","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","17040.07","17040.07","GENERAL","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2014","RECREATION SERVICE ADMIN","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","1800","1800","GENERAL","TAX SUPPORTED FUNDS","OTHER FRINGE BENEFITS","PERSONNEL COSTS"
"2010","RECREATION SERVICE ADMIN","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","9700","9700","GENERAL","TAX SUPPORTED FUNDS","MISCELLANEOUS","OPERATING EXPENSES"
"2014","CIVIL SERVICE COMMISSION","NON DEPARTMENTAL","GENERAL GOVERNMENTAL","SALARIES & WAGES","616.42","616.42","GENERAL","TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2013","SENIOR CITIZEN SERVICES","PARKS","CULTURE AND RECREATION","INTERFUND PAYMENTS FOR SERVICES","49500","49500","GENERAL","TAX SUPPORTED FUNDS","INTERFUND PRINTING SERVICES","OPERATING EXPENSES"
"2012","BUILDING/PERMITS & INSPECTIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","SECURITY OF PERSONS AND PROPERTY","INTERFUND PAYMENTS FOR SERVICES","16200","16200","GENERAL","TAX SUPPORTED FUNDS","INTERFUND PRINTING SERVICES","OPERATING EXPENSES"
"2016","OPERATIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","SEWER","OTHER SERVICES & CHARGES","60000","60000","SEWER","NON-TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2011","OPERATIONS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","WATER","OTHER SERVICES & CHARGES","1000","1000","WATER","NON-TAX SUPPORTED FUNDS","OPERATING RENTALS & LEASES","OPERATING EXPENSES"
"2014","CULTURAL ARTS","PARKS","CULTURE AND RECREATION","SUPPLIES","2500","2500","GENERAL","TAX SUPPORTED FUNDS","OFFICE & OPERATING SUPPLIES","OPERATING EXPENSES"
