"loanrange","businessname","address","city","state","zip","naicscode","businesstype","raceethnicity","gender","veteran","nonprofit","jobsreported","dateapproved","lender","cd","location"
"d $350,000-1 million","MOLEN & MOLEN ORTHODONTICS PLLC","1110 HARVEY RD","AUBURN","WA","98002","621210","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"49","2020-04-30T00:00:00.000","First-Citizens Bank & Trust Company","WA-08","POINT (-122.217196 47.317754)"
"e $150,000-350,000","CHANNEL POINT VILLAGE, INC","2020 A ST SE, STE 101","AUBURN","WA","98002","623312","Corporation","Unanswered","Unanswered","Non-Veteran",,,"2020-04-28T00:00:00.000","Columbia State Bank","WA-08","POINT (-122.228938 47.290208)"
"d $350,000-1 million","TERRA DYNAMICS, INC","34721 W VALLEY HWY S","AUBURN","WA","98001","237310","Corporation","Unanswered","Unanswered","Unanswered",,"34","2020-04-13T00:00:00.000","Northwest Bank","WA-09","POINT (-122.259182 47.291006)"
"a $5-10 million","AUBURN MECHANICAL, INC.","2623 WEST VALLEY HWY N","AUBURN","WA","98001","238220","Corporation","White","Male Owned","Non-Veteran",,"0","2020-04-07T00:00:00.000","Heritage Bank","WA-09","POINT (-122.249821 47.331311)"
"d $350,000-1 million","QUALITY FLOORS LLC","4108 B PL NW STE C","AUBURN","WA","98001","442210","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"42","2020-05-03T00:00:00.000","Bank of America, National Association","WA-09","POINT (-122.231348 47.343395)"
"e $150,000-350,000","MARVEL FOOD AND DELI, INC.","615 C","Auburn","WA","98001","722513","Subchapter S Corporation","Unanswered","Male Owned","Unanswered",,"49","2020-04-28T00:00:00.000","Columbia State Bank","WA-09","POINT (-121.999289 47.196104)"
"e $150,000-350,000","ALLSTAR MECHANICAL USA LLC","1508 O ST SW STE 110","AUBURN","WA","98001","238210","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"26","2020-04-27T00:00:00.000","HSBC Bank USA, National Association","WA-09","POINT (-122.249936 47.294234)"
"e $150,000-350,000","VALLEY PROPERTY SERVICES LLC","3420 C ST NE","Auburn","WA","98002","812990","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,,"2020-05-04T00:00:00.000","Celtic Bank Corporation","WA-08","POINT (-122.226569 47.338013)"
"b $2-5 million","EMERALD AIRE INC","5108 D ST NW","AUBURN","WA","98001","238220","Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-27T00:00:00.000","Columbia State Bank","WA-09","POINT (-122.235297 47.353159)"
"e $150,000-350,000","ASPHALT EQUIPMENT & SERVICE COMPANY","1531 20th Street NW","Auburn","WA","98001","339999","Corporation","Unanswered","Unanswered","Unanswered",,"22","2020-05-06T00:00:00.000","WebBank","WA-09","POINT (-122.253175 47.326128)"
