"age","sex","race","date","law","crime_longid","code_description","city","state","neighborhood_association","neighborhoodxy","partrol_zone","patrolzonexy"
"28","Male","White","2019-04-22T00:00:00.000","GCO","GCO 255.02 I  0I0","LOITERING-OBSTRUCTS PEDESTRIAN/VEH TRAFFIC","Albany","NY",,,"103","POINT (-73.776430210341 42.67645508624719)"
"41","Male","White","2021-06-14T00:00:00.000","PL","PL 140.15-1","CRIMINAL TRESPASS 2ND","Albany","NY","Pine Hills","POINT (-73.7866126905 42.6626959378)","109","POINT (-73.785056205674 42.6554400052318)"
"52","Male","White","2018-03-22T00:00:00.000","GCO","GCO 255.07     0V0","PUBLIC URINATION/DEFICATION","Albany","NY","Historic Pastures Homeowners Association","POINT (-73.7541064432 42.6439157339)","202","POINT (-73.757813044036 42.6445859531936)"
"46","Male","Black","2021-03-20T00:00:00.000","GCO","GCO 105.24A 0V0","POSS ALCOHOLIC BEVERAGE IN OPEN CONTAINER","Albany","NY","Park South","POINT (-73.7732191679 42.6541973756)","102","POINT (-73.775051594881 42.65231794349452)"
"45","Male","Black","2021-01-08T00:00:00.000","GCO","GCO 105.24A 0V0","POSS ALCOHOLIC BEVERAGE IN OPEN CONTAINER","Albany","NY","Washington Park","POINT (-73.7708846487 42.6572365515)","102","POINT (-73.775051594881 42.65231794349452)"
"48","Male","Hispanic","2016-04-03T00:00:00.000","PL","PL 155.25         AM0","PETIT LARCENY","Albany","NY","Pine Bush","POINT (-73.8632178578 42.7057702039)","110","POINT (-73.848687575844 42.69682730273773)"
"26","Female","Black","2018-03-01T00:00:00.000","PL","PL 140.05         0V0","TRESPASS","Albany","NY","Center Square","POINT (-73.7632947405 42.6541097581)","204","POINT (-73.764880997752 42.65062699641539)"
"51","Male","Black","2019-01-07T00:00:00.000","PL","PL 155.25         AM0","PETIT LARCENY","Albany","NY","Upper Washington Avenue","POINT (-73.7985897295 42.6817391392)","101","POINT (-73.779431578042 42.666832835593134)"
"46","Male","White","2018-04-13T00:00:00.000","PL","PL 140.05         0V0","TRESPASS","Albany","NY","Pine Bush","POINT (-73.8632178578 42.7057702039)","110","POINT (-73.848687575844 42.69682730273773)"
"29","Male","White","2020-06-24T00:00:00.000","PL","PL 220.03         AM7","CRIM POSS CONTRL SUBST 7TH","Albany","NY",,,"101","POINT (-73.779431578042 42.666832835593134)"
"59","Male","White","2017-08-01T00:00:00.000","PL","PL 220.03         AM7","CRIM POSS CONTRL SUBST 7TH","Albany","NY",,,"204","POINT (-73.764880997752 42.65062699641539)"
