"citation","incident","date","time","age","sex","code","code_description","day","violation_category","priority","last_30_days","neighborhood_association","neighborhood_xy"
"APD*0172DR2T08","21147479","2021-10-30T00:00:00.000","09:45pm","32","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","SATURDAY","All Other","5","false","Park South","POINT (-73.7732191679 42.6541973756)"
"APD*CS09DQX8CJ","21147111","2021-10-30T00:00:00.000","01:59am","19","M","11110D10I0","TRAFFIC DEVICE VIOL - PASSED RED LIGHT","SATURDAY","REDLIGHT","1","false","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"APD*0302DWRVXN","21169400","2021-12-14T00:00:00.000","02:14pm","31","F","118000C0I0","SPEED VIOL-SCHOOL ZONE","TUESDAY","SPEEDING","2","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0307F0V993","22005354","2022-01-12T00:00:00.000","11:08am","27","M","112400000I","FAIL PASSNG MV TO RETURN RIGHT","WEDNESDAY","All Other","5","false",,
"APD*0307DVCP6V","21162950","2021-12-01T00:00:00.000","09:34am","46","M","040200400I","OPER MV WITH IMPROPER PLATES","WEDNESDAY","All Other","5","false","Sheridan Hollow","POINT (-73.7574072754 42.6566895795)"
"APD*0109FJ39K8","22076333","2022-06-04T00:00:00.000","05:44am","33","M","060001A0I0","OPER LEAVES SCENE OF PROPERTY DAMAGE ACC","SATURDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0203FCNQDV","22054410","2022-04-23T00:00:00.000","08:36pm","24","M","112800A0I0","FAILURE TO STAY IN SINGLE LANE","SATURDAY","All Other","5","false","Delaware Area","POINT (-73.7808874143 42.639906085)"
"APD*0301DLWRSR","21126533","2021-09-22T00:00:00.000","10:27am","43","F","120100A0I0","STOP/STAND/PARK VIOL HIGHWAY","WEDNESDAY","All Other","5","false",,
"APD*0307DVCWGZ","21163002","2021-12-01T00:00:00.000","11:18am","24","M","118000D0I0","SPEED VIOL  POSTED LIMIT","WEDNESDAY","SPEEDING","2","false",,
"APD*0109FJ3956","22076333","2022-06-04T00:00:00.000","05:44am","33","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","SATURDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0208FJ2LTD","22076284","2022-06-04T00:00:00.000","01:30am","24","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","SATURDAY","All Other","5","false","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*SS10F7375D",,"2022-03-11T00:00:00.000","05:25pm","36","M","118000A0I0","SPEED VIOL-IMPRUDENT SPEED","FRIDAY","SPEEDING","2","false",,
"APD*0209FJ4B2C","22076520","2022-06-04T00:00:00.000","02:31pm","22","M","117200A0I0","FAIL TO STOP-STOP SIGN","SATURDAY","STOPSIGN","3","false",,
"APD*0108F0PF8K","22004673","2022-01-10T00:00:00.000","10:17pm","30","M","121000A0I0","LEAVE MOTOR VEHICLE UNATTENDED","MONDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0203FCNPP2","22054410","2022-04-23T00:00:00.000","08:21pm","24","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","SATURDAY","All Other","5","false","Delaware Area","POINT (-73.7808874143 42.639906085)"
"APD*0301FMQKT6","22095077","2022-07-08T00:00:00.000","10:24am","24","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","FRIDAY","All Other","5","false",,
"APD*0307FN5GHP","22097153","2022-07-12T00:00:00.000","10:14am","31","M",,,"TUESDAY","All Other","5","false",,
"APD*0999DR13WS","21147492","2021-10-30T00:00:00.000","10:13pm","65","M","114300000I","RT OF WAY VIOL/MV ENTERING RD","SATURDAY","All Other","5","false","Park South","POINT (-73.7732191679 42.6541973756)"
"APD*0301FMQZ31","22095179","2022-07-08T00:00:00.000","01:16pm","43","F","112800C0I0","SLOW TRAFFIC-FAIL KEEP RIGHT","FRIDAY","All Other","5","false",,
"APD*0999FQKDDV","22109553","2022-08-03T00:00:00.000","10:27pm","31","M","037502700I","NO WARNING FLAG ON EXTEND LOAD","WEDNESDAY","All Other","5","true",,
"APD*0301FMQKMP","22095077","2022-07-08T00:00:00.000","10:24am","24","M","118000D0I0","SPEED VIOL  POSTED LIMIT","FRIDAY","SPEEDING","2","false",,
"APD*0172F7VDSS","22036983","2022-03-19T00:00:00.000","03:12am","54","M","11110D10I0","TRAFFIC DEVICE VIOL - PASSED RED LIGHT","SATURDAY","REDLIGHT","1","false","Washington Park","POINT (-73.7708846487 42.6572365515)"
"APD*BE9474883",,"2022-03-19T00:00:00.000","03:21am","29","F","116300B0I0","ILL SIGNAL:LESS THAN 100 FEET","SATURDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0999FL5CTC","22086796","2022-06-23T00:00:00.000","04:16pm","44","M","112000A0I0","FAIL TO KEEP RIGHT-2 LANE ROAD","THURSDAY","All Other","5","false",,
"APD*0999FL5CNZ","22086796","2022-06-23T00:00:00.000","04:16pm","44","M","112800A0I0","FAILURE TO STAY IN SINGLE LANE","THURSDAY","All Other","5","false",,
"APD*0302FL5306","22086729","2022-06-23T00:00:00.000","02:09pm","57","M","037502200I","OPERATE MV WITH BROKEN GLASS","THURSDAY","All Other","5","false",,
"APD*0172DR2S3N","21147479","2021-10-30T00:00:00.000","09:45pm","32","M","117200A0I0","FAIL TO STOP-STOP SIGN","SATURDAY","STOPSIGN","3","false","Park South","POINT (-73.7732191679 42.6541973756)"
"APD*0307DVCPW2","21162950","2021-12-01T00:00:00.000","09:34am","46","M","031901U0I0","OPERATING MOTOR VEHICLE WITHOUT INSURANCE","WEDNESDAY","All Other","5","false","Sheridan Hollow","POINT (-73.7574072754 42.6566895795)"
"APD*0999FL5CB5","22086796","2022-06-23T00:00:00.000","04:16pm","44","M","116300D0I0","ILL SIGNAL:PARKED","THURSDAY","All Other","5","false",,
"APD*SS10F73795",,"2022-03-11T00:00:00.000","05:25pm","36","M","051101AUM3","AGGRAVATED UNLICENSED OPERATION OF A MOTOR VEHICLE-3RD","FRIDAY","All Other","5","false",,
"APD*0306FBBKZM","22048023","2022-04-11T00:00:00.000","07:29am","68","M","1225D010I0","FAIL TO SHOW CONVICTION RECORD","MONDAY","All Other","5","false",,
"APD*0302FBCGXK","22048282","2022-04-11T00:00:00.000","02:14pm","19","M","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","MONDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0303FS03XP","22116877","2022-08-17T00:00:00.000","06:59am","23","F","118000D0I0","SPEED VIOL  POSTED LIMIT","WEDNESDAY","SPEEDING","2","true",,
"APD*0302FL54ZD","22086750","2022-06-23T00:00:00.000","02:44pm","33","M","117200A0I0","FAIL TO STOP-STOP SIGN","THURSDAY","STOPSIGN","3","false","Eagle Hill","POINT (-73.8202291732 42.6704089123)"
"APD*0302FL4XGX","22086695","2022-06-23T00:00:00.000","01:07pm","37","F","030600B00I","OPER MV W/O INSPECT CERTIFICAT","THURSDAY","All Other","5","false",,
"APD*0307DVD6SP","21163059","2021-12-01T00:00:00.000","01:34pm","26","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","WEDNESDAY","All Other","5","false","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*0307F0MRPV","22004346","2022-01-10T00:00:00.000","10:25am","68","F","118000D0I0","SPEED VIOL  POSTED LIMIT","MONDAY","SPEEDING","2","false",,
"APD*TS03DVCFPM","21162908","2021-12-01T00:00:00.000","07:55am","26","F","03750400I0","OPER M/V W/O STOP LIGHTS","WEDNESDAY","All Other","5","false","Upper Washington Avenue","POINT (-73.7985897295 42.6817391392)"
"APD*0307DVCNX6","21162950","2021-12-01T00:00:00.000","09:34am","46","M","040200100I","REGIS PLATE DISPLAY VIOLATION","WEDNESDAY","All Other","5","false","Sheridan Hollow","POINT (-73.7574072754 42.6566895795)"
"APD*0307DVCPJS","21162950","2021-12-01T00:00:00.000","09:34am","46","M","040101A00I","OPER UNREGISTERD MV ON HIGHWAY","WEDNESDAY","All Other","5","false","Sheridan Hollow","POINT (-73.7574072754 42.6566895795)"
"APD*0304F723C3","22033362","2022-03-11T00:00:00.000","12:50pm","45","F","118000C0I0","SPEED VIOL-SCHOOL ZONE","FRIDAY","SPEEDING","2","false","West End","POINT (-73.7781040852 42.6749695802)"
"APD*0307DVD6LJ","21163059","2021-12-01T00:00:00.000","01:34pm","26","M","040200100I","REGIS PLATE DISPLAY VIOLATION","WEDNESDAY","All Other","5","false","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*TS03DVCM62","21162938","2021-12-01T00:00:00.000","09:18am","22","M","03750T10I0","EQUIP VIOL-FRONT WINDSHIELD NON/TRANSPARENT","WEDNESDAY","All Other","5","false",,
"APD*0216DVF37L","21163215","2021-12-01T00:00:00.000","07:00pm","25","M","121000A0I0","LEAVE MOTOR VEHICLE UNATTENDED","WEDNESDAY","All Other","5","false",,
"APD*0307DVCK3G","21162928","2021-12-01T00:00:00.000","08:43am","27","M","118000D0I0","SPEED VIOL  POSTED LIMIT","WEDNESDAY","SPEEDING","2","false","New Scotland / Woodlawn","POINT (-73.7953552245 42.6572094368)"
"APD*0301FBBMT3","22048041","2022-04-11T00:00:00.000","07:57am","33","M","114500000I","RT OF WAY VIOL/MV ENTER ROTARY","MONDAY","All Other","5","false",,
"APD*0302DWRTCL","21169392","2021-12-14T00:00:00.000","01:48pm","24","F","040101A00I","OPER UNREGISTERD MV ON HIGHWAY","TUESDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0301FP7DRB","22102741","2022-07-22T00:00:00.000","10:41am","39","M","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","FRIDAY","All Other","5","false",,
"APD*0307F0MQMZ","22004331","2022-01-10T00:00:00.000","10:09am","33","F","118000D0I0","SPEED VIOL  POSTED LIMIT","MONDAY","SPEEDING","2","false",,
"APD*0301F0MSCC","22004354","2022-01-10T00:00:00.000","10:35am","23","M","030600B00I","OPER MV W/O INSPECT CERTIFICAT","MONDAY","All Other","5","false",,
