"idnum","uniq_id","estratopri","upm","cluster","wt","income","risk","patience","prob_murder","gender","age","pol_finance","pol_qe","pol_quc","pol_concent","pol_wage_best","trust_general","trust_family","family_law","politicians_law","pol_corrupt","victim","education","employment","pol_importance","safety_city","safety_neigh","crime_prob","corrupt_prob","badgov_prob","pov_ineq_prob","trust_govt","country","currency","income_det"
"1","17010001","Mexico-East Area","57","116","1",,"24","27","Known","Women","48","More money for police (public security)","Improve police quality (Keep endowment)","Increase police endowment (similar qualities)reduces criminality 10%","Deploy police evenly in all neighborhoods","Agree","Trusworthy","Trustworty","Usual","A bit usual","true","true","9","false","Important","Safe","Safe","Agree","Agree","Disagree","Disagree","Fullfill","Mexico","Mexican Peso",
"2","17010002","Mexico-East Area","46","92","1","11","28","1","Unknown","Men","62","More money for police (public security)","Improve police quality (Keep endowment)","Keep endowment (improve police training) reduce criminality 20% in 2 years","Concentrate police in the most dangerous neighborhoods","Agree","Trusworthy","Trustworty","Usual","Unusual","false","false","12","true","Important",,"Unsafe","Disagree","Disagree","Disagree","Agree","Do not fullfill","Mexico","Mexican Peso","4,751 - 5,350"
"3","17010003","Mexico-West Area","37","74","1","2","28","17","Unknown","Women","71","Less money for police, subsidies for citizens (private security)","Improve police quality (Keep endowment)",,"Deploy police evenly in all neighborhoods","Agree","Untrustworty","Trustworty","Unusual","A bit usual","true","true","6","true","Important","Unsafe","Unsafe","Disagree","Disagree","Agree","Disagree","Do not fullfill","Mexico","Mexican Peso","1,100 - 1,600"
"4","17010004","Mexico-East Area","59","121","1","9","28","1","Known","Men","47","Less money for police, subsidies for citizens (private security)","Improve police quality (Keep endowment)",,"Deploy police evenly in all neighborhoods","Disagree","Untrustworty","Trustworty","Usual","A bit usual","true","true","9","true","Not important","Unsafe","Unsafe","Disagree","Disagree","Disagree","Disagree","Do not fullfill","Mexico","Mexican Peso","4,151 - 4,450"
"5","17010005","Mexico-North Area","17","35","1","2","28","9","Known","Women","48","Less money for police, subsidies for citizens (private security)","Improve police quality (Keep endowment)","Keep endowment (improve police training) reduce criminality 20% in 2 years","Concentrate police in the most dangerous neighborhoods","Disagree","Trusworthy","Trustworty","Usual","Unusual","false","true","9","true","Important",,"Safe","Agree","Disagree","Disagree","Disagree","Fullfill","Mexico","Mexican Peso","1,100 - 1,600"
"6","17010006","Mexico-East Area","56","114","1",,"12","1","Known","Women","30","Less money for police, subsidies for citizens (private security)","Improve police quality (Keep endowment)",,"Deploy police evenly in all neighborhoods",,"Untrustworty","Trustworty","Usual","A bit usual","true","true","12","false","Important","Safe",,"Agree","Disagree","Disagree","Disagree","Do not fullfill","Mexico","Mexican Peso",
"7","17010007","Mexico-East Area","43","86","1","11","8","1","Unknown","Men","53","More money for police (public security)","Improve police quality (Keep endowment)",,,"Agree","Untrustworty","Untrusworthy","Unusual","Somewhat usual","false","true","12","true","Important","Unsafe","Unsafe","Agree","Disagree","Disagree","Disagree","Do not fullfill","Mexico","Mexican Peso","4,751 - 5,350"
"8","17010008","Mexico-East Area","57","117","1","2","28","1","Unknown","Men","45","Less money for police, subsidies for citizens (private security)",,,,"Disagree","Trusworthy","Untrusworthy","Unusual","Unusual","true","true","12","true","Not important","Unsafe","Unsafe","Disagree","Agree","Disagree","Disagree","Do not fullfill","Mexico","Mexican Peso","1,100 - 1,600"
"9","17010009","Mexico-Central Area","11","23","1",,"28","1","Unknown","Men","46",,"Improve police quality (Keep endowment)",,"Concentrate police in the most dangerous neighborhoods","Agree",,"Trustworty",,"Unusual","false","false","6","false","Not important",,,"Disagree","Disagree","Disagree","Agree","Fullfill","Mexico","Mexican Peso",
"10","17010010","Mexico-North Area","26","53","1","16","28","16","Unknown","Men","64","More money for police (public security)","Increase police endowment (similar qualities)",,"Concentrate police in the most dangerous neighborhoods","Agree","Trusworthy","Trustworty","Usual","A bit usual","false","false","18","false","Important",,,"Agree","Disagree","Disagree","Disagree","Do not fullfill","Mexico","Mexican Peso","More than 11,050"
