"figure_table","title","indicator","sub_indicator","year","quintile","country","value","source","notes"
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Primary","01/01/2005",,"Colombia","3152.51","Vital registration data, Colombia 1998-2015",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Primary","01/01/1998",,"Colombia","3159.52","Vital registration data, Colombia 1998-2008",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Primary","01/01/1999",,"Colombia","3168.97","Vital registration data, Colombia 1998-2009",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Primary","01/01/2000",,"Colombia","3158.03","Vital registration data, Colombia 1998-2010",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Primary","01/01/2001",,"Colombia","3161.24","Vital registration data, Colombia 1998-2011",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Primary","01/01/2002",,"Colombia","3160.01","Vital registration data, Colombia 1998-2012",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Primary","01/01/2003",,"Colombia","3154.71","Vital registration data, Colombia 1998-2013",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Primary","01/01/2004",,"Colombia","3157.25","Vital registration data, Colombia 1998-2014",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Primary","01/01/2006",,"Colombia","3143.87","Vital registration data, Colombia 1998-2016",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Primary","01/01/2007",,"Colombia","3144.26","Vital registration data, Colombia 1998-2017",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Primary","01/01/2008",,"Colombia","3140.26","Vital registration data, Colombia 1998-2018",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Secondary","01/01/1998",,"Colombia","3145.57","Vital registration data, Colombia 1998-2019",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Secondary","01/01/1999",,"Colombia","3163.45","Vital registration data, Colombia 1998-2020",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Secondary","01/01/2000",,"Colombia","3166.39","Vital registration data, Colombia 1998-2021",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Secondary","01/01/2001",,"Colombia","3145.3","Vital registration data, Colombia 1998-2022",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Secondary","01/01/2002",,"Colombia","3140.81","Vital registration data, Colombia 1998-2023",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Secondary","01/01/2003",,"Colombia","3137.78","Vital registration data, Colombia 1998-2024",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Secondary","01/01/2004",,"Colombia","3138.08","Vital registration data, Colombia 1998-2025",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Secondary","01/01/2005",,"Colombia","3129.14","Vital registration data, Colombia 1998-2026",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Secondary","01/01/2006",,"Colombia","3122.17","Vital registration data, Colombia 1998-2027",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Secondary","01/01/2007",,"Colombia","3119.48","Vital registration data, Colombia 1998-2028",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Secondary","01/01/2008",,"Colombia","3117.65","Vital registration data, Colombia 1998-2029",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Tertiary","01/01/1998",,"Colombia","3151.46","Vital registration data, Colombia 1998-2030",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Tertiary","01/01/1999",,"Colombia","3167.15","Vital registration data, Colombia 1998-2031",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Tertiary","01/01/2000",,"Colombia","3159.72","Vital registration data, Colombia 1998-2032",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Tertiary","01/01/2001",,"Colombia","3151.01","Vital registration data, Colombia 1998-2033",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Tertiary","01/01/2002",,"Colombia","3145.61","Vital registration data, Colombia 1998-2034",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Tertiary","01/01/2003",,"Colombia","3135.65","Vital registration data, Colombia 1998-2035",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Tertiary","01/01/2004",,"Colombia","3134.92","Vital registration data, Colombia 1998-2036",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Tertiary","01/01/2005",,"Colombia","3123.3","Vital registration data, Colombia 1998-2037",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Tertiary","01/01/2006",,"Colombia","3118.13","Vital registration data, Colombia 1998-2038",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Tertiary","01/01/2007",,"Colombia","3110.1","Vital registration data, Colombia 1998-2039",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth","Tertiary","01/01/2008",,"Colombia","3110.03","Vital registration data, Colombia 1998-2040",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Primary","01/01/1998",,"Colombia","0.08","Vital registration data, Colombia 1998-2041",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Primary","01/01/1999",,"Colombia","0.07","Vital registration data, Colombia 1998-2042",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Primary","01/01/2000",,"Colombia","0.08","Vital registration data, Colombia 1998-2043",
