"pa_s","a_o_2","categor_a_indicador","nombre_indicador","puntaje"
"Bolivia","2004","Índice","Índice de desarrollo del Servicio Civil","26"
"Brasil","2004","Índice","Índice de desarrollo del Servicio Civil","64"
"Chile","2004","Índice","Índice de desarrollo del Servicio Civil","59"
"Colombia","2004","Índice","Índice de desarrollo del Servicio Civil","46"
"Costa Rica","2004","Índice","Índice de desarrollo del Servicio Civil","47"
"Ecuador","2004","Índice","Índice de desarrollo del Servicio Civil","15"
"El Salvador","2004","Índice","Índice de desarrollo del Servicio Civil","11"
"Guatemala","2004","Índice","Índice de desarrollo del Servicio Civil","24"
"Honduras","2004","Índice","Índice de desarrollo del Servicio Civil","11"
"México","2004","Índice","Índice de desarrollo del Servicio Civil","41"
"Nicaragua","2004","Índice","Índice de desarrollo del Servicio Civil","22"
"Panamá","2004","Índice","Índice de desarrollo del Servicio Civil","13"
"Paraguay","2004","Índice","Índice de desarrollo del Servicio Civil","12"
"Perú","2004","Índice","Índice de desarrollo del Servicio Civil","14"
"República Dominicana","2004","Índice","Índice de desarrollo del Servicio Civil","27"
"Uruguay","2004","Índice","Índice de desarrollo del Servicio Civil","47"
