"pais","delito","var","poblacion","a_o","a_o_date","num","location"
"Honduras","SUICIDIOS","TASA BRUTA","7133170","2011","2011-01-01T00:00:00.000","4.32","(15.0, -86.5)"
"Ecuador","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA BRUTA","15520973","2012","2012-01-01T00:00:00.000","14.41","(-2.0, -77.5)"
"Colombia","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA BRUTA","46581823","2012","2012-01-01T00:00:00.000","13.21","(4.0, -72.0)"
"Brasil","MUERTES POR ARMA DE FUEGO HOMBRES","CASOS","99336858","2013","2013-01-01T00:00:00.000","38319","(-10.0, -55.0)"
"Uruguay","HOMICIDIOS TOTALES","CASOS","3380544","2012","2012-01-01T00:00:00.000","267","(-33.0, -56.0)"
"Costa Rica","ROBO","CASOS","4404090","2008","2008-01-01T00:00:00.000","40707","(10.0, -84.0)"
"Jamaica","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA INDIRECTA","2681386","2009","2009-01-01T00:00:00.000","13.31","(18.25, -77.5)"
"Bolivia","HOMICIDIOS TOTALES","CASOS",,"2010","2010-01-01T00:00:00.000","997","(-17.0, -65.0)"
"Uruguay","SUICIDIOS","TASA BRUTA","3116990","2010","2010-01-01T00:00:00.000","19.73","(-33.0, -56.0)"
"Uruguay","HURTO","CASOS","3392407","2013","2013-01-01T00:00:00.000","97465","(-33.0, -56.0)"
"Bolivia","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS",,"2012","2012-01-01T00:00:00.000","1783","(-17.0, -65.0)"
"Nicaragua","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS","5742309","2009","2009-01-01T00:00:00.000","601","(13.0, -85.0)"
"Guyana","HOMICIDIOS TOTALES","TASA BRUTA","767083","2008","2008-01-01T00:00:00.000","20.47","(5.0, -59.0)"
"Perú","HOMICIDIOS TOTALES","CASOS","29461933","2010","2010-01-01T00:00:00.000","5473","(-10.0, -76.0)"
"Panamá","ROBO AUTOS","CASOS","1044669","2013","2013-01-01T00:00:00.000","747","(9.0, -80.0)"
"Ecuador","HOMICIDIOS TOTALES","TASA INDIRECTA","15774749","2013","2013-01-01T00:00:00.000","10.42","(-2.0, -77.5)"
"Costa Rica","SUICIDIOS","CASOS","4286574","2012","2012-01-01T00:00:00.000","322","(10.0, -84.0)"
"Belice","SECUESTROS","TASA INDIRECTA","340792","2012","2012-01-01T00:00:00.000","0.96","(17.25, -88.75)"
"Uruguay","SUICIDIOS","CASOS","3141842","2012","2012-01-01T00:00:00.000","593","(-33.0, -56.0)"
"Uruguay","HURTO","TASA BRUTA","3380544","2012","2012-01-01T00:00:00.000","2779.49","(-33.0, -56.0)"
"República Dominicana","HOMICIDIOS TOTALES","TASA INDIRECTA","10135105","2012","2012-01-01T00:00:00.000","20.94","(19.0, -70.6667)"
"Jamaica","MUERTES POR ARMA DE FUEGO TOTALES","CASOS","2699838","2011","2011-01-01T00:00:00.000","792","(18.25, -77.5)"
"Jamaica","VIOLENCIA INTRAFAMILIAR","CASOS","2714734","2013","2013-01-01T00:00:00.000","92","(18.25, -77.5)"
"El Salvador","SUICIDIOS","TASA INDIRECTA","5576149","2010","2010-01-01T00:00:00.000","2.25","(13.8333, -88.9167)"
"Nicaragua","DELITOS SEXUALES","CASOS","5815524","2010","2010-01-01T00:00:00.000","3626","(13.0, -85.0)"
"El Salvador","SECUESTROS","TASA INDIRECTA","6152558","2009","2009-01-01T00:00:00.000","0.1","(13.8333, -88.9167)"
"Ecuador","MUERTES POR ARMA DE FUEGO TOTALES","TASA INDIRECTA","14005449","2009","2009-01-01T00:00:00.000","11.64","(-2.0, -77.5)"
"Paraguay","MUERTES POR ARMA DE FUEGO TOTALES","CASOS","6451122","2010","2010-01-01T00:00:00.000","520","(-23.0, -58.0)"
"Jamaica","SECUESTROS","TASA INDIRECTA","2699838","2011","2011-01-01T00:00:00.000","0.53","(18.25, -77.5)"
"Costa Rica","HURTO","CASOS","4469337","2009","2009-01-01T00:00:00.000","17596","(10.0, -84.0)"
