"pais","codigo_pais","a_o","indicador","valor","medida","a_o_fecha"
"Argentina","ARG","2009","Empleo_publico","16.82","Porcentaje del Empleo Total","2009-01-01T00:00:00.000"
"Argentina","ARG","2014","Empleo_publico","18.01","Porcentaje del Empleo Total","2014-01-01T00:00:00.000"
"Argentina","ARG","2009","Empleo_publico_hombres","46.92","Proporcion del Empleo Publico","2009-01-01T00:00:00.000"
"Argentina","ARG","2014","Empleo_publico_hombres","46.48","Proporcion del Empleo Publico","2014-01-01T00:00:00.000"
"Argentina","ARG","2009","Empleo_publico_mujeres","53.08","Proporcion del Empleo Publico","2009-01-01T00:00:00.000"
"Argentina","ARG","2014","Empleo_publico_mujeres","53.52","Proporcion del Empleo Publico","2014-01-01T00:00:00.000"
"Argentina","ARG","2007","Gasto","24.54","Porcentaje del PIB","2007-01-01T00:00:00.000"
"Argentina","ARG","2009","Gasto","28.84","Porcentaje del PIB","2009-01-01T00:00:00.000"
"Argentina","ARG","2014","Gasto","37.69","Porcentaje del PIB","2014-01-01T00:00:00.000"
"Argentina","ARG","2015","Gasto","43.95","Porcentaje del PIB","2015-01-01T00:00:00.000"
"Argentina","ARG","2007","Ingresos","24.70","Porcentaje del PIB","2007-01-01T00:00:00.000"
"Argentina","ARG","2009","Ingresos","26.90","Porcentaje del PIB","2009-01-01T00:00:00.000"
"Argentina","ARG","2014","Ingresos","33.56","Porcentaje del PIB","2014-01-01T00:00:00.000"
"Argentina","ARG","2015","Ingresos","36.57","Porcentaje del PIB","2015-01-01T00:00:00.000"
"Barbados","BRB","2014","Empleo_publico","23.42","Porcentaje del Empleo Total","2014-01-01T00:00:00.000"
"Barbados","BRB","2014","Empleo_publico_hombres","47.13","Proporcion del Empleo Publico","2014-01-01T00:00:00.000"
"Barbados","BRB","2014","Empleo_publico_mujeres","52.87","Proporcion del Empleo Publico","2014-01-01T00:00:00.000"
"Barbados","BRB","2007","Gasto","37.59","Porcentaje del PIB","2007-01-01T00:00:00.000"
"Barbados","BRB","2009","Gasto","38.07","Porcentaje del PIB","2009-01-01T00:00:00.000"
"Barbados","BRB","2014","Gasto","44.57","Porcentaje del PIB","2014-01-01T00:00:00.000"
"Barbados","BRB","2015","Gasto","44.23","Porcentaje del PIB","2015-01-01T00:00:00.000"
"Barbados","BRB","2007","Ingresos","34.59","Porcentaje del PIB","2007-01-01T00:00:00.000"
"Barbados","BRB","2009","Ingresos","31.70","Porcentaje del PIB","2009-01-01T00:00:00.000"
"Barbados","BRB","2014","Ingresos","36.61","Porcentaje del PIB","2014-01-01T00:00:00.000"
"Barbados","BRB","2015","Ingresos","36.58","Porcentaje del PIB","2015-01-01T00:00:00.000"
"Brasil","BRA","2009","Empleo_publico","12.00","Porcentaje del Empleo Total","2009-01-01T00:00:00.000"
"Brasil","BRA","2014","Empleo_publico","11.93","Porcentaje del Empleo Total","2014-01-01T00:00:00.000"
"Brasil","BRA","2009","Empleo_publico_hombres","42.59","Proporcion del Empleo Publico","2009-01-01T00:00:00.000"
"Brasil","BRA","2014","Empleo_publico_hombres","40.71","Proporcion del Empleo Publico","2014-01-01T00:00:00.000"
"Brasil","BRA","2009","Empleo_publico_mujeres","57.41","Proporcion del Empleo Publico","2009-01-01T00:00:00.000"
"Brasil","BRA","2014","Empleo_publico_mujeres","59.29","Proporcion del Empleo Publico","2014-01-01T00:00:00.000"
"Brasil","BRA","2007","Gasto","37.63","Porcentaje del PIB","2007-01-01T00:00:00.000"
"Brasil","BRA","2009","Gasto","37.11","Porcentaje del PIB","2009-01-01T00:00:00.000"
"Brasil","BRA","2014","Gasto","39.11","Porcentaje del PIB","2014-01-01T00:00:00.000"
"Brasil","BRA","2007","Ingresos","34.90","Porcentaje del PIB","2007-01-01T00:00:00.000"
"Brasil","BRA","2009","Ingresos","33.92","Porcentaje del PIB","2009-01-01T00:00:00.000"
"Brasil","BRA","2014","Ingresos","33.06","Porcentaje del PIB","2014-01-01T00:00:00.000"
"Chile","CHL","2009","Empleo_publico","10.04","Porcentaje del Empleo Total","2009-01-01T00:00:00.000"
"Chile","CHL","2014","Empleo_publico","15.87","Porcentaje del Empleo Total","2014-01-01T00:00:00.000"
"Chile","CHL","2009","Empleo_publico_hombres","47.18","Proporcion del Empleo Publico","2009-01-01T00:00:00.000"
"Chile","CHL","2014","Empleo_publico_hombres","45.88","Proporcion del Empleo Publico","2014-01-01T00:00:00.000"
"Chile","CHL","2009","Empleo_publico_mujeres","52.82","Proporcion del Empleo Publico","2009-01-01T00:00:00.000"
"Chile","CHL","2014","Empleo_publico_mujeres","54.12","Proporcion del Empleo Publico","2014-01-01T00:00:00.000"
"Chile","CHL","2007","Gasto","19.27","Porcentaje del PIB","2007-01-01T00:00:00.000"
