"pa_s","categor_a","indicador","sub_indicador","respuesta","valor","porcentaje"
"Honduras","Violencia","Relación con pareja actual
",,"No aplica","625","66.9"
"Honduras","Violencia","Relación con pareja actual
",,"Muy buena","185","19.8"
"Honduras","Violencia","Relación con pareja actual
",,"Buena","87","9.3"
"Honduras","Violencia","Relación con pareja actual
",,"Regular","32","3.4"
"Honduras","Violencia","Relación con pareja actual
",,"Mala","5","0.5"
"Honduras","Violencia","Abuso recibido hasta los 12 años (sí lo recibieron)","Físico",,"309","33.1"
"Honduras","Violencia","Abuso recibido hasta los 12 años (sí lo recibieron)","Psicológico",,"164","17.6"
"Honduras","Violencia","Abuso recibido hasta los 12 años (sí lo recibieron)","Sexual",,"30","3.2"
"Honduras","Violencia","Estar actualmente de acuerdo con abusos recibidos en infancia",,"No sabe","113","12.1"
"Honduras","Violencia","Estar actualmente de acuerdo con abusos recibidos en infancia",,"De acuerdo","281","30.1"
"Honduras","Violencia","Estar actualmente de acuerdo con abusos recibidos en infancia",,"En Desacuerdo","307","32.9"
"Honduras","Violencia","Estar actualmente de acuerdo con abusos recibidos en infancia",,"En algunos de acuerdo y en otros desacuerdo","182","19.5"
"Honduras","Violencia","Estar actualmente de acuerdo con abusos recibidos en infancia",,"No responde","51","5.5"
"Honduras","Violencia","Haber buscado ayuda por comportamientos agresivos hacia pareja",,"No aplica","613","65.6"
"Honduras","Violencia","Haber buscado ayuda por comportamientos agresivos hacia pareja",,"Nunca","242","25.9"
"Honduras","Violencia","Haber buscado ayuda por comportamientos agresivos hacia pareja",,"Una vez","38","4.1"
"Honduras","Violencia","Haber buscado ayuda por comportamientos agresivos hacia pareja",,"Mas de una vez","26","2.8"
"Honduras","Violencia","Haber buscado ayuda por comportamientos agresivos hacia pareja",,"No sabe","1","0.1"
"Honduras","Violencia","Haber buscado ayuda por comportamientos agresivos hacia pareja",,"No responde","14","1.5"
"Honduras","Violencia","Las mujeres merecen ser golpeadas ",,"Totalmente de acuerdo","24","2.57"
