"country","table_name","asset_category","asset_composition","year","year_date","methodology","value","notes"
"Bolivia","Whole Sample","Exports","As % of total sales","1992","1992-01-01T00:00:00.000","Median",,
"Brazil","By Size: Medium","Exports","As % of total sales","2000","2000-01-01T00:00:00.000","No. obs","39.0",
"Chile","By Size: Medium","Dollar Indebtness","% Firms with dollar debt","2002","2002-01-01T00:00:00.000","Mean",,
"Chile","By Size: Medium","Exports","As % of total sales","1990","1990-01-01T00:00:00.000","Mean",,
"Colombia","Whole Sample","Exports","As % of total sales","2002","2002-01-01T00:00:00.000","No. obs",,
"Mexico","By Sector: Tradable","Debt Maturity","Dollar debt maturity (%)","2002","2002-01-01T00:00:00.000","Mean",,
"Mexico","By Export Level: Low-exporter","Exports","As % of total assets","2002","2002-01-01T00:00:00.000","Mean",,
"Uruguay","Whole Sample","Exports","As % of total sales","1999","1999-01-01T00:00:00.000","Mean","24.5",
"Argentina","Whole Sample","Dollar Indebtness","% Firms with dollar debt","1990","1990-01-01T00:00:00.000","Mean","100.0",
"Argentina","Whole Sample","Dollar Indebtness","% Firms with dollar debt","1990","1990-01-01T00:00:00.000","No. obs","2.0",
"Argentina","Whole Sample","Dollar Indebtness","% Firms with dollar debt","1991","1991-01-01T00:00:00.000","Mean","100.0",
"Argentina","Whole Sample","Dollar Indebtness","% Firms with dollar debt","1991","1991-01-01T00:00:00.000","No. obs","17.0",
"Argentina","Whole Sample","Dollar Indebtness","% Firms with dollar debt","1992","1992-01-01T00:00:00.000","Mean","100.0",
"Argentina","Whole Sample","Dollar Indebtness","% Firms with dollar debt","1992","1992-01-01T00:00:00.000","No. obs","42.0",
"Argentina","Whole Sample","Dollar Indebtness","% Firms with dollar debt","1993","1993-01-01T00:00:00.000","Mean","96.0",
"Argentina","Whole Sample","Dollar Indebtness","% Firms with dollar debt","1993","1993-01-01T00:00:00.000","No. obs","124.0",
"Argentina","Whole Sample","Dollar Indebtness","% Firms with dollar debt","1994","1994-01-01T00:00:00.000","Mean","92.4",
"Argentina","Whole Sample","Dollar Indebtness","% Firms with dollar debt","1994","1994-01-01T00:00:00.000","No. obs","145.0",
"Argentina","Whole Sample","Dollar Indebtness","% Firms with dollar debt","1995","1995-01-01T00:00:00.000","Mean","95.7",
"Argentina","Whole Sample","Dollar Indebtness","% Firms with dollar debt","1995","1995-01-01T00:00:00.000","No. obs","161.0",
