"pa_s","a_o_2","categor_a_indicador","nombre_indicador","puntaje"
"Bahamas","2017","Índice","Capacidad funcional","7"
"Bahamas","2017","Índice","Capacidad integradora","40"
"Bahamas","2017","Índice","Consistencia estructural","10"
"Bahamas","2017","Índice","Diversity Management","10"
"Bahamas","2017","Índice","Eficiencia","20"
"Bahamas","2017","Índice","Índice de desarrollo del Servicio Civil","25"
"Bahamas","2017","Índice","Management Capabilities","7"
"Bahamas","2017","Índice","Mérito","47"
"Bahamas","2017","Subsistema","Gestión de la Compensación","25"
"Bahamas","2017","Subsistema","Gestión del Desarrollo","0"
"Bahamas","2017","Subsistema","Gestión del Empleo","33"
"Bahamas","2017","Subsistema","Gestión del Rendimiento","0"
"Bahamas","2017","Subsistema","Gestión Relaciones Humanas y Sociales","40"
"Bahamas","2017","Subsistema","Organización de la Función de RRHH","10"
"Bahamas","2017","Subsistema","Organización del Trabajo","0"
"Bahamas","2017","Subsistema","Planificación","13"
"Barbados","2017","Índice","Capacidad funcional","44"
"Barbados","2017","Índice","Capacidad integradora","20"
"Barbados","2017","Índice","Consistencia estructural","33"
"Barbados","2017","Índice","Diversity Management","80"
"Barbados","2017","Índice","Eficiencia","20"
"Barbados","2017","Índice","Índice de desarrollo del Servicio Civil","38"
"Barbados","2017","Índice","Management Capabilities","33"
"Barbados","2017","Índice","Mérito","73"
"Barbados","2017","Subsistema","Gestión de la Compensación","50"
"Barbados","2017","Subsistema","Gestión del Desarrollo","8"
"Barbados","2017","Subsistema","Gestión del Empleo","67"
"Barbados","2017","Subsistema","Gestión del Rendimiento","53"
"Barbados","2017","Subsistema","Gestión Relaciones Humanas y Sociales","20"
"Barbados","2017","Subsistema","Organización de la Función de RRHH","20"
"Barbados","2017","Subsistema","Organización del Trabajo","67"
"Barbados","2017","Subsistema","Planificación","23"
"Bolivia","2004","Índice","Capacidad funcional","17"
"Bolivia","2004","Índice","Capacidad integradora","30"
"Bolivia","2004","Índice","Consistencia estructural","25"
"Bolivia","2004","Índice","Eficiencia","30"
"Bolivia","2004","Índice","Índice de desarrollo del Servicio Civil","26"
"Bolivia","2004","Índice","Mérito","27"
"Bolivia","2013","Índice","Capacidad funcional","13"
"Bolivia","2013","Índice","Capacidad integradora","30"
"Bolivia","2013","Índice","Consistencia estructural","23"
"Bolivia","2013","Índice","Eficiencia","35"
"Bolivia","2013","Índice","Índice de desarrollo del Servicio Civil","21"
"Bolivia","2013","Índice","Mérito","7"
"Bolivia","2004","Subsistema","Gestión de la Compensación","20"
"Bolivia","2004","Subsistema","Gestión del Desarrollo","8"
"Bolivia","2004","Subsistema","Gestión del Empleo","27"
"Bolivia","2004","Subsistema","Gestión del Rendimiento","13"
"Bolivia","2004","Subsistema","Gestión Relaciones Humanas y Sociales","30"
"Bolivia","2004","Subsistema","Organización de la Función de RRHH","20"
"Bolivia","2004","Subsistema","Organización del Trabajo","33"
"Bolivia","2004","Subsistema","Planificación","30"
"Bolivia","2013","Subsistema","Gestión de la Compensación","20"
"Bolivia","2013","Subsistema","Gestión del Desarrollo","8"
"Bolivia","2013","Subsistema","Gestión del Empleo","13"
"Bolivia","2013","Subsistema","Gestión del Rendimiento","13"
"Bolivia","2013","Subsistema","Gestión Relaciones Humanas y Sociales","30"
"Bolivia","2013","Subsistema","Organización de la Función de RRHH","0"
"Bolivia","2013","Subsistema","Organización del Trabajo","33"
"Bolivia","2013","Subsistema","Planificación","30"
"Brasil","2004","Índice","Capacidad funcional","61"
"Brasil","2004","Índice","Capacidad integradora","50"
"Brasil","2004","Índice","Consistencia estructural","63"
"Brasil","2004","Índice","Eficiencia","55"
"Brasil","2004","Índice","Índice de desarrollo del Servicio Civil","64"
"Brasil","2004","Índice","Mérito","93"
"Brasil","2013","Índice","Capacidad funcional","57"
"Brasil","2013","Índice","Capacidad integradora","55"
"Brasil","2013","Índice","Consistencia estructural","60"
"Brasil","2013","Índice","Eficiencia","50"
"Brasil","2013","Índice","Índice de desarrollo del Servicio Civil","63"
"Brasil","2013","Índice","Mérito","93"
"Brasil","2004","Subsistema","Gestión de la Compensación","55"
"Brasil","2004","Subsistema","Gestión del Desarrollo","72"
"Brasil","2004","Subsistema","Gestión del Empleo","80"
"Brasil","2004","Subsistema","Gestión del Rendimiento","47"
"Brasil","2004","Subsistema","Gestión Relaciones Humanas y Sociales","50"
"Brasil","2004","Subsistema","Organización de la Función de RRHH","50"
"Brasil","2004","Subsistema","Organización del Trabajo","60"
"Brasil","2004","Subsistema","Planificación","63"
"Brasil","2013","Subsistema","Gestión de la Compensación","45"
"Brasil","2013","Subsistema","Gestión del Desarrollo","72"
"Brasil","2013","Subsistema","Gestión del Empleo","73"
"Brasil","2013","Subsistema","Gestión del Rendimiento","47"
"Brasil","2013","Subsistema","Gestión Relaciones Humanas y Sociales","55"
"Brasil","2013","Subsistema","Organización de la Función de RRHH","50"
"Brasil","2013","Subsistema","Organización del Trabajo","60"
"Brasil","2013","Subsistema","Planificación","60"
"Chile","2004","Índice","Capacidad funcional","61"
"Chile","2004","Índice","Capacidad integradora","45"
"Chile","2004","Índice","Consistencia estructural","63"
"Chile","2004","Índice","Eficiencia","65"
"Chile","2004","Índice","Índice de desarrollo del Servicio Civil","59"
"Chile","2004","Índice","Mérito","60"
"Chile","2013","Índice","Capacidad funcional","64"
"Chile","2013","Índice","Capacidad integradora","50"
"Chile","2013","Índice","Consistencia estructural","68"
"Chile","2013","Índice","Eficiencia","85"
"Chile","2013","Índice","Índice de desarrollo del Servicio Civil","67"
"Chile","2013","Índice","Mérito","67"
"Chile","2004","Subsistema","Gestión de la Compensación","70"
"Chile","2004","Subsistema","Gestión del Desarrollo","60"
"Chile","2004","Subsistema","Gestión del Empleo","53"
"Chile","2004","Subsistema","Gestión del Rendimiento","73"
"Chile","2004","Subsistema","Gestión Relaciones Humanas y Sociales","45"
"Chile","2004","Subsistema","Organización de la Función de RRHH","50"
"Chile","2004","Subsistema","Organización del Trabajo","47"
"Chile","2004","Subsistema","Planificación","73"
"Chile","2013","Subsistema","Gestión de la Compensación","70"
"Chile","2013","Subsistema","Gestión del Desarrollo","64"
"Chile","2013","Subsistema","Gestión del Empleo","63"
"Chile","2013","Subsistema","Gestión del Rendimiento","73"
"Chile","2013","Subsistema","Gestión Relaciones Humanas y Sociales","50"
"Chile","2013","Subsistema","Organización de la Función de RRHH","60"
"Chile","2013","Subsistema","Organización del Trabajo","60"
"Chile","2013","Subsistema","Planificación","80"
"Colombia","2004","Índice","Capacidad funcional","46"
"Colombia","2004","Índice","Capacidad integradora","30"
"Colombia","2004","Índice","Consistencia estructural","53"
"Colombia","2004","Índice","Eficiencia","50"
"Colombia","2004","Índice","Índice de desarrollo del Servicio Civil","46"
"Colombia","2004","Índice","Mérito","53"
"Colombia","2013","Índice","Capacidad funcional","46"
"Colombia","2013","Índice","Capacidad integradora","40"
"Colombia","2013","Índice","Consistencia estructural","55"
"Colombia","2013","Índice","Eficiencia","55"
"Colombia","2013","Índice","Índice de desarrollo del Servicio Civil","52"
"Colombia","2013","Índice","Mérito","67"
"Colombia","2004","Subsistema","Gestión de la Compensación","45"
"Colombia","2004","Subsistema","Gestión del Desarrollo","48"
"Colombia","2004","Subsistema","Gestión del Empleo","57"
"Colombia","2004","Subsistema","Gestión del Rendimiento","33"
"Colombia","2004","Subsistema","Gestión Relaciones Humanas y Sociales","30"
"Colombia","2004","Subsistema","Organización de la Función de RRHH","70"
"Colombia","2004","Subsistema","Organización del Trabajo","40"
"Colombia","2004","Subsistema","Planificación","50"
"Colombia","2013","Subsistema","Gestión de la Compensación","45"
"Colombia","2013","Subsistema","Gestión del Desarrollo","48"
"Colombia","2013","Subsistema","Gestión del Empleo","60"
"Colombia","2013","Subsistema","Gestión del Rendimiento","33"
"Colombia","2013","Subsistema","Gestión Relaciones Humanas y Sociales","40"
"Colombia","2013","Subsistema","Organización de la Función de RRHH","70"
"Colombia","2013","Subsistema","Organización del Trabajo","47"
"Colombia","2013","Subsistema","Planificación","57"
"Costa Rica","2004","Índice","Capacidad funcional","41"
"Costa Rica","2004","Índice","Capacidad integradora","40"
"Costa Rica","2004","Índice","Consistencia estructural","45"
"Costa Rica","2004","Índice","Eficiencia","40"
"Costa Rica","2004","Índice","Índice de desarrollo del Servicio Civil","47"
"Costa Rica","2004","Índice","Mérito","67"
"Costa Rica","2012","Índice","Capacidad funcional","46"
"Costa Rica","2012","Índice","Capacidad integradora","45"
"Costa Rica","2012","Índice","Consistencia estructural","55"
"Costa Rica","2012","Índice","Eficiencia","50"
"Costa Rica","2012","Índice","Índice de desarrollo del Servicio Civil","54"
"Costa Rica","2012","Índice","Mérito","73"
"Costa Rica","2004","Subsistema","Gestión de la Compensación","35"
"Costa Rica","2004","Subsistema","Gestión del Desarrollo","48"
"Costa Rica","2004","Subsistema","Gestión del Empleo","57"
"Costa Rica","2004","Subsistema","Gestión del Rendimiento","33"
"Costa Rica","2004","Subsistema","Gestión Relaciones Humanas y Sociales","40"
"Costa Rica","2004","Subsistema","Organización de la Función de RRHH","60"
"Costa Rica","2004","Subsistema","Organización del Trabajo","40"
"Costa Rica","2004","Subsistema","Planificación","40"
"Costa Rica","2012","Subsistema","Gestión de la Compensación","60"
"Costa Rica","2012","Subsistema","Gestión del Desarrollo","32"
"Costa Rica","2012","Subsistema","Gestión del Empleo","60"
"Costa Rica","2012","Subsistema","Gestión del Rendimiento","53"
"Costa Rica","2012","Subsistema","Gestión Relaciones Humanas y Sociales","45"
"Costa Rica","2012","Subsistema","Organización de la Función de RRHH","70"
"Costa Rica","2012","Subsistema","Organización del Trabajo","47"
"Costa Rica","2012","Subsistema","Planificación","50"
"Ecuador","2004","Índice","Capacidad funcional","19"
"Ecuador","2004","Índice","Capacidad integradora","10"
"Ecuador","2004","Índice","Consistencia estructural","15"
"Ecuador","2004","Índice","Eficiencia","10"
"Ecuador","2004","Índice","Índice de desarrollo del Servicio Civil","15"
"Ecuador","2004","Índice","Mérito","20"
"Ecuador","2011","Índice","Capacidad funcional","26"
"Ecuador","2011","Índice","Capacidad integradora","10"
"Ecuador","2011","Índice","Consistencia estructural","28"
"Ecuador","2011","Índice","Eficiencia","15"
"Ecuador","2011","Índice","Índice de desarrollo del Servicio Civil","21"
"Ecuador","2011","Índice","Mérito","27"
"Ecuador","2015","Índice","Capacidad funcional","33"
"Ecuador","2015","Índice","Capacidad integradora","35"
"Ecuador","2015","Índice","Consistencia estructural","45"
"Ecuador","2015","Índice","Eficiencia","40"
"Ecuador","2015","Índice","Índice de desarrollo del Servicio Civil","41"
"Ecuador","2015","Índice","Mérito","53"
"Ecuador","2004","Subsistema","Gestión de la Compensación","15"
"Ecuador","2004","Subsistema","Gestión del Desarrollo","0"
"Ecuador","2004","Subsistema","Gestión del Empleo","23"
"Ecuador","2004","Subsistema","Gestión del Rendimiento","20"
"Ecuador","2004","Subsistema","Gestión Relaciones Humanas y Sociales","10"
"Ecuador","2004","Subsistema","Organización de la Función de RRHH","20"
"Ecuador","2004","Subsistema","Organización del Trabajo","20"
"Ecuador","2004","Subsistema","Planificación","20"
"Ecuador","2011","Subsistema","Gestión de la Compensación","25"
"Ecuador","2011","Subsistema","Gestión del Desarrollo","8"
"Ecuador","2011","Subsistema","Gestión del Empleo","33"
"Ecuador","2011","Subsistema","Gestión del Rendimiento","20"
