"pais","idpilar","titulopilar","idcomponente","titulocomponente","idindicador","tituloindicador","idrequisito","t_tulorequisito","respuestarequisito","porcentaje","dias","promedio","titulosector","a_o_texto","a_o_fechayhora","id_paisrequisito"
"Bahamas","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","9","GESTIÓN PRESUPUESTARIA Y FINANCIERA","2","Flexibilidad para la gestión presupuestaria","2","Porcentaje del presupuesto pre asignado por ley.",,"0",,,,"2013","2013-01-01T00:00:00.000","Bahamas3922"
"Panamá","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","14","AUDITORÍA INTERNA Y EXTERNA","2","Se realizan actividades de control interno","1","Alcance de las actividades de control interno.",,"0.4",,,,"2013","2013-01-01T00:00:00.000","Panamá31421"
"Honduras","5","QUINTO PILAR: SISTEMAS DE SEGUIMIENTO Y EVALUACIÓN","22","SEGUIMIENTO DE LA GESTIÓN DEL GOBIERNO","4","El sistema de seguimiento cubre toda la acción del  gobierno","1","Porcentaje de los programas, proyectos y/o instituciones que se incluyen en el sistema de seguimiento de la gestión.",,"0",,,,"2013","2013-01-01T00:00:00.000","Honduras52241"
"Panamá","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","13","SISTEMA DE ADQUISICIONES Y CONTRATACIONES PÚBLICAS","5","La mayor parte de las compras y contrataciones se realizan a través de licitaciones públicas","2","Porcentaje del valor de las compras y contrataciones sectoriales realizado a través de licitación pública.",,,,,,"2013","2013-01-01T00:00:00.000","Panamá31352"
"Costa Rica","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","20","SISTEMAS DE INFORMACIÓN Y SEGUIMIENTO SECTORIAL","2","Existen procesos para garantizar la calidad de los indicadores del sistema de seguimiento sectorial","2","Realización de controles internos de calidad.","El requisito no se cumple.",,,,"Educación","2013","2013-01-01T00:00:00.000","Costa Rica42022"
"Costa Rica","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","1","El sector cuenta con una visión de largo plazo que supere el periodo de gobierno","5","Longitud del periodo para el cual se planifica.","El requisito no se cumple.",,,,"Desarrollo Social","2013","2013-01-01T00:00:00.000","Costa Rica41615"
"Panamá","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","14","AUDITORÍA INTERNA Y EXTERNA","3","Se dispone de un marco legal e institucional para la realización de auditorías externas","2","Definición de responsabilidades institucionales.","El requisito se cumple en su totalidad, es decir, el marco legal o reglamentario que regula la auditoría externa detalla específicamente a todas las entidades responsables de la coordinación y ejecución de procesos, e incluye aspectos relevantes para el desempeño de la entidad o unidad normativa de la auditoría externa, como funciones, objetivos y definición de procesos medulares.",,,,,"2013","2013-01-01T00:00:00.000","Panamá31432"
"Nicaragua","2","SEGUNDO PILAR: PRESUPUESTO POR RESULTADOS","6","EVALUACIÓN DE LA EFECTIVIDAD DEL GASTO","1","Existe información de desempeño para evaluar los resultados del gasto del gobierno","6","Utilización de evaluaciones rápidas de desempeño.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Nicaragua2616"
"Chile","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","1","El sector cuenta con una visión de largo plazo que supere el periodo de gobierno","1","Existencia de una visión sectorial de largo plazo.","El requisito no se cumple. En caso de no cumplimiento de este requisito, pasar directamente al siguiente indicador.",,,,"Educación","2013","2013-01-01T00:00:00.000","Chile41611"
"El Salvador","5","QUINTO PILAR: SISTEMAS DE SEGUIMIENTO Y EVALUACIÓN","23","EVALUACIÓN DE LA GESTIÓN DEL GOBIERNO","1","Existe un marco legal que regula el sistema de evaluación de la gestión","2","Definición de responsabilidades institucionales.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","El Salvador52312"
"Guatemala","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","2","Se cuenta con un plan sectorial de mediano plazo que contiene los objetivos prioritarios","8","Difusión del plan sectorial de mediano plazo.","El requisito no se cumple.",,,,"Infraestructura","2013","2013-01-01T00:00:00.000","Guatemala41628"
"Ecuador","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","13","SISTEMA DE ADQUISICIONES Y CONTRATACIONES PÚBLICAS","2","Existe un sistema electrónico de adquisiciones y contrataciones públicas","5","Transparencia y disponibilidad del estado de las transacciones.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Ecuador31325"
