"pais","ano","fuente_general","fuente_especifica","categoria","nombre_indicador","nivel_educativo","tipo_desagregacion","desagregacion","valor"
"COL","2014","DA","MinEd_Col","Tamano","Ratio_Est_Doc","Todos","Genero","Mujer","17.40332"
"NIC","2008","DA","MinEd_Nic","Tamano","Estudiantes","Secundaria","Genero","Mujer","234419"
"ARG","2014","DA","MinEd_Arg","Tamano","Estudiantes","Todos","Genero","Hombre","4301029"
"ECU","2012","DA","MinEd_Ecu","Tamano","Estudiantes","Todos","Genero","Mujer","1997330"
"CHL","2014","DA","MinEd_Chl","Tamano","Escuelas","Todos","Rural_Urbano","Urbano","8187"
"GTM","2006","DA","MinEd_Gtm","Tamano","Docentes","Todos","Rural_Urbano","Rural","62501"
"BRA","2009","DA","MinEd_Bra","Tamano","Escuelas","Inicial","Rural_Urbano","Rural","49103"
"BRA","2008","DA","MinEd_Bra","Tamano","Docentes","Todos","Genero","Hombre","437341"
"ARG","2007","DA","MinEd_Arg","Tamano","Estudiantes","Primaria","Genero","Mujer","2267172"
"COL","2012","DA","MinEd_Col","Tamano","Estudiantes","Todos","Genero","Mujer","4328248"
"ARG","2011","DA","MinEd_Arg","Tamano","Estudiantes","Primaria","Genero","Hombre","2360976"
"COL","2013","DA","MinEd_Col","Tamano","Ratio_Est_Doc","Todos","Genero","Hombre","29.38876"
"URY","2009","DA","MinEd_Ury","Tamano","Estudiantes","Primaria","Genero","Hombre","173327"
"BRA","2011","DA","MinEd_Bra","Tamano","Escuelas","Todos","Rural_Urbano","Urbano","131348"
"COL","2009","DA","MinEd_Col","Tamano","Estudiantes","Todos","Genero","Mujer","4488305"
"NIC","2012","DA","MinEd_Nic","Tamano","Estudiantes","Secundaria","Genero","Mujer","257579"
"CHL","2012","DA","MinEd_Chl","Tamano","Docentes","Secundaria","Genero","Mujer","25165"
"URY","2009","DA","MinEd_Ury","Tamano","Estudiantes","Inicial","Genero","Hombre","56926"
"PER","2013","DA","MinEd_Per","Tamano","Estudiantes","Inicial","Genero","Hombre","668807"
"HND","2012","DA","MinEd_Hnd","Tamano","Estudiantes","Secundaria","Genero","Mujer","304286"
"VEN","2009","DA","DirEst_Ven","Tamano","Estudiantes","Todos","Genero","Mujer","2810690"
"SLV","2008","DA","MinEd_Slv","Tamano","Estudiantes","Primaria","Genero","Hombre","688927"
"CHL","2016","DA","MinEd_Chl","Tamano","Estudiantes","Todos","Publico_Privado_F","PrivadoF","237376"
"URY","2015","DA","MinEd_Ury","Tamano","Escuelas","Todos","Publico_Privado_F","PublicoF","2543"
"CHL","2016","DA","MinEd_Chl","Tamano","Estudiantes","Inicial","Publico_Privado_F","MixtoF","207494"
"COL","2014","DA","DirEst_Col","Tamano","Docentes","Todos","Publico_Privado_F","PublicoF","282536"
"GTM","2015","DA","MinEd_Gtm","Tamano","Docentes","Secundaria","Publico_Privado","Privado","86585"
"GUY","2011","DA","MinEd_Guy","Tamano","Ratio_Est_Doc","Inicial","Publico_Privado","Privado","12.34444"
"ARG","2015","DA","MinEd_Arg","Tamano","Estudiantes","Primaria","Genero","Mujer","2225129"
"GTM","2015","DA","MinEd_Gtm","Tamano","Estudiantes","Secundaria","Rural_Urbano","Urbano","859869"
"ARG","2015","DA","MinEd_Arg","Tamano","Estudiantes","Todos","Rural_Urbano","Urbano","7747680"
"PER","2016","DA","MinEd_Per","Tamano","Estudiantes","Primaria","Rural_Urbano","Rural","672604"
"GTM","2015","DA","MinEd_Gtm","Tamano","Docentes","Primaria","No_Aplica","No_Desagregado","116719"
"PER","2016","DA","MinEd_Per","Tamano","Ratio_Est_Doc","Secundaria","Rural_Urbano","Urbano","13.57641"
"COL","2014","DA","DirEst_Col","Tamano","Docentes","Inicial","Genero","Mujer","51525"
"COL","2014","DA","DirEst_Col","Tamano","Docentes","Todos","Publico_Privado_F","PrivadoF","93791"
"GUY","2011","DA","MinEd_Guy","Tamano","Docentes","Todos","No_Aplica","No_Desagregado","8103"
"CHL","2016","DA","MinEd_Chl","Tamano","Escuelas","Todos","Publico_Privado_F","PrivadoF","834"
"COL","2014","DA","DirEst_Col","Tamano","Escuelas","Secundaria","Publico_Privado","Publico","18853"
"COL","2015","DA","DirEst_Col","Tamano","Docentes","Todos","Publico_Privado","Privado","94020"
"GTM","2015","DA","MinEd_Gtm","Tamano","Estudiantes","Inicial","Genero","Hombre","284294"
"GTM","2015","DA","MinEd_Gtm","Tamano","Escuelas","Secundaria","Rural_Urbano","Rural","4639"
"GTM","2015","DA","MinEd_Gtm","Tamano","Escuelas","Todos","Rural_Urbano","Urbano","11410"
"SLV","2015","DA","MinEd_Slv","Tamano","Estudiantes","Todos","Publico_Privado","Publico","1113913"
