"facility_link","location","county","military","address","city","zip_code","description","longitude","latitude"
"Belmont - House St. (https://www.michigan.gov)","Rockford","Kent","false","1855 House Street","Rockford","49341","Dump Site","-85.621686","43.105358"
"Rockford Tannery (https://www.michigan.gov)","Rockford","Kent","false","123 North Main Street","Rockford","49341","Tannery","-85.560182","43.122506"
"Grayling Area PFAS (https://www.michigan.gov)","Grayling","Crawford","true","Grayling Area","Grayling","49738","Military","-84.724621","44.679698"
"Camp Grayling - Lake Margrethe (https://www.michigan.gov)","Grayling","Crawford","true","Camp Grayling - Lake Margrethe Area","Grayling","49738","Military","-84.78779","44.626681"
"K.I. Sawyer AFB (https://www.michigan.gov)","Gwinn","Marquette","true","225 Airport Ave","Gwinn","49841","Air Force Base","-87.3873","46.3496"
"Wurtsmith AFB (https://www.michigan.gov)","Oscoda","Iosco","true","No Address - former Air Force Base","Oscoda","48750","Air Force Base","-83.353421","44.459534"
"Lapeer Plating & Plastics (https://www.michigan.gov)","Lapeer","Lapeer","false","395 Demille Road","Lapeer","48446","Plater","-83.3105589999","43.0388900001"
"Adams Plating (https://www.michigan.gov)","Lansing","Ingham","false","521 N. Rosemary","Lansing","48917","Dry Cleaner; Plater","-84.587871","42.73954"
"Alpena Hide and Leather Co. (https://www.michigan.gov)","Alpena","Alpena","false","817 and 819 W. Miller Street","Alpena","49707","Tannery","-83.435792","45.07299"
"Whispering Pines MHC (https://www.michigan.gov)","Oscoda","Iosco","true","4263 Bissonette","Oscoda","48750","Related to Wurtsmith Air Force Base","-83.349011","44.440336"
"Coldwater Road Landfill (https://www.michigan.gov)","Flint","Genesee","false","1245 Coldwater Road","Flint","48458","Landfill","-83.683883","43.098026"
"Roosevelt Refinery (https://www.michigan.gov)","Mt. Pleasant","Isabella","false","600 W Pickard Street","Mt. Pleasant","48858","Refinery","-84.781676","43.612701"
"Helmer-Dickman Road Area (https://www.michigan.gov)","Battle Creek","Calhoun","false","No address - Calhoun County, near the Battle Creek ANGB","Battle Creek","49037","Homes, Unknown Source","-85.2483680982","42.3173346476"
"Alpena Combat Readiness Center (https://www.michigan.gov)","Alpena","Alpena","true","5884 A St.","Alpena","49707","Michigan Air National Guard","-83.5659368286","45.0680388589"
"Escanaba Defense Fuel Supply Point (https://www.michigan.gov)","Escanaba","Delta","true","6734 P Road","Escanaba","49829","Military","-87.0612430304","45.7916888176"
"Van Etten Lake (https://www.michigan.gov)","Oscoda","Iosco","true","No address - Lake","Oscoda","48750","Related to Wurtsmith Air Force Base","-83.3656855528","44.4742172433"
"Loud Drive (https://www.michigan.gov)","Oscoda","Iosco","true","No Address - large area of homes - E. side of Van Etten Lake","Oscoda","48750","Related to Wurtsmith Air Force Base","-83.3611962823","44.4798432397"
"Colbath Road (https://www.michigan.gov)","Oscoda","Iosco","false","No Address - large area of homes","Oscoda","48750","Homes, Unknown Source","-83.3889783584","44.4849118215"
"Oscoda Area Schools (https://www.michigan.gov)","Oscoda","Iosco","false","3550 River Road","Oscoda","48750","School, Unknown Source","-83.373654583","44.422969068"
"McDonald Store Fire (aka F-41) (https://www.michigan.gov)","Oscoda","Iosco","false","No address-business burned-corner of F-41 and King's Corner Road","Oscoda","48750","AFFF Release","-83.421418473","44.508114943"
"State Disposal Superfund (https://www.michigan.gov)","Plainfield Township","Kent","false","3954 East Beltline Rd","Grand Rapids","49525","Landfill","-85.5872897609","43.0336900783"
"RACER Lansing Plants 2,3,6 (https://www.michigan.gov)","Lansing","Ingham","false","2800 West Saginaw Street; 2801 West Saginaw Street; Corner of W. MI Ave and N. Verlinden","Lansing","48917","Automotive","-84.5845251541","42.7375366361"
"M-60 Tanker Spill (https://www.michigan.gov)","Howard Township","Cass","false","2900 Pine Lake Street","Niles","49120","AFFF Release","-86.158","41.84061"
"Central Sanitary Landfill (https://www.michigan.gov)","Pierson","Montcalm","false","21545 W Cannonsville Road","Pierson","49339","Landfill","-85.5097739751","43.330375229"
"North 34th Street (https://www.michigan.gov)","Richland","Kalamazoo","false","9899 East D Ave","Richland","49083","Plastic Producer","-85.4387924562","42.3770166497"
"Carl's Retreading (https://www.michigan.gov)","Grawn","Grand Traverse","false","5175 Sawyer Woods Drive","Traverse City","49685","AFFF Release","-85.6798262525","44.6625904572"
"Crown Vantage Property (https://www.michigan.gov)","Parchment","Kalamazoo","false","100 Island Avenue (multiple addresses)","Parchment","49004","Landfill; Paper Mill; Wastewater","-85.5740604465","42.3434693453"
"Richfield Landfill (https://www.michigan.gov)","Davison","Genessee","false","11145 East Mt Morris Rd","Davison","48423","Landfill","-83.4903353356","43.1340647196"
"RACER Buick City (https://www.michigan.gov)","Flint","Genessee","false","902 East Leith St","Flint","48505","Automotive","-83.6847115673","43.0415703624"
"Wash King Laundry (https://www.michigan.gov)","Baldwin","Lake","false","9247 South M-37","Baldwin","49304","Dry Cleaner","-85.8529996681","43.8531992667"
"Lacks Industries - Cascade (https://www.michigan.gov)","Grand Rapids","Kent","false","1601 Galbraith Ave SE","Grand Rapids","49546","Plater; Plastic Producer","-85.5359870761","42.934722"
"Manistee Plating (https://www.michigan.gov)","Manistee","Manistee","false","259 Sixth Ave","Manistee","49660","Plater","-86.3276256431","44.2486795241"
"Selfridge ANGB (https://www.michigan.gov)","Harrison Township","Macomb","true","No address - ANG base","Harrison Charter Township","48045","Military","-82.834969057","42.607137084"
"Ithaca Sanitary Landfill (https://www.michigan.gov)","Ithaca","Gratiot","false","West Washington Road","Ithaca","48847","Landfill","-84.6550220777","43.291652067"
"Michner Plating (https://www.michigan.gov)","Jackson","Jackson","false","506 North Mechanic Street","Jackson","48912","Plater","-84.406515","42.253322"
"RACER Eckles Road (https://www.michigan.gov)","Livonia","Wayne","false","12950 Eckles Road","Livonia","48150","Automotive","-83.42534","42.37688"
"Flint Bishop International Airport Landfill (https://www.michigan.gov)","Flint","Genesee","false","G-3425 West Bristol Road","Flint","48507","Landfill","-83.76265803","42.97068965"
"Gerald R. Ford International Airport (https://www.michigan.gov)","Grand Rapids","Kent","false","5500 44th Street SW","Grand Rapids","49512","Airport","-85.524636","42.88618"
"Lacks Industries - Saranac (https://www.michigan.gov)","Saranac","Ionia","false","6138 Riverside Drive","Saranac","48881","Plater; Plastic Producer","-85.191771","42.9309781"
