"company","phone","website","areaserved","air_services","materials_management_services","land_water_interface_services","water_quality_services","drinking_water_services","remediation_services","other"
"ABF Environmental",,"http://www.ABFenvironmental.com","Statewide","Ambient Air Monitoring; Industrial Hygiene; Permitting; Asbestos Testing; Mold Testing","Radon Investigation/Mitigation, Waste Characterization",,"Storm Water, Wastewater Management",,"Brownfield Redevelopment, Cleanup, Decomission Services, Due Diligence, Remediation Selection/Design, Risk Assessment, Site Characterization, Storage Tank Inspection and Removal, Vapor Intrusion Measurement/Mitigation",
"AECOM","616-574-8450","http://www.aecom.com","Statewide","Ambient Air Monitoring; CEMS/COM; Industrial Hygiene; Permitting; Source Sampling; Stack Testing; Compliance Reporting","Waste Characterization; EMS/ISO; Sustainability; Compliance Reporting","Dam Services; Shoreline Consulting/Management; Wetlands","Storm Water; Wastewater Management; Compliance Reporting","Asset Management; Dewatering; Master Planning; System and Plant Design; Water Treatment; Well Construction; Well Protection","Brownfield Redevelopment; Cleanup; Decommission Services; Due Diligence; Remediation Selection/Design; Risk Assessment; Site Characterization; Storage Tank Inspection and Removal; Vapor Intrusion Measurement/Mitigation",
"Air Regulations Consulting, LLC","402-8177887","https://airregconsulting.com/","Statewide","Ambient Air Monitoring, Permitting, Stack Testing, Compliance Assistance","Waste Characterization","Wetlands","Wastewater Management, Storm Water",,,
"Alliance Consultants",,"https://allianceconsultants.us","Lower Peninsula","Ambient Air Monitoring, Industrial Hygiene,  Permitting","Waste Characterization, EMS/ISO, Radon Investigation/Mitigation",,"Wastewater Management, Storm Water",,"Brownfield Redevelopment, Cleanup, Due Diligence, Remediation Selection/Design, Risk Assessment, Site Characterization, Vapor Intrusion Measurement/Mitigation",
"Antea Group",,"https://us.anteagroup.com/","Statewide","Ambient Air Monitoring; Industrial Hygiene, Permitting","Waste Characterization, Sustainability",,"Storm Water","Asset Management","Cleanup, Decommission Services, Due Diligence, Remediation Selection/Design, Risk Assessment, Site Characterization, Storage Tank Inspection and Removal, Vapor Intrusion Measurement/Mitigation, Emergency Response",
"Apex Companies, LLC","248-875-7581","http://www.apexcos.com","Statewide","Ambient Air Monitoring; Industrial Hygiene; Permitting; Source Sampling; Stack Testing; Forensics","Waste Characterization; Radon Investigation/Mitigation/Sustainability",,"Storm Water; Wastewater Management; Investigations and sampling","Investigations and Sampling","Cleanup; Decommission Services; Due Diligence; Remediation Selection/Design; Site Characterization; Vapor Intrusion Measurement/Mitigation",
"Arch Environmental Group, Inc.","734-239-1424","http://archenvgroup.com/","Mid-Michigan, Southeast Michigan, Southwest Michigan","Permitting; Source Sampling","Waste Characterization, Waste Treatment/Storage/Disposal",,"Storm Water, Wastewater Management","Sampling","Due Diligence, Risk Assessment, Site Characterization, Storage Tank Inspection and Removal, Vapor Intrusion Measurement/Mitigation","Chemical Hygiene Program and Hazard Communication Program"
"Associated Environmental Services, LLC","248-203-9898","http://www.associatedenvironmental.net","Statewide",,"Waste Characterization,",,,"Drinking Water - Tap Sampling","Brownfield Redevelopment, Cleanup, Decommission Services, Due Diligence, Remediation Selection/Design, Risk Assessment, Site Characterization, Storage Tank Inspection and Removal, Vapor Intrusion Measurement/Mitigation, Development Incentives","Brownfield Redevelopment, Development Incentives - Tax Increment Financing, Tax Abatements, Grants & Loans, and Transactional Due Diligence"
"ATC Group Services / an Atlas Company",,"http://www.atcgroupservices.com","Statewide","Ambient Air Monitoring; Industiral Hygiene; Permitting; Source Sampling; Asbestos, Mold and Lead Testing; Indoor Air Quality","Radon Investigation/Mitigation, Waste Characterization","Wetlands","Storm Water, Wastewater Management,","Asset Management, Dewatering","Brownfield Redevelopment, Cleanup, Decomission Services, Due Diligence, Remediation Selection/Design, Risk Assessment, Site Characterization, Storage Tank Inspection and Removal, Vapor Intrusion Measurement/Mitigation",
"Barr Engineering","734-922-4400","http://www.barr.com","Statewide","Ambient Air Monitoring; Industrial Hygiene; Stack Testing; CEMS/COMS; Source Sampling; Permitting; Staff Augmentation & Compliance Assistance","EMS/ISO; Sustainability; Waste Characterization; Staff Augmentation & Compliance Assistance","Shoreline Consulting/Management; Wetlands; Dam Services; Staff Augmentation & Compliance Assistance","Wastewater Management; Storm water","Well Protection; System and Plant Design; Master Planning; Water Treatment","Brownfield Redevelopment; Cleanup; Risk Assessment; Decommission Services; Due Diligence; Remediation Selection/Design; Site Characterization; Storage Tank Inspection and Removal; Vapor Intrusion measurement/mitigation",
