"municode","lu_name","lu_nametype","fy","field_name","category","group","description","account_number","notes","field_data","fiscalendmonth"
"11010","Alcona Township","Township","2017","T1R9C1","Revenue","General Fund Final Amended Budget","Property Tax (includes, delinquent taxes, penalties, interest, fees, community wide special assessments)","401-449 Except Above","Number","93900.00","3"
"11010","Alcona Township","Township","2017","T1R9C2","Revenue","General Fund","Property Tax (includes, delinquent taxes, penalties, interest, fees, community wide special assessments)","401-449 Except Above","Number","98900.00","3"
"11010","Alcona Township","Township","2017","T1R9C3","Revenue","All Other Governmental Funds","Property Tax (includes, delinquent taxes, penalties, interest, fees, community wide special assessments)","401-449 Except Above","Number","339162.00","3"
"11010","Alcona Township","Township","2017","T1R9C7","Revenue","Total","Property Tax (includes, delinquent taxes, penalties, interest, fees, community wide special assessments)","401-449 Except Above","Sum","438062.00","3"
"11010","Alcona Township","Township","2017","T1R10C1","Revenue","General Fund Final Amended Budget","TOTAL TAX REVENUES",,"Total","93900.00","3"
"11010","Alcona Township","Township","2017","T1R10C2","Revenue","General Fund","TOTAL TAX REVENUES",,"Total","98900.00","3"
"11010","Alcona Township","Township","2017","T1R10C3","Revenue","All Other Governmental Funds","TOTAL TAX REVENUES",,"Total","339162.00","3"
"11010","Alcona Township","Township","2017","T1R10C7","Revenue","Total","TOTAL TAX REVENUES",,"Sum - Total","438062.00","3"
"11010","Alcona Township","Township","2017","T1R13C1","Revenue","General Fund Final Amended Budget","Business Licenses and Permits","476-489","Number","600.00","3"
"11010","Alcona Township","Township","2017","T1R13C2","Revenue","General Fund","Business Licenses and Permits","476-489","Number","900.00","3"
"11010","Alcona Township","Township","2017","T1R13C7","Revenue","Total","Business Licenses and Permits","476-489","Sum","900.00","3"
"11010","Alcona Township","Township","2017","T1R15C1","Revenue","General Fund Final Amended Budget","TOTAL LICENSES AND PERMITS",,"Total","600.00","3"
"11010","Alcona Township","Township","2017","T1R15C2","Revenue","General Fund","TOTAL LICENSES AND PERMITS",,"Total","900.00","3"
"11010","Alcona Township","Township","2017","T1R15C7","Revenue","Total","TOTAL LICENSES AND PERMITS",,"Sum - Total","900.00","3"
"11010","Alcona Township","Township","2017","T1R25C1","Revenue","General Fund Final Amended Budget","State Revenue Sharing","574","Number","72000.00","3"
"11010","Alcona Township","Township","2017","T1R25C2","Revenue","General Fund","State Revenue Sharing","574","Number","74622.00","3"
"11010","Alcona Township","Township","2017","T1R25C7","Revenue","Total","State Revenue Sharing","574","Sum","74622.00","3"
"11010","Alcona Township","Township","2017","T1R34C1","Revenue","General Fund Final Amended Budget","TOTAL STATE GRANTS",,"Total","72000.00","3"
"11010","Alcona Township","Township","2017","T1R34C2","Revenue","General Fund","TOTAL STATE GRANTS",,"Total","74622.00","3"
"11010","Alcona Township","Township","2017","T1R34C7","Revenue","Total","TOTAL STATE GRANTS",,"Sum - Total","74622.00","3"
"11010","Alcona Township","Township","2017","T1R47C4","Revenue","Enterprise Funds","All Other Services Rendered Charges","626-637","Number","0.00","3"
"11010","Alcona Township","Township","2017","T1R47C5","Revenue","Internal Service Funds","All Other Services Rendered Charges","626-637","Number","0.00","3"
"11010","Alcona Township","Township","2017","T1R47C7","Revenue","Total","All Other Services Rendered Charges","626-637","Sum","0.00","3"
"11010","Alcona Township","Township","2017","T1R48C4","Revenue","Enterprise Funds","Parking Facilities (garages, meters, etc.)","652","Number","0.00","3"
"11010","Alcona Township","Township","2017","T1R48C5","Revenue","Internal Service Funds","Parking Facilities (garages, meters, etc.)","652","Number","0.00","3"
