Permit Number,Permit Type,Issued,Address,City,State,Zipcode,Applicant,Contractor License Number,License Type,Fees,Value of Work,Plans Submitted,SBL,Land Use,Inspector,Expiration Date,Description of Work,Location,Latitude,Longitude,Council District,Police District,Census Tract,Census Block Group,Census Block,Neighborhood,Police Districts,Tracts,Council Districts,Zip Codes,Block Groups,Blocks,Local Historic Districts,Neighborhoods,Neighborhoods ,Tax Districts
REP17-9433746,REPAIR,06/22/2017,67 AUBURN,BUFFALO,NY,14213,CUTEZO JOHN,,,75.00,1000.00,0,0992600010001000,220,ANGELA   WHITE,12/22/2017,Rebuild porch as per attached sketch. Work by owner.,"(42.91861796043725, -78.89803432878706)",42.91861796043725,-78.89803432878706,NIAGARA,District D,61,1,1012,Upper West Side,5,43,3,2,121,1138,,14,26,3
REP17-9432571,REPAIR,05/22/2017,111 HAWLEY,BUFFALO,NY,14213,AMY GOODING,LTC16-10034143,LIGHT COMMERCIAL CONTRACTOR,75.00,6000.00,0,0885100002035000,220,ANGELA   WHITE,11/22/2017,"STRIPOFF ROOF TO BARE RAFTERS, ATTACH PURLINS, AND INSTALL METAL ROOFING SYSTEM PER MANUFACTURER'S SPECIFICATIONS.","(42.93057891409714, -78.89017505637734)",42.93057891409714,-78.89017505637734,NORTH,District D,171,5,5002,Upper West Side,5,27,1,2,239,561,,27,26,3
REP17-9437491,REPAIR,08/29/2017,118 HERKIMER,BUFFALO,NY,14213,RODNEY HUTCHINGS,LTC14-10029333,LIGHT COMMERCIAL CONTRACTOR,100.00,15000.00,0,0993400005016000,281,ANGELA   WHITE,02/28/2018,complete tear off roof,"(42.91598172610395, -78.8932238972848)",42.91598172610395,-78.8932238972848,NIAGARA,District D,61,5,5006,Upper West Side,5,43,3,2,110,3097,,14,26,3
REP17-9438005,REPAIR,09/11/2017,148 AUBURN,BUFFALO,NY,14213,LICATA J F,,,125.00,20000.00,0,0992600004023000,220,ANGELA   WHITE,03/11/2018,"Tear off and reroof, install vinyl siding to a 2 story 2 family frame dwelling. Work by owner as per scanned affidavit.","(42.91846833916447, -78.89526521004173)",42.91846833916447,-78.89526521004173,NIAGARA,District D,61,5,5001,Upper West Side,5,43,3,2,110,703,,14,26,3
REP17-9444577,REPAIR,12/11/2017,159 LAFAYETTE AVE,BUFFALO,NY,14213,PATRICK HIGGINS,LTC17-10039582,LIGHT COMMERCIAL CONTRACTOR,75.00,2500.00,0,0992700001002000,210,ANGELA   WHITE,06/11/2018,"Tear off left side roof, repair facia and soffet, install architectural shingle system to comply with all building code requirements clean and remove debris","(42.92006291358291, -78.89253345841175)",42.92006291358291,-78.89253345841175,NIAGARA,District D,61,4,4002,Upper West Side,5,43,3,2,19,2851,,14,26,3
REP17-9430399,REPAIR,04/21/2017,788 PROSPECT,BUFFALO,NY,14213,CARMELA A,,,75.00,800.00,0,0995800006006000,220,ANGELA   WHITE,10/21/2017,REPLACE THE CONCRETE STOOP ON THE SIDE OF A 2 STORY 2 FAMILY FRAME DWELLING WITH A WOOD AND COMPOSITE LUMBER REPLACEMENT.,"(42.90755748422868, -78.89650846556833)",42.90755748422868,-78.89650846556833,NIAGARA,District B,70,1,1009,West Side,1,69,3,2,256,141,,40,29,4
REP17-9438389,REPAIR,09/19/2017,267 BRECKENRIDGE,BUFFALO,NY,14213,NAPLES ROOFING & SIDING,LTC11-544601,LIGHT COMMERCIAL CONTRACTOR,75.00,6600.00,0,0993500001012000,281,ANGELA   WHITE,03/19/2018,"NEW DECKING, RAINLING AND STAIRS AT FRONT PORCH OF FRONT HOUSE.","(42.9166953077077, -78.89173969492313)",42.9166953077077,-78.89173969492313,NIAGARA,District D,61,4,4007,Upper West Side,5,43,3,2,19,2625,,14,26,3
REP17-9426396,REPAIR,01/25/2017,875 HERTEL,BUFFALO,NY,14216,BRIAN SULLIVAN CONCRETE,LTC15-10033338,LIGHT COMMERCIAL CONTRACTOR,75.00,9500.00,0,0787000001001000,220,ANGELA   WHITE,07/25/2017,COMPLETE TEAROFF & REROOF AT 2-FAMILY DWELLING.,"(42.94769852756971, -78.87590580967208)",42.94769852756971,-78.87590580967208,NORTH,District D,50,1,1005,North Park,5,70,1,5,94,2746,,5,25,2
REP17-9434873,REPAIR,07/21/2017,210 POTOMAC,BUFFALO,NY,14213,DURNELL JACQUELINE,,,75.00,2500.00,0,0887500008035000,210,ANGELA   WHITE,01/21/2018,"REPAIR/REBUILD, LIKE IN KIND THE FRONT PORCH OF A 2 STORY 1 FAMILY FRAME DWELLING. WORK BY OWNER AS PER SCANNED AFFIDAVIT, SKETCHES AND PHOTOS. AN","(42.924055380574984, -78.89172792934693)",42.924055380574984,-78.89172792934693,NIAGARA,District D,171,3,3001,Upper West Side,5,27,3,2,150,3072,,27,26,3
REP17-9444719,REPAIR,12/15/2017,297 DELAVAN WEST,BUFFALO,NY,14213,ALL ACCESS CONSTRUCTION,,,100.00,14300.00,0,0888300005002000,210,ANGELA   WHITE,06/15/2018,Tear off and reroof and like in kind repairs to a 2 story 1 family frame dwelling as per scanned contract/addendum.,"(42.92201780557663, -78.88831067607212)",42.92201780557663,-78.88831067607212,NIAGARA,District D,61,2,2000,Upper West Side,5,43,3,2,181,2865,,14,26,3
REP17-9431874,REPAIR,05/03/2017,687 PROSPECT,BUFFALO,NY,14213,JOHN   FESTUS,,,75.00,250.00,0,0996600004018000,220,ANGELA   WHITE,11/03/2017,REPAIRS TO FRONT PORCH BOX BEAM. WORK BY OWNER.,"(42.90533708613637, -78.89422379812858)",42.90533708613637,-78.89422379812858,NIAGARA,District B,70,3,3000,West Side,1,69,3,2,144,1699,,40,29,4
GC16-9419084,GC,04/03/2017,137 VERMONT,BUFFALO,NY,14213,LLC TK OXFORD,,,150.00,1000.00,0,0996600005008000,220,ANGELA   WHITE,10/03/2017,***PLANS FILED***  REBUILD THE FRONT PORCH  OF A 2 STORY 2 FAMILY FARME DWELLING. WORK BY OWNER AS PER ATTACHED AFFIDAVIT.,"(42.905529375777014, -78.89278344109043)",42.905529375777014,-78.89278344109043,NIAGARA,District B,70,3,3009,West Side,1,69,3,2,144,1363,,40,29,4
REP17-9431733,REPAIR,05/01/2017,513 SEVENTH,BUFFALO,NY,14201,MARIA CASILLAS,,,75.00,4000.00,0,0998300007012100,220,ANGELA   WHITE,11/01/2017,replace finishes of rear master bedroom at first floor. No structural  changes.,"(42.89878654950853, -78.89136611181907)",42.89878654950853,-78.89136611181907,ELLICOTT,District B,70,2,2015,West Side,1,69,4,15,47,1133,,40,29,4
REP17-9426547,REPAIR,01/30/2017,76 TENNYSON,BUFFALO,NY,14216,CARDINALE DAWN M;,,,75.00,7000.00,0,0786300002005000,210,ANGELA   WHITE,07/30/2017,INSTALL VINYL SIDING TO A 2 STORY 1 FAMILY FRAME DWELLING. WORK BY OWNER AS PER SCANNED AFFIDAVIT.,"(42.94922461974822, -78.86734213496587)",42.94922461974822,-78.86734213496587,DELAWARE,District D,50,1,1000,North Park,5,70,7,5,94,1601,,5,25,2
REP17-9435185,REPAIR,07/30/2017,141 AUBURN,BUFFALO,NY,14213,ARIEL CROCKER,,,75.00,6500.00,0,0992600007002000,210,ANGELA   WHITE,01/30/2018,tear of and re-roof,"(42.918373502078275, -78.89556440196809)",42.918373502078275,-78.89556440196809,NIAGARA,District D,61,5,5004,Upper West Side,5,43,3,2,110,3160,,14,26,3
REP17-9431501,REPAIR,04/25/2017,9 POOLEY,BUFFALO,NY,14213,ABDINASIR ALI   NUR,,,75.00,2000.00,0,0886700003001110,210,ANGELA   WHITE,10/25/2017,"Replace siding as needed, repairs to porches","(42.9267614175607, -78.89408476003312)",42.9267614175607,-78.89408476003312,NIAGARA,District D,171,2,2005,Upper West Side,5,27,3,2,176,2426,,27,26,3
REP17-9433203,REPAIR,06/08/2017,318 BRECKENRIDGE,BUFFALO,NY,14213,BUILDING SOLUTIONS (LTC),LTC11-518378,LIGHT COMMERCIAL CONTRACTOR,150.00,15200.00,0,0992700006032000,642,ANGELA   WHITE,12/08/2017,TEAR OFF/SHEATH/REROOF,"(42.916836348664006, -78.88986912251674)",42.916836348664006,-78.88986912251674,NIAGARA,District D,61,2,2004,Upper West Side,5,43,3,2,181,2360,,14,26,3
