"n","fecha","orden","lugar","direcci_n","evento"
"1","2017-01-19T00:00:00.000","Institucional","Sala de Juntas Rectoria","Carrera 7 No. 40B - 53","Reunión Comité Rendición de Cuentas"
"2","2017-01-19T00:00:00.000","Nacional","Hotel Tequendama","Cra. 10 #26-21","Capacitación sobre Contratación Directa Para Entidades Estatales - Colombia Compra Eficiente"
"3","2017-01-23T00:00:00.000","Institucional","Sala de Juntas Rectoria","Carrera 7 No. 40B - 53","Coordinación Evento Rendición de Cuentas"
"4","2017-01-26T00:00:00.000","Institucional","Sede Aduanilla de  Paiba","Cl. 13 # 31 - 75","Visita a Facultades - Bienvenida a Estudiantes Nuevos"
"5","2017-01-26T00:00:00.000","Institucional","Oficina Quejas, Reclamos y Atención al Ciudadano","Carrera 7 No. 40B - 53","Reunión Comité Rendición de Cuentas"
"6","2017-01-27T00:00:00.000","Institucional","Facultad Tecnologica","Calle 68D Bis A sur # 49F-70","Visita a Facultades - Inducción a Estudiantes por Facultad"
"7","2017-01-27T00:00:00.000","Institucional","Facultad de Ciencias y Educación","Carrera 3 No. 26A - 40","Visita a Facultades - Inducción a Estudiantes por Facultad"
"8","2017-01-30T00:00:00.000","Institucional","Auditorio Sabio Caldas","Carrera 7 No. 40B - 53","Socialización  Nuevo Manual de Supervisión"
"9","2017-01-30T00:00:00.000","Institucional","Sala de Juntas Rectoría","Carrera 7 No. 40B - 53","Comité de Seguimiento de Índices de Transparencia"
"10","2017-02-02T00:00:00.000","Institucional","SEDE ADUANILLA DE PAIBA ","Cl. 13 # 31 - 75","Foro Sobre La Universidad y el Desarrollo Económico "
"11","2017-02-07T00:00:00.000","Distrital","Colegio San Bartolomé La Merced","Cra. 5 #33B-80","Feria Universitaria"
"12","2017-02-08T00:00:00.000","Institucional","SEDE ADUANILLA DE PAIBA ","Cl. 13 # 31 - 75","Inducción Sistema de Seguridad"
"13","2017-02-09T00:00:00.000","Distrital","Localidad Ciudad Bolívar PARQUE ILLIMANI","KR 27 con cll 72 c sur, barrio El Paraíso","FERIA DE SERVICIO CADE MOVIL"
"14","2017-02-09T00:00:00.000","Institucional","SEDE ADUANILLA DE PAIBA ","Cl. 13 # 31 - 75","Foro Idea de la Universidad "
"15","2017-02-10T00:00:00.000","Distrital","Localidad Ciudad Bolívar PARQUE ILLIMANI","KR 27 con cll 72 c sur, barrio El Paraíso","FERIA DE SERVICIO CADE MOVIL"
"16","2017-02-10T00:00:00.000","Institucional","SEDE ADUANILLA DE PAIBA ","Cl. 13 # 31 - 75","Foro Idea de la Universidad"
"17","2017-02-11T00:00:00.000","Distrital","Localidad Ciudad Bolívar PARQUE ILLIMANI","KR 27 con cll 72 c sur, barrio El Paraíso","FERIA DE SERVICIO CADE MOVIL"
"18","2017-02-12T00:00:00.000","Institucional","Coordinación Ingenieria Catastral y Geodesia","Carrera 7 No. 40B - 53","Accion de mejora - Recomendaciones a procesos de inscripción, modificación y cancelación asignaturas - términos de respuesta"
"19","2017-02-13T00:00:00.000","Institucional","Facultad Ingenieria","Carrera 7 No. 40B - 53","Socialización Rendición de Cuentas"
"20","2017-02-14T00:00:00.000","Institucional","Facultad de Medio Ambiente y Recursos Naturales","Carrera 5 Este No. 15 - 82","Socialización Rendición de Cuentas"
"21","2017-02-15T00:00:00.000","Institucional","Facultad Tecnologica","Calle 68D Bis A sur # 49F-70","Socialización Rendición de Cuentas"
"22","2017-02-16T00:00:00.000","Institucional","Facultad de Ciencias y Educación","Carrera 3 No. 26A - 40","Socialización Rendición de Cuentas"
