"origen","tipo","n_mero","nombre","nombre_instituci_n_o","usuario","estado","url_suit"
"N","Modelo Único – Hijo","28422","Licencia de intervención del espacio público","ALCALDÍA DE SINCELEJO","Econtreras384","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=28422"
"N","Plantilla Único - Hijo","19386","Cambio de nombre o razón social de un establecimiento educativo estatal o privado","ALCALDÍA DE SINCELEJO","SMARQUEZ663","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=19386"
"N","Modelo Único – Hijo","19363","Cesantías definitivas a beneficiarios de un docente fallecido","ALCALDÍA DE SINCELEJO","SMARQUEZ663","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=19363"
"N","Plantilla Único - Hijo","19765","Facilidades de pago para los deudores de obligaciones tributarias","ALCALDÍA DE SINCELEJO","Jcanchila896","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=19765"
"N","Modelo Único – Hijo","41216","Licencia de ocupación del espacio público para la localización de equipamiento","ALCALDÍA DE SINCELEJO","ECONTRERAS384","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=41216"
"N","Modelo Único – Hijo","26831","Curso de manipulación higiénica de alimentos","ALCALDÍA DE SINCELEJO","Econtreras384","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=26831"
"N","Modelo Único – Hijo","22911","Apertura de los centros de estética y similares","ALCALDÍA DE SINCELEJO","Malvarez212","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=22911"
"M","Plantilla Único - Hijo","14069","Concepto de uso del suelo","ALCALDÍA DE SINCELEJO","Econtreras384","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=14069"
"N","Modelo Único – Hijo","22908","Legalización urbanística de asentamientos humanos","ALCALDÍA DE SINCELEJO","Econtreras384","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=22908"
"N","Modelo Único – Hijo","28392","Modificación del plano urbanístico","ALCALDÍA DE SINCELEJO","Econtreras384","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=28392"
"N","Modelo Único – Hijo","29491","Registro de actividades relacionadas con la enajenación de inmuebles destinados a vivienda","ALCALDÍA DE SINCELEJO","Econtreras384","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=29491"
"N","Plantilla Otros procedimientos administrativos de cara al usuario - Hijo","28334","Vacunación antirrábica de caninos y felinos","ALCALDÍA DE SINCELEJO","Malvarez212","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=28334"
"N","Modelo Único – Hijo","19382","Licencia de funcionamiento para las instituciones promovidas por particulares que ofrezcan el servicio educativo para el trabajo y el desarrollo humano","ALCALDÍA DE SINCELEJO","SMARQUEZ663","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=19382"
"N","Plantilla Único - Hijo","19425","Exención del impuesto de industria y comercio","ALCALDÍA DE SINCELEJO","Jcanchila896","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=19425"
"N","Plantilla Único - Hijo","19628","Registro de marcas de ganado","ALCALDÍA DE SINCELEJO","ccastillo935","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=19628"
"N","Plantilla Único - Hijo","19389","Clasificación en el régimen de educación a un establecimiento educativo privado","ALCALDÍA DE SINCELEJO","SMARQUEZ663","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=19389"
"N","Modelo Único – Hijo","19829","Permiso para demostraciones públicas de pólvora, artículos pirotécnicos o fuegos artificiales","ALCALDÍA DE SINCELEJO","ccastillo935","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=19829"
"N","Plantilla Único - Hijo","33496","Devolución y/o compensación de pagos en exceso y pagos de lo no debido","ALCALDÍA DE SINCELEJO","Jcanchila896","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=33496"
"N","Plantilla Único - Hijo","55793","Asignación de nomenclatura","ALCALDÍA DE SINCELEJO","ECONTRERAS384","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=55793"
"N","Modelo Único – Hijo","19262","Pensión de retiro por vejez para docentes oficiales","ALCALDÍA DE SINCELEJO","SMARQUEZ663","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=19262"
"N","Modelo Único – Hijo","19819","Ascenso o reubicación de nivel salarial en el escalafón docente oficial","ALCALDÍA DE SINCELEJO","Cbalseiro688","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=19819"
"N","Plantilla Único - Hijo","19374","Clausura de un establecimiento educativo oficial o privado","ALCALDÍA DE SINCELEJO","SMARQUEZ663","Inscrito","http://visor.suit.gov.co/VisorSUIT/index.jsf?FI=19374"
