"institucion_educativa","nombre_sede","rector","tipo","direcci_n","zona","barrio","tel_fono","celular_1","celular_2","celular_3","correo_electronico","correo_electronico_2"
"CENTRO DE SISTEMAS DE ANTIOQUIA","CENTRO DE SISTEMAS DE ANTIOQUIA","SIOMARA RINCÓN","INSTITUCION EDUCATIVA PARA EL TRABAJO Y DESARROLLO HUMANO","K 2 C 24 30","URBANA","N/A","N/A","313 5924229","3022680457","N/A","LADORADA@CENSA.EDU.CO","N/A"
"CENTRO EDUCATIVO CIENCIA Y EL SABER","CENTRO EDUCATIVO CIENCIA Y EL SABER","MERCEDES LEON CASTAÑEDA","INSTITUCION EDUCATIVA NO OFICIAL","C 17 K 8-46","URBANA","EL CABRERO","(606) 857 11 77","323 488 7060","N/A","N/A","IECIENCIAYSABER@GMAIL.COM","N/A"
"CENTRO EDUCATIVO DE ATENCION AL NIÑO DISCAPACITADO FANDIS","CENTRO EDUCATIVO DE ATENCION AL NIÑO DISCAPACITADO FANDIS","ROSALBA SALDARRIAGA GALLEGO","INSTITUCION EDUCATIVA NO OFICIAL","N/A","URBANA","N/A","(606) 8390901","3218527294","N/A","N/A","CENTROEDUCATIVOFANDIS@HOTMAIL.COM","N/A"
"CENTRO EDUCATIVO JARDIN INFANTIL HUELLITAS DEL FUTURO","CENTRO EDUCATIVO JARDIN INFANTIL HUELLITAS DEL FUTURO","ADRIANA BEATRIZ CARVAJALINO LINARES","INSTITUCION EDUCATIVA NO OFICIAL","C 10 K 8 25","URBANA","N/A","N/A","3107978081","N/A","N/A","JHUELLITASDELFUTURO@HOTMAIL.COM","N/A"
"CENTRO EDUCATIVO TECNOSISTEMAS","CENTRO EDUCATIVO TECNOSISTEMAS","MARINA MARTINEZ PINZON","INSTITUCION EDUCATIVA PARA EL TRABAJO Y DESARROLLO HUMANO","C 8 K 5 69","URBANA","LOS ALPES","(606) 8570692","3105444729","3218160800","3147710899","TECEDUPERS@HOTMAIL.COM","TECEDUPERS@GMAIL.COM"
"CENTRO EDUCATIVO VIDA CEVIDA","CENTRO EDUCATIVO VIDA CEVIDA","JAIME TRUJILLO","INSTITUCION EDUCATIVA NO OFICIAL","C 48A K 1 69","URBANA","N/A","(606) 8575432","N/A","N/A","N/A","TERESA715@HOTMAIL.COM","N/A"
"CENTRO PECUARIO Y AGROEMPRESARIAL SENA","CENTRO PECUARIO Y AGROEMPRESARIAL SENA","JUAN MANUEL VILLA LLINAS","INSTITUCION EDUCATIVA PARA EL TRABAJO Y DESARROLLO HUMANO","K 1 C 40","URBANA","ALFONZO LOPEZ","(606) 8573904","N/A","N/A","N/A","N/A","N/A"
"COLEGIO CERVANTES","COLEGIO CERVANTES","LUZ DIVIA SAN JUAN","INSTITUCION EDUCATIVA NO OFICIAL","K 12 C 11A 15","URBANA","N/A","(606) 8574597","3154613750","N/A","N/A","YISELAANDREA2015@HOTMAIL.COM","N/A"
"COLEGIO DIVINO NIÑO JESUS","COLEGIO DIVINO NIÑO JESUS","JORGE OCTAVIO RAMIREZ HURTADO","INSTITUCION EDUCATIVA NO OFICIAL","K 5 C 33 48","URBANA","N/A","(606) 8574199","N/A","N/A","N/A","DIVINO_31985@YAHOO.COM","N/A"
"COLEGIO GABRIELA MISTRAL","COLEGIO GABRIELA MISTRAL","DAVID TORRES GONZALEZ","INSTITUCION EDUCATIVA NO OFICIAL","C 45 K 3 53","URBANA","N/A","(606) 8578246","N/A","N/A","N/A","DAYEAN2009@HOTMAIL.COM","N/A"
