"informacindelaentidad_nombredelaentidad","informacindelaentidad_orden","uid"
"Alcaldía Municipal de Medellín","Territorial","397"
"Universidad del Quindío","Territorial","253"
"Unidad de Planificación de Tierras Rurales, Adecuación de Tierras y Usos Agropecuarios","Nacional","181"
"Ministerio de Tecnologías de La Información y Las Comunicaciones","Nacional","113"
"Alcaldía Municipal de Palmira","Territorial","92"
"Gobernación del Valle del Cauca","Territorial","82"
"Superintendencia de Servicios Públicos Domiciliarios","Nacional","79"
"Alcaldía Municipal de Neiva","Territorial","69"
"Alcaldía Municipal de Pereira","Territorial","67"
"Alcaldía Municipal de Medellín","Nacional","66"
"Ministerio de Salud y Protección Social","Nacional","58"
"Instituto Nacional de Vigilancia de Medicamentos y Alimentos","Nacional","55"
"Universidad de Cundinamarca","Territorial","53"
"Ministerio de Justicia y del derecho","Nacional","52"
"Universidad Pedagógica y Tecnológica de Colombia","Nacional","49"
"Dirección General de la Policía Nacional","Nacional","47"
"Alcaldía Distrital de Barranquilla, Distrito Especial, Industrial y Portuario","Territorial","47"
"Ministerio de Defensa Nacional","Nacional","46"
"Alcaldía Municipal de Bucaramanga","Territorial","46"
"Agencia Nacional de Contratación Pública Colombia Compra Eficiente","Nacional","43"
"Megabus S.A.","Territorial","42"
"Departamento Administrativo Nacional de Estadística","Nacional","42"
"Gobernación del Atlántico","Territorial","40"
"Alcaldía Municipal de Santiago de Cali","Territorial","38"
"Ministerio de Educación Nacional","Nacional","35"
"Unidad Administrativa Especial para la Atención y Reparación Integral a Las Víctimas","Nacional","34"
"Agencia Nacional de Hidrocarburos","Nacional","33"
"Departamento Nacional de Planeación","Nacional","33"
"Gobernación del Risaralda","Territorial","32"
"Superintendencia Financiera de Colombia","Nacional","32"
"Dirección Territorial de Salud de Caldas","Territorial","32"
"Alcaldía Municipal de Sabaneta","Territorial","31"
"Centro de Memoria Histórica","Nacional","31"
"Gobernación del Norte de Santander","Territorial","30"
"Alcaldía Municipal de Yopal","Territorial","29"
"Corporación Autónoma Regional del Centro de Antioquia","Territorial","29"
"Gobernación de Boyacá","Territorial","28"
"Contraloría Departamental del Cauca","Territorial","28"
