"a_o","secretaria","codigodepartamento","nombredepartamento","codigomunicipio","nombremunicipio","codigoestablecimiento","nombreestablecimiento","zona","direccion","telefono","codigo_etc","tipo_establecimiento","etnias","sector","genero","niveles","jornada","caracter","especialidad","grados","modelos_educativos","modelos","discapacidades","idiomas","numero_de_sedes","estado","prestador_de_servicio","propiedad_planta_fisica","resguardo","matricula_contratada","calendario","internado","estrato_socio_economico","correo_electronico"
"2016","PEREIRA","66","RISARALDA","66001","PEREIRA","266001001264","CENT EDUC VILLA ALVAREZ",,"CORREG LA FLORIDA","3144049  3144264","GLADIS TORO DE SOTO","CENTRO EDUCATIVO",,,,,,,,,,,,,"0",,"OFICIAL","OFICIAL","NO APLICA","NO","A",,,
"2016","PEREIRA","66","RISARALDA","66001","PEREIRA","366001005710","JARD INF LA RANA VERDE","URBANA","CR 6 NO 30-11","3367595","DIANA MARIA MORALES","CENTRO EDUCATIVO",,,,"PREESCOLAR","MAÑANA,TARDE",,,"-3","EDUCACIÓN TRADICIONAL",,,"INGLÉS","1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,
"2016","PEREIRA","66","RISARALDA","66001","PEREIRA","366001006856","JARDIN INFANTIL PINCELADAS DE SUEÑOS","URBANA","KR 8 35 71",,"FRANCEDY VELASQUEZ RANGEL","CENTRO EDUCATIVO",,,,,,,,,,,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,
"2016","PEREIRA","66","RISARALDA","66001","PEREIRA","166001004455","SANTA ROSA DE LIMA","URBANA","SAN FERNANDO CUBA","3372094",,"CENTRO EDUCATIVO",,,,,"TARDE",,,,,,,,"1",,"OFICIAL","OFICIAL","NO APLICA","NO","A",,,
"2016","PEREIRA","66","RISARALDA","66001","PEREIRA","366001007291","CENT PSICOPEDAG DECROLY","URBANA","KR 11 BIS 24 244",,"ANA MARIA POSADA GONZALEZ","CENTRO EDUCATIVO",,,,,,,,,,,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,
"2016","PEREIRA","66","RISARALDA","66001","PEREIRA","366001007461","LICEO EXPLORING MINDS - MENTES EXPLORADORAS","URBANA","MZ 16 CS 7",,"LUZ ADRIANA JARAMILLO HENAO","CENTRO EDUCATIVO",,,,,,,,,,,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","B",,,
"2016","PEREIRA","66","RISARALDA","66001","PEREIRA","366001005591","LIC ECOLOGICO RANITAS VERDES","URBANA","MZ 3 CS 6 PANORAMA I","3121107","GLORIA YANETH RODAS BERMUDEZ","CENTRO EDUCATIVO",,,,"PREESCOLAR,BÁSICA PRIMARIA","MAÑANA,TARDE",,,"-2,-1,0,1,2,3,4,5","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"ranitahappy452@hotmaill.com"
"2016","PEREIRA","66","RISARALDA","66001","PEREIRA","266001002228","CE TREINTA DE AGOSTO","RURAL","GALICIA ALTA ENTRADA COMFAMILIAR","3279197","LUZ MYRIAM DEL SOCORRO CLAVIJO RESTREPO","CENTRO EDUCATIVO",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,PRIMERA INFANCIA","MAÑANA,ÚNICA,NOCTURNA,TARDE",,"NO APLICA,ACADÉMICA","-3,-1,0,1,2,3,4,5,21,22,23,24,25,26","EDUCACIÓN TRADICIONAL",,,,"1",,"OFICIAL","OFICIAL","NO APLICA","NO","A",,,"centroeducativotreintadeagosto@gmail.com"
"2016","PEREIRA","66","RISARALDA","66001","PEREIRA","266001004255","CE LA CARBONERA","RURAL","VDA LA CARBONERA","3113748206","ISABEL MOSQUERA PORTILLA","CENTRO EDUCATIVO",,,,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,ÚNICA,TARDE",,,"0,1,2,3,4,5,6","EDUCACIÓN TRADICIONAL",,,,"1",,"OFICIAL","OFICIAL","NO APLICA","NO","A",,,
"2016","PEREIRA","66","RISARALDA","66001","PEREIRA","366001006996","LICEO EURO - AMERICANO","URBANA","CL 44 11 20","3126118904","LEONARDO FABIO MALDONADO NARANJO","CENTRO EDUCATIVO",,,,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE,FIN DE SEMANA",,"OTRO,ACADÉMICA","21,22,23,24,25,26","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO","A",,,"liceoeuroamericano@gmail.com"
