"nombre","telefono_fijo","direcci_n","email","pagina_web"
"COL SAGRADO CORAZON DE JESUS","5829273 - 5715781","CLL 16 NO 3-60 BARRIO LA PLAYA","colsaje@semcucuta.gov.co","http://www.corsaje.edu.co/"
"ESC URB ANTONIA SANTOS NO 2","5720983","AV 9 NO 15-42 BARRIO EL PARAMO","colsaje@semcucuta.gov.co","http://www.corsaje.edu.co/"
"COL SAN JOSE DE CUCUTA","5834780","CLL 13 NO 5-65 BARRIO EL CENTRO","colsanjose@semcucuta.gov.co","https://colsanjoc.edu.co/web/"
"ESC URB MERCEDES ABREGO NO 12","5727618","AV 12 NO 9-01 BARRIO EL LLANO","colsanjose@semcucuta.gov.co","https://colsanjoc.edu.co/web/"
"ESC URB LA CABRERA NO 45","5831806","AV 6 NO 19-76 BARRIO LA CABRERA","colsanjose@semcucuta.gov.co","https://colsanjoc.edu.co/web/"
"ESC URB DE NIÑAS CRISTO REY","5832190","CLL 20A NO 4-63 BARRIO LA CABRERA","colsanjose@semcucuta.gov.co","https://colsanjoc.edu.co/web/"
"INST TEC NACIONAL DE COMERCIO","5719672 - 5723236","CLL 12 NO 0-40 BARRIO LA PLAYA","instecnalcom@semcucuta.gov.co","https://instenalcocucuta.edu.co/web/"
"ESC URB PILOTO REPUBLICA DE VENEZUELA NO 17","5716488","CLL 9 NO 2-47 BARRIO LATINO","instecnalcom@semcucuta.gov.co","https://instenalcocucuta.edu.co/web/"
"ESC NORMAL SUPERIOR MARIA AUXILIADORA","5712983 - 5836459 - 5836451","AV 4 NO 12-81 BARRIO EL CENTRO","colnormal@semcucuta.gov.co","https://www.ensmacucuta.edu.co/calificaciones"
"ESC NORMAL SUPERIOR MARIA AUXILIADORA SEDE PRIMARIA","5719316","CLL 11 NO 0-49 BARRIO EL CENTRO","colnormal@semcucuta.gov.co","https://www.ensmacucuta.edu.co/calificaciones"
"COL GONZALO RIVERA LAGUADO","5720021 - 5820496","AV 13 NO 13-32 BARRIO EL CONTENTO","colgorila@semcucuta.gov.co","https://gonzaloriveralaguado.edu.co/web/"
