"uid","name","description","owner","owner_uid","publication_stage","audience","approval_status","provenance","type","category","tags","url","api_endpoint","creation_date","last_data_updated_date","domain","derived_view","visits","downloads","row_count","column_count","contact_email","license","attribution","attribution_link","published_version_name","published_version_uid","parent_uid","commoncore_publisher","informacindedatos_fechaemisinddmmaaaa","commoncore_contactname","commoncore_language","commoncore_contactemail","commoncore_license","commoncore_issued","informacindelaentidad_sector","commoncore_references","informacindelaentidad_nombredelaentidad","commoncore_publicaccesslevel","commoncore_bureaucode","commoncore_describedby","commoncore_updatefrequency","informacindedatos_urlnormativa","informacindelaentidad_departamento","informacindelaentidad_autor","informacindelaentidad_orden","commoncore_programcode","commoncore_lastupdate","commoncore_homepage","commoncore_uniqueidentifier","informacindelaentidad_reaodependecia","informacindedatos_fechaemisinaaaammdd","informacindelaentidad_reaodependencia","informacindelaentidad_municipio","commoncore_geographiccoverage","informacindedatos_frecuenciadeactualizacin","informacindedatos_idioma","commoncore_theme","informacindedatos_coberturageogrfica","informacindedatos_urldocumentacin"
"bwn9-a6r6","Inscritos por sede","Estudiantes inscritos por sedes uniquindio varios periodos","Universidad del Quindio","r9f9-nfit","published","private","pending","official","dataset","Educación","facultades,estrato socioeconómico,estado civil,departamentos,programas,nacionalidad,modalidad,metodología,jornada,género,ciudades","https://www.datos.gov.co/d/bwn9-a6r6","https://www.datos.gov.co/resource/bwn9-a6r6.json","2022-08-26T19:24:41.000","2022-08-26T21:35:09.000","www.datos.gov.co","false","1","0","37195","16","datospersonales@uniquindio.edu.co","Creative Commons Attribution | NoDerivatives 4.0 International License","Universidad del Quindío","https://www.uniquindio.edu.co/",,,,,,,,,,,"Educación",,"Universidad del Quindío",,,,,,"Quindío",,"Territorial",,,,,,"2022-08-25","Oficina de Planeación y Desarrollo","Armenia",,"Semestral","Español",,"Departamental","https://www.uniquindio.edu.co/"
"icq2-fbj2","Graduados Histórico","Estudiantes Graduados varios periodos","Universidad del Quindio","r9f9-nfit","published","private","pending","official","dataset","Educación","jornada,facultades,género,metodología,nivel de formación,programa,sede","https://www.datos.gov.co/d/icq2-fbj2","https://www.datos.gov.co/resource/icq2-fbj2.json","2022-08-25T14:04:20.000","2022-08-25T14:49:40.000","www.datos.gov.co","false","1","0","9388","8","datospersonales@uniquindio.edu.co","Creative Commons Attribution | NoDerivatives 4.0 International License","Universidad del Quindío","https://www.uniquindio.edu.co/",,,,,,,,,,,"Educación",,"Universidad del Quindío",,,,,,"Quindío",,"Territorial",,,,,,"2022-08-24","Oficina de Planeación y Desarrollo","Armenia",,"Semestral","Español",,"Departamental","https://www.uniquindio.edu.co/"
"sxf5-ss3u","Inscritos por Jornada","Estudiantes inscritos por jornada académica varios periodos","Universidad del Quindio","r9f9-nfit","published","private","pending","official","dataset","Educación","ciudades,género,estado civil,sedes,departamentos,modalidad,metodología,programas,estrato socioeconómico,facultad,nacionalidad","https://www.datos.gov.co/d/sxf5-ss3u","https://www.datos.gov.co/resource/sxf5-ss3u.json","2022-08-25T19:23:47.000","2022-08-25T19:41:51.000","www.datos.gov.co","false","1","0","37195","16","datospersonales@uniquindio.edu.co","Creative Commons Attribution | NoDerivatives 4.0 International License","Universidad del Quindío","https://www.uniquindio.edu.co/",,,,,,,,,,,"Educación",,"Universidad del Quindío",,,,,,"Quindío",,"Territorial",,,,,,"2022-08-24","Oficina de Planeación y Desarrollo","Armenia",,"Semestral","Español",,"Departamental","https://www.uniquindio.edu.co/"
"yu28-b572","Inscritos por género","Estudiasntes inscritos por género varios periodos","Universidad del Quindio","r9f9-nfit","published","private","pending","official","dataset","Educación","facultades,departamentos,sedes uniquindio,programas,estado civil,nacionalidad,modalidad,metodología,jornada,estrato socieconómico,ciudades","https://www.datos.gov.co/d/yu28-b572","https://www.datos.gov.co/resource/yu28-b572.json","2022-08-25T18:34:44.000","2022-08-25T18:55:59.000","www.datos.gov.co","false","1","0","37195","16","datospersonales@uniquindio.edu.co","Creative Commons Attribution | NoDerivatives 4.0 International License","Universidad del Quindío","https://www.uniquindio.edu.co/",,,,,,,,,,,"Educación",,"Universidad del Quindío",,,,,,"Quindío",,"Territorial",,,,,,"2022-08-25","Oficina de Planeación y Desarrollo","Armenia",,"Semestral","Español",,"Departamental","https://www.uniquindio.edu.co/"
"3vft-pewx","HOMICIDIO COLECTIVO VÍCTIMAS","Aquellos hechos en los cuales resultan muertos cuatro (4) o más personas en estado de indefensión en el mismo lugar, a la misma hora y por los mismos autores","johalda","g7xk-p77r","published","private","pending","official","dataset","Seguridad y Defensa","homicidio colectivo,víctimas","https://www.datos.gov.co/d/3vft-pewx","https://www.datos.gov.co/resource/3vft-pewx.json","2022-07-18T05:28:02.000","2022-07-18T05:31:14.000","www.datos.gov.co","false","6","0","597","7","johan.aldana@mindefensa.gov.co",,"Ministerio de Defensa Nacional","https://www.mindefensa.gov.co",,,,,,,,,,,"Defensa",,"Ministerio de Defensa Nacional",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2022-07-17","Observatorio de Derechos Humanos y Defensa Nacional","Bogotá D.C.",,"Mensual","Español",,"Nacional",
"dren-2hyk","EQUIPOS","Equipos y medios empleados por grupos armados organizados, grupos de delincuencia organizada y delincuencia común","johalda","g7xk-p77r","published","private","pending","official","dataset","Seguridad y Defensa","delincuencia organizada,grupos armados,delincuencia común,equipos","https://www.datos.gov.co/d/dren-2hyk","https://www.datos.gov.co/resource/dren-2hyk.json","2022-07-16T18:49:19.000","2022-07-16T22:06:18.000","www.datos.gov.co","false","7","0","164147","8","johan.aldana@mindefensa.gov.co",,"Ministerio de Defensa Nacional","https://www.mindefensa.gov.co",,,,,,,,,,,"Defensa",,"Ministerio de Defensa Nacional",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2022-07-16","Observatorio de Derechos Humanos y Defensa Nacional","Bogotá D.C.",,"Mensual","Español",,"Nacional",
"au3n-3k3u","Planes de Adquisiciones Universidad del Magdalena","Planes de Adquisiciones de la Universidad desde la vigencia 2022, ítems, responsables, montos.","Unimagdalena","77r5-2imb","published","private","pending","official","dataset","Educación","adquisiciones,compras,plan anual de adquisiciones","https://www.datos.gov.co/d/au3n-3k3u","https://www.datos.gov.co/resource/au3n-3k3u.json","2022-08-22T16:29:25.000","2022-08-23T20:13:42.000","www.datos.gov.co","false","5","0","88","11","planeacion@unimagdalena.edu.co","Creative Commons Attribution | Share Alike 4.0 International","Universidad del Magdalena",,,,,,,,,,,,"Educación",,"Universidad del Magdalena",,,,,,"Magdalena",,"Territorial",,,,,,"2022-08-12","Oficina Asesora de Planeación","Santa Marta",,"Anual","Español",,"Nacional",
"2t8c-queb","Proyectos de Investigación Activos Universidad del Magdalena","Proyectos de investigación activos en cada semestre, código, nombre, fuente de financiación...","Unimagdalena","77r5-2imb","published","private","pending","official","dataset","Educación","proyectos,investigación","https://www.datos.gov.co/d/2t8c-queb","https://www.datos.gov.co/resource/2t8c-queb.json","2022-08-23T19:51:06.000","2022-08-23T19:58:19.000","www.datos.gov.co","false","1","0","585","6","planeacion@unimagdalena.edu.co","Creative Commons Attribution | Share Alike 4.0 International","Universidad del Magdalena",,,,,,,,,,,,"Educación",,"Universidad del Magdalena",,,,,,"Magdalena",,"Territorial",,,,,,"2022-08-23","Oficina Asesora de Planeación","Santa Marta",,"Anual","Español",,"Nacional",
"tec3-bzwn","Visitas & accesos en Diciembre de 2020","<p>This dataset provides detail on how all assets on a domain are being used (e.g. views, downloads, API reads).</p><p>User activity is provided by date, asset uid, asset type, asset name, access type and user segment. Please see <a href=""https://support.socrata.com/hc/en-us/articles/360051223314"">Site Analytics: Asset Access</a> for more detail about these fields.</p><p>The dataset will reflect new Asset Access records within a day of when they occur.</p>","Ministerio de Tecnologías de la Información y las Comunicaciones","r4qn-dwdd","published","private","pending","official","filter",,,"https://www.datos.gov.co/d/tec3-bzwn","https://www.datos.gov.co/resource/tec3-bzwn.json","2022-08-25T02:26:32.000","2022-08-28T22:38:08.000","www.datos.gov.co","true","2","0","550329",,,,,,,,"xkc6-akp5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e8rq-4g9s","RUTAS DE TRANSPORTE COLECTIVO 2022","Listado de Rutas de Transporte Público  Colectivo habilitadas por el Área Metropolitana de Barranquilla para la vigencia 2022.","VANESSA GONZALEZ","vsxg-a9i9","published","private","pending","official","dataset","Transporte","amb,rutas,rutas buses,tpc,2022","https://www.datos.gov.co/d/e8rq-4g9s","https://www.datos.gov.co/resource/e8rq-4g9s.json","2022-08-25T19:24:48.000","2022-08-25T19:31:45.000","www.datos.gov.co","false","1","0","88","7","vgonzalez@ambq.gov.co",,"ÁREA METROPOLITANA DE BARRANQUILLA",,,,,,,,,,,,"Función Pública",,"Área Metropolitana de Barranquilla",,,,,,"Atlántico",,"Territorial",,,,,,"2022-08-25","OFICINA DE TRANSPORTE PUBLICO INDIVIDUAL ","Barranquilla",,"No aplica","Español",,"Municipal",
