"bancarizado","codigodepartamentoatencion","codigomunicipioatencion","discapacidad","estadobeneficiario","etnia","fechainscripcionbeneficiario","genero","nivelescolaridad","nombredepartamentoatencion","nombremunicipioatencion","pais","tipoasignacionbeneficio","tipobeneficio","tipodocumento","tipopoblacion","rangobeneficioconsolidad","rangoultimobeneficioasignado","fechaultimobeneficioasignado","rangoedad","titular","cantidaddebeneficiarios"
"NO","15","15272","false","ACTIVO","ND","2015-05-01T00:00:00.000","Mujer","ND","BOYACA","FIRAVITOBA","ND","ND","NUTRICIÓN MENOR","RC","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01T00:00:00.000","2017-06-01T00:00:00.000","NO","1"
"NO","15","15272","false","ACTIVO","ND","2015-03-01T00:00:00.000","Mujer","ND","BOYACA","FIRAVITOBA","ND","ND","NUTRICIÓN MENOR","RC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01T00:00:00.000","2017-06-01T00:00:00.000","NO","1"
"ND","15","15272","false","ACTIVO","INDIGENA","2012-12-01T00:00:00.000","Mujer","ND","BOYACA","FIRAVITOBA","ND","ND","EDUCACIÓN SECUNDARIA","RC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01T00:00:00.000","2017-06-01T00:00:00.000","NO","1"
"NO","15","15272","false","NO ACTIVO","ND","2012-12-01T00:00:00.000","Hombre","ND","BOYACA","FIRAVITOBA","ND","ND","NUTRICIÓN MENOR","RC","ND","0 - 1.500.000","0 - 1.300.000","1900-01-01T00:00:00.000","2017-06-01T00:00:00.000","NO","1"
"NO","15","15272","false","ACTIVO","ND","2015-07-01T00:00:00.000","Mujer","ND","BOYACA","FIRAVITOBA","ND","ND","NUTRICIÓN MENOR","RC","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01T00:00:00.000","2017-06-01T00:00:00.000","NO","2"
"NO","15","15272","false","ACTIVO","ND","2014-05-01T00:00:00.000","Hombre","TRANSICION","BOYACA","FIRAVITOBA","ND","ND","TRANSICIÓNNUTRICIÓN MENOR","RC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01T00:00:00.000","2017-06-01T00:00:00.000","NO","1"
"NO","15","15272","false","ACTIVO","ND","2014-07-01T00:00:00.000","Mujer","TRANSICION","BOYACA","FIRAVITOBA","ND","ND","TRANSICIÓNNUTRICIÓN MENOR","RC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01T00:00:00.000","2017-06-01T00:00:00.000","NO","1"
"NO","15","15272","false","NO ACTIVO","ND","2012-12-01T00:00:00.000","Mujer","ND","BOYACA","FIRAVITOBA","ND","ND","ND","RC","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01T00:00:00.000","2017-06-01T00:00:00.000","NO","1"
"NO","15","15272","false","ACTIVO","ND","2014-07-01T00:00:00.000","Mujer","ND","BOYACA","FIRAVITOBA","ND","ND","NUTRICIÓN MENOR","RC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01T00:00:00.000","2017-06-01T00:00:00.000","NO","1"
"NO","15","15272","false","ACTIVO","ND","2015-03-01T00:00:00.000","Hombre","ND","BOYACA","FIRAVITOBA","ND","ND","NUTRICIÓN MENOR","RC","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01T00:00:00.000","2017-06-01T00:00:00.000","NO","2"
