"nombre_del_tramite","descripci_n","url"
"Actualización de datos de identificación en la base de datos del sistema de identificación y clasificación de potenciales beneficiarios de programas sociales – SISBEN","Obtener la corrección y/o actualización de los datos de identificación de una o varias personas ya registradas en la base de datos del SISBEN, tales como: nombres, apellidos, número de documento de identificación, tipo de documento, entre otros.","https://www.nomasfilas.gov.co/buscador/-/tramite/T10374"
"Ajuste de cotas y áreas","Autorización para incorporar en los planos urbanísticos previamente aprobados para expedir licencias, la corrección técnica de cotas y áreas de un predio o predios determinados cuya urbanización haya sido ejecutada en su totalidad.","https://www.nomasfilas.gov.co/buscador/-/tramite/T53714"
"Aprobación de los planos de propiedad horizontal","Obtener la aprobación de los planos de alinderamiento, cuadros de áreas o proyecto de división entre bienes privados y bienes comunes de la propiedad horizontal.","https://www.nomasfilas.gov.co/buscador/-/tramite/T60424"
"Aprobación de piscinas","Permiso para la intervención del terreno destinado a la construcción de piscinas.","https://www.nomasfilas.gov.co/buscador/-/tramite/T60414"
"Asignación de nomenclatura","Obtener el número de identificación único de los bienes raíces que se encuentren dentro de la jurisdicción.","https://www.nomasfilas.gov.co/buscador/-/tramite/T58284"
"Asistencia técnica rural","Asesoría a los pequeños y medianos productores agrícolas, pecuarios, forestales y pesqueros, en los siguientes asuntos: la aptitud de los suelos, en la selección del tipo de actividad a desarrollar y en la planificación de las explotaciones; en la aplicación y uso de tecnologías y recursos adecuados a la naturaleza de la actividad productiva; en las posibilidades y procedimientos para acceder al financiamiento de la inversión; en el mercadeo apropiado de los bienes producidos y en la promoción de las formas de organización de los productores.","https://www.nomasfilas.gov.co/memoficha-tramite/-/tramite/T50120"
"Autorización de Ocupación de Inmuebles","Obtener el certificado que acredita el cabal cumplimiento de las obras construidas de conformidad con la licencia de construcción en la modalidad de obra nueva u obra de adecuación a las normas de sismorresistencia y/o normas urbanísticas y arquitectónicas.","https://www.nomasfilas.gov.co/buscador/-/tramite/T59134"
"Autorización para el movimiento de tierras","Obtener la aprobación para realizar trabajos en un terreno con el fin de dejarlo despejado y nivelado, como fase preparatoria de futuras obras de parcelación, urbanización y/o construcción.","https://www.nomasfilas.gov.co/buscador/-/tramite/T59140"
"Autorización para la operación de juegos de suerte y azar en la modalidad de promocionales","Obtener autorización para organizar y operar juegos de suerte y azar con el fin de publicitar o promocionar bienes o servicios, establecimientos, empresas o entidades, en los cuales se ofrezca un premio al público, sin que para acceder al juego se pague directamente.","https://www.nomasfilas.gov.co/buscador/-/tramite/T53328"
"Autorización para la operación de juegos de suerte y azar en la modalidad de rifas","Obtener autorización para la realización de juegos de suerte y azar en fecha predeterminada, en la cual se sortea premios en especie entre quienes hubieren adquirido o fueren poseedores de una o varias boletas emitidas con numeración en serie continua y puestas en venta en el mercado a precio fijo.","https://www.nomasfilas.gov.co/buscador/-/tramite/T53721"
"Auxilio para gastos de sepelio","Obtener el reconocimiento y pago a quien compruebe haber sufragado los gastos de entierro de un afiliado o pensionado del Fondo Territorial de Pensiones, este auxilio será equivalente al último salario base de cotización, o al valor correspondiente a la última mesada pensional recibida, según sea el caso, sin que pueda ser inferior a cinco (5) salarios mínimos legales mensuales vigentes, ni superior a diez (10) veces dicho salario.","https://www.nomasfilas.gov.co/memoficha-tramite/-/tramite/T53713"
"Certificado de paz y salvo","Obtener la certificación donde se manifiesta que el deudor se encuentra a paz y salvo con la entidad.","https://www.nomasfilas.gov.co/buscador/-/tramite/T51622"
"Certificado de residencia","Obtener una certificación sobre el lugar de residencia o domicilio en una determinada localidad o lugar del territorio.","https://www.nomasfilas.gov.co/buscador/-/tramite/T57814"
"Certificado de residencia para personas que residen en el territorio del área de influencia de los proyectos de exploración y explotación petrolera y minera","Acreditar residencia a aquellas personas que viven en el territorio del área de influencia de los proyectos de exploración y explotación petrolera y minera, y que aspiren acceder a labores como mano de obra no calificada.","https://www.nomasfilas.gov.co/memoficha-tramite/-/tramite/T50618"
"Certificado de riesgo de predios","Obtener información sobre si un predio está localizado en área urbana y si se encuentra o no en zona de riesgo, de acuerdo con sus condiciones físicas asociadas a factores de amenazas o riesgos naturales.","https://www.nomasfilas.gov.co/buscador/-/tramite/T60416"
"Concepto de excepción de juegos de suerte y azar en la modalidad de rifas","Obtener concepto mediante el cual se establece la excepción para la realización de juegos de suerte y azar en la modalidad de rifas a los cuerpos de bomberos para su propio financiamiento.","https://www.nomasfilas.gov.co/memoficha-tramite/-/tramite/T53330"
"Concepto de norma urbanística","Dictamen sobre las normas urbanísticas y demás vigentes aplicables a un predio que va a ser construido o intervenido.","https://www.nomasfilas.gov.co/buscador/-/tramite/T59133"
"Concepto de uso del suelo","Obtener el dictamen escrito sobre uso o usos permitidos en un predio o edificación, de conformidad con las normas urbanísticas del plan de ordenamiento territorial y los instrumentos que lo desarrollen.","https://www.nomasfilas.gov.co/buscador/-/tramite/T60265"
"Concepto previo favorable para la realización de juegos de suerte y azar localizados","Obtener concepto favorable para la operación de juegos de suerte y azar localizados en establecimientos de comercio que operan con equipos o elementos de juego a los cuales asisten los jugadores como condición necesaria para poder apostar.","https://www.nomasfilas.gov.co/buscador/-/tramite/T53357"
"Consulta preliminar para la formulación de planes de regularización","Determinar la viabilidad y suministrar información para dar inicio a la etapa de formulación de un plan de regularización, para mitigar los impactos urbanísticos y ambientales negativos originados por el desarrollo del uso del suelo establecido, que por sus características requieren de un tratamiento especial del entorno inmediato a su localización, así como mejorar las condiciones de las edificaciones en que se realicen tales usos.","https://www.nomasfilas.gov.co/buscador/-/tramite/T51200"
