"ruta","planta_turistica","nombre_del_establecimiento","direcci_n","tel_fono","email","servicios_que_presta","registro_nacional_de_turismo","latitud","longitud","localizacionfinal"
"Prestadores de Servicios Turístico del Sector Artesanal","Artesanos en el Sector de La Guafilla","GALERIA ARTE Y PALMA","Km 6 vía Yopal - Aguazul
Marginal del llano
(Vereda Guafilla)","3112501119 3108584917","mauriciorussi@hotmail.com","Artesanias elaboradas en cuero: bolsos; sandalias; cinturones; chalecos; zamarros; aperos; llaveros; campechanas; confección de ropa artesanal en tela hindú original; vestidos bordados. Ofrece chinchorros en nylon; hamacas de san jacinto; chinchorros en fibra de cumare; sillas perezosas; percheros; ponchos; arpas; tallas en madera; garceros; pinturas en oleo; ofrece las famosas mochilas arhuacas; wayuu; cancuramas; foguis; fique y cumare; cortinas en bambú; en piedreria collares de cuarzo y pulseras; etc. Llevese un lindo recuerdo del llano.","NO","5.306649","-72.442390","POINT (-72.44239 5.306649)"
"Prestadores de Servicios Turístico del Sector Artesanal","Artesanos en el Sector de La Guafilla","ARTE DE LA SABANA","Km 7 Vía Yopal-Aguazul","3102485879","Sin información","Microempresario realiza trabajos de talla en  madera; esculturas en madera y artesanias tipicas de la region","NO","5.325809","-72.412630","POINT (-72.41263 5.325809)"
"Prestadores de Servicios Turístico del Sector Artesanal","Artesanos en el Sector de La Guafilla","FABRICA DE POCHOS Y BORDADOS EL CHALAN","Centro poblado
La Guafilla","3132953974","Sin información","Fabrica  de ponchos; camisetas y  cachuchas con bordados exclusivos alusivos al llano.","NO","5.306372","-72.442966","POINT (-72.442966 5.306372)"
"Prestadores de Servicios Turístico del Sector Artesanal","Artesanos en el Sector de La Guafilla","FUNDACION PARA EL DESARROLLO INTEGRAL EN BENEFICIO SOCIAL DE CASANARE","Km 6 Vía Aguazul","3102543410","ninange75@yahoo.es","Sin información","NO","5.306482","-72.442750","POINT (-72.44275 5.306482)"
"Prestadores de Servicios Turístico del Sector Artesanal","Artesanos en el Sector de La Guafilla","MUEBLES  RUSTICOS Y ARTESANAL MARIA","Km 6 vía Yopal - Aguazul
Marginal del llano
(Vereda Guafilla)","3123516722","Sin información","El establecimiento comercializa principalmente percheros; baúles; juegos de comedor de madera cedro y amarillo; cuero; repisas; sillas; todo en madera y cuero; muebles rusticos; artesanales y se especializa en la venta de  Ebanistería.","NO","5.306712","-72.442234","POINT (-72.442234 5.306712)"
"Prestadores de Servicios Turístico del Sector Artesanal","Artesanos en el Sector de Sirivana","ARTE  CAPIBARA","Sirivana
Vía Matepantano","3112310140","artecapibara@gmail.com","Empresa enfocada en la elaboración de artesanías en cerámica  liquida; diseño y manofactura de figuras animales como el chigüiro; en diferentes temáticas profesionales; además ofrece figuras en chocolates.","NO","5.330140","-72.294697","POINT (-72.294697 5.33014)"
"Prestadores de Servicios Turístico del Sector Artesanal","ARTESANIAS SECTOR 
La Chaparrera","LA CASA CRIOLLA ARTESANIAS LLANERAS","Chaparrera","3118177854","lacasacriolla@gmail.com","Artesanias elaboradas en cuero campechanas; perezosa en cuero; apero de cabeza; soga; mandador; cabresto de cerda; marotas tejidas y llaveros en todo tipo de tejido. Atencion todos los dias de la semana.","NO","5.496529","-72.226470","POINT (-72.22647 5.496529)"
"Prestadores de Servicios Turístico del Sector Artesanal","Artesanos en el Perímetro Urbano del Municipio de Yopal","CURTICUEROS","Calle 24 No. 21-40","3112575155","artesnias@curticueros.com
Curticueros24@gmail.com","El establecimiento comercializa principalmente cotizas; llaveros; grasa de potro; sombreros; botas texanas; correas; estuches para celular; cuadros ponchos y se especializa en la venta de  Confecciones.","NO","5.336690","-72.392908","POINT (-72.392908 5.33669)"
"Prestadores de Servicios Turístico del Sector Artesanal","Artesanos en el Perímetro Urbano del Municipio de Yopal","ARTESANIA Y GALERIA EL GRAN  LLANERAZO","Carrera 19 No. 27-37","3214636325","castrlalia@hotmail.com","Venta  de  sombreros  ponchos bordados; cachuchas en cuero; carteras y   videos  dvd tema  folclor  llanero.","NO","5.332961","-72.393317","POINT (-72.393317 5.332961)"
"Prestadores de Servicios Turístico del Sector Artesanal","Artesanos en el Perímetro Urbano del Municipio de Yopal","CHICHORROS  CASANARE","Carrera 22 No. 14-16","3142949045","Sin información","Venta de chinchorros; tarrayas y arreglos en  general.","NO","5.344942","-72.396177","POINT (-72.396177 5.344942)"
