"item","numero_de_proceso","tipo_de_proceso","estado","entidad","objeto","departamento_y_municipio_de_ejecuci_n","cuantia","fecha_de_estado","url"
"1","OC-011-2017","Contratación Directa (Ley 1150 de 2007)","Celebrado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","DESARROLLAR, REALIZAR Y PRODUCIR CONTENIDOS MULTIMEDIA INSTITUCIONALES HACIA LOS GRUPOS DE INTERÃ‰S DEL MUNICIPIO DE CASTILLA LA NUEVA -META EN DESARROLLO DE LA COMUNICACIÓN A NIVEL INTERNO Y EXTERNO","Meta : Castilla La Nueva","3520000000.00","2017-01-17T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6054118"
"2","OC-001-2017","Contratación Directa (Ley 1150 de 2007)","Celebrado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","INSCRIPCIÃ“N Y ACTUALIZACIÓN DE DATOS DE HOJAS DE VIDA DE OFERENTES Y ACTUALIZACION E IIMPLEMENTACION DE DATOS EN LA PLATAFORMA SIPAC (sistema de informaciÃ³n y participaciÃ³n ciudadana de Castilla la Nueva) EN LA AGENCIA PÚBLICA DE GESTIÓN Y COLOCACIÓN DE EMPLEO DE CASTILLA LA NUEVA-META","Meta : Castilla La Nueva","2875000000.00","2017-01-11T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6032208"
"3","OC-002-2017","Contratación Directa (Ley 1150 de 2007)","Celebrado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","APOYO TECNICO PARA LA PROMOCION DE SERVICIOS Y OFERTAS INSTITUCIONALES, ACTUALIZACION E IIMPLEMENTACION DE DATOS EN LA PLATAFORMA SIPAC (sistema de informaciÃ³n y participaciÃ³n ciudadana de Castilla la Nueva) DE LA AGENCIA PUBLICA DE GESTION Y COLOCACION DE EMPLEO DEL MUNICIPIO DE CASTILLA LA NUEVA  META","Meta : Castilla La Nueva","2875000000.00","2017-01-11T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6032349"
"4","OC-003-2017","Contratación Directa (Ley 1150 de 2007)","Celebrado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","ASISTENCIA ADMINISTRATIVA PARA LA PROMOCION DE SERVICIOS Y OFERTAS INSTITUCIONALES Y ACTUALIZACION E IIMPLEMENTACION DE DATOS EN LA PLATAFORMA SIPAC (sistema de informaciÃ³n y participaciÃ³n ciudadana de Castilla la Nueva) DE LA PÚBLICA DE GESTION Y COLOCACION DE EMPLEO DEL MUNICIPIO DE CASTILLA LA NUEVA  META","Meta : Castilla La Nueva","2875000000.00","2017-01-11T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6032732"
"5","OC-004-2017","Contratación Directa (Ley 1150 de 2007)","Celebrado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","ASESORÃA JURÃDICA ESPECIALIZADA PARA LA CORRECTA APLICACION DE HERRAMIENTAS LEGALES EN LA GESTIÓN CONTRACTUAL QUE ADELANTE EL MUNICIPIO DE CASTILLA LA NUEVA META, AL AMPARO DE LOS DISTITNOS REGÃMENES DE CONTRATACION","Meta : Castilla La Nueva","7000000000.00","2017-01-11T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6032890"
"6","OC-005-2017","Contratación Directa (Ley 1150 de 2007)","Celebrado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","APOYO A LOS PROCESOS ADMINISTRATIVOS PARA LA PROMOCION DE SERVICIOS Y OFERTAS INSTITUCIONALES Y ACTUALIZACION E IIMPLEMENTACION DE DATOS EN LA PLATAFORMA SIPAC (sistema de informaciÃ³n y participaciÃ³n ciudadana de Castilla la Nueva) DE LA AGENCIA PUBLICA DE GESTION Y COLOCACION DE EMPLEO DEL MUNICIPIO DE CASTILLA LA NUEVA  META","Meta : Castilla La Nueva","2875000000.00","2017-01-11T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6033348"
"7","OC-006-2017","Contratación Directa (Ley 1150 de 2007)","Celebrado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","ASESORIA TÉCNICA INTEGRAL PARA LA CORRECTA APLICACION DE HERRAMIENTAS TECNICAS EN LA GESTIÓN CONTRACTUAL QUE ADELANTE EL MUNICIPIO DE CASTILLA LA NUEVA META, AL AMPARO DE LOS DISTINTOS REGIMENES DE CONTRATACION","Meta : Castilla La Nueva","6902000000.00","2017-01-11T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6035789"
"8","OC-024-2017","Contratación Directa (Ley 1150 de 2007)","Liquidado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","ASESORIA JURIDICA EN LOS PROCESOS DE TITULACION QUE ADELANTA LA SECRETARIA DE PLANEACION, AMBIENTAL Y VIVIENDA EN EL MUNICIPIO DE CASTILLA LA NUEVA","Meta : Castilla La Nueva","4500000000.00","2017-01-12T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6113002"
"9","OC-MC-010-2017","Contratación Mínima Cuantía","Liquidado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","SERVICIO DE PERIFONEO EN EL ÃREA URBANA Y RURAL DEL MUNICIPIO DE CASTILLA LA NUEVA META, COMO APOYO A LAS ACTIVIDADES DEL GOBIERNO MUNICIPAL DE CASTILLA LA NUEVA","Meta : Castilla La Nueva","1999400000.00","2017-01-12T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-13-6329335"
"10","OC-107-2017","Contratación Directa (Ley 1150 de 2007)","Celebrado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","APOYO A LA SUBSECRETARIA DE RENTAS MEDIANTE LA ENTREGA DE INFORMACIÓN INSTITUCIONAL Y ORIENTACION SOBRE REQUERIMIENTOS E INQUIETUDES, A LOS CONTRIBUYENTES DE IMPUESTOS, TASAS Y DERECHOS A FAVOR DE MUNICIPIO DE CASTILLA LA NUEVA","Meta : Castilla La Nueva","750000000.00","2017-06-01T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-12-6691029"
"11","OC-LP-021-2017","Licitación Pública","Liquidado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","“ADECUACIÓN AL SISTEMA HIDRÁULICO Y LAS BATERÍAS SANITARIAS DE LA INSTITUCIÓN EDUCATIVA HENRY DANIELS DEL MUNICIPIO DE CASTILLA LA NUEVA, META”","Meta : Castilla La Nueva","1161015239.00","2019-11-19T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=17-1-183649"
"12","OC-MC-026-2019","Contratación Mínima Cuantía","Liquidado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","“INTERVENTORIA TÈCNICA, ADMINISTRATIVA, FINANCIERA, LEGAL Y AMBIENTAL PARA LA CONSTRUCCIÓN DE OBRAS DE MITIGACIÓN EN LAS RIBERAS DEL RIO GUAMAL EN EL MUNICIPIO DE CASTILLA LA NUEVA – META”,","Meta : Castilla La Nueva","14999950.00","2019-11-19T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-13-9516245"
"13","OC-188-2019","Contratación Directa (Ley 1150 de 2007)","Liquidado","META - ALCALDIA MUNICIPIO DE CASTILLA LA NUEVA","“APOYO OPERATIVO A LA GESTIÓN DE FISCALIZACIÓN Y DETERMINACIÓN OFICIAL A CARGO DE LA SUBSECRETARIA DE RENTAS DEL MUNICIPIO DE CASTILLA LA NUEVA”","Meta : Castilla La Nueva","12500000.00","2019-11-22T00:00:00.000","https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-12-9570942"
