"descripci_n","a","fecha","clasificaci_n","nombre","ruta_de_acceso","enlace"
"Sesión Pública de Instalación del día 05 de Enero del  Año 2004.","2004","05 de Enero","Actas","Acta N° 001 del 2004.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20001%20del%202004.pdf"
"Sesión Pública Extraordinaria del día 04 de Enero del año 2005.","2005","04 de Enero","Actas","Acta N° 001 del 2005.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20001%20del%202005.pdf"
"Sesión Pública Extraordinaria del día 12 de Enero del año 2006.","2006","12 de Enero","Actas","Acta N° 001 del 2006.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20001%20del%202006.pdf"
"Sesión Pública Ordinaria del día 1° de Febrero del año 2007.","2007","01 de Febrero","Actas","Acta N° 001 del 2007.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20001%20del%202007.pdf"
"Sesión Pública de Instalación del día  02 de Enero del año 2008.","2008","02 de Enero","Actas","Acta N° 001 del 2008.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20001%20del%202008.pdf"
"Sesión Pública Ordinaria del día 02 de Febrero del año 2009.","2009","02 de Febrero","Actas","Acta N° 001 del 2009.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20001%20del%202009.pdf"
"Sesión Pública Ordinaria del día 01 de Febrero del año 2010.","2010","01 de Febrero","Actas","Acta N° 001 del 2010.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20001%20del%202010.pdf"
"Sesión Pública Ordinaria del día 09 de Enero del año 2004.","2004","09 de Enero","Actas","Acta N° 002 del 2004.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20002%20del%202004.pdf"
"Sesión Pública Extraordinaria  del día 04 de Enero del año 2005.","2005","04 de Enero","Actas","Acta N° 002 del 2005.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20002%20del%202005.pdf"
"Sesión Pública  Ordinaria del día 02 de Febrero del año 2007.","2007","02 de Febrero","Actas","Acta N° 002 del 2007.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20002%20del%202007.pdf"
"Sesión Pública Ordinaria del día 08 de Enero del año 2008.","2008","08 de Enero","Actas","Acta N° 002 del 2008.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20002%20del%202008.pdf"
"Sesión Pública Ordinaria del día 04 de Febrero del año 2009.","2009","04 de Febrero","Actas","Acta N° 002 del 2009.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20002%20del%202009.pdf"
"Sesión Pública  Ordinaria del día 02 de Febrero del año 2010.","2010","02 de Febrero","Actas","Acta N° 002 del 2010.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20002%20del%202010.pdf"
"Sesión Pública Extraordinaria del día 13 de Enero del año 2004.","2004","13 de Enero","Actas","Acta N° 003 del 2004.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20003%20del%202004.pdf"
"Sesión Pública Extraordinaria del día  04 de Enero del año 2005.","2005","04 de Enero","Actas","Acta N° 003 del 2005.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20003%20del%202005.pdf"
"Sesión Pública Ordinaria del día 01 de Febrero del año 2006.","2006","01 de Febrero","Actas","Acta N° 003 del 2006.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20003%20del%202006.pdf"
"Sesión Pública Ordinaria del día 06 de Febrero del año 2009.","2009","06 de Febrero","Actas","Acta N° 003 del 2009.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20003%20del%202009.pdf"
"Sesión Pública Ordinaria del día 03 de Febrero del año 2010.","2010","03 de Febrero","Actas","Acta N° 003 del 2010.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20003%20del%202010.pdf"
"Sesión Pública  Extraordinaria del día 22 de Enero del año 2004.","2004","22 de Enero","Actas","Acta N° 004 del 2004.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20004%20del%202004.pdf"
"Sesión Pública Ordinaria del día 06 de Febrero del año 2007.","2007","06 de Febrero","Actas","Acta N° 004 del 2007.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20004%20del%202007.pdf"
"Sesión Pública Ordinaria del día 01 de Febrero del año 2008.","2008","01 de Febrero","Actas","Acta N° 004 del 2008.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20004%20del%202008.pdf"
"Sesión Pública Ordinaria del día 09 de Febrero del año 2009.","2009","09 de Febrero","Actas","Acta N° 004 del 2009.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20004%20del%202009.pdf"
"Sesión Pública Ordinaria del día  05 de Febrero del año 2010.","2010","05 de Febrero","Actas","Acta N° 004 del 2010.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20004%20del%202010.pdf"
"Sesión Pública Ordinaria del día 02 de Febrero de año 2004.","2004","02 de Febrero","Actas","Acta N° 005 del 2004.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20005%20del%202004.pdf"
"Sesión Pública Ordinaria del día 01 de Febrero del año 2005.","2005","01 de Febrero","Actas","Acta N° 005 del 2005.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20005%20del%202005.pdf"
"Sesión Pública Ordinaria del día 04 de Febrero del año 2008.","2008","04 de Febrero","Actas","Acta N° 005 del 2008.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20005%20del%202008.pdf"
"Sesión Pública Ordinaria del día 10 de Febrero del año 2009.","2009","10 de Febrero","Actas","Acta N° 005 del 2009.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20005%20del%202009.pdf"
"Sesión Publica Ordinaria del día 08 de Febrero del año 2010.","2010","08 de Febrero","Actas","Acta N° 005 del 2010.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20005%20del%202010.pdf"
"Sesión Pública Ordinaria del día 03 de Febrero del año 2004.","2004","03 de Febrero","Actas","Acta N° 006 del 2004.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20006%20del%202004.pdf"
"Sesión  Pública Ordinaria del día 02 de Febrero del año 2005.","2005","02 de Febrero","Actas","Acta N° 006 del 2005.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20006%20del%202005.pdf"
"Sesión Pública Ordinaria del día 06 de Febrero del año 2006.","2006","06 de Febrero","Actas","Acta N° 006 del 2006.pdf","Transparencia/Normatividad","http://www.alcaldiadesincelejo.gov.co/Transparencia/Normatividad/Acta%20N%C2%B0%20006%20del%202006.pdf"
