"matr_cula","organizaci_n_jur_dica","categoria","est_matricula","raz_n_social","nit","fec_matricula","fec_renovacion","_ltimo_a_o_renovado","fec_constitucion","fec_disolucion","fec_vigencia","direcci_n","municipio","tel_fono_1","tel_fono_2","tel_fono_3","vigilancia","email","ciiu_actividad_1","ciiu_actividad_2","ciiu_actividad_3","ciiu_actividad_4","activo_total","representante_legal"
"S0504377","12","1","IA","Asociacion Importamos Sus Deseos","9000221878","2019-11-19T00:00:00.000","2021-09-03T00:00:00.000","2021","2019-11-19T00:00:00.000","N/A","2025-04-07T00:00:00.000","Calle 36B 27-32","Yopal","3195645376","N/A","N/A","Gobernación","serviciosambientales@hotmail.com","G4642 ** Comercio al por mayor de prendas de vestir","G4690 ** Comercio al por mayor no especializado","G4652 ** Comercio al por mayor de equipo  partes y piezas electronicos y de telecomunicaciones","G4643 ** Comercio al por mayor de calzado","0","Fonseca Garcia Marco Antonio"
"S0504463","12","1","IA","Asociacion De Recuperadores Y Bodegueros De La Orinoquia","9014042468","2020-08-12T00:00:00.000","2021-03-25T00:00:00.000","2021","2020-08-12T00:00:00.000","N/A","2035-07-30T00:00:00.000","Calle 40 4A-10","Yopal","3118430335","3186835624","N/A","Gobernacion De Casanare","arboqcasanare@gmail.com","E3830 ** Recuperacion de materiales","G4665 ** Comercio al por mayor de desperdicios  desechos y chatarra","S9499 ** Actividades de otras asociaciones n.c.p.","E3900 ** Actividades de saneamiento ambiental y otros servicios de gestion de desechos","0","Bautista Bautista Jose Elver"
"S0503881","12","1","II","Asociacion E.F.D. Libertad F.C.","9010234791","2016-10-31T00:00:00.000","2018-03-31T00:00:00.000","2018","2016-10-31T00:00:00.000","N/A","2036-02-05T00:00:00.000","Manzana 4 Casa 3","Villanueva","3133333211","3123674000","N/A","N/A","efdlibertadfc@gmail.com","P8552 ** Enseñanza deportiva y recreativa","R9312 ** Actividades de clubes deportivos","N/A","N/A","0","Murcia Vasquez Johany"
"S0503381","12","1","IA","Asociacion De Tecnicos Y Escoltas Viales Del Casanare","9009578181","2014-03-21T00:00:00.000","2021-10-11T00:00:00.000","2021","2014-03-21T00:00:00.000","N/A","2114-02-09T00:00:00.000","Carrera 29 N 16 60","Yopal","3125907102","N/A","N/A","Secretaria Gobierno","tecnivialescasanare@hotmail.com","H5229 ** Otras actividades complementarias al transporte","M7490 ** Otras actividades profesionales  cientificas y tecnicas n.c.p.","N/A","N/A","0","Villamil Torres Edilsa"
"S0500445","12","1","IA","Corporacion Festival Nacional De Colonias","8440012519","1998-06-17T00:00:00.000","2021-03-25T00:00:00.000","2021","1998-06-30T00:00:00.000","N/A","2118-06-30T00:00:00.000","Calle 8 N 13 35","Villanueva","3112281491","3124130885","N/A","Gobernacion De Casanare","corpocolonias@hotmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","R9007 ** Actividades de espectaculos musicales en vivo","R9008 ** Otras actividades de espectáculos en vivo n.c.p.","N8230 ** Organizacion de convenciones y eventos comerciales","181","Gomez Cifuentes Edgar Gustavo"
"S0503343","12","1","IA","Asociacion De Productores Agropecuarios Victimas De La Violencia Del Municipio De Mani Casanare","9007760431","2013-12-02T00:00:00.000","2021-03-25T00:00:00.000","2021","2013-12-02T00:00:00.000","N/A","2033-10-20T00:00:00.000","Calle 16 N  3 - 115","Mani","3143866870","N/A","N/A","Gobernación De Casanare","asoprovicmacasanare@hotmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","16,741","Perilla Bautista Olga Maria"
"S0504483","12","1","IA","Corporacion Abadia Criolla","9014189205","2020-10-07T00:00:00.000","2021-03-08T00:00:00.000","2021","2020-10-07T00:00:00.000","N/A","2120-09-24T00:00:00.000","Calle 13A 14A-20","Yopal","3212127336","N/A","N/A","Gobernacion De Casanare","ramirezmartelo@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","36,000","Martelo Ramirez Santiago"
"S0504273","12","1","II","Fundacion Latinoamericana Piedemonte","9012725203","2019-04-05T00:00:00.000","2019-04-05T00:00:00.000","2019","2019-01-25T00:00:00.000","N/A","99999999","Calle 34 20A-07","Yopal","3219517861","N/A","N/A","Gobernacion De Casanare","naslyparra18@gmail.com","E3900 ** Actividades de saneamiento ambiental y otros servicios de gestion de desechos","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","50,000","Parra Rodriguez Nasly Dayana"
"S0500407","12","1","IA","Asociacion De Padres De Familia Del Centro Educativo Camilo Torres Restrepo","8440016701","1998-05-13T00:00:00.000","2021-03-29T00:00:00.000","2021","1998-05-13T00:00:00.000","N/A","99999999","Vereda La Guafilla","Yopal","3105767576","N/A","N/A","Gobernación Casanare","astrica98@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","50,000","Rivera Gutierrez Jose Pablo"
"S0503636","12","1","IA","Asociacion Colegio De Jueces Y Fiscales De Casanare","9009159955","2015-12-03T00:00:00.000","2021-10-27T00:00:00.000","2021","2015-12-03T00:00:00.000","N/A","2035-09-16T00:00:00.000","Carrera 19 N. 6 - 29","Yopal","3185983188","N/A","N/A","Gobernacion De Casanare","colegiojuecesfiscalescasanare@gmail.com","S9412 ** Actividades de asociaciones profesionales","P8551 ** Formación para el trabajo","J5811 ** Edicion de libros","N/A","76,000","Vargas Palencia Francisco Arturo"
