"tipo_de_pqrsdf","tem_tica","remitente","pa_s","departamento","municipio","dependencia_actual","fecha_de_radicaci_n"
"Derecho de Petición","Derecho de Petición","Anónimo"," "," "," ","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-02-14T08:16:53.247"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial San Gil","2017-02-14T10:04:42.200"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","DESPACHO DEL VICEPROCURADOR","2017-02-14T10:08:30.480"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial San Gil","2017-02-14T10:16:33.717"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Grupo de Nómina","2017-02-14T10:32:24.297"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Grupo del Centro de Atención al Servidor ","2017-02-14T10:32:24.297"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Sta. Rosa de Viterbo","2017-02-14T10:59:17.347"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-14T12:02:36.160"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Garzón","2017-02-14T12:21:06.903"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Primera Distrital","2017-02-14T15:30:57.040"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Magangué","2017-02-14T15:31:55.143"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","SANTANDER","BARRANCABERMEJA","Proc Provincial Barrancabermeja","2017-02-14T15:37:28.013"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","VALLE DEL CAUCA","DAGUA","Oficina Jurídica","2017-02-14T15:56:27.397"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-02-14T16:09:34.527"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","VALLE DEL CAUCA","DAGUA","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-14T16:50:04.387"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 1 Delegada Para La Vigilancia Administrativa","2017-02-14T17:34:21.340"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Regional Risaralda","2017-02-14T17:50:14.253"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-14T18:25:05.653"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Casanare","2017-02-14T18:32:56.120"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA"," ","Procuraduría 2 Delegada para la Vigilancia Administrativa","2017-02-14T19:19:53.363"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Delegada para el Ministerio Público en Asuntos Penales","2017-02-14T20:42:05.493"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","BOLIVAR","CARTAGENA","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-14T21:55:52.137"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","HUILA","PITALITO","Proc Regional Huila","2017-02-14T22:56:58.820"
"Queja","Queja","Registrado","COLOMBIA","VALLE DEL CAUCA","LA UNION","Proc Provincial Cartago","2017-02-15T08:42:27.297"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Risaralda","2017-02-15T09:42:59.457"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Santander","2017-02-15T09:43:14.840"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Guaviare","2017-02-15T10:02:39.840"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA"," ","Proc Segunda Distrital","2017-02-15T10:05:06.997"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduría Delegada para el Ministerio Público en Asuntos Penales","2017-02-15T10:18:48.530"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-15T10:28:42.450"
