"hotel","direcci_n","email","telefono","piscina_si_no","camas","habitaciones","carpas"
"EL SOL DORADO","K 1 n 14-44","hotelsoldoradoladorada@gmail.com","3103726898","NO","25","14","N.A"
"MALL SANTANA DEL RÍO","C 13 - K 1","reservas@hotelsantanadelrio.com","3126777777","SI","50","40","N.A"
"APARTAHOTEL AUTOMATICO","K 2 n 13-04","osorio1023@hotmail.com","3147936195","NO","25","16","N.A"
"SOROCAIMA","K 2 n 14-17","ivanchavarro@hotmail.com","3218072460","NO","35","27","N.A"
"RESORT COLOMBIA","K 3 n 13-40","resortcolombia@hotmail.com","3107685708","SI","45","22","N.A"
"EL MESON","K 3 n 15-61","gerencia@hotelelmeson.com","3146000000","SI","45","22","N.A"
"BOLÍVAR PLAZA","C 16 n 2-38","reservas@hotelesbolivarplaza.com","3218019705","SI","45","45","N.A"
"MI CASITA","C 16 n 2-56","hotelfamiliarmicasitajm1975@gmail.com","3138107714","NO","10","8","N.A"
"LUMARAC","C 16 n 2-48","niercusa@hotmail.com","3146516110","NO","52","30","N.A"
"EL PALACIO","K 2 n 16-25","robinsonagudelo2010@gmail.com","3228347900","NO","17","14","N.A"
"BELLA ISA","K 2 n 18-33","hotelbellaisa@gmail.com","3205579451","SI","26","20","N.A"
"COUNTRY PLAZA","K 2 n 16-57","jhonvivarez@gmail.com","3218020900","NO","36","19","N.A"
"RESIDENCIAS BOGOTÁ","K 2 n 20-23","evelioaaron12@gmail.com","3147027029","NO","16","12","N.A"
"RUTA DORADA","C 17 n 2-40","N.A","3218007674","NO","7","7","N.A"
"EL PORTAL DE LA DORADA","K 3 n 17-43","gerhotelelportaldeladorada@gmail.com","3218117925","NO","22","22","N.A"
"EL PALMAR DE LA DORADA","SALIDA HONDA","olaya1953@hotmail.com","3116091174","SI","46","23","N.A"
"LA MELISSA","C 11 K 15","lamelissa20040@yahoo.es","3103522280","NO","63","39","N.A"
"BRISAS DEL RECUERDO","K 15 n 16-18","osdumo@yahoo.es","3117914842","NO","12","10","N.A"
"LA MANSIÓN","K 15 n 16-38","deypepa@yahoo.es","3105436376","NO","24","16","N.A"
"ZONA TROPICAL","C 11 n 12-27","hotelzonatropical@hotmail.com","3117929210","SI","60","36","N.A"
"MONTANAR","C 10 n 7-46","montanarhotel@gmail.com","3108442641","SI","43","32","N.A"
"APARTAESTUDIOS CONFORT","C 10 n 6-35","hotelconfort2016@hotmail.com","3226866448","NO","15","12","N.A"
"MONTEVERDE","K 6 n 10-43","monteverdehotel1@hotmail.com","3127931922","SI","35","24","N.A"
"TRAMONTI","K 4 n 10-51","laura_naranjo25@hotmail.com","3116434714","NO","9","7","N.A"
"MI CHOCITA","K 2 n 6-17","hotelmichocitadorada@hotmail.com","3206339035","SI","18","14","N.A"
"DORADA PLAZA","C 14 n 3-65","hoteldoradaplaza@hotmail.com","3148627715","NO","26","17","N.A"
"DOMINIQUE","K 4 n 14-32","hoteldominiqueladorada@gmail.com","3104092815","NO","23","14","N.A"
"CALDAS","K 4 n 14-43","hotelcaldas2010@hotmail.com","3147456490","NO","29","26","N.A"
"BRISAS DE SAN DIEGO","K 6 n 13-51","monicuda01@hotmail.com","3147924944","NO","21","17","N.A"
