"fecha_corte","nom_reporte","param_hecho","hecho","etnia","sexo","ciclo_vital","discapacidad","per_ocu","per_sa","eventos"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","9","Tortura","Negro(a) o Afrocolombiano(a)","Hombre","entre 29 y 60","Auditiva","3","3","3"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","13","Lesiones Personales Fisicas","Ninguna","Hombre","entre 29 y 60","Auditiva","198","197","202"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","2","Amenaza","Raizal del Archipielago de San Andres y Providencia","Hombre","entre 61 y 100","Multiple","2","1","2"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","3","Delitos contra la libertad y la integridad sexual en desarrollo del conflicto armado","Ninguna","Mujer","entre 29 y 60","Intelectual","159","155","180"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","12","Perdida de Bienes Muebles o Inmuebles","Negro(a) o Afrocolombiano(a)","Mujer","entre 61 y 100","Por Establecer","71","66","72"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","13","Lesiones Personales Fisicas","Negro(a) o Afrocolombiano(a)","Hombre","entre 6 y 11","Ninguna","4","4","4"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","5","Desplazamiento forzado","Indigena","Mujer","entre 18 y 28","Multiple","87","80","114"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","3","Delitos contra la libertad y la integridad sexual en desarrollo del conflicto armado","Ninguna","Hombre","entre 12 y 17","Visual","3","3","3"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","3","Delitos contra la libertad y la integridad sexual en desarrollo del conflicto armado","Negro(a) o Afrocolombiano(a)","Mujer","ND","Ninguna","9","2","9"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","4","Desaparición forzada","Negro(a) o Afrocolombiano(a)","Mujer","entre 12 y 17","Por Establecer","2","2","2"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","8","Secuestro","Raizal del Archipielago de San Andres y Providencia","Mujer","entre 29 y 60","Ninguna","11","9","11"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","14","Lesiones Personales Psicologicas","Indigena","Hombre","entre 29 y 60","Psicosocial (Mental)","1","1","1"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","4","Desaparición forzada","Ninguna","Mujer","entre 29 y 60","Psicosocial (Mental)","33","33","38"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","8","Secuestro","Ninguna","Mujer","entre 29 y 60","Intelectual","27","25","28"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","8","Secuestro","Negro(a) o Afrocolombiano(a)","LGBTI","entre 29 y 60","Ninguna","5","5","5"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","5","Desplazamiento forzado","Raizal del Archipielago de San Andres y Providencia","Mujer","entre 61 y 100","Visual","12","10","14"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","6","Homicidio","Raizal del Archipielago de San Andres y Providencia","Mujer","entre 29 y 60","Ninguna","814","731","895"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","4","Desaparición forzada","Ninguna","Hombre","entre 6 y 11","Ninguna","382","344","388"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","8","Secuestro","Palenquero","Mujer","entre 29 y 60","Ninguna","8","5","8"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","20","Sin informacion","Ninguna","Mujer","entre 61 y 100","Auditiva","7","5","9"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","20","Sin informacion","Gitano(a) ROM","Mujer","entre 29 y 60","Ninguna","1","1","1"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","3","Delitos contra la libertad y la integridad sexual en desarrollo del conflicto armado","Ninguna","LGBTI","entre 29 y 60","Fisica","16","15","17"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","11","Abandono o Despojo Forzado de Tierras","Negro(a) o Afrocolombiano(a)","Hombre","entre 61 y 100","Visual","1","1","2"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","15","Confinamiento","Negro(a) o Afrocolombiano(a)","Mujer","entre 29 y 60","Intelectual","6","6","7"
"2019/10/31","REPORTE VICTIMAS POR HECHO NACIONAL POR  Cifras Personas: (Ocurrencia, Sujetos Atención y Eventos)","5","Desplazamiento forzado","Indigena","Hombre","entre 6 y 11","Fisica","33","29","48"
