"dm_institucion_cod_institucion","nombre","ccb_nit_inst","orden","suborden","nivel_institucion","clasificacion_organica","sector","naturaleza_juridica","tipo_institucion","idmunicipio","municipio","iddepartamento","departamento","direccion","fax","email","ccb_telefono","ccb_pagina_web","longitud","latitud","estado_ins"
"3008","CENTRO DE SALUD SAN BLAS - MORROA","823002856","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","473","MORROA","70","Sucre","CARRERA 7 No 10-70","(5)-2840563","esesanblasdemorroa@hotmail.es","(5)-2840563","NO DISPONIBLE","-75.307733","9.332193","Activa"
"1062","ALCALDÍA DE SAN ONOFRE","892200592-3","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","713","SAN ONOFRE","70","Sucre","CENTRO PLAZA PRINCIPAL","095-2983235","alcaldia@sanonofre-sucre.gov.co","3205009491","http://www.sanonofre-sucre.gov.co","-75.519872","9.74084","Activa"
"2799","CENTRO DE SALUD SAMPUES","900208532","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","670","SAMPUÉS","70","Sucre","Calle 21 No. 24-37 Barrio Millan Vargas","301-4570825","NULL","2838139","NO DISPONIBLE","-75.381105","9.18357","Activa"
"3954","EMPRESA DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE OVEJAS - SUCRE","900085690","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Oficiales","Vinculación","508","OVEJAS","70","Sucre","Calle El Esfuerzo  23 -09","095-2869692","aaadeovejas@hotmail.com","300-6148035","NO DISPONIBLE","-75.227529","9.525856","Activa"
"0380","ALCALDÍA DE COROZAL","892280032","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","215","COROZAL","70","Sucre","Carrera 28 No 31A-08 Barrio San Juan - Palacio Municipal - Corozal","095-2840463","alcaldia@corozal-sucre.gov.co 
contactenos@corozal-sucre.gov.co","2840460","http://www.corozal-sucre.gov.co","-75.294467","9.321697","Activa"
"2778","CENTRO DE SALUD COVEÑAS","823004853","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","221","COVEÑAS","70","Sucre","SECTOR EL CAMPANO - LA PLAYA","095-2880723","centrodesaludcovenas123@hotmail.com","2499329","NO DISPONIBLE","-75.681642","9.402597","Activa"
"2907","CENTRO DE SALUD - CHALAN  SUCRE","823004927","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","230","CHALÁN","70","Sucre","Calle Principal frente al parque","095-2806339","esechalan@hotmail.com","095-2806401","NO DISPONIBLE","-75.312885","9.545827","Activa"
"3745","EMPRESA DE ACUEDUCTO, ALCANTARILLO Y ASEO DE SAN ANTONIO DE PALMITO-ACUAPAL","900254562","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Oficiales","Vinculación","523","PALMITO","70","Sucre","Calle 6 No. 6-52 calle Central San Antonio de Palmito - Sucre","095-2822784","acuapalsaesp@yahoo.es","5 - 2822784","NO DISPONIBLE","-75.540823","9.333659","Activa"
"5124","PERSONERÍA DE CAIMITO","823000869","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","124","CAIMITO","70","Sucre","Carrera 15A N. 10 - 01 Plaza Principal, Palacio Municipal Primera Oficina","57 - 5 - 2904136","persocaimito@hotmail.com","57 - 5 - 2904136","http://www.caimito-sucre.gov.co/Personeria.shtml","-75.11489","8.789558","Activa"
"3004","ESE CENTRO DE SALUD SAN ANTONIO DE PALMITO","900208755","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","523","PALMITO","70","Sucre","CL 05 No. 2C - 21","(5)-2862143","esepalmito@sanantoniodepalmito-sucre.gov.co","(5)-2862143","NO DISPONIBLE","-75.540823","9.333659","Activa"
"4257","EMPRESAS PÚBLICAS DE SANTIAGO DE TOLÚ","999999999","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Mixtas","Vinculación","820","SANTIAGO DE TOLÚ","70","Sucre","Carrera 3  16 - 17","095-9999999","entidad@pordefinir.gov.co","095-9999999","NO DISPONIBLE","-75.581273","9.527515","Activa"
"0442","ALCALDÍA DE OVEJAS","800100729","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","508","OVEJAS","70","Sucre","plaza principal","095-869086","alcaldia@ovejasucre.gov.co","2869086","http://www.ovejas-sucre.gov.co/informacion_general.","-75.227529","9.525856","Activa"
"0490","ALCALDÍA DE SAN LUIS DE SINCÉ","800100747","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","742","SAN LUIS DE SINCÉ","70","Sucre","carrera 11 No 8-10","095-2895207","contactenos@since-sucre.gov.co","2895207","http://www.since-sucre.gov.co/","-75.146445","9.241075","Activa"
"4761","INSTITUTO MUNICIPAL PARA EL DEPORTE Y LA RECREACION DE SINCELEJO","823000308","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Establecimiento Público","Adscripción","001","SINCELEJO","70","Sucre","cra. 13- calle 31 polideportivo san vicente","095-2805700","imdersincelejo7@hotmail.com","2805700","http://www.imdersincelejo.gov.co","-75.390557","9.304577","Activa"
"4886","PERSONERÍA DE GUARANDA","NULL","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","265","GUARANDA","70","Sucre","VACIA","NULL","NULL","VACIA","NO DISPONIBLE","-74.537025","8.46831","Activa"
"1200","ALCALDÍA DE TOLUVIEJO","800100751","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","823","TOLÚ VIEJO","70","Sucre","Diagonal 2 No 6-12 calle real","095-2894003","contactenos@toluviejo-sucre.gov.co","300 2771719","http://www.toluviejo-sucre.gov.co","-75.439135","9.452849","Activa"
"2460","CONCEJO DE SAN JUAN DE BETULIA","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","702","SAN JUAN DE BETULIA","70","Sucre","Carrera 7 Calle La Esperanza- Esquina Barrio Centro","NULL","contacenos@sanjuandebetulia-sucre.gov.co","575-2490267","http://www.sanjuandebetulia-sucre.gov.co/concejo.shtml","-75.243774","9.274374","Activa"
"3913","EMPRESA DE SERVICIOS PUBLICOS DE COROZAL","800084547","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Oficiales","Vinculación","215","COROZAL","70","Sucre","Carrera 2   30 - 26","095-6840294","imdersincelejo7@hotmail.com","095-6840294","NO DISPONIBLE","-75.294467","9.321697","Activa"
