"uid","name","owner","owner_uid","publication_stage","audience","approval_status","provenance","type","category","tags","url","api_endpoint","creation_date","last_data_updated_date","domain","derived_view","visits","downloads","row_count","column_count","contact_email","license","attribution","attribution_link","published_version_name","published_version_uid","parent_uid","commoncore_publisher","informacindedatos_fechaemisinddmmaaaa","commoncore_contactname","commoncore_language","commoncore_contactemail","commoncore_license","commoncore_issued","informacindelaentidad_sector","commoncore_references","informacindelaentidad_nombredelaentidad","commoncore_publicaccesslevel","commoncore_bureaucode","commoncore_describedby","commoncore_updatefrequency","informacindedatos_urlnormativa","informacindelaentidad_departamento","informacindelaentidad_autor","informacindelaentidad_orden","commoncore_programcode","commoncore_lastupdate","commoncore_homepage","commoncore_uniqueidentifier","informacindelaentidad_reaodependecia","informacindedatos_fechaemisinaaaammdd","informacindelaentidad_reaodependencia","informacindelaentidad_municipio","commoncore_geographiccoverage","informacindedatos_frecuenciadeactualizacin","informacindedatos_idioma","commoncore_theme","informacindedatos_coberturageogrfica","informacindedatos_urldocumentacin"
"b84s-hkiv:1","Centros de Transformación digital","Ministerio TIC Oficina TI Gestión de Informacion","cw5t-ib5h","unpublished","private","not_ready","official","dataset","Ciencia, Tecnología e Innovación",,"https://www.datos.gov.co/d/b84s-hkiv/revisions/1",,"2021-07-21T22:32:20.000","2021-06-09T16:55:05.000","www.datos.gov.co","false",,,"66857","19","ocastillo@mintic.gov.co","Creative Commons Attribution 4.0 International","Ministerio de Tecnologías de la Información y las Comunicaciones","https://colombiatic.mintic.gov.co","Centros de Transformación digital","b84s-hkiv",,,,,,,,,"Ciencia, Tecnología e innovación",,"Ministerio de Tecnologías de La Información y Las Comunicaciones",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"27/01/2020","Dirección de transformación digital","Bogotá D.C.",,"Mensual","Español",,"Nacional",
"wcnr-x6yk","GraficoJornadasTaller","tdpt","3xbf-pgw6","unpublished","private","not_ready","official","chart","Salud y Protección Social",,"https://www.datos.gov.co/d/wcnr-x6yk","https://www.datos.gov.co/resource/wcnr-x6yk.json","2020-09-15T20:54:40.000","2020-09-15T20:49:59.000","www.datos.gov.co","true","1","0",,,,"Creative Commons Attribution 4.0 International","UTTransformacionDigital",,,,"j3ri-pjkv",,,,,,,,"Salud y Protección Social",,"Ministerio de Tecnologías de La Información y Las Comunicaciones",,,,,"http://www.secretariasenado.gov.co/senado/basedoc/ley_1712_2014.html","Bogotá D.C.",,"Nacional",,,,,,"2020-09-01","AreaRiesgos","Bogotá D.C.",,"Mensual","Español",,"Municipal",
"u26u-n8kb","Vive Labs Contenidos.","Ministerio TIC Oficina TI Gestión de Informacion","cw5t-ib5h","published","private","not_ready","official","dataset","Ciencia, Tecnología e Innovación","laboratorios,contenidos,digital,capacitados,vive,labs","https://www.datos.gov.co/d/u26u-n8kb","https://www.datos.gov.co/resource/u26u-n8kb.json","2019-07-15T16:06:28.000","2019-07-15T16:09:48.000","www.datos.gov.co","false","103","24","184","15","scastro@mintic.gov.co","Creative Commons Attribution | Share Alike 4.0 International","Ministerio de Tecnologías de la Información y las Comunicaciones",,,,,,,,,,,,"Ciencia, Tecnología e innovación",,"Ministerio de Tecnologías de La Información y Las Comunicaciones",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2019-07-10","Industrias Creativas","Bogotá D.C.",,"Mensual","Español",,"Nacional",
"a9ir-28gn","Fuentes bibliográficas, empresas servicios TIC","OCyT","mfya-k3m2","published","private","not_ready","official","href","Ciencia, Tecnología e Innovación","fuentes de información biblliográfica","https://www.datos.gov.co/d/a9ir-28gn",,"2016-07-14T22:52:55.000","2016-07-14T22:52:55.000","www.datos.gov.co","false","31","0",,,,"Creative Commons Attribution | Share Alike 4.0 International","Ministerio de Tecnologías de la Información y las Comunicaciones",,,,,,"2016-04-07 12:52:44.637",,,,,,"Tecnologías de la Información y las Comunicaciones",,"Ministerio de Tecnologías de La Información y Las Comunicaciones",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2016-04-07","MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES","Bogotá D.C.",,"Anual","Español",,"Nacional",""
"7cmf-x9nt","Programas técnicos TIC, entidad territorial","OCyT","mfya-k3m2","published","private","not_ready","official","href","Ciencia, Tecnología e Innovación","programas formación técnica profesional tic","https://www.datos.gov.co/d/7cmf-x9nt",,"2016-07-14T22:45:31.000","2016-07-14T22:45:31.000","www.datos.gov.co","false","17","1",,,,"Creative Commons Attribution | Share Alike 4.0 International","Ministerio de Tecnologías de la Información y las Comunicaciones",,,,,,"2016-03-31 11:46:00.463",,,,,,"Tecnologías de la Información y las Comunicaciones",,"Ministerio de Tecnologías de La Información y Las Comunicaciones",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2016-03-31","MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES","Bogotá D.C.",,"Anual","Español",,"Nacional",""
"7fqh-ktiw","Tendencia Reporte Información al Sistema Colombia TIC - Mensajería Expresa","Ministerio TIC Oficina TI Gestión de Informacion","cw5t-ib5h","published","private","not_ready","official","dataset","Ciencia, Tecnología e Innovación","colombia tic,tendencia,reporte,mensajería expresa","https://www.datos.gov.co/d/7fqh-ktiw","https://www.datos.gov.co/resource/7fqh-ktiw.json","2018-06-19T19:20:20.000","2018-06-19T19:20:22.000","www.datos.gov.co","false","98","21","33","9","ymontilla@mintic.gov.co","Creative Commons Attribution | Share Alike 4.0 International","Ministerio de Tecnologías de la Información y las Comunicaciones",,,,,,,,,,,,"Ciencia, Tecnología e innovación",,"Ministerio de Tecnologías de La Información y Las Comunicaciones",,,,,"http://colombiatic.mintic.gov.co/679/w3-multipropertyvalues-36345-36377.html","Bogotá D.C.",,"Nacional",,,,,,"2018-06-19","Oficina de Tecnologías de la Información ","Bogotá D.C.",,"No aplica","Español",,"Nacional","http://www.mintic.gov.co/preventic/666/w3-channel.html"
"69b9-dadu","Graduados formación técnica TIC, OCDE y sexo","OCyT","mfya-k3m2","published","private","not_ready","official","href","Ciencia, Tecnología e Innovación","graduados formación técnica profesional tic","https://www.datos.gov.co/d/69b9-dadu",,"2016-07-14T22:48:42.000","2016-07-14T22:48:42.000","www.datos.gov.co","false","25","1",,,,"Creative Commons Attribution | Share Alike 4.0 International","Ministerio de Tecnologías de la Información y las Comunicaciones",,,,,,"2016-04-04 15:55:27.963",,,,,,"Tecnologías de la Información y las Comunicaciones",,"Ministerio de Tecnologías de La Información y Las Comunicaciones",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2016-04-04","MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES","Bogotá D.C.",,"Anual","Español",,"Nacional",""
"j893-7cux","Personas capacitadas con recursos empresas TIC","OCyT","mfya-k3m2","published","private","not_ready","official","href","Ciencia, Tecnología e Innovación","empleados sector tic capacitadas","https://www.datos.gov.co/d/j893-7cux",,"2016-07-14T22:46:07.000","2016-07-14T22:46:07.000","www.datos.gov.co","false","26","1",,,,"Creative Commons Attribution | Share Alike 4.0 International","Ministerio de Tecnologías de la Información y las Comunicaciones",,,,,,"2016-03-31 14:47:28.393",,,,,,"Tecnologías de la Información y las Comunicaciones",,"Ministerio de Tecnologías de La Información y Las Comunicaciones",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2016-03-31","MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES","Bogotá D.C.",,"Anual","Español",,"Nacional",""
"j7dz-f94v","Número de innovaciones, sector manufactura TIC","OCyT","mfya-k3m2","published","private","not_ready","official","href","Ciencia, Tecnología e Innovación","innovaciones de producto tic","https://www.datos.gov.co/d/j7dz-f94v",,"2016-07-14T22:54:03.000","2016-07-14T22:54:03.000","www.datos.gov.co","false","15","0",,,,"Creative Commons Attribution | Share Alike 4.0 International","Ministerio de Tecnologías de la Información y las Comunicaciones",,,,,,"2016-04-08",,,,,,"Tecnologías de la Información y las Comunicaciones",,"Ministerio de Tecnologías de La Información y Las Comunicaciones",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2016-04-08","MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES","Bogotá D.C.",,"Anual","Español",,"Nacional",""
"bnjr-hsst:0","Portales de Datos Abiertos en Colombia","Ministerio de Tecnologías de la Información y las Comunicaciones","r4qn-dwdd","unpublished","private","not_ready","official","dataset","Ciencia, Tecnología e Innovación",,"https://www.datos.gov.co/d/bnjr-hsst/revisions/0",,"2019-01-25T14:13:59.000","2019-01-25T14:13:59.000","www.datos.gov.co","false",,,,"0",,"Creative Commons Attribution | Share Alike 4.0 International","Dirección de Gobierno Digital",,,,,,,,,,,,"No Aplica",,"Ministerio de Tecnologías de La Información y Las Comunicaciones",,,,,"null","Bogotá D.C.",,"Nacional",,,,,,"2019-01-25","Gobierno Digital - Datos y Soluciones Abiertas","Bogotá D.C.",,"No aplica","Español",,"Nacional","null"
