"bancarizado","codigodepartamentoatencion","codigomunicipioatencion","discapacidad","estadobeneficiario","etnia","fechainscripcionbeneficiario","genero","nivelescolaridad","nombredepartamentoatencion","nombremunicipioatencion","pais","tipoasignacionbeneficio","tipobeneficio","tipodocumento","tipopoblacion","rangobeneficioconsolidadoasignado","rangoultimobeneficioasignado","fechaultimobeneficioasignado","rangoedad","titular","cantidaddebeneficiarios"
"NO","95","95001","NO","ACTIVO","ND","2014-05-01","Hombre","ND","GUAVIARE","SAN JOSE DEL GUAVIARE","ND","ND","NUTRICIÓN MENOR","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","5"
"ND","23","23555","ND","ACTIVO","ND","2013-07-01","Mujer","ND","CORDOBA","PLANETA RICA","Colombia","ND","EDUCACIÓN PRIMARIA","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","63","63001","NO","ACTIVO","ND","2015-04-01","Mujer","PRIMARIA","QUINDIO","ARMENIA","ND","ND","TRANSICIÓN","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","85","85410","NO","ACTIVO","ND","2018-11-01","Hombre","ND","CASANARE","TAURAMENA","ND","ND","NUTRICIÓN MENOR","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","00-05","NO","1"
"ND","17","17541","NO","ACTIVO","ND","2012-11-01","Hombre","ND","CALDAS","PENSILVANIA","Colombia","ND","EDUCACIÓN PRIMARIA","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"ND","44","44650","ND","ACTIVO","ND","2012-11-01","Mujer","ND","LA GUAJIRA","SAN JUAN DEL CESAR","Colombia","ND","EDUCACIÓN SECUNDARIA","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","3"
"NO","73","73067","NO","ACTIVO","ND","2018-05-01","Mujer","ND","TOLIMA","ATACO","ND","ND","ND","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","2018-01-01","18-29","SI","1"
,"05","05088","NO","NO ACTIVO","ND","2012-10-01","Mujer","SIN ESPECIFICAR","ANTIOQUIA","BELLO","ND","MONETARIO","ND","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","2015-01-01","30-49","SI","1"
"NO","13","13549","NO","ACTIVO","ND","2015-04-01","Hombre","SECUNDARIA","BOLIVAR","PINILLOS","ND","ND","EDUCACIÓN SECUNDARIA","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","44","44560","NO","ACTIVO","ND","2012-11-01","Hombre","ND","LA GUAJIRA","MANAURE","ND","ND","ND","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","52","52835","NO","NO ACTIVO","ND","2015-06-01","Hombre","ND","NARIÑO","SAN ANDRES DE TUMACO","ND","ND","ND","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","1"
"NO","41","41298","NO","ACTIVO","ND","2016-12-01","Mujer","PRIMARIA","HUILA","GARZON","ND","ND","EDUCACIÓN PRIMARIA","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","13","13549","NO","ACTIVO","ND","2012-12-01","Hombre","ND","BOLIVAR","PINILLOS","ND","ND","ND","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","8"
"NO","05","05697","NO","ACTIVO","ND","2013-12-01","Mujer","PRIMARIA","ANTIOQUIA","EL SANTUARIO","ND","ND","EDUCACIÓN PRIMARIA","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
