"c_digo_sigep","nombre","nit","orden","nivel","clasificaci_n_org_nica","sector","naturaleza_jur_dica","tipo_de_vinculaci_n","divipola_municipio","municipio","divipola_departamento","departamento","direcci_n","email","tel_fono","pagina_web","a_o_reporte_aspa","mes_reporte_aspa","iniciativa","producto_1","url_1","descripci_n_1","insumos_1","producto_2","url_2","descripci_n_2","insumos_2"
"8000","ADMINISTRADORA COLOMBIANA DE PENSIONES","900336004-7","Nacional","Descentralizado","Ejecutiva","Trabajo","Empresas Industriales y Comerciales del Estado","Vinculación","1","BOGOTÁ","11","Bogotá D.C","Carrera 10 No. 72 - 33 Torre B Piso 11","vicepresidenciadetalentohumano@colpensiones.gov.co","217 0100","http://www.colpensiones.gov.co","2018","7","Datos Abiertos","App movil colpensiones","https://play.google.com/store/apps/details?id=co.gov.colpensiones.movilapp","App movil colpensiones","https://www.datos.gov.co/Salud-y-Protecci-n-Social/N-mero-de-pensionados-en-Colpensiones-desagregado-/hdnf-a76p",,,,
"8176","ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD","901.037.916-1.","Nacional","Descentralizado","Ejecutiva","Salud y Protección Social","Especial","Adscripción","1","BOGOTÁ","11","Bogotá D.C","Avenida Calle 26 # 69 - 76 Torre 1 Piso 17","atencionalciudadano@adres.gov.co","(571) 432 27 60","http://www.adres.gov.co/","0","0","ND","ND",,"ND","ND",,,,
"8026","ADMINISTRADORA DEL MONOPOLIO RENTÍSTICO DE LOS JUEGOS DE SUERTE Y AZAR","900505060","Nacional","Descentralizado","Ejecutiva","Hacienda y Crédito Público","Empresas Industriales y Comerciales del Estado","Vinculación","1","BOGOTÁ","11","Bogotá D.C","Carrera 11 Numero 93a-85","contactenos@coljuegos.gov.co","571 7423368","http://www.coljuegos.gov.co","0","0","ND","ND",,"ND","ND",,,,
"8117","AGENCIA DE DESARROLLO RURAL",,"Nacional","Descentralizado","Ejecutiva","Agropecuario, Pesquero y de Desarrollo Rural","Agencia Estatal de Naturaleza Especial","Adscripción","1","BOGOTÁ","11","Bogotá D.C","Calle 43 # 57 - 41 Piso 1 CAN","atencionalciudadano@adr.gov.co","3830444","http://www.adr.gov.co","2021","2","Datos Abiertos","Tablero de control perfil de proyectos","https://app.powerbi.com/view?r=eyJrIjoiYjQ5YTU4YmItMWU2ZS00Y2NmLTlmMTEtYjg0OWI4ZjVlYWU1IiwidCI6Ijk5NDUyMTQwLWY2MDMtNGE5Yi1hMTI5LTFkMjI1Mzk0YmUwMSIsImMiOjR9&pageName=ReportSection","Tablero desarrollado en el marco del concurso máxima velocidad","•	Perfiles de proyectos inscritos 2020
•	Ciudades beneficiarias - Perfiles de proyectos inscritos 2020
•	Costos iniciativas - Perfil de proyectos 2020
•	Usuarios de proyectos Registrados vigencia 2020 - Agencia de Desarrollo Rural",,,,
"8115","AGENCIA DE RENOVACIÓN DEL TERRITORIO",,"Nacional","Descentralizado","Ejecutiva",,"Agencia Estatal de Naturaleza Especial","Adscripción","1","BOGOTÁ","11","Bogotá D.C","Carrera 7 No. 32 - 24, Centro empresarial San Martín (Pisos del 36 al 40)",,"57(1) 422 10 30","http://www.renovacionterritorio.gov.co/","2022","1","Datos Abiertos","Mapa de visualización iniciativas PDET","https://centralpdet.renovacionterritorio.gov.co/conoce-los-pdet/#mapadiv","Mapa de visualización iniciativas PDET","https://www.datos.gov.co/d/ijj8-hnqp",,,,
"8035","AGENCIA DEL INSPECTOR GENERAL DE TRIBUTOS, RENTAS Y CONTRIBUCIONES PARAFISCALES","899999090-2","Nacional","Central","Ejecutiva","Hacienda y Crédito Público","Unidad Administrativa Especial sin Personería Jurídica","Vinculación","1","BOGOTÁ","11","Bogotá D.C","CALLE 93B No. 16-47 piso 5","contactenos@gov.co","3770400",,"0","0","ND","ND",,"ND","ND",,,,
"6345","AGENCIA LOGÍSTICA DE LAS FUERZAS MILITARES","899999162-4","Nacional","Descentralizado","Ejecutiva","Defensa","Establecimiento Público","Adscripción","1","BOGOTÁ","11","Bogotá D.C","Calle 95 No. 13 – 08 Edificio Trece Oficinas Bogotá D.C.","contactenos@agencialogistica.gov.co","651-0420","http://www.agencialogistica.gov.co","2018","6","Datos Abiertos","App movil Agencia Logística de las Fuerzas Militares","https://play.google.com/store/apps/details?id=com.alfm_app.gov.co","Aplicación Móvil de la Agencia Logística de las fuerzas militares","ND",,,,
"8033","AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA -COLOMBIA COMPRA EFICIENTE-","900514813-2","Nacional","Descentralizado","Ejecutiva","Planeación","Unidad Administrativa Especial con Personería Jurídica","Adscripción","1","BOGOTÁ","11","Bogotá D.C","Carrera 7 No. 26 - 20 Piso 17 Edificio Seguros Tequendama Bogotá D.C","talento.humano@colombiacompra.gov.co","7956600","http://www.colombiacompra.gov.co/","2020","6","Datos Abiertos","Estadisticas contrataciones nacionales","https://www.colombiacompra.gov.co/node/22455","Estadisticas contrataciones nacionales","https://www.datos.gov.co/Gastos-Gubernamentales/SECOP-Integrado/rpmr-utcd",,,,
"8023","AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO","900507741-1","Nacional","Descentralizado","Ejecutiva","Justicia y del Derecho","Unidad Administrativa Especial con Personería Jurídica","Adscripción","1","BOGOTÁ","11","Bogotá D.C","Carrera 7 N° 75-66 Pisos 2 y 3","agencia@defensajuridica.gov.co","(+57) 1 2558955","http://www.defensajuridica.gov.co/","2020","9","Datos Abiertos","EKOGUI","https://ekogui.defensajuridica.gov.co/Pages/inicio.aspx","Este proyecto busca, bajo los servicios de una fábrica de software y un equipo contraparte, desarrollar e implementar funciones adicionales para el Sistema Único de Gestión e Información de la Actividad Litigiosa del Estado -EKOGUI que contribuyan a fortalecer el seguimiento al ciclo de defensa jurídico del Estado. Dentro de este proyecto se realizará un módulo de calidad de datos, que permita la modificación de datos de los procesos judiciales directamente en el sistema, al tiempo que mantenga la trazabilidad e integridad de la información. La evolución de los módulos de egistro y actualización de conciliaciones extrajudiciales se realizará de acuerdo los lineamientos arquitectónicos y demás requerimientos que exige la versión 2.0 del sistema EKOGUI, con la respectiva migración de la data registrada en la versión 1.0 del sistema","ND","ND","ND",,
"5199","AGENCIA NACIONAL DE HIDROCARBUROS","830127607-8","Nacional","Descentralizado","Ejecutiva","Minas y Energía","Agencia Estatal de Naturaleza Especial","Adscripción","1","BOGOTÁ","11","Bogotá D.C","Avenida Calle 26 No. 59-65 Piso 2o.","info@anh.gov.co","5931717","http://www.anh.gov.co","2021","11","Datos Abiertos","Estadisticas del sector","https://www.anh.gov.co/estadisticas-del-sector/sistemas-integrados-operaciones/estad%C3%ADsticas-producci%C3%B3n","Estadisticas del sector","https://www.datos.gov.co/Minas-y-Energ-a/Producci-n-Fiscalizada-de-Petr-leo-2021/i5aj-8t8t",,,,
