"tipooficina","pa_s","pa_s_iso3","localizaci_n_oficina","ciudad","nombre","oficina_c_digo","correo_electr_nico","direcci_n","telefonos"
"CONSULADO","DINAMARCA","DNK","
,  
(56.26392, 9.501785)","COPENHAGUE","C. COPENHAGUE","DNKCOP","CCOPENHAGUE@CANCILLERIA.GOV.CO","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO","ARUBA","ABW","
,  
(12.52111, -69.968338)","ARUBA","C. ARUBA","ABWARU","CARUBA@CANCILLERIA.GOV.CO","JULIANASTRAAT 4, LOCAL 2, ORANJESTAD, ARUBA","297 5837268"
"OFICINA LOCAL","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOGOTA","BTA. CALLE 53","BOGP53","(NO REGISTRA)","CALLE 53 NO. 10-60, BOGOTÁ DC","(57-1) 3814000"
"CONSULADO","EMIRATOS ARABES UNIDOS","ARE","
,  
(23.424076, 53.847818)","ABU DHABI","C. ABU DHABI","AREABU","CABUDHABI@CANCILLERIA.GOV.CO","AL BATEEN AREA, VILLA 1 WEST 39, PLOT NO. 55. PO BOX 60376","(NO REGISTRA)"
"CONSULADO","PANAMA","PAN","
,  
(8.537981, -80.782127)","JAQUE","C. JAQUE","PANJAQ","CJAQUE@CANCILLERIA.GOV.CO","(NO REGISTRA)","60326089"
"CONSULADO","ARGENTINA","ARG","
,  
(-38.416097, -63.616672)","BUENOS AIRES","C. BUENOS AIRES","ARGBUE","CBUENOSAIRES@CANCILLERIA.GOV.CO","CARLOS PELLEGRINI 1135 PLANTA BAJA","54-11 43125446 - 43125538 - 43139885"
"CONSULADO","AUSTRALIA","AUS","
,  
(-25.274398, 133.775136)","CANBERRA","C. CANBERRA","AUSCAN","CCANBERRA@CANCILLERIA.GOV.CO","EMBAJADA DE COLOMBIA EN CANBERRA AUSTRALIA - LEVEL  2, 40 MACQUARIE STREET - BARTON, ACT, 2600","61-2-62304203"
"CONSULADO","AUSTRALIA","AUS","
,  
(-25.274398, 133.775136)","SYDNEY","C. SYDNEY","AUSSYD","CSIDNEY@CANCILLERIA.GOV.CO","100 WALKER STREET PISO 12, SUITE NO. 2 NORTH SYDNEY NSW 2060","61 2 9955031 EX 221"
"CONSULADO","AUSTRIA","AUT","
,  
(47.516231, 14.550072)","VIENA","C. VIENA","AUTVIE","CVIENA@CANCILLERIA.GOV.CO","STADIONGASSE 6-8/15, A-1010 VIENNA","43 1 4054249"
"CONSULADO","AZERBAIYAN","AZE","
,  
(40.143105, 47.576927)","BAKU","C. BAKÚ","AZEBAK","CBAKU@CANCILLERIA.GOV.CO",": KHOJALY 37, DEMIRCHI TOWER, PISO 24","994(12)4047551, FAX:"
