"regi_n","otros_territorios","pa_s","localizaci_n","exige_visa_corta_duraci_n","exige_visa_para_pasaporte_oficial","exige_visa_para_pasaporte_diplomatico","condiciones_especiales"
"AMERICA CARIBE","SI","CURAZAO (PAÍSES BAJOS)","
,  
(0.0, 0.0)","NO","NO","NO","(N/A)"
"ASIA CENTRAL","NO","AFGANISTÁN","
,  
(33.93911, 67.709953)","SI","SI","SI","(N/A)"
"EUROPA SCHENGEN","NO","GRECIA","
,  
(39.074208, 21.824312)","NO","NO","NO","(N/A)"
"AMERICA DEL NORTE","NO","ESTADOS UNIDOS DE AMÉRICA","
,  
(37.09024, -95.712891)","SI","SI","SI","(N/A)"
"AMERICA CARIBE","NO","BARBADOS","
,  
(13.193887, -59.543198)","NO","NO","NO","(N/A)"
"ASIA DEL SUR","NO","BUTÁN","
,  
(27.514162, 90.433601)","SI","SI","SI","(N/A)"
"EUROPA SCHENGEN","NO","BULGARIA","
,  
(42.733883, 25.48583)","NO","NO","NO","(N/A)"
"AMERICA CARIBE","NO","JAMAICA","
,  
(18.109581, -77.297508)","NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 DÍAS"
"EUROPA SCHENGEN","NO","CHECA REPÚBLICA","
,  
(49.817492, 15.472962)","NO","NO","NO","(N/A)"
"AMERICA CENTRAL","NO","HONDURAS","
,  
(15.199999, -86.241905)","NO","NO","NO","(N/A)"
"AFRICA OCCIDENTAL","NO","GUINEA","
,  
(9.945587, -9.696645)","SI","SI","SI","(N/A)"
"AMERICA CARIBE","NO","BAHAMAS","
,  
(25.03428, -77.39628)","NO","NO","NO","(N/A)"
"AFRICA DEL NORTE","NO","ARGELIA","
,  
(28.033886, 1.659626)","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"EUROPA SCHENGEN","NO","ESLOVAQUIA","
,  
(48.669026, 19.699024)","NO","NO","NO","(N/A)"
"AFRICA OCCIDENTAL","NO","BURKINA FASO","
,  
(12.238333, -1.561593)","SI","SI","SI","(N/A)"
"AFRICA OCCIDENTAL","NO","BENIN","
,  
(9.30769, 2.315834)","SI","SI","SI","(N/A)"
"ASIA DEL ESTE","NO","CHINA REPÚBLICA POPULAR","
,  
(35.86166, 104.195397)","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"ASIA DEL ESTE","NO","JAPÓN","
,  
(36.204824, 138.252924)","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"AMERICA CARIBE","NO","DOMINICA","
,  
(15.414999, -61.370976)","NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 20 DÍAS"
"ORIENTE MEDIO","NO","EMIRATOS ÁRABES UNIDOS","
,  
(23.424076, 53.847818)","SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE PARA TRANSITO AEROPORTUARIO"
"AFRICA OCCIDENTAL","NO","GHANA","
,  
(7.946527, -1.023194)","SI","SI","SI","(N/A)"
"EUROPA OCCIDENTAL","NO","ANDORRA","
,  
(42.546245, 1.601554)","NO","NO","NO","(N/A)"
"ASIA DEL SUR","NO","INDIA","
,  
(20.593684, 78.96288)","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"EUROPA SCHENGEN","NO","ESTONIA","
,  
(58.595272, 25.013607)","NO","NO","NO","(N/A)"
"EUROPA SCHENGEN","NO","BÉLGICA","
,  
(50.503887, 4.469936)","NO","NO","NO","(N/A)"
"AMERICA CARIBE","SI","BONAIRE (PAÍSES BAJOS)","
,  
(0.0, 0.0)","NO","NO","NO","(N/A)"
"AMERICA DEL SUR","NO","CHILE","
,  
(-35.675147, -71.542969)","NO","NO","NO","(N/A)"
"EUROPA OCCIDENTAL","NO","IRLANDA","
,  
(53.41291, -8.24389)","SI","SI","SI","(N/A)"
"AMERICA CENTRAL","NO","EL SALVADOR","
,  
(13.794185, -88.89653)","NO","NO","NO","(N/A)"
"EUROPA SCHENGEN","NO","ALEMANIA","
,  
(51.165691, 10.451526)","NO","NO","NO","(N/A)"
"AMERICA CENTRAL","NO","GUATEMALA","
,  
(15.783471, -90.230759)","NO","NO","NO","(N/A)"
"EUROPA SCHENGEN","NO","FINLANDIA","
,  
(61.92411, 25.748151)","NO","NO","NO","(N/A)"
"AMERICA DEL SUR","SI","GUYANA FRANCESA","
,  
(3.933889, -53.125782)","NO","NO","NO","(N/A)"
"AMERICA CARIBE","NO","CUBA","
,  
(21.521757, -77.781167)","NO (TARJETA TURÍSTICA)","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","TARJETA TURÍSTICA"
"AMERICA DEL SUR","NO","BRASIL","
,  
(-14.235004, -51.92528)","NO","NO","NO","(N/A)"
"AFRICA CENTRAL","NO","CONGO REPÚBLICA DEMOCRÁTICA","
,  
(-4.038333, 21.758664)","SI","SI","SI","(N/A)"
"ISLAS PACIFICO","NO","ISLAS SALOMÓN","
,  
(-9.64571, 160.156194)","SI","SI","SI","(N/A)"
"AFRICA OCCIDENTAL","NO","COSTA DE MARFIL","
,  
(7.539989, -5.54708)","SI","SI","SI","(N/A)"
"SUDESTE ASIATICO","NO","BRUNEI DARUSSALAM","
,  
(4.535277, 114.727669)","SI","SI","SI","(N/A)"
"AMERICA CENTRAL","NO","COSTA RICA","
,  
(9.748917, -83.753428)","SI, CONDICIONES ESPECIALES","NO","NO","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR MÍNIMO 6 MESES"
"AMERICA DEL SUR","NO","GUYANA","
,  
(4.860416, -58.93018)","NO","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"EURASIA","NO","AZERBAIYÁN","
,  
(40.143105, 47.576927)","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","VISA ELECTRÓNICA"
"AFRICA OCCIDENTAL","NO","GAMBIA","
,  
(13.443182, -15.310139)","SI","SI","SI","(N/A)"
"EUROPA SCHENGEN","NO","AUSTRIA","
,  
(47.516231, 14.550072)","NO","NO","NO","(N/A)"
"AMERICA CARIBE","SI","GUADALUPE (FRANCIA)","
,  
(16.995971, -62.067641)","NO","NO","NO","(N/A)"
"AFRICA DEL SUR","NO","COMORAS","
,  
(-11.875001, 43.872219)","SI","SI","SI","(N/A)"
