"nombre_punto_de_recolecci","direcci_n_punto_de_recolecci","ciudad","departamento","pa_s","categoria_residuo","tipo_residuo","nombre_residuo","ubicacion","horario","nombre_programa_posconsumo","persona_contacto","correo_electr_nico"
"PALACIO DE GOBIERNO  SEDE PRINCIPAL(CUPULA CHATA)","Av. 5A #13-82, Cúcuta, Norte de Santander","Cúcuta","Norte de Santander","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 14:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"COMFAMILIARES SEDE PRINCIPAL","Cra. 24 #50-14, Manizales, Caldas, Colombia","Manizales","Caldas","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(5.063356633697, -75.498621595701)","SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Escuela Conrado Gonzales Mejia","Cl. 76 #80-496, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2784298, -75.5931441)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Sony aires","Cra. 47 #61-33, Rionegro, Antioquia, Colombia","Rionegro","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.1601859, -75.3690503)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Celuservicios","Cra. 51 #50-92, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2504773, -75.568357)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Esquina del Tambo","La Ceja, Antioquia, Colombia","La Ceja","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.0302353567028, -75.431381423279)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"TDA LAS VILAS","CALLE 24 # 44B","indefinido","indefinido","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Tienda la esquina","Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.262426527455, -75.54598603884)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Homcenter Calima","Cl. 22 #29a-43 a 29a-93, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Computadores","Portátiles","Computadores Portátiles O impresoras O perisféricos","(4.6192863415873, -74.086422686786)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 20:00:00","Corporación Ecocomputo","Edgar Erazo","logistica@ecocomputo.com"
"CARULLA PALMAS","CALLE 18 No. 35 - 19, Antioquia, Medellin, Colombia","Medellin","Colombia","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"OFFICE DEPOT SUBA","Cl. 152b #104-1 a 104-19, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.75284954361, -74.093595074344)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"DONDE JILTON","Cra. 11 #38, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.949905, -74.789319)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"UNIVERSIDAD UDES","Cl. 70 #10a-210, Bucaramanga, Santander, Colombia","Bucaramanga","Santander","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(7.0953242, -73.1173723)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Interllantas Poblado","Carrera 43 A # 25 A 66, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Llantas","Para camiones","Llantas","(6.2257096201754, -75.569095865186)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"TDA LA CONQUISTA","Cra. 13c, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.9507448, -74.7877515)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"DROGUERÍA COLSUBSIDIO SANTA ISABEL","Cl. 1f #27-8, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.5983051, -74.1003865)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
