"tipo_de_visa","actividad_de_la_visa","pa_s_de_nacimiento","sexo","edad","tiene_hijos","nivel_acad_mico","area_conocimiento","subarea_conocimiento","ciudad_de_domicilio_en","actividad_en_colombia","ocupaci_n_en_colombia","sector_de_actividad_en","tiene_familiares_residentes","a_o_expedicion","mes_expedicion","numero"
"TEMPORAL","TP-10","VENEZUELA","F","34","NO","POSTGRADO - MAESTRIA","CIENCIAS DE LA SALUD","MEDICINA","BOGOTA","TRABAJO","NO REGISTRA","SERVICIOS","NO","2015","4","1"
"TEMPORAL","TP-10","VENEZUELA","F","34","NO","POSTGRADO - MAESTRIA","CIENCIAS SOCIALES Y HUMANAS","OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS","BOGOTA","OFICIOS O ACTIVIDADES INDEPENDIENTES","NO REGISTRA","COMUNICACIONES","SI","2015","3","1"
"TEMPORAL","TP-10","VENEZUELA","F","34","NO","PREGRADO - PROFESIONAL","BELLAS ARTES","PUBLICIDAD Y AFINES","CUCUTA","HOGAR","NO REGISTRA","NO INDICA","SI","2017","10","1"
"VISAS VISITANTE","TRIPULANTE DE EMBARCACI�N O EN PLATAFORMA COSTERA AFUERA","VENEZUELA","M","63","NO","SIN PROFESI�N","NINGUNA","NINGUNA","TUMACO","NO INDICA","TRIPULANTE EMBARCACI�N PESQUERA","NO INDICA","NO","2022","4","1"
"VISAS RESIDENTE","POR TIEMPO ACUMULADO DE PERMANENCIA","VENEZUELA","M","16","NO","SIN PROFESI�N","NINGUNA","NINGUNA","BOGOTA D.C.","NO INDICA","HOGAR","NO INDICA","SI","2022","4","1"
"TEMPORAL","TP-10","VENEZUELA","F","34","NO","PREGRADO - PROFESIONAL","CIENCIAS SOCIALES Y HUMANAS","DERECHO Y AFINES","BARRANQUILLA","TRABAJO","NO REGISTRA","SERVICIOS","SI","2017","1","1"
"TEMPORAL","TP-10","VENEZUELA","F","34","NO","PREGRADO - PROFESIONAL","CIENCIAS SOCIALES Y HUMANAS","DERECHO Y AFINES","BOGOTA","HOGAR","NO REGISTRA","NO INDICA","SI","2017","4","1"
"TEMPORAL","TP-10","VENEZUELA","F","34","NO","PREGRADO - PROFESIONAL","CIENCIAS SOCIALES Y HUMANAS","DERECHO Y AFINES","CHIA","NO INDICA","ABOGADO","NO INDICA","SI","2014","5","1"
"TEMPORAL","TP-10","VENEZUELA","F","34","NO","PREGRADO - PROFESIONAL","CIENCIAS SOCIALES Y HUMANAS","DERECHO Y AFINES","ENVIGADO","HOGAR","NO REGISTRA","NO INDICA","SI","2017","2","1"
"VISAS RESIDENTE","POR TIEMPO ACUMULADO DE PERMANENCIA","VENEZUELA","F","22","NO","SIN PROFESI�N","NINGUNA","NINGUNA","BOGOTA D.C.","NO INDICA","HOGAR","NO INDICA","SI","2022","4","1"
