"departamento_prestacion","municipio_prestacion","servicio","estado","nombre","departamento_domicilio","municipio_domicilio","direccion","telefono","email","tipo_inscripcion","representante_legal","tipo_prestador","clasificacion"
"CORDOBA","AYAPEL","ACUEDUCTO","OPERATIVA","EMPRESAS PUBLICAS MUNICIPALES DE AYAPEL E.S.P.","CORDOBA","AYAPEL","CALLE 9 No 3A-68","7724166","bederpineda27@hotmail.com","Registro por la ESP","BEDER ALFONSO PINEDA CUADRADO","PRESTADORES FUERA DEL ART. 15 LSPD","HASTA 2500 SUSCRIPTORES"
"CORDOBA","SAN PELAYO","ACUEDUCTO","OPERATIVA","EMPRESAS PUBLICAS MUNICIPALES DE SAN PELAYO","CORDOBA","SAN PELAYO","CARRERA 7 No.11-17 BRR EL PARAISO","7633173","oliviapetro@hotmail.com","Registro por la ESP","OLIVIA ISABEL PETRO PETRO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","DESDE 2501 HASTA 5000 USUARIOS"
"CORDOBA","PURISIMA DE LA CONCEPCION","ACUEDUCTO","OPERATIVA","JUNTA ADMINISTRADORA DE LOS SERVICIOS DEL MUNICIPIO DE PURISIMA","CORDOBA","PURISIMA DE LA CONCEPCION","KRA 3 N° 7-59","7762022","domino1518@hotmail.com","Registro por la ESP","NESTOR MANUEL LEMUS PATERNINA","MUNICIPIO (PRESTACIÓN DIRECTA)","HASTA 2500 SUSCRIPTORES"
"CORDOBA","PLANETA RICA","ACUEDUCTO","OPERATIVA","OPERADORA DE SERVICIOS PUBLICOS S.A. EMPRESA DE SERVICIOS PUBLICOS","VALLE DEL CAUCA","CALI","CALLE 38 NORTE N 3N  84","6656512","gerenciageneral@opsasaesp.com","Registro por la ESP","ANGELA MARIA YEPES SIERRA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","TIERRALTA","ACUEDUCTO","OPERATIVA","EMPRESAS PUBLICAS MUNICIPALES DE TIERRALTA E.S.P","CORDOBA","TIERRALTA","calle 12 Nº 22-40 barrio 19 de Marzo","7685328","joerosso10@hotmail.com","Registro por la ESP","JOSE ANTONIO ROSSO GENES","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","VALENCIA","ACUEDUCTO","CANCELACION","EMPRESAS VARIAS MUNICIPALES DE VALENCIA CORDOBA E.S.P.","CORDOBA","VALENCIA","Carrera 15 No.11 - 10","7773071","empovalcoesp@gmail.com","Registro por la ESP","DINA PAOLA  NUÑEZ VILLALBA",,
"CORDOBA","CANALETE","ACUEDUCTO","OPERATIVA","EMPRESAS PUBLICAS MINICIPALES DE CANALETE","CORDOBA","CANALETE","CARRERA 4 CALLE 3 Y4 URB. SOTO","7601016","tecnodatacompu@hotmail.com","Registro por la ESP","OSVAL ALIRIO CORREA LEON","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","HASTA 2500 SUSCRIPTORES"
"CORDOBA","MONTERIA","ACUEDUCTO","OPERATIVA","VEOLIA AGUAS DE MONTERÍA S.A. E.S.P.","CORDOBA","MONTERIA","CALLE 30 # 4 - 63","7957775","maria.caballero@veolia.com","Registro por la ESP","URIEL GARCIA PEREIRA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","CHINU","ACUEDUCTO","OPERATIVA","AGUAS DE LA SABANA S.A. E.S.P.","SUCRE","SINCELEJO","CAR KM1 OCC VIA COROZAL","2745008","ximena.morales@veolia.com","Registro por la ESP","FABIO ERNESTO ARAQUE DE AVILA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","SAN PELAYO","ACUEDUCTO","OPERATIVA","JUNTA ADMINISTRADORA DEL ACUEDUCTO DE LA MADERA","CORDOBA","SAN PELAYO","PALACIO MUNICIPAL","3135008","juanamartinezcorrea@hotmail.com","Registro por la ESP","JUANA MARTINEZ CORREA","ORGANIZACION AUTORIZADA","HASTA 2500 SUSCRIPTORES"
"CORDOBA","COTORRA","ACUEDUCTO","OPERATIVA","CORPORACIÓN  ACUEDUCTO RURAL COMUNITARIO MUNICIPIO DE SANTA CRUZ DE LORICA","CORDOBA","LORICA","Calle 2 No. 1-102","8980815","arcoacueducto@hotmail.es","Registro por la ESP","MARDEY MARGOTH LOPEZ ISSA","ORGANIZACION AUTORIZADA","DESDE 2501 HASTA 5000 USUARIOS"
"CORDOBA","LORICA","ACUEDUCTO","OPERATIVA","CORPORACIÓN  ACUEDUCTO RURAL COMUNITARIO MUNICIPIO DE SANTA CRUZ DE LORICA","CORDOBA","LORICA","Calle 2 No. 1-102","8980815","arcoacueducto@hotmail.es","Registro por la ESP","MARDEY MARGOTH LOPEZ ISSA","ORGANIZACION AUTORIZADA","DESDE 2501 HASTA 5000 USUARIOS"
"CORDOBA","CERETE","ACUEDUCTO","OPERATIVA","UNIAGUAS S.A. E.S.P.","CORDOBA","CERETE","Cll 39 No. 15 60","7741602","fmartinez3105@hotmail.com","Registro por la ESP","DIEGO HERNAN HURTADO VARON","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","CIENAGA DE ORO","ACUEDUCTO","OPERATIVA","UNIAGUAS S.A. E.S.P.","CORDOBA","CERETE","Cll 39 No. 15 60","7741602","fmartinez3105@hotmail.com","Registro por la ESP","DIEGO HERNAN HURTADO VARON","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","SAHAGUN","ACUEDUCTO","OPERATIVA","UNIAGUAS S.A. E.S.P.","CORDOBA","CERETE","Cll 39 No. 15 60","7741602","fmartinez3105@hotmail.com","Registro por la ESP","DIEGO HERNAN HURTADO VARON","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","SAN CARLOS","ACUEDUCTO","OPERATIVA","UNIAGUAS S.A. E.S.P.","CORDOBA","CERETE","Cll 39 No. 15 60","7741602","fmartinez3105@hotmail.com","Registro por la ESP","DIEGO HERNAN HURTADO VARON","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","PUERTO ESCONDIDO","ACUEDUCTO","OPERATIVA","ADMINISTRADORA PUBLICA COOPERATIVA DE SERVICIOS PUBLICOS DE PUERTO ESCONDIDO","CORDOBA","PUERTO ESCONDIDO","CALLE 2a #9-41, BARRIO LA PLAZA","0000000","cooserpues.esp@gmail.com","Registro por la ESP","GERMAN GABRIEL GALVAN GUERRA","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"CORDOBA","LA APARTADA","ACUEDUCTO","OPERATIVA","MUNICIPIO DE LA APARTADA","CORDOBA","LA APARTADA","Barrio la Frontera  calle 20 No.16 - 22","7742455","pmanotas80@hotmail.com","Registro por la ESP","CRUZ GIOVANNI GARCIA  GARCIA","MUNICIPIO (PRESTACIÓN DIRECTA)","HASTA 2500 SUSCRIPTORES"
"CORDOBA","PUEBLO NUEVO","ACUEDUCTO","OPERATIVA","ADMINISTRACION PUBLICA COOPERATIVA DE SERVICIOS PUBLICOS DE AGUA Y SANEAMIENTO BASICO DE PUEBLO NUEVO","CORDOBA","PUEBLO NUEVO","CRA 15 # 6 - 150 B/Villanueva","7753232","cooaguaspnuevo@hotmail.com","Registro por la ESP","CARLOS FERNANDO GERMAN CALAO","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"CORDOBA","MONITOS","ACUEDUCTO","OPERATIVA","COOPERATIVA DE SERVICIOS PUBLICOS REGIONAL DE MOÑITOS","CORDOBA","MONITOS","Calle 22A No. 4 - 5B Barrio Santa Lucia","7608614","dalisceciliagonzalez@yahoo.es","Registro por la ESP","DALIS CECILIA GONZALEZ PASTRANA","ORGANIZACION AUTORIZADA","DESDE 2501 HASTA 5000 USUARIOS"
"CORDOBA","COTORRA","ACUEDUCTO","OPERATIVA","EMPRESA REGIONAL DE ADMINISTRACION PUBLICA COOPERATIVA COMUNITARIA DE SERVICIOS PUBLICOS DOMICILIARIOS DE ACUEDUCTO, ALCANTARILLADO Y ASEO AGUAS DEL SINU A.P.C.","CORDOBA","COTORRA","CALLE PRINCIPAL GUAYABAL","0000000","aguadelsinuapac@gmail.com","Registro por la ESP","NHORA ESTHER SIERRA COGOLLO","ORGANIZACION AUTORIZADA","DESDE 2501 HASTA 5000 USUARIOS"
"CORDOBA","CHIMA","ACUEDUCTO","OPERATIVA","AGUAS DEL SINU S.A E.S.P","CORDOBA","LORICA","CRA 26  # 14 - 06 B/ SAN PEDRO","7731744","coordinacionfacturacion@aguasdelsinusaesp.com.co","Registro por la ESP","EDGARDO ANTONIO BURGOS MEJIA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","LORICA","ACUEDUCTO","OPERATIVA","AGUAS DEL SINU S.A E.S.P","CORDOBA","LORICA","CRA 26  # 14 - 06 B/ SAN PEDRO","7731744","coordinacionfacturacion@aguasdelsinusaesp.com.co","Registro por la ESP","EDGARDO ANTONIO BURGOS MEJIA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","MOMIL","ACUEDUCTO","OPERATIVA","AGUAS DEL SINU S.A E.S.P","CORDOBA","LORICA","CRA 26  # 14 - 06 B/ SAN PEDRO","7731744","coordinacionfacturacion@aguasdelsinusaesp.com.co","Registro por la ESP","EDGARDO ANTONIO BURGOS MEJIA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","PURISIMA DE LA CONCEPCION","ACUEDUCTO","OPERATIVA","AGUAS DEL SINU S.A E.S.P","CORDOBA","LORICA","CRA 26  # 14 - 06 B/ SAN PEDRO","7731744","coordinacionfacturacion@aguasdelsinusaesp.com.co","Registro por la ESP","EDGARDO ANTONIO BURGOS MEJIA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","SAN ANDRES DE SOTAVENTO","ACUEDUCTO","OPERATIVA","AGUAS DEL SINU S.A E.S.P","CORDOBA","LORICA","CRA 26  # 14 - 06 B/ SAN PEDRO","7731744","coordinacionfacturacion@aguasdelsinusaesp.com.co","Registro por la ESP","EDGARDO ANTONIO BURGOS MEJIA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","SAN ANTERO","ACUEDUCTO","OPERATIVA","AGUAS DEL SINU S.A E.S.P","CORDOBA","LORICA","CRA 26  # 14 - 06 B/ SAN PEDRO","7731744","coordinacionfacturacion@aguasdelsinusaesp.com.co","Registro por la ESP","EDGARDO ANTONIO BURGOS MEJIA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","TUCHIN","ACUEDUCTO","OPERATIVA","AGUAS DEL SINU S.A E.S.P","CORDOBA","LORICA","CRA 26  # 14 - 06 B/ SAN PEDRO","7731744","coordinacionfacturacion@aguasdelsinusaesp.com.co","Registro por la ESP","EDGARDO ANTONIO BURGOS MEJIA","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","MONTELIBANO","ACUEDUCTO","OPERATIVA","JAGUAZUL S.A E.S.P","CORDOBA","MONTELIBANO","terminal de Trasnporte segundo piso local 11","7623775","gerenciajaguazul@gmail.com","Registro por la ESP","ENRRY GERMAN SANCHEZ SUAREZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
"CORDOBA","LA APARTADA","ACUEDUCTO","OPERATIVA","ADMINISTRACION  PUBLICA COOPERATIVA DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE LA APARTADA","CORDOBA","LA APARTADA","CRA 11 23 30 BRR LA FRONTERA","8104507","Janet_herrera@hotmail.com","Registro por la ESP","YANIT DEL CARMEN HERRERA HERRERA","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"CORDOBA","PUERTO LIBERTADOR","ACUEDUCTO","OPERATIVA","ADMINISTRACION COOPERATIVA DE SERVICIOS PUBLICOS DE ACUEDUCTO, ALCANTARILLADO, ASEO Y A FINES DE PUERTO LIBERTADOR","CORDOBA","PUERTO LIBERTADOR","CRA 9 CALLE 10 N° 10-40 BARRIO EL PROGRESO","7726028","agualcas.apcbijao@hotmail.com","Registro por la ESP","JANIT ENRIQUE BENITEZ ORTEGA","ORGANIZACION AUTORIZADA","DESDE 2501 HASTA 5000 USUARIOS"
