"cantidaddebeneficiarios","cantidadbeneficioconsolidado","cantidadultimobeneficio","codigodepartamentoatencion","codigomunicipioatencion","condicionsexual","discapacidad","estadobeneficiario","estadocivil","etnia","fechainscripcionbeneficiario","fechaultimobeneficioasignado","genero","nivelescolaridad","nombredepartamentoatencion","nombremunicipioatencion","pais","parentesco","rangoedad","tipoasignacionbeneficio","tipobeneficio","tipodocumento","tipopoblacion","rangovalorbeneficioconsolidadoasignado","rangovalorultimobeneficioasignado"
"1","1","1","52","52835","ND","NO","ACTIVO","Sin Información","ND","2018-09-01","2018-01-01","Mujer","ND","NARIÑO","SAN ANDRES DE TUMACO","ND","ND","30-49","RURAL","ESPECIE","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000"
"2","4","1","27","27099","ND","ND","ACTIVO","Sin Información","ND","2015-10-01","2016-01-01","Hombre","ND","CHOCO","BOJAYA","Colombia","ND",">65","RURAL","ESPECIE","CC","DESPLAZADOS","1.500.001 - 3.000.000","0 - 1.300.000"
"1","2","1","19","19318","ND","NO","ACTIVO","ND","AFROCOLOMBIANO – NEGRO","2015-10-01","2016-01-01","Mujer","ND","CAUCA","GUAPI","Colombia","ND","18-29","RURAL","ESPECIE","CC","VULNERABLE","1.500.001 - 3.000.000","1.300.001 - 2.600.000"
"8","1","1","44","44560","ND","NO","ACTIVO","Sin Información","INDIGENA","2018-07-01","2018-01-01","Mujer","ND","LA GUAJIRA","MANAURE","ND","ND","30-49","RURAL","ESPECIE","CC","VULNERABLE","0 - 1.500.000","0 - 1.300.000"
"1","4","1","27","27800","ND","ND","ACTIVO","ND","ND","2015-12-01","2017-01-01","Hombre","ND","CHOCO","UNGUIA","Colombia","ND","30-49","RURAL","ESPECIE","CC","VULNERABLE","1.500.001 - 3.000.000","0 - 1.300.000"
"1","3","1","44","44847","ND","NO","ACTIVO","ND","INDIGENA","2016-05-01","2016-01-01","Mujer","ND","LA GUAJIRA","URIBIA","Colombia","ND","30-49","RURAL","ESPECIE","CC","VULNERABLE","3.000.001 - 4.500.000","0 - 1.300.000"
"1","4","1","27","27787","ND","NO","ACTIVO","ND","AFROCOLOMBIANO – NEGRO","2015-10-01","2016-01-01","Hombre","ND","CHOCO","TADO","Colombia","ND","06-17","RURAL","ESPECIE","RC","AMBAS CONDICIONES","1.500.001 - 3.000.000","0 - 1.300.000"
"3","2","1","05","05837","ND","NO","ACTIVO","Sin Información","INDIGENA","2014-01-01","2015-01-01","Mujer","ND","ANTIOQUIA","TURBO","ND","ND","18-29","RURAL","ESPECIE","CC","VULNERABLE","1.500.001 - 3.000.000","2.600.001 - 3.900.000"
"10","1","1","76","76109","ND","ND","ACTIVO","Sin Información","AFROCOLOMBIANO – NEGRO","2012-02-01","2013-01-01","Mujer","ND","VALLE","BUENAVENTURA","Colombia","ND","30-49","CAPITALIZACION INDIVIDUAL","ESPECIE","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000"
"1","2","1","27","27099","ND","ND","ACTIVO","ND","INDIGENA","2014-01-01","2015-01-01","Mujer","ND","CHOCO","BOJAYA","Colombia","ND","30-49","RURAL","ESPECIE","No Definido","DESPLAZADOS","1.500.001 - 3.000.000","2.600.001 - 3.900.000"
"1","1","1","20","20013","ND","ND","ACTIVO","ND","INDIGENA","2018-04-01","2018-01-01","Mujer","ND","CESAR","AGUSTIN CODAZZI","Colombia","ND","18-29","RURAL","ESPECIE","No Definido","VULNERABLE","0 - 1.500.000","0 - 1.300.000"
"2","2","1","52","52250","ND","NO","ACTIVO","Sin Información","AFROCOLOMBIANO – NEGRO","2014-01-01","2014-01-01","Mujer","ND","NARIÑO","EL CHARCO","ND","ND","50-65","RURAL","ESPECIE","CC","DESPLAZADOS","1.500.001 - 3.000.000","0 - 1.300.000"
"1","3","1","44","44847","ND","NO","ACTIVO","Sin Información","INDIGENA","2016-05-01","2016-01-01","Mujer","ND","LA GUAJIRA","URIBIA","ND","ND","30-49","RURAL","ESPECIE","CC","VULNERABLE","3.000.001 - 4.500.000","0 - 1.300.000"
