"raz_n_social","direcci_n","resoluci_n","administrador","correo_electronico"
"Los sauces","Carrera 27 N 51-227","1179","Monica Marcela Hurtado Montoya",
"Torre Oporto","Calle 29ª # 44-54","1289","Leidy Yohana Montoya Arbelaez","oportoph@hotmail.com"
"Edifio El Favorable","Calle 29 Contiguo 31-08 Capilla Jesus Nazareno","1421","Blanca Rosa Duque Giraldo",
"Sierras de la Macarena","Vereda Cimarronas","1090","Clara Pelaez de Uribe",
"Condominio Alcaravanes","Calle 28 Nº 52-146/52/35","1383","blanca Oliva Restrepo",
"Edificio La Avenida","Avenida Alberto Jaramillo Nº 23-36 36-38","1552","Carmen Rosa Agudelo Tamayo",
"Conjunto Residencial El Enclave","Carrera 31 Nº 25-35","1025","Wilson Eduardo Giraldo Alzate",
"Edificio Martinez Aguirre","Calle 31 N° 33-153","456","Omar Gallego Marin",
"Bariloche ll etapa 1 y 2","Calle 29A 44-15","79","Juan Diego Zuluaga Villegas",
"Edifico Castaño Zuluaga","Calle 31 N° 41a N°3942","1381","Leonel de Jesus Castaño Zuluaga",
"Edificio pionono","Carrera 31 # 28-89","523","Dora Emilce Ramirez Giraldo",
"Bariloche","Crra 46 N°29-80 lote 14 Manzana D","2406","Miriam del Socorro Carvajal Buitriago",
"Cardona Ramirez Propiedad Horizontal","Carrera 40 Nº 29a-56/58","996","Doris Elisa Ramirez Cardona",
"2do piso Ed Luis Angel Giraldo","Calle 22 N° 30-31 1er piso y Calle 22 N°29-23","1633","Luz Marina Villegas Vanegas",
"Conjunto Residencial Arrayanes","Cra37 # 29-15","434","Jose Jairo Lopez Cardona",
"Conjunto Residencial Torre del Este","Calle 29 # 36-68","1304","Leidy Johana Montoya Arbelaez",
"Multifamiliar Poblado dela Dalia","Calle 23  Nº 30-44","350","Flor Alba Gonzalez Montoya",
"Altos del Castillo","Cra 43 Nº 31a-21","783","Gloria Patricia Gomez Yepes",
"Los Rosales","Cra 30 N° 34-35","974","Flor Nelida Velez Sanchez",
"Edificio Gomez Pineda","Cra 39 # 29a--40/42","401","Bernardo Gomez Pineda",
"Edificio Vicentino","Carrera  34 Nº 30-50/56/58/60","1290","Sergio William Gomez Gomez",
"Edificio Garcia Arango","Carrera 32 Nº 34a - 81","390","Gabriela Garcia Arango",
"Edificio Juanes","Calle 29","638","John Jairo Aristizabal Arcila",
"Barrio La Dalia","Cra 30B N°25-24","2180","Luz Elida Henao Giraldo",
,"Cra 32A N° 20-60 Cra 32A N° 20-56","50","Rosa Angela Marin Marin",
"Barrio la Dalia","Cra 32 N° 21-11","620","Sonia Yanneth Zuluaga Pineda",
"Monte Verde Casas Bloque A lote 6A manzana C",,"2096","Eusebio Gomez Gomez",
"monte Verde Casas Bloque B lote 6B  manzana C","Ubanización ciudad Verde Santa Ana Manzana C, Lote 6B","2095","Eusebio Gomez Gomez",
"El mirador de la 22","Callev22 N° 26 - 194","1342","Rafael Hernando Rivillas Mejia",
"Los Rosales Apartamentos","Carrera 30 A N° 41  47 y Carrera 30A N°41-40","2005","Helidoro Bernal Joya",
,"Cra 30AA N° 35-25","2085","Oscar de Jesus Botero Rojas",
"Edifcio Barlovento","Calle 30 N° 338 - 65","1846","Tiberio Cesar Salazar Gomez",
"La Riviera","Calle 30 n° 48 - 24","2199","Eliana Patricia Carvajal Gallo",
"Edificio Santa Maria","Carrera 32 N° 31 - 29","527","Lucia Marin Salazar",
"Monte verde casas Bloque E lote 6E manzana C","Urbanización ciudad verde Santa Ana Manzana C Lote 6E Barrio Bellavista Occidente - Zona Urbana","2032","Eusebio Gomez Gomez",
"La Gran Manzana","Calle 30 N° 31- 44","1477","Marisol Gutierrez García",
"Bella Vista","Calle 31 N° 25-35","1136","Jaime de Jesus Villegas Castrillon",
"Edificio San Jose","Calle 30 N° 32 A 24","451","Rosalba Giraldo García",
"Mirador Del hato PH","Paraje el Hato","2923","Cristian Sanchez Rua",
"Edificio Los Giraldos III","Carrera 30 AA N° 36-04/08/14/18, Calle 36 N° 30A-26/32 y Calle 37 N° 30-19/23","1626","Jose Hernan Arbelaez Muñoz",
"Urbanización Multifamiliar Los Pinos Etapa 1 PH","calle 27 N° 51-91","1994","Wbeimar Aurelio Guzman",
"Edificio Los Giraldo III La Sagrada Familia","Calle 36 N° 30AA - 08/24/40","1133","Dary Matilde Buelvas Serpa",
"Edificio Osman Hildebrando Alzate Gomez","Carrera29 N° 30-50/52/58","2491","Jhony Alejandro Giraldo Montoya",
"Conjunto Residencial Los Girasoles","Carrera 27 N° 33  195","4515","Mario Ricardo Echavarria Gallego",
"Edificio Sahuri","Calle 30 N° 24-56","3782","Maria Olga Giraldo Arbelaez",
"Edificio Las Mercedes Propiedad Horizontal","Carrera 33 B N° 36-40","3334","Ricardo Leon Chaverra Herrera",
"Edificio Curazao","Calle 32a -- 44, 32a - 48 y 32a - 46","4518","Gloria Patricia Jaramillo Morales",
"Conjunto de Uso Mixto Luna Verde propiedad Horizontal","Calle 27 N° 51.290","4200","Juan Diego Ospina",
"Edificio Borneo 4","Calle 20 N° 36C - 92","1760","Luis Fernando Lopez García",
"Parcelacion Cañabrava","Vereda El Chagualo","4514","Alirio  de Jesus Franco Palacio",
"Edificio Borneo 2","Calle 36E N° 18B - 46","2355","Luis Fernando Lopez García","Borneo2ph@hotmail.com"
"Edificio Lisboa Apartamentos Propiedad Horizontal","Cra 33 # 31-35","2025","Area Administracion","gerencia@areaph.com"
"Conjunto Residencial La Esparta P.H","Calle 25#30-56/60","2026","Area Administracion","gerencia@areaph.com"
"Ciudadela Real La Dalia, Segunda Etapa, Subetapa II","Calle 18A # 36B-25","2127","Guillermo Gaviria Cardona","leandros5800@gmail.com"
"Edificio Balcones de Tinajas-Propiedad Horizontal","Cra 26 # 34-54","1907","Juan Diego Zuluaga Villegas","admoninmobiliariaoriente@gmail.com"
"Edifio Garcia Alzate","Calle 32 # 31-10/14","1582","Franklin Garcia Alzate",
