"c_digo_sigep","nombre_entidad","nit","orden","suborden","nivel","clasificaci_n_org_nica","sector","naturaleza_jur_dica","tipo_de_vinculaci_n","divipola_municipio","municipio","divipola_departamento","departamento","direcci_n","fax","email","tel_fono_entidad","pagina_web","estado","anio_reporte_aspa","mes_reporte_aspa","nombre_s_de_software_libre","descripcion_uso_software","nombre_del_contacto","correo_electronico_del","tel_fono_del_contacto"
"8000","ADMINISTRADORA COLOMBIANA DE PENSIONES","900336004-7","Nacional","No Aplica","Descentralizado","Ejecutiva","Trabajo","Empresas Industriales y Comerciales del Estado","Vinculación","001","BOGOTÁ","11","Bogotá D.C","Carrera 10 No. 72 - 33 Torre B Piso 11","642 1295","vicepresidenciadetalentohumano@colpensiones.gov.co","217 0100","http://www.colpensiones.gov.co","Activa","2020","6","Putty, Notepad++","Encuesta diagnóstico de uso de software libre","Javier Orlando Alarcón","joalarcon@colpensiones.gov.co","2170100 EXT. 1149"
"8176","ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD","901.037.916-1.","Nacional","No Aplica","Descentralizado","Ejecutiva","Salud y Protección Social","Especial","Adscripción","001","BOGOTÁ","11","Bogotá D.C","Avenida Calle 26 # 69 - 76 Torre 1 Piso 17",,"atencionalciudadano@adres.gov.co","(571) 432 27 60","http://www.adres.gov.co/","Activa","2021","5","OpenRefine, XROAD","Entidades del Grupo 1 apoyadas en 2020 por la UT de acompañamiento de la DGD para el uso de software libre.","Edgar Giovanny Otálora Camacho","Edgar.Otalora@adres.gov.co","4322760 EXT 1718"
"8026","ADMINISTRADORA DEL MONOPOLIO RENTÍSTICO DE LOS JUEGOS DE SUERTE Y AZAR","900505060","Nacional","No Aplica","Descentralizado","Ejecutiva","Hacienda y Crédito Público","Empresas Industriales y Comerciales del Estado","Vinculación","001","BOGOTÁ","11","Bogotá D.C","Carrera 11 Numero 93a-85",,"contactenos@coljuegos.gov.co","571 7423368","http://www.coljuegos.gov.co","Activa","0","0",,,,,
"8117","AGENCIA DE DESARROLLO RURAL","900948958-4","Nacional","No Aplica","Descentralizado","Ejecutiva","Agropecuario, Pesquero y de Desarrollo Rural","Agencia Estatal de Naturaleza Especial","Adscripción","001","BOGOTÁ","11","Bogotá D.C","Calle 43 # 57 - 41 Piso 1 CAN",,"atencionalciudadano@adr.gov.co","3830444","http://www.adr.gov.co","Activa","2020","10","Apache, Asterisk, Centos, Freepbx, Github Desktop, Issabel, Ksnip, LibreOffice, MySQL, Netbeans, Openrefine, Orfeo, Phalcon Framework, Remmina.","Se identifica el uso del software libre a través del Reto Turbo Booster No.6 de Máxima Velocidad 2020.","Paola Ambrosio","genny.ambrosio@adr.gov.co","3002844299"
"8115","AGENCIA DE RENOVACIÓN DEL TERRITORIO","901006886-4","Nacional","No Aplica","Descentralizado","Ejecutiva",,"Agencia Estatal de Naturaleza Especial","Adscripción","001","BOGOTÁ","11","Bogotá D.C","Carrera 7 No. 32 - 24, Centro empresarial San Martín (Pisos del 36 al 40)",,"enlaceciudadano@renovacion.gov.co","57(1) 422 10 30","http://www.renovacionterritorio.gov.co/","Activa","0","0",,,,,
"8035","AGENCIA DEL INSPECTOR GENERAL DE TRIBUTOS, RENTAS Y CONTRIBUCIONES PARAFISCALES","899999090-2","Nacional","No Aplica","Central","Ejecutiva","Hacienda y Crédito Público","Unidad Administrativa Especial sin Personería Jurídica","Vinculación","001","BOGOTÁ","11","Bogotá D.C","CALLE 93B No. 16-47 piso 5","3770400","contactenos@gov.co","3770400",,"Activa","0","0",,,,,
"6345","AGENCIA LOGÍSTICA DE LAS FUERZAS MILITARES","899999162-4","Nacional","No Aplica","Descentralizado","Ejecutiva","Defensa","Establecimiento Público","Adscripción","001","BOGOTÁ","11","Bogotá D.C","Calle 95 No. 13 – 08 Edificio Trece Oficinas Bogotá D.C.","651-0420 Opción 7","contactenos@agencialogistica.gov.co","651-0420","http://www.agencialogistica.gov.co","Activa","2020","6","GLPI - Gestión de TI","Encuesta diagnóstico de uso de software libre","Yuri Daianny Ruiz Franco","yuri.ruiz@agencialogistica.gov.co","6510420 ext. 1161"
"8033","AGENCIA NACIONAL DE CONTRATACIÓN PÚBLICA -COLOMBIA COMPRA EFICIENTE-","900514813-2","Nacional","No Aplica","Descentralizado","Ejecutiva","Planeación","Unidad Administrativa Especial con Personería Jurídica","Adscripción","001","BOGOTÁ","11","Bogotá D.C","Carrera 7 No. 26 - 20 Piso 17 Edificio Seguros Tequendama Bogotá D.C","7956600","talento.humano@colombiacompra.gov.co","7956600","http://www.colombiacompra.gov.co/","Activa","2021","8","XROAD","Interoperabilidad","CLAUDIA EVELIA LÓPEZ HERNÀNDEZ","claudia.lopez@colombiacompra.gov.co","(+57 1) 7956600 Ext. 6514"
"8023","AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO","900507741-1","Nacional","No Aplica","Descentralizado","Ejecutiva","Justicia y del Derecho","Unidad Administrativa Especial con Personería Jurídica","Adscripción","001","BOGOTÁ","11","Bogotá D.C","Carrera 7 N° 75-66 Pisos 2 y 3","2558933","agencia@defensajuridica.gov.co","(+57) 1 2558955","http://www.defensajuridica.gov.co/","Activa","0","0",,,,,
"5199","AGENCIA NACIONAL DE HIDROCARBUROS","830127607-8","Nacional","No Aplica","Descentralizado","Ejecutiva","Minas y Energía","Agencia Estatal de Naturaleza Especial","Adscripción","001","BOGOTÁ","11","Bogotá D.C","Avenida Calle 26 No. 59-65 Piso 2o.","091-5931718","info@anh.gov.co","5931717","http://www.anh.gov.co","Activa","2022","5","Python","Para desarrollo in house.","Martha Lucia Torres Giraldo","Martha.torres@anh.gov.co","3132612592"
"5202","AGENCIA NACIONAL DE INFRAESTRUCTURA.","830125996-9","Nacional","No Aplica","Descentralizado","Ejecutiva","Transporte","Agencia Estatal de Naturaleza Especial","Adscripción","001","BOGOTÁ","11","Bogotá D.C","Calle 24A No. 59-42 Edificio T3 Torre 4 Piso 2",,"contactenos@ani.gov.co","4848860","http://www.ani.gov.co","Activa","2018","12","Orfeo Libre, Moodle, Drupal, Xampp","https://orfeo.ani.gov.co/","Javier Zuñiga
Andrés Boada","jzuniga@ani.gov.co
aboada@ani.gov.co","4848860
573015824675"
"8024","AGENCIA NACIONAL DE MINERÍA","900500018-2","Nacional","No Aplica","Descentralizado","Ejecutiva","Minas y Energía","Agencia Estatal de Naturaleza Especial","Adscripción","001","BOGOTÁ","11","Bogotá D.C","Avenida Calle 26 No. 59-51 Torre 4 Pisos (8, 9 y 10)","(57 1)2201999",,"(57 1)2201999","http://www.anm.gov.co","Activa","2021","5","OpenRefine","Entidades del Grupo 1 apoyadas en 2020 por la UT de acompañamiento de la DGD para el uso de software libre.","Aleixandre Nick Tovar Castillo","aleixandre.tovar@anm.gov.co","2201999 EXT 5407"
