"id","estado","fecha_de_actualizaci_n","t_tulo_de_la_categor_a_de","nombre_activo_de_informaci","idioma","medio_de_conservaci_n_y_o","formato","forma_de_consulta_o_acceso","fecha_de_generaci_n_de_la","lugar_de_publicaci_n_lugar","lugar_donde_se_encuentra","propietario","frecuencia_de_actualizaci","responsable_de_la_producci","responsable_de_la_informaci","tipo_documental","tiempo_de_publicaci_n_del","norma_de_publicaci_n","formato_de_publicaci_n","tiempo_de_conservaci_n","observaciones"
"1","ACTIVO","30-06-2021","SOFTWARE","Software ZEBRA","N/A","N/A","- N/A","N/A","11/7/12","N/A","Servidores de Almacenamiento Oficiales","Gestión de bienes y servicios","N/A","Gestión de bienes y servicios","Gestión de bienes y servicios","N/A","N/A","N/A","N/A","N/A",
"2","ACTIVO","30-06-2021","Registros de Operaciones de caja menor","Registros de operaciones de Caja Menor","Español","Electrónico/Físico","- Texto
- Base de Datos
- Correo Electrónico","Disponible","4/1/15","N/A","- ORFEO
- SERVIDORES DE ALMACENAMIENTO
- ARCHIVO FÍSICO GESTIÓN DOCUMENTAL
- SISTEMA DE INFORMACIÓN SIIF","Gestión de bienes y servicios","Mensual","Gestión de bienes y servicios","Gestión de bienes y servicios","N/A","N/A","N/A","N/A","N/A",
"3","ACTIVO","30-06-2021","Inventarios Generales de Bienes","Inventario de Bienes","Español","Electrónico","- Hoja de Cálculo","Disponible","4/1/12","N/A","- ORFEO
- SERVIDORES DE ALMACENAMIENTO","Gestión de bienes y servicios","Mensual","Gestión de bienes y servicios","Gestión de bienes y servicios","N/A","N/A","N/A","N/A","N/A",
"4","ACTIVO","30-06-2021","Informes","Informes de Austeridad del Gasto","Español","Electrónico","- Hoja de Cálculo
- Base de Datos","Disponible","1/1/19","N/A","- SERVIDORES DE ALMACENAMIENTO
-Aplicativo de Medición de la Austeridad en el Gasto Público DAPRE","Gestión de bienes y servicios","Semestral","Gestión de bienes y servicios","Gestión de bienes y servicios","N/A","N/A","N/A","N/A","N/A",
"5","ACTIVO","30-06-2021","Planes del Modelo Integrado de Planeación y Control  MIPG","CARACTERIZACIÓN CONTROL DE LA GESTIÓN","Español","Electrónico/Físico","- Texto","Publicado/Disponible","6/30/17","Página Web Andje","- SIGI","Control de la Gestión","N/A","- OFICINA ASESORA PLANEACION","Control de la Gestión","N/A","N/A","N/A","N/A","N/A",
"6","ACTIVO","30-06-2021","Planes del Modelo Integrado de Planeación y Control  MIPG","PROCEDIMIENTO MONITOREO Y EVALUACIÓN DE LA GESTIÓN","Español","Electrónico/Físico","- Texto","Publicado/Disponible","6/30/17","Página Web Andje","- SIGI","Control de la Gestión","N/A","- OFICINA ASESORA PLANEACION","Control de la Gestión","N/A","N/A","N/A","N/A","N/A",
"7","ACTIVO","30-06-2021","Planes del Modelo Integrado de Planeación y Control  MIPG","MANUAL PARA LA FORMULACIÓN DE INDICADORES DE GESTIÓN","Español","Electrónico/Físico","- Texto","Disponible","8/5/19","N/A","- SIGI","Control de la Gestión","N/A","- OFICINA ASESORA PLANEACION","Control de la Gestión","N/A","N/A","N/A","N/A","N/A",
"8","ACTIVO","30-06-2021","Planes del Modelo Integrado de Planeación y Control  MIPG","GUÍA PARA EL MONITOREO Y EVALUACIÓN DE LA GESTIÓN INSTITUCIONAL","Español","Electrónico/Físico","- Texto","Disponible","6/30/17","N/A","- SIGI","Control de la Gestión","N/A","- OFICINA ASESORA PLANEACION","Control de la Gestión","N/A","N/A","N/A","N/A","N/A",
"9","ACTIVO","30-06-2021","INFORMES","Indicadores formulados en la herramienta del Sistema Integrado de Gestión Institucional","Español","Electrónico/Físico","- Base de Datos","Disponible","1/1/15","N/A","- SIGI","Control de la Gestión","Mensual","Todos","Control de la Gestión","N/A","N/A","N/A","N/A","N/A",
"10","ACTIVO","30-06-2021","INFORMES","Reportes del Monitoreo a la gestión por procesos","Español","Electrónico/Físico","- Texto
- Hoja de Cálculo
- Base de Datos","Publicado/Disponible","1/1/15","Página Web Andje","- SIGI
- SERVIDORES DE ALMACENAMIENTO","Control de la Gestión","Mensual","Todos","Control de la Gestión","N/A","N/A","N/A","N/A","N/A",
"11","ACTIVO","30-06-2021","INFORMES","Informes de Gestión","Español","Electrónico/Físico","- Texto","Publicado/Disponible","1/31/13","Página Web Andje","- SERVIDORES DE ALMACENAMIENTO","Control de la Gestión","Trimestral","- OFICINA ASESORA PLANEACION","Control de la Gestión","N/A","N/A","N/A","N/A","N/A",
"12","ACTIVO","30-06-2021","INFORMES","Informe para la Revisión por la Dirección del Sistema Integrado de Gestión Institucional","Español","Electrónico/Físico","- Texto
- Presentación
- Documento Gráfico","Disponible","3/22/18","N/A","- SIGI","Control de la Gestión","Anual","- OFICINA ASESORA PLANEACION","Control de la Gestión","N/A","N/A","N/A","N/A","N/A",
"13","ACTIVO","30-06-2021","Plan de mejoramiento","Acciones de mejora implementadas","Español","Electrónico/Físico","- Texto
- Hoja de Cálculo
- Base de Datos","Disponible","6/22/16","N/A","- SIGI","Control de la Gestión","N/A","- OFICINA ASESORA PLANEACION","Control de la Gestión","N/A","N/A","N/A","N/A","N/A",
"14","ACTIVO","30-06-2021","SOFTWARE","Herramienta del Sistema Integrado de Gestión Institucional","Español","N/A","- N/A","Ninguna","12/1/13","N/A","- SERVIDORES DE ALMACENAMIENTO","Gestión de tecnologías de la información","N/A","Gestión de tecnologías de la información","Gestión de tecnologías de la información","N/A","N/A","N/A","N/A","N/A",
"15","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Estrategia conflicto de intereses","Español","Electrónico","- Web","Publicado","9/29/20","Página Web ANDJE","N/A","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"16","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Instructivo sobre conflicto de intereses","Español","Electrónico","- Web","Publicado","9/29/20","Página Web ANDJE","N/A","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"17","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Diagnóstico y estrategia de transparencia","Español","Electrónico","- Web","Publicado","3/26/21","Página Web ANDJE","N/A","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"18","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. CARACTERIZACIÓN CONTROL INTERNO DISCIPLINARIO","Español","Electrónico","Texto","Disponible","9/15/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"19","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. EVALUACIÓN DE LA QUEJA, RECLAMO, DENUNCIA O INFORME","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
