"codigo_municipio","nombre_municipio","codigo_departamento","nombre_departament","entidad","tipo_entidad","url","representante_cargo","representante_genero","webmaster_cargo","cantidad_correos","cantidad_usuarios","cantidad_contenido","cantidad_comentarios","poblacion","fechacarga"
"70670","SAMPUES","70","SUCRE","CONCEJO MUNICPAL DE SAMPUES","Concejo","http://www.concejodesampues.gov.co","presidenta del concejo","1","apoyo a la gestión","3","4","466","1","38487","2022-03-14 16:13:17.293000000"
"20550","PELAYA","20","CESAR","ALCALDIA MUNICIPAL DE PELAYA EN CESAR","Alcaldía","http://www.pelaya-cesar.gov.co","alcalde","0","prof. de apoyo - secretaria de","25","75","3205","28","18334","2022-03-14 16:13:17.763000000"
"54001","CUCUTA","54","NORTE DE SANTANDER","PERSONERIA MUNICIPAL DE SAN JOSE DE CUCUTA EN N. DE SANTANDER","Personeria","http://www.personcucutanortedesantander.gov.co","personero municipal","0","profesional universitario","8","111","197","60","674831","2022-03-14 16:13:17.763000000"
"5310","GOMEZ PLATA","5","ANTIOQUIA","CONCEJO MUNICIPAL DE GOMEZ PLATA EN ANTIOQUIA","Concejo","http://www.concejo-gomezplata-antioquia.gov.co","presidente concejo municipal g","0","secretaria concejo municipal g","0","0","98","0","13417","2022-03-14 16:13:17.293000000"
"54520","PAMPLONITA","54","NORTE DE SANTANDER","C.O.L. NUESTRA SEÑORA DEL PILAR","Institución educativa","http://www.col-nuestrasenorapilar-sed-nsa.ie.edu.c","secretaria de educacion depart","1","rector","0","0","0","0","4984","2022-03-14 16:13:17.280000000"
"50577","PUERTO LLERAS","50","META","I.E. INTERNADO CHARCO TRECE","Institución educativa","http://www.ie-internadocharcotrece-sed-met.ie.edu.","rector","0","rector","0","3","0","0","9372","2022-03-14 16:13:17.543000000"
"50350","LA MACARENA","50","META","I.E. HECTOR IVAN HERNANDEZ","Institución educativa","http://www.ie-hectorivanhernandez-sed-met.ie.edu.c","rector","0","docente","0","3","0","0","36781","2022-03-14 16:13:17.543000000"
"54051","ARBOLEDAS","54","NORTE DE SANTANDER","C.E.R. SIRAVITA","Institución educativa","http://www.cer-siravita-sed-nsa.ie.edu.co","rector","1","secretaria de educación depart","0","0","0","0","8928","2022-03-14 16:13:17.230000000"
"76377","LA CUMBRE","76","VALLE DEL CAUCA","I.E. FRANCISCO DE PAULA SANTANDER","Institución educativa","http://www.ie-franciscopaulasantander-sed-vac.ie.e","rector","0","docente","0","3","0","0","11731","2022-03-14 16:13:17.543000000"
"52694","SAN PEDRO DE CARTAGO","52","NARIÑO","CONCEJO MUNICIPAL DE SAN PEDRO DE CARTAGO","Concejo","http://www.concejo-sanpedrodecartago-narino.gov.co","presidente del concejo","0","representante legal","0","4","136","0","7689","2022-03-14 16:13:17.327000000"
"52685","SAN BERNARDO","52","NARIÑO","C.E. SABANETAS","Institución educativa","http://www.ce-sabanetas-sed-nar.ie.edu.co","secretario de educacion depart","0","rector","0","0","0","0","21492","2022-03-14 16:13:17.230000000"
"25530","PARATEBUENO","25","CUNDINAMARCA","I.E.D JOSUE MANRIQUE","Institución educativa","http://www.ied-josuemanrique-sed-cun.ie.edu.co","rector","0","rector","0","3","0","0","7835","2022-03-14 16:13:17.497000000"
"41206","COLOMBIA","41","HUILA","I.E. SANTA ANA","Institución educativa","http://www.ie-santaana-sed-hui.ie.edu.co","rector","0","docente","0","3","43","0","12890","2022-03-14 16:13:17.683000000"
"41078","BARAYA","41","HUILA","ESE TULIA DURAN DE BORRERO DE BARAYA EN HUILA","Entidad de salud","http://www.esetuliadurandeborrero.gov.co","gerente","1","asesora tic","9","12","1771","2","9751","2022-03-14 16:13:17.403000000"
