"pais","numerodeplantasautorizadas","especies","razonsocial","productos","vigencia","observaciones"
"Angola","No Aplica","Bovina","Exportaciones autorizadas en base a un certificado acordado. No se requiere autorización de la empresa.","Carne Bovina","No Aplica","Para la exportación se utiliza un modelo de certificado sanitario acordado de manera binacional. Los establecimientos que pueden exportar a Angola serán aquellos que el Invima ha autorizado para comercializar sus productos con destino a exportación. Sólo se permitirán exportaciones de establecimientos aprobados por la Dirección de Alimentos y Bebidas, bajo las condiciones establecidas por el Decreto 1500 de 2007 y sus normas reglamentarias, así como el Decreto 2270 de 2012, Resolución 5109 de 2005 y Resolución 2690 de 2015 y demás reglamentación aplicable. Se permite carne con hueso."
"Angola","No Aplica","Porcina","Exportaciones autorizadas en base a un certificado acordado. No se requiere autorización de la empresa.","Carne Porcina","No Aplica","Para la exportación se utiliza un modelo de certificado sanitario acordado de manera binacional. Los establecimientos que pueden exportar a Angola serán aquellos que el Invima ha autorizado para comercializar sus productos con destino a exportación. Sólo se permitirán exportaciones de establecimientos aprobados por la Dirección de Alimentos y Bebidas, bajo las condiciones establecidas por el Decreto 1500 de 2007 y sus normas reglamentarias, así como el Decreto 2270 de 2012, Resolución 5109 de 2005 y Resolución 2690 de 2015 y demás reglamentación aplicable."
"Arabia Saudita","9.0","Bovina","680B - RED CÁRNICA S.A.S.","Carne Bovina y Productos Carnicos Comestibles","No Aplica","Para la exportación se utiliza un modelo de certificado sanitario acordado de manera binacional, teniendo en cuenta las siguientes consideraciones: 1. Se han aplicado buenas prácticas veterinarias en el uso de medicamentos veterinarios (incluidos los promotores del crecimiento) y productos químicos agrícolas en animales vivos; cualquier residuo que pudiera estar presente en la carne y/o los productos cárnicos cumplen con los requisitos de la legislación de Colombia en esta materia, y los requisitos específicos del GCC. 2. La carne proviene de animales menores de 30 meses de edad. 3. Los animales de los cuales se origina la carne, provienen de fincas libres de enfermedades contagiosas y que en el territorio del país o el territorio administrativo no presentaron casos de Fiebre Aftosa durante los últimos 12 meses antes de la fecha de sacrificio. 4. La carne proviene de animales que no fueron reproducidos por modificación genética o producidos en una forma que no ocurre naturalmente por multiplicación y/o recombinación natural. 5. La carne ha sido obtenida de animales los cuales fueron transportados desde fincas cumpliendo la normatividad colombiana y los requerimientos de las normas GSO 714 y 1400. 6. Las canales y sus partes han sido marcadas con un sello sanitario de acuerdo a lo establecido en la normatividad colombiana y los requisitos de la norma GSO 996. 7. La carne ha sido obtenida de animales los cuales han permanecido por lo menos 90 días en el lugar de engorde aprobado por la autoridad veterinaria competente sin entrar en contacto con animales de estatus de salud diferente antes de ir directamente a la planta de beneficio. 8. Para áreas en las que se ha presentado Fiebre Aftosa, la carne ha sido obtenida de canales deshuesadas de las cuales los ganglios linfáticos mayores han sido removidos, y de las cuales antes del deshuese, han sido sometidas a proceso de maduración a una temperatura no mayor a 2°C por un periodo mínimo de 24 horas después del sacrificio y en las cuales el valor de pH fue menor a 6.0 cuando la medida fue tomada en la mitad de los dos músculos longissimus dorsi. 9. Para zonas en donde un programa de control oficial de Fiebre Aftosa exista y/o en donde el estatus para Fiebre Aftosa sea desconocido, no se permitirá la exportación de patas, cabezas y vísceras a Arabia Saudita. 10. La carne ha sido almacenada y transportada de acuerdo a los requisitos establecidos en la normatividad colombiana y las normas GSO 815 y GSO 323. Solo se permite carne SIN hueso."
"Arabia Saudita","9.0","Bovina","696BD - COLBEEF S.A.S","Carne Bovina y Productos Carnicos Comestibles","No Aplica","Para la exportación se utiliza un modelo de certificado sanitario acordado de manera binacional, teniendo en cuenta las siguientes consideraciones: 1. Se han aplicado buenas prácticas veterinarias en el uso de medicamentos veterinarios (incluidos los promotores del crecimiento) y productos químicos agrícolas en animales vivos; cualquier residuo que pudiera estar presente en la carne y/o los productos cárnicos cumplen con los requisitos de la legislación de Colombia en esta materia, y los requisitos específicos del GCC. 2. La carne proviene de animales menores de 30 meses de edad. 3. Los animales de los cuales se origina la carne, provienen de fincas libres de enfermedades contagiosas y que en el territorio del país o el territorio administrativo no presentaron casos de Fiebre Aftosa durante los últimos 12 meses antes de la fecha de sacrificio. 4. La carne proviene de animales que no fueron reproducidos por modificación genética o producidos en una forma que no ocurre naturalmente por multiplicación y/o recombinación natural. 5. La carne ha sido obtenida de animales los cuales fueron transportados desde fincas cumpliendo la normatividad colombiana y los requerimientos de las normas GSO 714 y 1400. 6. Las canales y sus partes han sido marcadas con un sello sanitario de acuerdo a lo establecido en la normatividad colombiana y los requisitos de la norma GSO 996. 7. La carne ha sido obtenida de animales los cuales han permanecido por lo menos 90 días en el lugar de engorde aprobado por la autoridad veterinaria competente sin entrar en contacto con animales de estatus de salud diferente antes de ir directamente a la planta de beneficio. 8. Para áreas en las que se ha presentado Fiebre Aftosa, la carne ha sido obtenida de canales deshuesadas de las cuales los ganglios linfáticos mayores han sido removidos, y de las cuales antes del deshuese, han sido sometidas a proceso de maduración a una temperatura no mayor a 2°C por un periodo mínimo de 24 horas después del sacrificio y en las cuales el valor de pH fue menor a 6.0 cuando la medida fue tomada en la mitad de los dos músculos longissimus dorsi. 9. Para zonas en donde un programa de control oficial de Fiebre Aftosa exista y/o en donde el estatus para Fiebre Aftosa sea desconocido, no se permitirá la exportación de patas, cabezas y vísceras a Arabia Saudita. 10. La carne ha sido almacenada y transportada de acuerdo a los requisitos establecidos en la normatividad colombiana y las normas GSO 815 y GSO 323."
"Arabia Saudita","9.0","Bovina","503BD - FRIGORÍFICO DEL SINÚ - FRIGOSINÚ S.A.","Carne Bovina y Productos Carnicos Comestibles","No Aplica","Para la exportación se utiliza un modelo de certificado sanitario acordado de manera binacional, teniendo en cuenta las siguientes consideraciones: 1. Se han aplicado buenas prácticas veterinarias en el uso de medicamentos veterinarios (incluidos los promotores del crecimiento) y productos químicos agrícolas en animales vivos; cualquier residuo que pudiera estar presente en la carne y/o los productos cárnicos cumplen con los requisitos de la legislación de Colombia en esta materia, y los requisitos específicos del GCC. 2. La carne proviene de animales menores de 30 meses de edad. 3. Los animales de los cuales se origina la carne, provienen de fincas libres de enfermedades contagiosas y que en el territorio del país o el territorio administrativo no presentaron casos de Fiebre Aftosa durante los últimos 12 meses antes de la fecha de sacrificio. 4. La carne proviene de animales que no fueron reproducidos por modificación genética o producidos en una forma que no ocurre naturalmente por multiplicación y/o recombinación natural. 5. La carne ha sido obtenida de animales los cuales fueron transportados desde fincas cumpliendo la normatividad colombiana y los requerimientos de las normas GSO 714 y 1400. 6. Las canales y sus partes han sido marcadas con un sello sanitario de acuerdo a lo establecido en la normatividad colombiana y los requisitos de la norma GSO 996. 7. La carne ha sido obtenida de animales los cuales han permanecido por lo menos 90 días en el lugar de engorde aprobado por la autoridad veterinaria competente sin entrar en contacto con animales de estatus de salud diferente antes de ir directamente a la planta de beneficio. 8. Para áreas en las que se ha presentado Fiebre Aftosa, la carne ha sido obtenida de canales deshuesadas de las cuales los ganglios linfáticos mayores han sido removidos, y de las cuales antes del deshuese, han sido sometidas a proceso de maduración a una temperatura no mayor a 2°C por un periodo mínimo de 24 horas después del sacrificio y en las cuales el valor de pH fue menor a 6.0 cuando la medida fue tomada en la mitad de los dos músculos longissimus dorsi. 9. Para zonas en donde un programa de control oficial de Fiebre Aftosa exista y/o en donde el estatus para Fiebre Aftosa sea desconocido, no se permitirá la exportación de patas, cabezas y vísceras a Arabia Saudita. 10. La carne ha sido almacenada y transportada de acuerdo a los requisitos establecidos en la normatividad colombiana y las normas GSO 815 y GSO 323."
"Arabia Saudita","9.0","Bovina","223BD - COOPERATIVA COLANTA - FRIGOCOLANTA S.A.","Carne Bovina y Productos Carnicos Comestibles","No Aplica","Para la exportación se utiliza un modelo de certificado sanitario acordado de manera binacional, teniendo en cuenta las siguientes consideraciones: 1. Se han aplicado buenas prácticas veterinarias en el uso de medicamentos veterinarios (incluidos los promotores del crecimiento) y productos químicos agrícolas en animales vivos; cualquier residuo que pudiera estar presente en la carne y/o los productos cárnicos cumplen con los requisitos de la legislación de Colombia en esta materia, y los requisitos específicos del GCC. 2. La carne proviene de animales menores de 30 meses de edad. 3. Los animales de los cuales se origina la carne, provienen de fincas libres de enfermedades contagiosas y que en el territorio del país o el territorio administrativo no presentaron casos de Fiebre Aftosa durante los últimos 12 meses antes de la fecha de sacrificio. 4. La carne proviene de animales que no fueron reproducidos por modificación genética o producidos en una forma que no ocurre naturalmente por multiplicación y/o recombinación natural. 5. La carne ha sido obtenida de animales los cuales fueron transportados desde fincas cumpliendo la normatividad colombiana y los requerimientos de las normas GSO 714 y 1400. 6. Las canales y sus partes han sido marcadas con un sello sanitario de acuerdo a lo establecido en la normatividad colombiana y los requisitos de la norma GSO 996. 7. La carne ha sido obtenida de animales los cuales han permanecido por lo menos 90 días en el lugar de engorde aprobado por la autoridad veterinaria competente sin entrar en contacto con animales de estatus de salud diferente antes de ir directamente a la planta de beneficio. 8. Para áreas en las que se ha presentado Fiebre Aftosa, la carne ha sido obtenida de canales deshuesadas de las cuales los ganglios linfáticos mayores han sido removidos, y de las cuales antes del deshuese, han sido sometidas a proceso de maduración a una temperatura no mayor a 2°C por un periodo mínimo de 24 horas después del sacrificio y en las cuales el valor de pH fue menor a 6.0 cuando la medida fue tomada en la mitad de los dos músculos longissimus dorsi. 9. Para zonas en donde un programa de control oficial de Fiebre Aftosa exista y/o en donde el estatus para Fiebre Aftosa sea desconocido, no se permitirá la exportación de patas, cabezas y vísceras a Arabia Saudita. 10. La carne ha sido almacenada y transportada de acuerdo a los requisitos establecidos en la normatividad colombiana y las normas GSO 815 y GSO 323."
"Arabia Saudita","9.0","Bovina","341BD - RED CÁRNICA S.A.S.","Carne Bovina y Productos Carnicos Comestibles","No Aplica","Para la exportación se utiliza un modelo de certificado sanitario acordado de manera binacional, teniendo en cuenta las siguientes consideraciones: 1. Se han aplicado buenas prácticas veterinarias en el uso de medicamentos veterinarios (incluidos los promotores del crecimiento) y productos químicos agrícolas en animales vivos; cualquier residuo que pudiera estar presente en la carne y/o los productos cárnicos cumplen con los requisitos de la legislación de Colombia en esta materia, y los requisitos específicos del GCC. 2. La carne proviene de animales menores de 30 meses de edad. 3. Los animales de los cuales se origina la carne, provienen de fincas libres de enfermedades contagiosas y que en el territorio del país o el territorio administrativo no presentaron casos de Fiebre Aftosa durante los últimos 12 meses antes de la fecha de sacrificio. 4. La carne proviene de animales que no fueron reproducidos por modificación genética o producidos en una forma que no ocurre naturalmente por multiplicación y/o recombinación natural. 5. La carne ha sido obtenida de animales los cuales fueron transportados desde fincas cumpliendo la normatividad colombiana y los requerimientos de las normas GSO 714 y 1400. 6. Las canales y sus partes han sido marcadas con un sello sanitario de acuerdo a lo establecido en la normatividad colombiana y los requisitos de la norma GSO 996. 7. La carne ha sido obtenida de animales los cuales han permanecido por lo menos 90 días en el lugar de engorde aprobado por la autoridad veterinaria competente sin entrar en contacto con animales de estatus de salud diferente antes de ir directamente a la planta de beneficio. 8. Para áreas en las que se ha presentado Fiebre Aftosa, la carne ha sido obtenida de canales deshuesadas de las cuales los ganglios linfáticos mayores han sido removidos, y de las cuales antes del deshuese, han sido sometidas a proceso de maduración a una temperatura no mayor a 2°C por un periodo mínimo de 24 horas después del sacrificio y en las cuales el valor de pH fue menor a 6.0 cuando la medida fue tomada en la mitad de los dos músculos longissimus dorsi. 9. Para zonas en donde un programa de control oficial de Fiebre Aftosa exista y/o en donde el estatus para Fiebre Aftosa sea desconocido, no se permitirá la exportación de patas, cabezas y vísceras a Arabia Saudita. 10. La carne ha sido almacenada y transportada de acuerdo a los requisitos establecidos en la normatividad colombiana y las normas GSO 815 y GSO 323."
"Arabia Saudita","9.0","Bovina","060BD - FRIGORÍFICOS GANADEROS DE COLOMBIA S.A. – FRIOGAN S.A. - PLANTA LA DORADA.","Carne Bovina y Productos Carnicos Comestibles","No Aplica","Para la exportación se utiliza un modelo de certificado sanitario acordado de manera binacional, teniendo en cuenta las siguientes consideraciones: 1. Se han aplicado buenas prácticas veterinarias en el uso de medicamentos veterinarios (incluidos los promotores del crecimiento) y productos químicos agrícolas en animales vivos; cualquier residuo que pudiera estar presente en la carne y/o los productos cárnicos cumplen con los requisitos de la legislación de Colombia en esta materia, y los requisitos específicos del GCC. 2. La carne proviene de animales menores de 30 meses de edad. 3. Los animales de los cuales se origina la carne, provienen de fincas libres de enfermedades contagiosas y que en el territorio del país o el territorio administrativo no presentaron casos de Fiebre Aftosa durante los últimos 12 meses antes de la fecha de sacrificio. 4. La carne proviene de animales que no fueron reproducidos por modificación genética o producidos en una forma que no ocurre naturalmente por multiplicación y/o recombinación natural. 5. La carne ha sido obtenida de animales los cuales fueron transportados desde fincas cumpliendo la normatividad colombiana y los requerimientos de las normas GSO 714 y 1400. 6. Las canales y sus partes han sido marcadas con un sello sanitario de acuerdo a lo establecido en la normatividad colombiana y los requisitos de la norma GSO 996. 7. La carne ha sido obtenida de animales los cuales han permanecido por lo menos 90 días en el lugar de engorde aprobado por la autoridad veterinaria competente sin entrar en contacto con animales de estatus de salud diferente antes de ir directamente a la planta de beneficio. 8. Para áreas en las que se ha presentado Fiebre Aftosa, la carne ha sido obtenida de canales deshuesadas de las cuales los ganglios linfáticos mayores han sido removidos, y de las cuales antes del deshuese, han sido sometidas a proceso de maduración a una temperatura no mayor a 2°C por un periodo mínimo de 24 horas después del sacrificio y en las cuales el valor de pH fue menor a 6.0 cuando la medida fue tomada en la mitad de los dos músculos longissimus dorsi. 9. Para zonas en donde un programa de control oficial de Fiebre Aftosa exista y/o en donde el estatus para Fiebre Aftosa sea desconocido, no se permitirá la exportación de patas, cabezas y vísceras a Arabia Saudita. 10. La carne ha sido almacenada y transportada de acuerdo a los requisitos establecidos en la normatividad colombiana y las normas GSO 815 y GSO 323."
"Arabia Saudita","9.0","Bovina","002B - ALIMENTOS CARNICOS SAS PLANTA AGUACHICA","Carne Bovina y Productos Carnicos Comestibles","No Aplica","Para la exportación se utiliza un modelo de certificado sanitario acordado de manera binacional, teniendo en cuenta las siguientes consideraciones: 1. Se han aplicado buenas prácticas veterinarias en el uso de medicamentos veterinarios (incluidos los promotores del crecimiento) y productos químicos agrícolas en animales vivos; cualquier residuo que pudiera estar presente en la carne y/o los productos cárnicos cumplen con los requisitos de la legislación de Colombia en esta materia, y los requisitos específicos del GCC. 2. La carne proviene de animales menores de 30 meses de edad. 3. Los animales de los cuales se origina la carne, provienen de fincas libres de enfermedades contagiosas y que en el territorio del país o el territorio administrativo no presentaron casos de Fiebre Aftosa durante los últimos 12 meses antes de la fecha de sacrificio. 4. La carne proviene de animales que no fueron reproducidos por modificación genética o producidos en una forma que no ocurre naturalmente por multiplicación y/o recombinación natural. 5. La carne ha sido obtenida de animales los cuales fueron transportados desde fincas cumpliendo la normatividad colombiana y los requerimientos de las normas GSO 714 y 1400. 6. Las canales y sus partes han sido marcadas con un sello sanitario de acuerdo a lo establecido en la normatividad colombiana y los requisitos de la norma GSO 996. 7. La carne ha sido obtenida de animales los cuales han permanecido por lo menos 90 días en el lugar de engorde aprobado por la autoridad veterinaria competente sin entrar en contacto con animales de estatus de salud diferente antes de ir directamente a la planta de beneficio. 8. Para áreas en las que se ha presentado Fiebre Aftosa, la carne ha sido obtenida de canales deshuesadas de las cuales los ganglios linfáticos mayores han sido removidos, y de las cuales antes del deshuese, han sido sometidas a proceso de maduración a una temperatura no mayor a 2°C por un periodo mínimo de 24 horas después del sacrificio y en las cuales el valor de pH fue menor a 6.0 cuando la medida fue tomada en la mitad de los dos músculos longissimus dorsi. 9. Para zonas en donde un programa de control oficial de Fiebre Aftosa exista y/o en donde el estatus para Fiebre Aftosa sea desconocido, no se permitirá la exportación de patas, cabezas y vísceras a Arabia Saudita. 10. La carne ha sido almacenada y transportada de acuerdo a los requisitos establecidos en la normatividad colombiana y las normas GSO 815 y GSO 323."
"Arabia Saudita","9.0","Bovina","0034DM -ALIMENTOS CARNICOS SAS - PLANTA ENVIGADO","Carne Bovina y Productos Carnicos Comestibles","No Aplica","Para la exportación se utiliza un modelo de certificado sanitario acordado de manera binacional, teniendo en cuenta las siguientes consideraciones: 1. Se han aplicado buenas prácticas veterinarias en el uso de medicamentos veterinarios (incluidos los promotores del crecimiento) y productos químicos agrícolas en animales vivos; cualquier residuo que pudiera estar presente en la carne y/o los productos cárnicos cumplen con los requisitos de la legislación de Colombia en esta materia, y los requisitos específicos del GCC. 2. La carne proviene de animales menores de 30 meses de edad. 3. Los animales de los cuales se origina la carne, provienen de fincas libres de enfermedades contagiosas y que en el territorio del país o el territorio administrativo no presentaron casos de Fiebre Aftosa durante los últimos 12 meses antes de la fecha de sacrificio. 4. La carne proviene de animales que no fueron reproducidos por modificación genética o producidos en una forma que no ocurre naturalmente por multiplicación y/o recombinación natural. 5. La carne ha sido obtenida de animales los cuales fueron transportados desde fincas cumpliendo la normatividad colombiana y los requerimientos de las normas GSO 714 y 1400. 6. Las canales y sus partes han sido marcadas con un sello sanitario de acuerdo a lo establecido en la normatividad colombiana y los requisitos de la norma GSO 996. 7. La carne ha sido obtenida de animales los cuales han permanecido por lo menos 90 días en el lugar de engorde aprobado por la autoridad veterinaria competente sin entrar en contacto con animales de estatus de salud diferente antes de ir directamente a la planta de beneficio. 8. Para áreas en las que se ha presentado Fiebre Aftosa, la carne ha sido obtenida de canales deshuesadas de las cuales los ganglios linfáticos mayores han sido removidos, y de las cuales antes del deshuese, han sido sometidas a proceso de maduración a una temperatura no mayor a 2°C por un periodo mínimo de 24 horas después del sacrificio y en las cuales el valor de pH fue menor a 6.0 cuando la medida fue tomada en la mitad de los dos músculos longissimus dorsi. 9. Para zonas en donde un programa de control oficial de Fiebre Aftosa exista y/o en donde el estatus para Fiebre Aftosa sea desconocido, no se permitirá la exportación de patas, cabezas y vísceras a Arabia Saudita. 10. La carne ha sido almacenada y transportada de acuerdo a los requisitos establecidos en la normatividad colombiana y las normas GSO 815 y GSO 323."
