"tipo_de_establecimiento","nombre","direccion","telefono","email","dias_de_atencion","servicios_adicionales"
"RESTAURANTE","RESTAURANTE CAMPESTRE DELICIAS DEL TOMINE","TOMINE DE INDIOS","3112684481","fernado.diaz12x@gmail.com","TODOS LOS DIAS","ALOJAMIENTO/HOSPEDAJE"
"RESTAURANTE","EPA PUES!","CHALECHE","3103193204","gracielavasquez@hotmail.com","DOMICILIOS","EVENTOS."
"RESTAURANTE","CASA GARCIA","MONTECILLO","3104857380","eventoscasagarcia@gmail.com","EVENTOS","EVENTOS, ALIMENTACION Y CATERING"
"RESTAURANTE","EL FOGON DORADO","CENTRO","3125927905","NO","FINES DE SEMANA","ALIMENTACION"
"RESTAURANTE","EL DORADO","CENTRO","32124277564","restauranteeldoradoguatavita@gmail.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","RESTAURANTE HOSTERIA DE GUATAVITA","CRA 7 # 4-08","8577372","mapo2005@hotmail.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","RESTAURANTE POSADA DEL TOMINE","CRA 7#5-22","8577165","juan.2608@hotmail.com","MARTES A DOMINGO","ALIMENTACION"
"RESTAURANTE","LUNA Y SOL GUATAVITA","CRA 1 No. 3-06","3102209252","0704daniela@gmai.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","BENIGNO MIRADOR","Km 1 via Guatavita Guasca","3107868844","benignomirador@hotmail.com","FIN DE SEMANA","EVENTOS"
"RESTAURANTE","DONDE YEISON ""COMIDAS RAPIDAS""","CRA 1 No. 5- 31","3108110741","VALEJA27@HOTMAIL.COM","MARTES A DOMINGO","ALIMENTACION"
"RESTAURANTE","EL RINCON MARINO","CENTRO PLAZA CIVICA","3114439007","orlandopiedra69@gmail.com","FIN DE SEMANA Y FESTIVOS TEMPORADA ALTA","ALIMENTACION"
"RESTAURANTE","RESTAURANTE CAMPESTRE","VEREDA SANTA MARIA","3174757042","NO","FIN DE SEMANA Y TEMPORADA ALTA","ALIMENTACION"
"RESTAURANTE","RESTAURANTE LA CACICA","CRA 7 No. 3-01","3204862847","NO","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","KIOSKO FRITANGA","PLAZA DEL SOL","3124828014","maryluzvg@hotmail.com","FINES DE SEMANA Y FESTIVOS","ALIMENTACION"
"RESTAURANTE","PIZZA NIZ","CRA 1 No. 2-07","3112832138","pizzanizj2871@gmail.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","MARINA DE GUATAVITA","VEREDA CHALECHE","8577009","NO","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","EL MECATO","CALLE DEL DRAGON","8577217","elmecatoguatavita@gmail.com","FINES DE SEMANA","ALIMENTACION"
"RESTAURANTE","RESTAURANTE LA AVENIDA","CALLE 6 No. 1-66","8577114","NO","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","ASADERO DONDE EVITA","CRA 1 No. 1-306","8577062","NO","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","RESTAURANTE BAR RENATO","cra 1 no 1- 9","3203717096","denisrena92@hotmail.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","RESTAURANTE BAR RENATO","KRA 1 No. 5- 19","3103419109","denisrena92@hotmail.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","RESTAURANTE SAN GABRIEL","CALLE 1 No. 6-63","8577213","NO","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","RESTAURANTE EL TOMINE","CENTRO","3112642330","rozoramoscarolina@gmail.com","FINES DE SEMANA","ALIMENTACION/ALOJAMIENTO"
"RESTAURANTE","RESTAURANTE REPUBLICA DE TOMINE","VEREDA CHALECHE","3112025370","republicadetomine@gmail.com","FINES DE SEMANA","ALIMENTACION"
"RESTAURANTE","LOS PINOS","VEREDA CHALECHE","3123791661","restaurantelospinos@gmail.com","FINES DE SEMANA","ALIMENTACION"
"RESTAURANTE","SUPERBROASTER GRILLED","CRA 1 No 1-246","3102456810","azugad21@yahoo.es","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","LA CAVA RESTAURANTE","DIAGONAL 1 No 5a 17, BARRIO BELLAVISTA","3176466495","lacavaguatava@gmail.com","MIERCOLES A LUNES","ALIMENTACION"
"RESTAURANTE","RESTAURANTE Y PIQUETEADERO ENTRE PLANTAS","CRA 1 CALLE 2","3144634909","NO","FINES DE SEMANA","ALIMENTACION"
"RESTAURANTE","BURGER DINNER","cra 1 con calle 9","3203366051","bryanpalacino@gmail.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","RESTAURANTE EL TRAPICHE",,"3102860797","NO","FINES DE SEMANA","ALIMENTACION"
"RESTAURANTE","RESTAURANTE POLLO A LA MESA","cra 1 No 13-00","3208229429","jorgeegrazon.16@gmail.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","LA CASITA DE LA LECHONA","CRA 1 No 2-50","3223623998","miltonjp@gmail69.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","RESTAURANTE ORIGENES GOURMET","calle 8- cra 6 PLAZA CULTURAL","3107526713","paos0305@hotmail.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","KAJU","Cra. 1 #6-121 a 6-1","3229473551","luaalba.114@gmail.com","MARTES A DOMINGO","ALIMENTACION"
"RESTAURANTE","CASA SAN MARTIN",,"3133130771","NO","FINES DE SEMANA","ALIMENTACION"
"RESTAURANTE","RESTAURANTE CLUB LA MARINA","PERIMETRO 15VIA SESQUILE-GUATAVITA VEREDA CHALECHE","3112455319","lilik-garzonk@hotmail.com","FINES DE SEMANA","ALIMENTACION"
"RESTAURANTE","EL BAR EL MOLINO","CRA1 n 1 09","3203717096","denisrena92@hotmail.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","RESTAURANTE BAR RENATO","CRA 1 n 5 -19",,"marthaluna574@gmail.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","RESTAURANTE BENIGNO MIRADOR","KILOMETRO 1 VIA GUATAVITA - GUASCA","3107868844/ 3115375287","benignomirador@hotmail.com","TODOS LOS DIAS","ALIMENTACION"
"RESTAURANTE","RESTAURANTE  MIRADOR LOS MOLINOS","VDA MONTECILLO ALTO FINCA LA LOMITA","3105544676","estelagarzonmartin@gmail.com","FINES DE SEMANA","ALIMENTACION"
