"nombreestablecimiento","direccion","telefono","codigo_etc","internado","correo_electronico"
"COL LUZ A LAS NACIONES                                                                              ","KR 74 48 94","2952881 /  2637621                                ","MATILDE GÓMEZ ACEVEDO",,"ywamclan@sky.net.co                               "
"GIMN ESPECIALIZADO DEL NORTE                                                                        ","CLL. 106 NO.41-26","2532415 / 6177607                                 ","YOLANDA R. DE SÁNCHEZ",,"yoligenempresario@.com                            "
"LIC MODERNO LOS ANDES                                                                               ","CL 64 SUR 71 F 91","7754126 / 7792579                                 ","YENCY YANETH CASTRO RAMIREZ",,"yency80@latinmail.com   liceomodernolosandes@gmail.com                           "
"COLEGIO RENE DESCARTES","CL 1 D 29 64","3706024 -- 2478341","YASMIN ANZOLA RINCON ",,"yasminanz@hotmail.com"
"LIC INF GLENN DOMAN                                                                                 ","CL 29 SUR 14 A 43","3665479 /2726129 ","LIDIA YANIRA CALDERON VILLAMIL",,"yanyra@msn.com    liceoglenndoman.blogspot.com                                  "
"LIC MAURITANIA                                                                                      ","KR 23 C 63 B 04 SUR","7153674","EVELYN MORENO VALENCIA",,"yanethmosqueramoreno@hotmail.com"
"JARD INF EL MUNDO TRAVIESO DE LAS ARDILLAS                                                          ","CL 30 7 A 13 SUR","2780365","YANETH GARZON LOZADA",,"yanedgarzon@hotmail.com"
"COL INF DE APRENDIZAJE Y DESARROLLO                                                                 ","CL 33 A SUR 80 A 68","2642882","ANGELICA FONSECA",,"www.lufera82@yahoo.com                            "
"LIC LA ALEGRIA DE APRENDER                                                                          ","CL 101 48 F 09","2536256","ADRIANA AYALA FORERO",,"www.adriana1_ayala1@hotmail.com                   "
"LIC INF WINIELANDIA                                                                                 ","KR 24 B 41 A 69 SUR","7676358","YENIFER VIVIANA BARRETO GALINDO",,"winnielandiapcs@hotmail.com"
"LIC EMMANUEL","KR 6 D ESTE 84 A 09 SUR","7682833 -- 7629265 -- 7735975","IMELDA CONCEPCION ESTACIO",,"william90_44@hotmail.com"
"CENT EDUC WILFREDO LEHNER                                                                           ","CL 65 G SUR 77 J 10","7195503","EDGAR DAVID FERNANDEZ PEREZ",,"wilfredolehner@yahoo.es"
"COL INTEGRAL MANANTIAL                                                                              ","CLL. 42B SUR NO 20- 54","7692450","EMILSE MONCADA",," vivianacatalina_avila@hotamil.com                "
"GIMN SEMILLITAS DEL SABER                                                                           ","CR. 66A NO.53-69","2638859","VIRGINIA PORTELA VEGA",,"virgypove2@hotmail.com                            "
"COL NSTRA SRA DEL CARMEN                                                                            ","CL 21 100 80","2672746","VÍCTOR MEDRANO ROJAS",,"vimeronsc@hotmail.com semillasdevida@hotmail.com nidisroc@hotmail.com"
"COL VILLA DEL NIÑO                                                                                  ","KR 43 BIS 171 21","6746302","MARÍA MAGDALENA CUBILLOS MARTÍNEZ",,"villapreescolar21@hotmail.com"
"INST VILLA DE LA FRATERNIDAD                                                                        ","KR 11 A 32 A 24 SUR","2787732","MARY LUZ GALVIS FLOREZ",,"videfrat@hotmail.com"
"FUND COL SAN BENITO DE TIBATI                                                                       ","KR 12 188 A 65","6790200","PADRE NICOLAS DARIO CANO AGUDELO OSB",,"vice.csbt@hotmail.com -- tibati.secretaria@hotmail.com -- csbt79@hotmail.com"
"COLEGIO INTEGRAL SAN JORGE CENTRAL (JARD INF TALLERCITO MAGICO)","CL 30 SUR 34 26","2027375 / 2027639","SONIA CONSTANZA VERGEL RODRIGUEZ",,"vergelsonia@yahoo.es"
"COL PSICOPEDAG VALLE VERDE                                                                          ","DG 16 B 103 C 02","5458704 -- 4153202","FREDY HERNAN CASTANEDA ROBAYO",,"valleverde1975@gmail.com"
"GIMN MILIT FUERZA AEREA DE COLOMBIA                                                                 ","CL 26 SUR 78 H 70","2732450 -- 2732451 -- 2732452","ANGELA CRISTINA CANTOR TRUJILLO",,"valenday05@gmail.com -- franksccardenas@gmail.com -- noralsa2@gmail.com"
"COL UNID PEDAGOGICA                                                                                 ","CARRET. SUBA COTA KM.5","6857227 / 6857228 / 6857230                       ","JAIME CARRASQUILLA NEGRET",,"unipedag@tutopia.com                              "
"GIMN AYUDARTE A CRECER","KR 58 131 34","2717030 -- 7498639","ANDREA LILIANA MACHADO SALCEDO",,"unimagico5@hotmail.com -- colinacampestreAunimagico.com"
"UNID EDUC PRADOS DE ALAMEDA                                                                         ","KR 136 23 B 04","5489608 / 4159157                                 ","SANDRA PATRICIA FAJARDO VANEGAS",,"uepradosalameda@hotmail.com                       "
"UNID EDUC JEAN PIAGET                                                                               ","CL 2 B 70 A 57","2607561 / 2620527  /4145801","ESPERANZA DIAGO DE RODRIGUEZ",,"uejeanpiaget@yahoo.es                     "
"UNID EDUC BAHIA SOLANO                                                                              ","KR 112 19 03","4132360 / 5453872                                 ","JOSE DEL CARMEN HERRERA FUENTES",,"uebsolano@hotmail.com                             "
"COLEGIO LAS AMERICAS (IED)","KR 73 C BIS 38 C 84 SUR","4501089","JAIRO ALBERTO RAMOS BERMUDEZ",,"ubaslasamericas8@redp.edu.co"
"JARD INF CARACOLITO                                                                                 ","CL 40 23 17","2443210 / ","AMPARO CAYCEDO PERRY",,"tutiperry@hotmail.com"
"COL RR OBLATAS AL DIVINO AMOR                                                                       ","KR 71 A 52 29","2631269","SOR MARIA CONSTANZA TOVAR CUBILLOS",,"tucolegio@rodabogota.edu.co"
"CENT INF MADRE DE DIOS TRIBILIN                                                                     ","DG 3 A BIS 8 63 ESTE","2330370","HNA FLOR ELVIRA CASTILLO ARCOS",,"tribilinsmd@hotmail.com"
"COL TRIANGULO PALOQUEMAO                                                                            ","KR 29 13 10 PI 2 3 Y 4","3600202","SANDRA ELIZABETH MARTINEZ",,"triangulopalo@hotmail.com -- edgarnovo@hotmail.com"
"PREESC TRIANGULO MAGICO DE LOS NIÑOS                                                                ","CL 23 74 B 34","4108694 -- 5488770","BEATRIZ ALVAREZ MARIN",,"triangulomagico@hotmail.com"
"COL TRIANGULO KENNEDY","KR 78 K 37 A 90 SUR PI 2","4541612 -- 4541614 -- 4511874","EDGAR LIBARDO NOVOA JIMENEZ",,"triangulokennedy@hotmail.com"
"LIC INF TRENCITO DE PAPEL                                                                           ","KR 52 A 39 A 14 SUR","5656695 -- 2380772 -- 7110405","MARTHA CECILIA GONZALEZ ROJAS",,"trencitodepapel1337@hotmail.com"
"JARDIN INFANTIL TRAZOS Y CRAYOLAS                                                                   ","CL 9 C 69 B 80","2901459 //2620631/ 3115617269","MARIANA MONCAYO",,"trazosycrayolas@terra.com                         "
"GIMN MODERNO HERMANN MULLER (ANTES  LIC PEDAG LAS TRAVESURAS DE PATTY)                              ","CLL. 74A NO.94-90","4360141","NYDIA PATRICIA FORERO OLAYA",,"travesurasdepatty@hotmail.com                     "
"INST TOMAS DE IRIARTE                                                                               ","KR 95 91 02","2292239 / 2284627                                 ","LUIS C. LEMUS A",,"tomasdeiriarte@hotmail.com"
"JARD INF MIS PEQUEÑOS TIMPANITOS                                                                    ","DG 49 SUR 57 37","2385226","YOLANDA CECILIA LIMA GARCIA",,"timpanitos@hotmail.com                            "
"LIC INF THOMAS DE IRIARTE                                                                           ","CR. 113 NO.83-46/52/58","4318109 / 4318169                                 ","MARTHA LUCIA GOMEZ SIACHOQUE",,"thomasiriarte@hotmail.com                         "
"JARD INF MI CABAÑITA                                                                                ","TR. 21A NO.82-06","2571838 / 2578491                                 ","LUZ HELENA LOPEZ GONZALEZ",,"terele@tutopia.com                                "
"LIC TEILHARD DE CHARDIN                                                                             ","CL 146 92 24","6819921","NESTOR JULIO MENDEZ GARCIA",,"teilhard1@starmedia.com                           "
"JARD INF COQUITO                                                                                    ","KR 4 A 26 B 23","2838292 -- 5622689 -- 2816896","BLANCA INES CHAPARRO NAVAS",,"taticachaparro@hotmail.com"
"JARD INF TALLER DE ARTE ARCO IRIS                                                                   ","CL 87 9 06","2363700 -- 5305521","MILDRED HELENA VENEGAS CONCHA",,"tallerdeartearcoiris@hotmail.com"
"TALENTOS JARDÍN INFANTIL Y CENTRO TERAPEUTICO INTEGRAL","CL 51 70 C 12","6090072 -- 4048491","NASLY YANICE CARABALLO CIFUENTES",,"talentosjardininfatil@gmail.com -- naslycaraballo@gmail.com"
"CENTRO EDUCATIVO JORGE TADEO ","KR 123 64 31","2288565  /4355328","ALBERTO DIAZ NARVAEZ",,"tadeolozano_edu@hotmail.com"
"INST SUSANA WESLEY                                                                                  ","CL 91 B SUR 1 52","7612725","LILIANA CORREA RODRIGUEZ",,"susanawes@hotmail.com"
