"a_o","cod_dane_departamento","departamento","cod_secretaria","secretaria","cod_dane_municipio","municipio","codigo_dane","nombre_establecimiento","cod_sector","sector","cod_caracter","caracter","cod_calendario","calendario","direccion","barrio_vereda","telefono","fax","email","rector","web","total_matricula","cantidad_sedes"
"2019","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001000094","COL COMFAMA - SEDE ARANJUEZ","1002","NO_OFICIAL","963",,"52","A","KR 51 B 91 95","ARANJUEZ","5212929","0",,"MARGARITA MARIA TRUJILLO ZEA",,"360","1"
"2021","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001000094","COLEGIO COMFAMA - SEDE ARANJUEZ","807","NO OFICIAL","963.000000",,"874","A","KR 51 B 91 95","ARANJUEZ","5212929","0",,"MARGARITA MARIA TRUJILLO ZEA",,"353","1"
"2020","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001000094","COL COMFAMA - SEDE ARANJUEZ","1002","NO_OFICIAL","963",,"52","A","KR 51 B 91 95","ARANJUEZ","5212929","0",,"MARGARITA MARIA TRUJILLO ZEA.",,"357","1"
"2018","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001000094","COL COMFAMA - SEDE ARANJUEZ","1002","NO_OFICIAL","963",,"52","A","KR 51 B 91 95","ARANJUEZ","5212929","0",,"MARGARITA MARIA TRUJILLO ZEA",,"360","1"
"2019","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001007919","COL SAGRADA FAMILIA ALDEA PABLO VI","1002","NO_OFICIAL","2432",,"52","A","KR 30 100 B 30","ALDEA PABLO VI","5290009",,"sagradafamiliahpar@yahoo.es","HNA BLANCA MARGARITA BERRIO DUQUE",,"1198","1"
"2021","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001007919","COLEGIO SAGRADA FAMILIA ALDEA PABLO VI","807","NO OFICIAL","2432.000000",,"874","A","KR 30 100 B 30","ALDEA PABLO VI","5290009",,"sagradafamiliahpar@yahoo.es","HNA BLANCA MARGARITA BERRIO DUQUE",,"1245","1"
"2020","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001007919","COL SAGRADA FAMILIA ALDEA PABLO VI","1002","NO_OFICIAL","2432",,"52","A","KR 30 100 B 30","ALDEA PABLO VI","5290009",,"sagradafamiliahpar@yahoo.es","HNA BLANCA MARGARITA BERRIO DUQUE",,"1224","1"
"2018","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001007919","COL SAGRADA FAMILIA ALDEA PABLO VI","1002","NO_OFICIAL","2432",,"52","A","KR 30 100 B 30","ALDEA PABLO VI","5290009",,"sagradafamiliahpar@yahoo.es","HNA BLANCA MARGARITA BERRIO DUQUE",,"1185","1"
"2019","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001010928","CENT EDUCAL DON BOSCO","1002","NO_OFICIAL","817",,"52","A","KR 66 94 42","CASTILLA","2374007/2373726","2375458","luferbet@yahoo.es lerincedbos240@hotmail.com","PBRO: LUIS FERNANDO BETANCOURT SANCHEZ","cedbos","606","1"
"2021","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001010928","CENTRO EDUCACIONAL DON BOSCO","807","NO OFICIAL","817.000000",,"874","A","KR 66 94 42","CASTILLA","2374007/2373726","2375458","luferbet@yahoo.es lerincedbos240@hotmail.com","PBRO: LUIS FERNANDO BETANCOURT SANCHEZ","cedbos","584","1"
"2020","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001010928","CENT EDUCAL DON BOSCO","1002","NO_OFICIAL","817",,"52","A","KR 66 94 42","CASTILLA","2374007/2373726","2375458","luferbet@yahoo.es lerincedbos240@hotmail.com","PBRO: LUIS FERNANDO BETANCOURT SANCHEZ","cedbos","601","1"
"2018","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001010928","CENT EDUCAL DON BOSCO","1002","NO_OFICIAL","817",,"52","A","KR 66 94 42","CASTILLA","2374007/2373726","2375458","luferbet@yahoo.es lerincedbos240@hotmail.com","PBRO: LUIS FERNANDO BETANCOURT SANCHEZ","cedbos","635","1"
"2019","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001012076","ESCUELA UNIVERSIDAD NACIONAL","1001","OFICIAL","963",,"52","A","CL 88 A 68 85","PALENQUE","2642845 CORREO:cedunal_med@unal.edu.co","2746144",,"EUGENIA GONZALEZ CASTRILLON",,"117","1"
"2021","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001012076","ESCUELA UNIVERSIDAD NACIONAL","806","OFICIAL","963.000000",,"874","A","CL 88 A 68 85","PALENQUE","2642845 CORREO:cedunal_med@unal.edu.co","2746144",,"EUGENIA GONZALEZ CASTRILLON",,"114","1"
"2020","5","ANTIOQUIA","3759","MEDELLÍN","5001","MEDELLÍN","105001012076","ESCUELA UNIVERSIDAD NACIONAL","1001","OFICIAL","963",,"52","A","CL 88 A 68 85","PALENQUE","2642845 CORREO:cedunal_med@unal.edu.co","2746144",,"EUGENIA GONZALEZ CASTRILLON",,"118","1"
